date,SPXL_unscaled,SPXL_monthly,isPartial,scale,SPXL
2016-05-01,23,5.0,False,0.05,1.1500000000000001
2016-05-02,0,5.0,,0.05,0.0
2016-05-03,19,5.0,,0.05,0.9500000000000001
2016-05-04,38,5.0,,0.05,1.9000000000000001
2016-05-05,0,5.0,,0.05,0.0
2016-05-06,61,5.0,,0.05,3.0500000000000003
2016-05-07,0,5.0,,0.05,0.0
2016-05-08,0,5.0,,0.05,0.0
2016-05-09,58,5.0,,0.05,2.9000000000000004
2016-05-10,57,5.0,,0.05,2.85
2016-05-11,19,5.0,,0.05,0.9500000000000001
2016-05-12,100,5.0,,0.05,5.0
2016-05-13,41,5.0,,0.05,2.0500000000000003
2016-05-14,0,5.0,,0.05,0.0
2016-05-15,0,5.0,,0.05,0.0
2016-05-16,20,5.0,,0.05,1.0
2016-05-17,58,5.0,,0.05,2.9000000000000004
2016-05-18,20,5.0,,0.05,1.0
2016-05-19,0,5.0,,0.05,0.0
2016-05-20,0,5.0,,0.05,0.0
2016-05-21,0,5.0,,0.05,0.0
2016-05-22,48,5.0,,0.05,2.4000000000000004
2016-05-23,20,5.0,,0.05,1.0
2016-05-24,0,5.0,,0.05,0.0
2016-05-25,80,5.0,,0.05,4.0
2016-05-26,62,5.0,,0.05,3.1
2016-05-27,0,5.0,,0.05,0.0
2016-05-28,25,5.0,,0.05,1.25
2016-05-29,0,5.0,,0.05,0.0
2016-05-30,24,5.0,,0.05,1.2000000000000002
2016-05-31,81,5.0,,0.05,4.05
2016-06-01,22,9.0,False,0.09,1.98
2016-06-02,0,9.0,,0.09,0.0
2016-06-03,23,9.0,,0.09,2.07
2016-06-04,13,9.0,,0.09,1.17
2016-06-05,13,9.0,,0.09,1.17
2016-06-06,0,9.0,,0.09,0.0
2016-06-07,32,9.0,,0.09,2.88
2016-06-08,11,9.0,,0.09,0.99
2016-06-09,34,9.0,,0.09,3.06
2016-06-10,23,9.0,,0.09,2.07
2016-06-11,0,9.0,,0.09,0.0
2016-06-12,0,9.0,,0.09,0.0
2016-06-13,33,9.0,,0.09,2.9699999999999998
2016-06-14,22,9.0,,0.09,1.98
2016-06-15,22,9.0,,0.09,1.98
2016-06-16,33,9.0,,0.09,2.9699999999999998
2016-06-17,34,9.0,,0.09,3.06
2016-06-18,14,9.0,,0.09,1.26
2016-06-19,0,9.0,,0.09,0.0
2016-06-20,22,9.0,,0.09,1.98
2016-06-21,56,9.0,,0.09,5.04
2016-06-22,11,9.0,,0.09,0.99
2016-06-23,33,9.0,,0.09,2.9699999999999998
2016-06-24,23,9.0,,0.09,2.07
2016-06-25,13,9.0,,0.09,1.17
2016-06-26,13,9.0,,0.09,1.17
2016-06-27,55,9.0,,0.09,4.95
2016-06-28,100,9.0,,0.09,9.0
2016-06-29,91,9.0,,0.09,8.19
2016-06-30,92,9.0,,0.09,8.28
2016-07-01,49,6.0,False,0.06,2.94
2016-07-02,0,6.0,,0.06,0.0
2016-07-03,0,6.0,,0.06,0.0
2016-07-04,0,6.0,,0.06,0.0
2016-07-05,100,6.0,,0.06,6.0
2016-07-06,32,6.0,,0.06,1.92
2016-07-07,16,6.0,,0.06,0.96
2016-07-08,32,6.0,,0.06,1.92
2016-07-09,0,6.0,,0.06,0.0
2016-07-10,0,6.0,,0.06,0.0
2016-07-11,48,6.0,,0.06,2.88
2016-07-12,32,6.0,,0.06,1.92
2016-07-13,33,6.0,,0.06,1.98
2016-07-14,77,6.0,,0.06,4.62
2016-07-15,16,6.0,,0.06,0.96
2016-07-16,37,6.0,,0.06,2.2199999999999998
2016-07-17,19,6.0,,0.06,1.14
2016-07-18,64,6.0,,0.06,3.84
2016-07-19,16,6.0,,0.06,0.96
2016-07-20,16,6.0,,0.06,0.96
2016-07-21,65,6.0,,0.06,3.9
2016-07-22,0,6.0,,0.06,0.0
2016-07-23,0,6.0,,0.06,0.0
2016-07-24,0,6.0,,0.06,0.0
2016-07-25,16,6.0,,0.06,0.96
2016-07-26,32,6.0,,0.06,1.92
2016-07-27,47,6.0,,0.06,2.82
2016-07-28,47,6.0,,0.06,2.82
