date,UVXY_unscaled,UVXY_monthly,isPartial,scale,UVXY
2016-05-01,6,56.0,False,0.56,3.3600000000000003
2016-05-02,57,56.0,,0.56,31.92
2016-05-03,69,56.0,,0.56,38.64
2016-05-04,71,56.0,,0.56,39.760000000000005
2016-05-05,79,56.0,,0.56,44.24
2016-05-06,63,56.0,,0.56,35.28
2016-05-07,15,56.0,,0.56,8.4
2016-05-08,2,56.0,,0.56,1.12
2016-05-09,49,56.0,,0.56,27.44
2016-05-10,50,56.0,,0.56,28.000000000000004
2016-05-11,90,56.0,,0.56,50.400000000000006
2016-05-12,87,56.0,,0.56,48.720000000000006
2016-05-13,74,56.0,,0.56,41.440000000000005
2016-05-14,18,56.0,,0.56,10.080000000000002
2016-05-15,13,56.0,,0.56,7.280000000000001
2016-05-16,50,56.0,,0.56,28.000000000000004
2016-05-17,82,56.0,,0.56,45.92
2016-05-18,100,56.0,,0.56,56.00000000000001
2016-05-19,83,56.0,,0.56,46.480000000000004
2016-05-20,60,56.0,,0.56,33.6
2016-05-21,2,56.0,,0.56,1.12
2016-05-22,13,56.0,,0.56,7.280000000000001
2016-05-23,54,56.0,,0.56,30.240000000000002
2016-05-24,66,56.0,,0.56,36.96
2016-05-25,69,56.0,,0.56,38.64
2016-05-26,94,56.0,,0.56,52.64000000000001
2016-05-27,52,56.0,,0.56,29.120000000000005
2016-05-28,7,56.0,,0.56,3.9200000000000004
2016-05-29,16,56.0,,0.56,8.96
2016-05-30,13,56.0,,0.56,7.280000000000001
2016-05-31,77,56.0,,0.56,43.120000000000005
2016-06-01,17,95.0,False,0.95,16.15
2016-06-02,18,95.0,,0.95,17.099999999999998
2016-06-03,15,95.0,,0.95,14.25
2016-06-04,4,95.0,,0.95,3.8
2016-06-05,3,95.0,,0.95,2.8499999999999996
2016-06-06,16,95.0,,0.95,15.2
2016-06-07,18,95.0,,0.95,17.099999999999998
2016-06-08,18,95.0,,0.95,17.099999999999998
2016-06-09,21,95.0,,0.95,19.95
2016-06-10,30,95.0,,0.95,28.5
2016-06-11,4,95.0,,0.95,3.8
2016-06-12,8,95.0,,0.95,7.6
2016-06-13,34,95.0,,0.95,32.3
2016-06-14,44,95.0,,0.95,41.8
2016-06-15,34,95.0,,0.95,32.3
2016-06-16,31,95.0,,0.95,29.45
2016-06-17,26,95.0,,0.95,24.7
2016-06-18,5,95.0,,0.95,4.75
2016-06-19,2,95.0,,0.95,1.9
2016-06-20,26,95.0,,0.95,24.7
2016-06-21,23,95.0,,0.95,21.849999999999998
2016-06-22,34,95.0,,0.95,32.3
2016-06-23,28,95.0,,0.95,26.599999999999998
2016-06-24,100,95.0,,0.95,95.0
2016-06-25,14,95.0,,0.95,13.299999999999999
2016-06-26,12,95.0,,0.95,11.399999999999999
2016-06-27,47,95.0,,0.95,44.65
2016-06-28,39,95.0,,0.95,37.05
2016-06-29,37,95.0,,0.95,35.15
2016-06-30,41,95.0,,0.95,38.949999999999996
2016-07-01,87,76.0,False,0.76,66.12
2016-07-02,7,76.0,,0.76,5.32
2016-07-03,12,76.0,,0.76,9.120000000000001
2016-07-04,13,76.0,,0.76,9.88
2016-07-05,79,76.0,,0.76,60.04
2016-07-06,85,76.0,,0.76,64.6
2016-07-07,73,76.0,,0.76,55.480000000000004
2016-07-08,77,76.0,,0.76,58.52
2016-07-09,13,76.0,,0.76,9.88
2016-07-10,7,76.0,,0.76,5.32
2016-07-11,55,76.0,,0.76,41.8
2016-07-12,57,76.0,,0.76,43.32
2016-07-13,71,76.0,,0.76,53.96
2016-07-14,74,76.0,,0.76,56.24
2016-07-15,71,76.0,,0.76,53.96
2016-07-16,8,76.0,,0.76,6.08
2016-07-17,11,76.0,,0.76,8.36
2016-07-18,70,76.0,,0.76,53.2
2016-07-19,47,76.0,,0.76,35.72
2016-07-20,60,76.0,,0.76,45.6
2016-07-21,61,76.0,,0.76,46.36
2016-07-22,53,76.0,,0.76,40.28
2016-07-23,3,76.0,,0.76,2.2800000000000002
2016-07-24,8,76.0,,0.76,6.08
2016-07-25,100,76.0,,0.76,76.0
2016-07-26,48,76.0,,0.76,36.480000000000004
2016-07-27,57,76.0,,0.76,43.32
2016-07-28,47,76.0,,0.76,35.72
2016-07-29,61,76.0,,0.76,46.36
2016-07-30,3,76.0,,0.76,2.2800000000000002
2016-07-31,7,76.0,,0.76,5.32
2016-08-01,86,47.0,False,0.47,40.419999999999995
2016-08-02,96,47.0,,0.47,45.12
2016-08-03,100,47.0,,0.47,47.0
2016-08-04,59,47.0,,0.47,27.729999999999997
2016-08-05,87,47.0,,0.47,40.89
2016-08-06,14,47.0,,0.47,6.58
2016-08-07,11,47.0,,0.47,5.17
2016-08-08,65,47.0,,0.47,30.549999999999997
2016-08-09,89,47.0,,0.47,41.83
2016-08-10,95,47.0,,0.47,44.65
2016-08-11,91,47.0,,0.47,42.769999999999996
2016-08-12,62,47.0,,0.47,29.139999999999997
2016-08-13,5,47.0,,0.47,2.3499999999999996
2016-08-14,11,47.0,,0.47,5.17
2016-08-15,51,47.0,,0.47,23.97
2016-08-16,75,47.0,,0.47,35.25
2016-08-17,77,47.0,,0.47,36.19
2016-08-18,62,47.0,,0.47,29.139999999999997
2016-08-19,70,47.0,,0.47,32.9
2016-08-20,8,47.0,,0.47,3.76
2016-08-21,3,47.0,,0.47,1.41
2016-08-22,54,47.0,,0.47,25.38
2016-08-23,58,47.0,,0.47,27.259999999999998
2016-08-24,69,47.0,,0.47,32.43
2016-08-25,69,47.0,,0.47,32.43
2016-08-26,51,47.0,,0.47,23.97
2016-08-27,8,47.0,,0.47,3.76
2016-08-28,13,47.0,,0.47,6.109999999999999
2016-08-29,47,47.0,,0.47,22.09
2016-08-30,59,47.0,,0.47,27.729999999999997
2016-08-31,55,47.0,,0.47,25.849999999999998
2016-09-01,60,47.0,False,0.47,28.2
2016-09-02,41,47.0,,0.47,19.27
2016-09-03,2,47.0,,0.47,0.94
2016-09-04,4,47.0,,0.47,1.88
2016-09-05,6,47.0,,0.47,2.82
2016-09-06,35,47.0,,0.47,16.45
2016-09-07,39,47.0,,0.47,18.33
2016-09-08,44,47.0,,0.47,20.68
2016-09-09,83,47.0,,0.47,39.01
2016-09-10,19,47.0,,0.47,8.93
2016-09-11,8,47.0,,0.47,3.76
2016-09-12,96,47.0,,0.47,45.12
2016-09-13,90,47.0,,0.47,42.3
2016-09-14,100,47.0,,0.47,47.0
2016-09-15,70,47.0,,0.47,32.9
2016-09-16,67,47.0,,0.47,31.49
2016-09-17,19,47.0,,0.47,8.93
2016-09-18,12,47.0,,0.47,5.64
2016-09-19,55,47.0,,0.47,25.849999999999998
2016-09-20,62,47.0,,0.47,29.139999999999997
2016-09-21,49,47.0,,0.47,23.029999999999998
2016-09-22,67,47.0,,0.47,31.49
2016-09-23,58,47.0,,0.47,27.259999999999998
2016-09-24,8,47.0,,0.47,3.76
2016-09-25,12,47.0,,0.47,5.64
2016-09-26,71,47.0,,0.47,33.37
2016-09-27,52,47.0,,0.47,24.439999999999998
2016-09-28,61,47.0,,0.47,28.669999999999998
2016-09-29,81,47.0,,0.47,38.07
2016-09-30,51,47.0,,0.47,23.97
2016-10-01,12,42.0,False,0.42,5.04
2016-10-02,2,42.0,,0.42,0.84
2016-10-03,52,42.0,,0.42,21.84
2016-10-04,54,42.0,,0.42,22.68
2016-10-05,75,42.0,,0.42,31.5
2016-10-06,41,42.0,,0.42,17.22
2016-10-07,63,42.0,,0.42,26.459999999999997
2016-10-08,2,42.0,,0.42,0.84
2016-10-09,5,42.0,,0.42,2.1
2016-10-10,33,42.0,,0.42,13.86
2016-10-11,71,42.0,,0.42,29.82
2016-10-12,69,42.0,,0.42,28.98
2016-10-13,100,42.0,,0.42,42.0
2016-10-14,67,42.0,,0.42,28.14
