date,ON_unscaled,ON_monthly,isPartial,scale,ON
2016-05-01,93,86.0,False,0.86,79.98
2016-05-02,85,86.0,,0.86,73.1
2016-05-03,87,86.0,,0.86,74.82
2016-05-04,83,86.0,,0.86,71.38
2016-05-05,85,86.0,,0.86,73.1
2016-05-06,85,86.0,,0.86,73.1
2016-05-07,87,86.0,,0.86,74.82
2016-05-08,91,86.0,,0.86,78.26
2016-05-09,84,86.0,,0.86,72.24
2016-05-10,87,86.0,,0.86,74.82
2016-05-11,84,86.0,,0.86,72.24
2016-05-12,85,86.0,,0.86,73.1
2016-05-13,86,86.0,,0.86,73.96
2016-05-14,86,86.0,,0.86,73.96
2016-05-15,93,86.0,,0.86,79.98
2016-05-16,86,86.0,,0.86,73.96
2016-05-17,86,86.0,,0.86,73.96
2016-05-18,85,86.0,,0.86,73.1
2016-05-19,86,86.0,,0.86,73.96
2016-05-20,84,86.0,,0.86,72.24
2016-05-21,91,86.0,,0.86,78.26
2016-05-22,92,86.0,,0.86,79.12
2016-05-23,88,86.0,,0.86,75.67999999999999
2016-05-24,88,86.0,,0.86,75.67999999999999
2016-05-25,88,86.0,,0.86,75.67999999999999
2016-05-26,84,86.0,,0.86,72.24
2016-05-27,88,86.0,,0.86,75.67999999999999
2016-05-28,90,86.0,,0.86,77.4
2016-05-29,93,86.0,,0.86,79.98
2016-05-30,100,86.0,,0.86,86.0
2016-05-31,88,86.0,,0.86,75.67999999999999
2016-06-01,90,86.0,False,0.86,77.4
2016-06-02,89,86.0,,0.86,76.53999999999999
2016-06-03,91,86.0,,0.86,78.26
2016-06-04,95,86.0,,0.86,81.7
2016-06-05,100,86.0,,0.86,86.0
2016-06-06,93,86.0,,0.86,79.98
2016-06-07,91,86.0,,0.86,78.26
2016-06-08,92,86.0,,0.86,79.12
2016-06-09,92,86.0,,0.86,79.12
2016-06-10,91,86.0,,0.86,78.26
2016-06-11,93,86.0,,0.86,79.98
2016-06-12,98,86.0,,0.86,84.28
2016-06-13,93,86.0,,0.86,79.98
2016-06-14,92,86.0,,0.86,79.12
2016-06-15,91,86.0,,0.86,78.26
2016-06-16,90,86.0,,0.86,77.4
2016-06-17,90,86.0,,0.86,77.4
2016-06-18,96,86.0,,0.86,82.56
2016-06-19,97,86.0,,0.86,83.42
2016-06-20,94,86.0,,0.86,80.84
2016-06-21,92,86.0,,0.86,79.12
2016-06-22,91,86.0,,0.86,78.26
2016-06-23,90,86.0,,0.86,77.4
2016-06-24,89,86.0,,0.86,76.53999999999999
2016-06-25,93,86.0,,0.86,79.98
2016-06-26,100,86.0,,0.86,86.0
2016-06-27,90,86.0,,0.86,77.4
2016-06-28,92,86.0,,0.86,79.12
2016-06-29,91,86.0,,0.86,78.26
2016-06-30,94,86.0,,0.86,80.84
2016-07-01,86,87.0,False,0.87,74.82
2016-07-02,89,87.0,,0.87,77.42999999999999
2016-07-03,95,87.0,,0.87,82.65
2016-07-04,100,87.0,,0.87,87.0
2016-07-05,90,87.0,,0.87,78.3
2016-07-06,88,87.0,,0.87,76.56
2016-07-07,87,87.0,,0.87,75.69
2016-07-08,85,87.0,,0.87,73.95
2016-07-09,92,87.0,,0.87,80.04
2016-07-10,94,87.0,,0.87,81.78
2016-07-11,89,87.0,,0.87,77.42999999999999
2016-07-12,88,87.0,,0.87,76.56
2016-07-13,90,87.0,,0.87,78.3
2016-07-14,85,87.0,,0.87,73.95
2016-07-15,86,87.0,,0.87,74.82
2016-07-16,89,87.0,,0.87,77.42999999999999
2016-07-17,91,87.0,,0.87,79.17
2016-07-18,87,87.0,,0.87,75.69
2016-07-19,84,87.0,,0.87,73.08
2016-07-20,88,87.0,,0.87,76.56
2016-07-21,88,87.0,,0.87,76.56
2016-07-22,86,87.0,,0.87,74.82
2016-07-23,88,87.0,,0.87,76.56
2016-07-24,91,87.0,,0.87,79.17
2016-07-25,88,87.0,,0.87,76.56
2016-07-26,86,87.0,,0.87,74.82
2016-07-27,84,87.0,,0.87,73.08
2016-07-28,85,87.0,,0.87,73.95
2016-07-29,87,87.0,,0.87,75.69
2016-07-30,90,87.0,,0.87,78.3
2016-07-31,92,87.0,,0.87,80.04
2016-08-01,92,82.0,False,0.82,75.44
2016-08-02,94,82.0,,0.82,77.08
2016-08-03,92,82.0,,0.82,75.44
2016-08-04,89,82.0,,0.82,72.97999999999999
2016-08-05,90,82.0,,0.82,73.8
2016-08-06,96,82.0,,0.82,78.72
2016-08-07,93,82.0,,0.82,76.25999999999999
2016-08-08,91,82.0,,0.82,74.61999999999999
2016-08-09,89,82.0,,0.82,72.97999999999999
2016-08-10,94,82.0,,0.82,77.08
2016-08-11,88,82.0,,0.82,72.16
2016-08-12,88,82.0,,0.82,72.16
2016-08-13,90,82.0,,0.82,73.8
2016-08-14,92,82.0,,0.82,75.44
2016-08-15,85,82.0,,0.82,69.7
2016-08-16,86,82.0,,0.82,70.52
2016-08-17,85,82.0,,0.82,69.7
2016-08-18,86,82.0,,0.82,70.52
2016-08-19,83,82.0,,0.82,68.06
2016-08-20,91,82.0,,0.82,74.61999999999999
2016-08-21,95,82.0,,0.82,77.89999999999999
2016-08-22,85,82.0,,0.82,69.7
2016-08-23,86,82.0,,0.82,70.52
2016-08-24,87,82.0,,0.82,71.33999999999999
2016-08-25,92,82.0,,0.82,75.44
2016-08-26,91,82.0,,0.82,74.61999999999999
2016-08-27,97,82.0,,0.82,79.53999999999999
2016-08-28,100,82.0,,0.82,82.0
2016-08-29,91,82.0,,0.82,74.61999999999999
2016-08-30,90,82.0,,0.82,73.8
2016-08-31,91,82.0,,0.82,74.61999999999999
2016-09-01,87,88.0,False,0.88,76.56
2016-09-02,86,88.0,,0.88,75.68
2016-09-03,95,88.0,,0.88,83.6
2016-09-04,99,88.0,,0.88,87.12
2016-09-05,100,88.0,,0.88,88.0
