date,XLF_unscaled,XLF_monthly,isPartial,scale,XLF
2016-05-01,0,24.0,False,0.24,0.0
2016-05-02,41,24.0,,0.24,9.84
2016-05-03,21,24.0,,0.24,5.04
2016-05-04,21,24.0,,0.24,5.04
2016-05-05,11,24.0,,0.24,2.6399999999999997
2016-05-06,22,24.0,,0.24,5.279999999999999
2016-05-07,0,24.0,,0.24,0.0
2016-05-08,13,24.0,,0.24,3.12
2016-05-09,53,24.0,,0.24,12.719999999999999
2016-05-10,21,24.0,,0.24,5.04
2016-05-11,42,24.0,,0.24,10.08
2016-05-12,54,24.0,,0.24,12.959999999999999
2016-05-13,22,24.0,,0.24,5.279999999999999
2016-05-14,26,24.0,,0.24,6.24
2016-05-15,0,24.0,,0.24,0.0
2016-05-16,21,24.0,,0.24,5.04
2016-05-17,73,24.0,,0.24,17.52
2016-05-18,63,24.0,,0.24,15.12
2016-05-19,64,24.0,,0.24,15.36
2016-05-20,45,24.0,,0.24,10.799999999999999
2016-05-21,0,24.0,,0.24,0.0
2016-05-22,13,24.0,,0.24,3.12
2016-05-23,21,24.0,,0.24,5.04
2016-05-24,32,24.0,,0.24,7.68
2016-05-25,33,24.0,,0.24,7.92
2016-05-26,100,24.0,,0.24,24.0
2016-05-27,57,24.0,,0.24,13.68
2016-05-28,13,24.0,,0.24,3.12
2016-05-29,0,24.0,,0.24,0.0
2016-05-30,38,24.0,,0.24,9.12
2016-05-31,0,24.0,,0.24,0.0
2016-06-01,41,41.0,False,0.41,16.81
2016-06-02,34,41.0,,0.41,13.94
2016-06-03,50,41.0,,0.41,20.5
2016-06-04,16,41.0,,0.41,6.56
2016-06-05,8,41.0,,0.41,3.28
2016-06-06,14,41.0,,0.41,5.739999999999999
2016-06-07,34,41.0,,0.41,13.94
2016-06-08,28,41.0,,0.41,11.479999999999999
2016-06-09,21,41.0,,0.41,8.61
2016-06-10,22,41.0,,0.41,9.02
2016-06-11,16,41.0,,0.41,6.56
2016-06-12,8,41.0,,0.41,3.28
2016-06-13,14,41.0,,0.41,5.739999999999999
2016-06-14,14,41.0,,0.41,5.739999999999999
2016-06-15,69,41.0,,0.41,28.29
2016-06-16,42,41.0,,0.41,17.22
2016-06-17,7,41.0,,0.41,2.8699999999999997
2016-06-18,9,41.0,,0.41,3.69
2016-06-19,0,41.0,,0.41,0.0
2016-06-20,28,41.0,,0.41,11.479999999999999
2016-06-21,21,41.0,,0.41,8.61
2016-06-22,42,41.0,,0.41,17.22
2016-06-23,35,41.0,,0.41,14.35
2016-06-24,100,41.0,,0.41,41.0
2016-06-25,59,41.0,,0.41,24.189999999999998
2016-06-26,9,41.0,,0.41,3.69
2016-06-27,83,41.0,,0.41,34.03
2016-06-28,49,41.0,,0.41,20.09
2016-06-29,86,41.0,,0.41,35.26
2016-06-30,51,41.0,,0.41,20.91
2016-07-01,25,24.0,False,0.24,6.0
2016-07-02,0,24.0,,0.24,0.0
2016-07-03,15,24.0,,0.24,3.5999999999999996
2016-07-04,15,24.0,,0.24,3.5999999999999996
2016-07-05,52,24.0,,0.24,12.48
2016-07-06,62,24.0,,0.24,14.879999999999999
2016-07-07,87,24.0,,0.24,20.88
2016-07-08,75,24.0,,0.24,18.0
2016-07-09,15,24.0,,0.24,3.5999999999999996
2016-07-10,0,24.0,,0.24,0.0
2016-07-11,62,24.0,,0.24,14.879999999999999
2016-07-12,50,24.0,,0.24,12.0
2016-07-13,13,24.0,,0.24,3.12
2016-07-14,84,24.0,,0.24,20.16
2016-07-15,13,24.0,,0.24,3.12
2016-07-16,0,24.0,,0.24,0.0
2016-07-17,0,24.0,,0.24,0.0
2016-07-18,100,24.0,,0.24,24.0
2016-07-19,49,24.0,,0.24,11.76
2016-07-20,63,24.0,,0.24,15.12
2016-07-21,25,24.0,,0.24,6.0
2016-07-22,13,24.0,,0.24,3.12
2016-07-23,14,24.0,,0.24,3.36
2016-07-24,14,24.0,,0.24,3.36
2016-07-25,37,24.0,,0.24,8.879999999999999
2016-07-26,25,24.0,,0.24,6.0
2016-07-27,74,24.0,,0.24,17.759999999999998
2016-07-28,24,24.0,,0.24,5.76
2016-07-29,0,24.0,,0.24,0.0
2016-07-30,14,24.0,,0.24,3.36
2016-07-31,14,24.0,,0.24,3.36
2016-08-01,26,28.0,False,0.28,7.280000000000001
2016-08-02,52,28.0,,0.28,14.560000000000002
2016-08-03,66,28.0,,0.28,18.48
2016-08-04,27,28.0,,0.28,7.5600000000000005
2016-08-05,100,28.0,,0.28,28.000000000000004
2016-08-06,33,28.0,,0.28,9.24
2016-08-07,16,28.0,,0.28,4.48
2016-08-08,13,28.0,,0.28,3.6400000000000006
2016-08-09,40,28.0,,0.28,11.200000000000001
2016-08-10,82,28.0,,0.28,22.96
2016-08-11,57,28.0,,0.28,15.96
2016-08-12,42,28.0,,0.28,11.760000000000002
2016-08-13,0,28.0,,0.28,0.0
2016-08-14,0,28.0,,0.28,0.0
2016-08-15,55,28.0,,0.28,15.400000000000002
2016-08-16,28,28.0,,0.28,7.840000000000001
2016-08-17,14,28.0,,0.28,3.9200000000000004
2016-08-18,43,28.0,,0.28,12.040000000000001
2016-08-19,0,28.0,,0.28,0.0
2016-08-20,50,28.0,,0.28,14.000000000000002
2016-08-21,33,28.0,,0.28,9.24
2016-08-22,55,28.0,,0.28,15.400000000000002
2016-08-23,69,28.0,,0.28,19.32
