date,DNA_unscaled,DNA_monthly,isPartial,scale,DNA
2016-05-01,69,63.0,False,0.63,43.47
2016-05-02,100,63.0,,0.63,63.0
2016-05-03,100,63.0,,0.63,63.0
2016-05-04,96,63.0,,0.63,60.480000000000004
2016-05-05,95,63.0,,0.63,59.85
2016-05-06,74,63.0,,0.63,46.62
2016-05-07,60,63.0,,0.63,37.8
2016-05-08,62,63.0,,0.63,39.06
2016-05-09,92,63.0,,0.63,57.96
2016-05-10,90,63.0,,0.63,56.7
2016-05-11,89,63.0,,0.63,56.07
2016-05-12,82,63.0,,0.63,51.660000000000004
2016-05-13,77,63.0,,0.63,48.51
2016-05-14,50,63.0,,0.63,31.5
2016-05-15,55,63.0,,0.63,34.65
2016-05-16,82,63.0,,0.63,51.660000000000004
2016-05-17,83,63.0,,0.63,52.29
2016-05-18,76,63.0,,0.63,47.88
2016-05-19,75,63.0,,0.63,47.25
2016-05-20,70,63.0,,0.63,44.1
2016-05-21,51,63.0,,0.63,32.13
2016-05-22,58,63.0,,0.63,36.54
2016-05-23,73,63.0,,0.63,45.99
2016-05-24,76,63.0,,0.63,47.88
2016-05-25,72,63.0,,0.63,45.36
2016-05-26,73,63.0,,0.63,45.99
2016-05-27,60,63.0,,0.63,37.8
2016-05-28,45,63.0,,0.63,28.35
2016-05-29,48,63.0,,0.63,30.240000000000002
2016-05-30,62,63.0,,0.63,39.06
2016-05-31,72,63.0,,0.63,45.36
2016-06-01,92,50.0,False,0.5,46.0
2016-06-02,93,50.0,,0.5,46.5
2016-06-03,94,50.0,,0.5,47.0
2016-06-04,76,50.0,,0.5,38.0
2016-06-05,82,50.0,,0.5,41.0
2016-06-06,100,50.0,,0.5,50.0
2016-06-07,98,50.0,,0.5,49.0
2016-06-08,91,50.0,,0.5,45.5
2016-06-09,95,50.0,,0.5,47.5
2016-06-10,79,50.0,,0.5,39.5
2016-06-11,62,50.0,,0.5,31.0
2016-06-12,76,50.0,,0.5,38.0
2016-06-13,86,50.0,,0.5,43.0
2016-06-14,84,50.0,,0.5,42.0
2016-06-15,89,50.0,,0.5,44.5
2016-06-16,80,50.0,,0.5,40.0
2016-06-17,74,50.0,,0.5,37.0
2016-06-18,73,50.0,,0.5,36.5
2016-06-19,70,50.0,,0.5,35.0
2016-06-20,78,50.0,,0.5,39.0
2016-06-21,75,50.0,,0.5,37.5
2016-06-22,79,50.0,,0.5,39.5
2016-06-23,71,50.0,,0.5,35.5
2016-06-24,71,50.0,,0.5,35.5
2016-06-25,68,50.0,,0.5,34.0
2016-06-26,73,50.0,,0.5,36.5
2016-06-27,73,50.0,,0.5,36.5
2016-06-28,75,50.0,,0.5,37.5
2016-06-29,79,50.0,,0.5,39.5
2016-06-30,72,50.0,,0.5,36.0
2016-07-01,87,42.0,False,0.42,36.54
2016-07-02,85,42.0,,0.42,35.699999999999996
2016-07-03,91,42.0,,0.42,38.22
2016-07-04,94,42.0,,0.42,39.48
2016-07-05,95,42.0,,0.42,39.9
2016-07-06,97,42.0,,0.42,40.74
2016-07-07,98,42.0,,0.42,41.16
2016-07-08,86,42.0,,0.42,36.12
2016-07-09,77,42.0,,0.42,32.339999999999996
2016-07-10,88,42.0,,0.42,36.96
2016-07-11,99,42.0,,0.42,41.58
2016-07-12,89,42.0,,0.42,37.379999999999995
2016-07-13,100,42.0,,0.42,42.0
2016-07-14,95,42.0,,0.42,39.9
2016-07-15,87,42.0,,0.42,36.54
2016-07-16,78,42.0,,0.42,32.76
2016-07-17,89,42.0,,0.42,37.379999999999995
2016-07-18,99,42.0,,0.42,41.58
2016-07-19,91,42.0,,0.42,38.22
2016-07-20,96,42.0,,0.42,40.32
2016-07-21,98,42.0,,0.42,41.16
2016-07-22,87,42.0,,0.42,36.54
2016-07-23,72,42.0,,0.42,30.24
2016-07-24,80,42.0,,0.42,33.6
2016-07-25,90,42.0,,0.42,37.8
2016-07-26,100,42.0,,0.42,42.0
2016-07-27,90,42.0,,0.42,37.8
2016-07-28,96,42.0,,0.42,40.32
2016-07-29,83,42.0,,0.42,34.86
2016-07-30,76,42.0,,0.42,31.919999999999998
2016-07-31,86,42.0,,0.42,36.12
2016-08-01,67,45.0,False,0.45,30.150000000000002
2016-08-02,69,45.0,,0.45,31.05
2016-08-03,68,45.0,,0.45,30.6
2016-08-04,68,45.0,,0.45,30.6
2016-08-05,64,45.0,,0.45,28.8
2016-08-06,62,45.0,,0.45,27.900000000000002
2016-08-07,57,45.0,,0.45,25.650000000000002
2016-08-08,61,45.0,,0.45,27.45
2016-08-09,64,45.0,,0.45,28.8
2016-08-10,63,45.0,,0.45,28.35
2016-08-11,70,45.0,,0.45,31.5
2016-08-12,60,45.0,,0.45,27.0
2016-08-13,64,45.0,,0.45,28.8
2016-08-14,65,45.0,,0.45,29.25
2016-08-15,63,45.0,,0.45,28.35
2016-08-16,70,45.0,,0.45,31.5
2016-08-17,64,45.0,,0.45,28.8
2016-08-18,69,45.0,,0.45,31.05
2016-08-19,63,45.0,,0.45,28.35
2016-08-20,54,45.0,,0.45,24.3
2016-08-21,69,45.0,,0.45,31.05
2016-08-22,69,45.0,,0.45,31.05
2016-08-23,74,45.0,,0.45,33.300000000000004
2016-08-24,79,45.0,,0.45,35.550000000000004
2016-08-25,80,45.0,,0.45,36.0
2016-08-26,74,45.0,,0.45,33.300000000000004
2016-08-27,66,45.0,,0.45,29.7
2016-08-28,78,45.0,,0.45,35.1
