date,SNAP_unscaled,SNAP_monthly,isPartial,scale,SNAP
2016-05-01,90,57.0,False,0.57,51.3
2016-05-02,94,57.0,,0.57,53.58
2016-05-03,97,57.0,,0.57,55.28999999999999
2016-05-04,92,57.0,,0.57,52.44
2016-05-05,92,57.0,,0.57,52.44
2016-05-06,100,57.0,,0.57,56.99999999999999
2016-05-07,82,57.0,,0.57,46.739999999999995
2016-05-08,77,57.0,,0.57,43.88999999999999
2016-05-09,100,57.0,,0.57,56.99999999999999
2016-05-10,97,57.0,,0.57,55.28999999999999
2016-05-11,96,57.0,,0.57,54.72
2016-05-12,96,57.0,,0.57,54.72
2016-05-13,90,57.0,,0.57,51.3
2016-05-14,86,57.0,,0.57,49.019999999999996
2016-05-15,94,57.0,,0.57,53.58
2016-05-16,93,57.0,,0.57,53.01
2016-05-17,97,57.0,,0.57,55.28999999999999
2016-05-18,94,57.0,,0.57,53.58
2016-05-19,95,57.0,,0.57,54.15
2016-05-20,92,57.0,,0.57,52.44
2016-05-21,95,57.0,,0.57,54.15
2016-05-22,97,57.0,,0.57,55.28999999999999
2016-05-23,98,57.0,,0.57,55.85999999999999
2016-05-24,100,57.0,,0.57,56.99999999999999
2016-05-25,100,57.0,,0.57,56.99999999999999
2016-05-26,95,57.0,,0.57,54.15
2016-05-27,96,57.0,,0.57,54.72
2016-05-28,83,57.0,,0.57,47.309999999999995
2016-05-29,81,57.0,,0.57,46.169999999999995
2016-05-30,83,57.0,,0.57,47.309999999999995
2016-05-31,95,57.0,,0.57,54.15
2016-06-01,89,59.0,False,0.59,52.51
2016-06-02,88,59.0,,0.59,51.919999999999995
2016-06-03,85,59.0,,0.59,50.15
2016-06-04,86,59.0,,0.59,50.739999999999995
2016-06-05,88,59.0,,0.59,51.919999999999995
2016-06-06,89,59.0,,0.59,52.51
2016-06-07,86,59.0,,0.59,50.739999999999995
2016-06-08,87,59.0,,0.59,51.33
2016-06-09,84,59.0,,0.59,49.559999999999995
2016-06-10,92,59.0,,0.59,54.279999999999994
2016-06-11,85,59.0,,0.59,50.15
2016-06-12,76,59.0,,0.59,44.839999999999996
2016-06-13,89,59.0,,0.59,52.51
2016-06-14,94,59.0,,0.59,55.459999999999994
2016-06-15,88,59.0,,0.59,51.919999999999995
2016-06-16,92,59.0,,0.59,54.279999999999994
2016-06-17,85,59.0,,0.59,50.15
2016-06-18,77,59.0,,0.59,45.43
2016-06-19,75,59.0,,0.59,44.25
2016-06-20,84,59.0,,0.59,49.559999999999995
2016-06-21,92,59.0,,0.59,54.279999999999994
2016-06-22,88,59.0,,0.59,51.919999999999995
2016-06-23,86,59.0,,0.59,50.739999999999995
2016-06-24,78,59.0,,0.59,46.019999999999996
2016-06-25,81,59.0,,0.59,47.79
2016-06-26,91,59.0,,0.59,53.69
2016-06-27,91,59.0,,0.59,53.69
2016-06-28,100,59.0,,0.59,59.0
2016-06-29,96,59.0,,0.59,56.64
2016-06-30,91,59.0,,0.59,53.69
2016-07-01,91,59.0,False,0.59,53.69
2016-07-02,79,59.0,,0.59,46.61
2016-07-03,85,59.0,,0.59,50.15
2016-07-04,89,59.0,,0.59,52.51
2016-07-05,90,59.0,,0.59,53.099999999999994
2016-07-06,95,59.0,,0.59,56.05
2016-07-07,93,59.0,,0.59,54.87
2016-07-08,87,59.0,,0.59,51.33
2016-07-09,85,59.0,,0.59,50.15
2016-07-10,81,59.0,,0.59,47.79
2016-07-11,97,59.0,,0.59,57.23
2016-07-12,95,59.0,,0.59,56.05
2016-07-13,92,59.0,,0.59,54.279999999999994
2016-07-14,90,59.0,,0.59,53.099999999999994
2016-07-15,88,59.0,,0.59,51.919999999999995
2016-07-16,83,59.0,,0.59,48.97
2016-07-17,89,59.0,,0.59,52.51
2016-07-18,98,59.0,,0.59,57.82
2016-07-19,94,59.0,,0.59,55.459999999999994
2016-07-20,100,59.0,,0.59,59.0
2016-07-21,91,59.0,,0.59,53.69
2016-07-22,89,59.0,,0.59,52.51
2016-07-23,80,59.0,,0.59,47.199999999999996
2016-07-24,77,59.0,,0.59,45.43
2016-07-25,90,59.0,,0.59,53.099999999999994
2016-07-26,98,59.0,,0.59,57.82
2016-07-27,89,59.0,,0.59,52.51
2016-07-28,84,59.0,,0.59,49.559999999999995
2016-07-29,83,59.0,,0.59,48.97
2016-07-30,80,59.0,,0.59,47.199999999999996
2016-07-31,94,59.0,,0.59,55.459999999999994
2016-08-01,98,57.0,False,0.57,55.85999999999999
2016-08-02,97,57.0,,0.57,55.28999999999999
2016-08-03,100,57.0,,0.57,56.99999999999999
2016-08-04,83,57.0,,0.57,47.309999999999995
2016-08-05,88,57.0,,0.57,50.16
2016-08-06,69,57.0,,0.57,39.33
2016-08-07,75,57.0,,0.57,42.74999999999999
2016-08-08,89,57.0,,0.57,50.73
2016-08-09,89,57.0,,0.57,50.73
2016-08-10,80,57.0,,0.57,45.599999999999994
2016-08-11,84,57.0,,0.57,47.879999999999995
2016-08-12,88,57.0,,0.57,50.16
2016-08-13,76,57.0,,0.57,43.31999999999999
2016-08-14,70,57.0,,0.57,39.9
2016-08-15,77,57.0,,0.57,43.88999999999999
2016-08-16,87,57.0,,0.57,49.589999999999996
2016-08-17,84,57.0,,0.57,47.879999999999995
2016-08-18,84,57.0,,0.57,47.879999999999995
2016-08-19,85,57.0,,0.57,48.449999999999996
2016-08-20,79,57.0,,0.57,45.029999999999994
2016-08-21,76,57.0,,0.57,43.31999999999999
2016-08-22,79,57.0,,0.57,45.029999999999994
2016-08-23,81,57.0,,0.57,46.169999999999995
2016-08-24,82,57.0,,0.57,46.739999999999995
2016-08-25,81,57.0,,0.57,46.169999999999995
2016-08-26,83,57.0,,0.57,47.309999999999995
2016-08-27,82,57.0,,0.57,46.739999999999995
2016-08-28,72,57.0,,0.57,41.04
2016-08-29,86,57.0,,0.57,49.019999999999996
2016-08-30,77,57.0,,0.57,43.88999999999999
2016-08-31,81,57.0,,0.57,46.169999999999995
2016-09-01,91,57.0,False,0.57,51.87
2016-09-02,92,57.0,,0.57,52.44
2016-09-03,78,57.0,,0.57,44.459999999999994
2016-09-04,83,57.0,,0.57,47.309999999999995
2016-09-05,87,57.0,,0.57,49.589999999999996
2016-09-06,96,57.0,,0.57,54.72
2016-09-07,90,57.0,,0.57,51.3
2016-09-08,91,57.0,,0.57,51.87
2016-09-09,91,57.0,,0.57,51.87
2016-09-10,91,57.0,,0.57,51.87
2016-09-11,76,57.0,,0.57,43.31999999999999
2016-09-12,93,57.0,,0.57,53.01
2016-09-13,85,57.0,,0.57,48.449999999999996
2016-09-14,94,57.0,,0.57,53.58
2016-09-15,94,57.0,,0.57,53.58
2016-09-16,84,57.0,,0.57,47.879999999999995
2016-09-17,88,57.0,,0.57,50.16
2016-09-18,82,57.0,,0.57,46.739999999999995
2016-09-19,89,57.0,,0.57,50.73
2016-09-20,92,57.0,,0.57,52.44
2016-09-21,89,57.0,,0.57,50.73
2016-09-22,85,57.0,,0.57,48.449999999999996
2016-09-23,87,57.0,,0.57,49.589999999999996
2016-09-24,82,57.0,,0.57,46.739999999999995
2016-09-25,93,57.0,,0.57,53.01
2016-09-26,100,57.0,,0.57,56.99999999999999
2016-09-27,98,57.0,,0.57,55.85999999999999
2016-09-28,96,57.0,,0.57,54.72
2016-09-29,90,57.0,,0.57,51.3
2016-09-30,91,57.0,,0.57,51.87
2016-10-01,89,56.0,False,0.56,49.84
2016-10-02,88,56.0,,0.56,49.28
2016-10-03,90,56.0,,0.56,50.400000000000006
2016-10-04,88,56.0,,0.56,49.28
2016-10-05,89,56.0,,0.56,49.84
2016-10-06,83,56.0,,0.56,46.480000000000004
2016-10-07,82,56.0,,0.56,45.92
2016-10-08,75,56.0,,0.56,42.00000000000001
2016-10-09,77,56.0,,0.56,43.120000000000005
2016-10-10,92,56.0,,0.56,51.52
2016-10-11,97,56.0,,0.56,54.32000000000001
2016-10-12,100,56.0,,0.56,56.00000000000001
2016-10-13,88,56.0,,0.56,49.28
2016-10-14,87,56.0,,0.56,48.720000000000006
2016-10-15,81,56.0,,0.56,45.36000000000001
2016-10-16,83,56.0,,0.56,46.480000000000004
2016-10-17,89,56.0,,0.56,49.84
2016-10-18,87,56.0,,0.56,48.720000000000006
2016-10-19,87,56.0,,0.56,48.720000000000006
2016-10-20,88,56.0,,0.56,49.28
2016-10-21,87,56.0,,0.56,48.720000000000006
2016-10-22,76,56.0,,0.56,42.56
2016-10-23,76,56.0,,0.56,42.56
2016-10-24,90,56.0,,0.56,50.400000000000006
2016-10-25,90,56.0,,0.56,50.400000000000006
2016-10-26,83,56.0,,0.56,46.480000000000004
2016-10-27,91,56.0,,0.56,50.96000000000001
2016-10-28,91,56.0,,0.56,50.96000000000001
2016-10-29,74,56.0,,0.56,41.440000000000005
2016-10-30,83,56.0,,0.56,46.480000000000004
2016-10-31,87,56.0,,0.56,48.720000000000006
2016-11-01,87,57.0,False,0.57,49.589999999999996
2016-11-02,98,57.0,,0.57,55.85999999999999
2016-11-03,82,57.0,,0.57,46.739999999999995
2016-11-04,87,57.0,,0.57,49.589999999999996
2016-11-05,84,57.0,,0.57,47.879999999999995
2016-11-06,80,57.0,,0.57,45.599999999999994
2016-11-07,82,57.0,,0.57,46.739999999999995
2016-11-08,82,57.0,,0.57,46.739999999999995
2016-11-09,64,57.0,,0.57,36.48
2016-11-10,82,57.0,,0.57,46.739999999999995
2016-11-11,86,57.0,,0.57,49.019999999999996
2016-11-12,76,57.0,,0.57,43.31999999999999
2016-11-13,84,57.0,,0.57,47.879999999999995
2016-11-14,86,57.0,,0.57,49.019999999999996
2016-11-15,91,57.0,,0.57,51.87
2016-11-16,90,57.0,,0.57,51.3
2016-11-17,91,57.0,,0.57,51.87
2016-11-18,84,57.0,,0.57,47.879999999999995
2016-11-19,88,57.0,,0.57,50.16
2016-11-20,87,57.0,,0.57,49.589999999999996
2016-11-21,88,57.0,,0.57,50.16
2016-11-22,95,57.0,,0.57,54.15
2016-11-23,93,57.0,,0.57,53.01
2016-11-24,89,57.0,,0.57,50.73
2016-11-25,88,57.0,,0.57,50.16
2016-11-26,89,57.0,,0.57,50.73
2016-11-27,91,57.0,,0.57,51.87
2016-11-28,92,57.0,,0.57,52.44
2016-11-29,97,57.0,,0.57,55.28999999999999
2016-11-30,100,57.0,,0.57,56.99999999999999
2016-12-01,84,62.0,False,0.62,52.08
2016-12-02,77,62.0,,0.62,47.74
2016-12-03,78,62.0,,0.62,48.36
2016-12-04,80,62.0,,0.62,49.6
2016-12-05,82,62.0,,0.62,50.839999999999996
2016-12-06,83,62.0,,0.62,51.46
2016-12-07,79,62.0,,0.62,48.98
2016-12-08,84,62.0,,0.62,52.08
2016-12-09,74,62.0,,0.62,45.88
2016-12-10,79,62.0,,0.62,48.98
2016-12-11,78,62.0,,0.62,48.36
2016-12-12,82,62.0,,0.62,50.839999999999996
2016-12-13,80,62.0,,0.62,49.6
2016-12-14,83,62.0,,0.62,51.46
2016-12-15,74,62.0,,0.62,45.88
2016-12-16,73,62.0,,0.62,45.26
2016-12-17,82,62.0,,0.62,50.839999999999996
2016-12-18,81,62.0,,0.62,50.22
2016-12-19,84,62.0,,0.62,52.08
2016-12-20,79,62.0,,0.62,48.98
2016-12-21,86,62.0,,0.62,53.32
2016-12-22,77,62.0,,0.62,47.74
2016-12-23,78,62.0,,0.62,48.36
2016-12-24,76,62.0,,0.62,47.12
2016-12-25,90,62.0,,0.62,55.8
2016-12-26,80,62.0,,0.62,49.6
2016-12-27,82,62.0,,0.62,50.839999999999996
2016-12-28,81,62.0,,0.62,50.22
2016-12-29,100,62.0,,0.62,62.0
2016-12-30,85,62.0,,0.62,52.7
2016-12-31,68,62.0,,0.62,42.16
2017-01-01,89,61.0,False,0.61,54.29
2017-01-02,85,61.0,,0.61,51.85
2017-01-03,96,61.0,,0.61,58.56
2017-01-04,96,61.0,,0.61,58.56
2017-01-05,100,61.0,,0.61,61.0
2017-01-06,93,61.0,,0.61,56.73
2017-01-07,83,61.0,,0.61,50.629999999999995
2017-01-08,82,61.0,,0.61,50.019999999999996
2017-01-09,91,61.0,,0.61,55.51
2017-01-10,89,61.0,,0.61,54.29
2017-01-11,91,61.0,,0.61,55.51
2017-01-12,86,61.0,,0.61,52.46
2017-01-13,84,61.0,,0.61,51.24
2017-01-14,79,61.0,,0.61,48.19
2017-01-15,83,61.0,,0.61,50.629999999999995
2017-01-16,88,61.0,,0.61,53.68
2017-01-17,84,61.0,,0.61,51.24
2017-01-18,88,61.0,,0.61,53.68
2017-01-19,87,61.0,,0.61,53.07
2017-01-20,82,61.0,,0.61,50.019999999999996
2017-01-21,80,61.0,,0.61,48.8
2017-01-22,75,61.0,,0.61,45.75
2017-01-23,85,61.0,,0.61,51.85
2017-01-24,91,61.0,,0.61,55.51
2017-01-25,87,61.0,,0.61,53.07
2017-01-26,87,61.0,,0.61,53.07
2017-01-27,83,61.0,,0.61,50.629999999999995
