date,ME_unscaled,ME_monthly,isPartial,scale,ME
2016-05-01,81,33.0,False,0.33,26.73
2016-05-02,63,33.0,,0.33,20.790000000000003
2016-05-03,61,33.0,,0.33,20.130000000000003
2016-05-04,62,33.0,,0.33,20.46
2016-05-05,64,33.0,,0.33,21.12
2016-05-06,70,33.0,,0.33,23.1
2016-05-07,88,33.0,,0.33,29.040000000000003
2016-05-08,83,33.0,,0.33,27.39
2016-05-09,65,33.0,,0.33,21.45
2016-05-10,61,33.0,,0.33,20.130000000000003
2016-05-11,64,33.0,,0.33,21.12
2016-05-12,65,33.0,,0.33,21.45
2016-05-13,71,33.0,,0.33,23.43
2016-05-14,94,33.0,,0.33,31.020000000000003
2016-05-15,87,33.0,,0.33,28.71
2016-05-16,68,33.0,,0.33,22.44
2016-05-17,65,33.0,,0.33,21.45
2016-05-18,65,33.0,,0.33,21.45
2016-05-19,67,33.0,,0.33,22.11
2016-05-20,71,33.0,,0.33,23.43
2016-05-21,94,33.0,,0.33,31.020000000000003
2016-05-22,88,33.0,,0.33,29.040000000000003
2016-05-23,70,33.0,,0.33,23.1
2016-05-24,65,33.0,,0.33,21.45
2016-05-25,65,33.0,,0.33,21.45
2016-05-26,69,33.0,,0.33,22.77
2016-05-27,80,33.0,,0.33,26.400000000000002
2016-05-28,100,33.0,,0.33,33.0
2016-05-29,99,33.0,,0.33,32.67
2016-05-30,91,33.0,,0.33,30.03
2016-05-31,72,33.0,,0.33,23.76
2016-06-01,69,38.0,False,0.38,26.22
2016-06-02,68,38.0,,0.38,25.84
2016-06-03,79,38.0,,0.38,30.02
2016-06-04,95,38.0,,0.38,36.1
2016-06-05,90,38.0,,0.38,34.2
2016-06-06,72,38.0,,0.38,27.36
2016-06-07,69,38.0,,0.38,26.22
2016-06-08,70,38.0,,0.38,26.6
2016-06-09,72,38.0,,0.38,27.36
2016-06-10,80,38.0,,0.38,30.4
2016-06-11,100,38.0,,0.38,38.0
2016-06-12,93,38.0,,0.38,35.34
2016-06-13,73,38.0,,0.38,27.740000000000002
