date,SLV_unscaled,SLV_monthly,isPartial,scale,SLV
2016-05-01,9,11.0,False,0.11,0.99
2016-05-02,100,11.0,,0.11,11.0
2016-05-03,66,11.0,,0.11,7.26
2016-05-04,58,11.0,,0.11,6.38
2016-05-05,66,11.0,,0.11,7.26
2016-05-06,81,11.0,,0.11,8.91
2016-05-07,46,11.0,,0.11,5.06
2016-05-08,22,11.0,,0.11,2.42
2016-05-09,70,11.0,,0.11,7.7
2016-05-10,66,11.0,,0.11,7.26
2016-05-11,62,11.0,,0.11,6.82
2016-05-12,33,11.0,,0.11,3.63
2016-05-13,73,11.0,,0.11,8.03
2016-05-14,22,11.0,,0.11,2.42
2016-05-15,19,11.0,,0.11,2.09
2016-05-16,64,11.0,,0.11,7.04
2016-05-17,77,11.0,,0.11,8.47
2016-05-18,73,11.0,,0.11,8.03
2016-05-19,79,11.0,,0.11,8.69
2016-05-20,98,11.0,,0.11,10.78
2016-05-21,44,11.0,,0.11,4.84
2016-05-22,21,11.0,,0.11,2.31
2016-05-23,56,11.0,,0.11,6.16
2016-05-24,84,11.0,,0.11,9.24
2016-05-25,57,11.0,,0.11,6.2700000000000005
2016-05-26,79,11.0,,0.11,8.69
2016-05-27,52,11.0,,0.11,5.72
2016-05-28,19,11.0,,0.11,2.09
2016-05-29,23,11.0,,0.11,2.53
2016-05-30,12,11.0,,0.11,1.32
2016-05-31,60,11.0,,0.11,6.6
2016-06-01,38,14.0,False,0.14,5.32
2016-06-02,42,14.0,,0.14,5.880000000000001
2016-06-03,48,14.0,,0.14,6.720000000000001
2016-06-04,18,14.0,,0.14,2.5200000000000005
2016-06-05,10,14.0,,0.14,1.4000000000000001
2016-06-06,50,14.0,,0.14,7.000000000000001
2016-06-07,33,14.0,,0.14,4.62
2016-06-08,45,14.0,,0.14,6.300000000000001
2016-06-09,62,14.0,,0.14,8.680000000000001
2016-06-10,67,14.0,,0.14,9.38
2016-06-11,18,14.0,,0.14,2.5200000000000005
2016-06-12,15,14.0,,0.14,2.1
2016-06-13,54,14.0,,0.14,7.5600000000000005
