date,REAL_unscaled,REAL_monthly,isPartial,scale,REAL
2016-05-01,58,100.0,False,1.0,58.0
2016-05-02,56,100.0,,1.0,56.0
2016-05-03,59,100.0,,1.0,59.0
2016-05-04,75,100.0,,1.0,75.0
2016-05-05,58,100.0,,1.0,58.0
2016-05-06,53,100.0,,1.0,53.0
2016-05-07,54,100.0,,1.0,54.0
2016-05-08,61,100.0,,1.0,61.0
2016-05-09,56,100.0,,1.0,56.0
2016-05-10,56,100.0,,1.0,56.0
2016-05-11,58,100.0,,1.0,58.0
2016-05-12,55,100.0,,1.0,55.0
2016-05-13,56,100.0,,1.0,56.0
2016-05-14,63,100.0,,1.0,63.0
2016-05-15,59,100.0,,1.0,59.0
2016-05-16,56,100.0,,1.0,56.0
2016-05-17,55,100.0,,1.0,55.0
2016-05-18,55,100.0,,1.0,55.0
2016-05-19,53,100.0,,1.0,53.0
2016-05-20,52,100.0,,1.0,52.0
2016-05-21,57,100.0,,1.0,57.0
2016-05-22,61,100.0,,1.0,61.0
2016-05-23,60,100.0,,1.0,60.0
2016-05-24,59,100.0,,1.0,59.0
2016-05-25,58,100.0,,1.0,58.0
2016-05-26,56,100.0,,1.0,56.0
2016-05-27,57,100.0,,1.0,57.0
2016-05-28,100,100.0,,1.0,100.0
2016-05-29,69,100.0,,1.0,69.0
2016-05-30,61,100.0,,1.0,61.0
2016-05-31,57,100.0,,1.0,57.0
2016-06-01,100,92.0,False,0.92,92.0
2016-06-02,97,92.0,,0.92,89.24000000000001
2016-06-03,95,92.0,,0.92,87.4
2016-06-04,97,92.0,,0.92,89.24000000000001
2016-06-05,100,92.0,,0.92,92.0
2016-06-06,95,92.0,,0.92,87.4
2016-06-07,92,92.0,,0.92,84.64
2016-06-08,92,92.0,,0.92,84.64
2016-06-09,92,92.0,,0.92,84.64
2016-06-10,93,92.0,,0.92,85.56
2016-06-11,87,92.0,,0.92,80.04
2016-06-12,95,92.0,,0.92,87.4
2016-06-13,90,92.0,,0.92,82.8
2016-06-14,87,92.0,,0.92,80.04
2016-06-15,91,92.0,,0.92,83.72
2016-06-16,93,92.0,,0.92,85.56
2016-06-17,88,92.0,,0.92,80.96000000000001
2016-06-18,88,92.0,,0.92,80.96000000000001
2016-06-19,89,92.0,,0.92,81.88000000000001
2016-06-20,94,92.0,,0.92,86.48
2016-06-21,98,92.0,,0.92,90.16000000000001
2016-06-22,95,92.0,,0.92,87.4
2016-06-23,94,92.0,,0.92,86.48
2016-06-24,91,92.0,,0.92,83.72
2016-06-25,90,92.0,,0.92,82.8
2016-06-26,96,92.0,,0.92,88.32000000000001
2016-06-27,97,92.0,,0.92,89.24000000000001
2016-06-28,98,92.0,,0.92,90.16000000000001
2016-06-29,95,92.0,,0.92,87.4
2016-06-30,97,92.0,,0.92,89.24000000000001
2016-07-01,87,91.0,False,0.91,79.17
2016-07-02,86,91.0,,0.91,78.26
2016-07-03,90,91.0,,0.91,81.9
2016-07-04,95,91.0,,0.91,86.45
2016-07-05,91,91.0,,0.91,82.81
2016-07-06,97,91.0,,0.91,88.27
2016-07-07,92,91.0,,0.91,83.72
2016-07-08,90,91.0,,0.91,81.9
2016-07-09,90,91.0,,0.91,81.9
2016-07-10,96,91.0,,0.91,87.36
2016-07-11,95,91.0,,0.91,86.45
2016-07-12,92,91.0,,0.91,83.72
2016-07-13,92,91.0,,0.91,83.72
2016-07-14,90,91.0,,0.91,81.9
2016-07-15,86,91.0,,0.91,78.26
2016-07-16,89,91.0,,0.91,80.99000000000001
2016-07-17,95,91.0,,0.91,86.45
2016-07-18,95,91.0,,0.91,86.45
2016-07-19,96,91.0,,0.91,87.36
2016-07-20,93,91.0,,0.91,84.63000000000001
2016-07-21,92,91.0,,0.91,83.72
2016-07-22,93,91.0,,0.91,84.63000000000001
2016-07-23,93,91.0,,0.91,84.63000000000001
2016-07-24,92,91.0,,0.91,83.72
2016-07-25,95,91.0,,0.91,86.45
2016-07-26,93,91.0,,0.91,84.63000000000001
2016-07-27,95,91.0,,0.91,86.45
2016-07-28,99,91.0,,0.91,90.09
2016-07-29,94,91.0,,0.91,85.54
2016-07-30,100,91.0,,0.91,91.0
2016-07-31,98,91.0,,0.91,89.18
2016-08-01,95,87.0,False,0.87,82.65
2016-08-02,94,87.0,,0.87,81.78
2016-08-03,97,87.0,,0.87,84.39
2016-08-04,96,87.0,,0.87,83.52
2016-08-05,88,87.0,,0.87,76.56
2016-08-06,85,87.0,,0.87,73.95
2016-08-07,90,87.0,,0.87,78.3
2016-08-08,88,87.0,,0.87,76.56
2016-08-09,94,87.0,,0.87,81.78
2016-08-10,90,87.0,,0.87,78.3
2016-08-11,86,87.0,,0.87,74.82
2016-08-12,82,87.0,,0.87,71.34
2016-08-13,85,87.0,,0.87,73.95
2016-08-14,88,87.0,,0.87,76.56
2016-08-15,90,87.0,,0.87,78.3
2016-08-16,89,87.0,,0.87,77.42999999999999
2016-08-17,88,87.0,,0.87,76.56
2016-08-18,83,87.0,,0.87,72.21
2016-08-19,81,87.0,,0.87,70.47
2016-08-20,88,87.0,,0.87,76.56
2016-08-21,100,87.0,,0.87,87.0
2016-08-22,87,87.0,,0.87,75.69
2016-08-23,88,87.0,,0.87,76.56
2016-08-24,88,87.0,,0.87,76.56
2016-08-25,89,87.0,,0.87,77.42999999999999
2016-08-26,86,87.0,,0.87,74.82
2016-08-27,96,87.0,,0.87,83.52
2016-08-28,96,87.0,,0.87,83.52
2016-08-29,89,87.0,,0.87,77.42999999999999
2016-08-30,88,87.0,,0.87,76.56
2016-08-31,86,87.0,,0.87,74.82
2016-09-01,85,86.0,False,0.86,73.1
2016-09-02,83,86.0,,0.86,71.38
2016-09-03,82,86.0,,0.86,70.52
2016-09-04,92,86.0,,0.86,79.12
2016-09-05,96,86.0,,0.86,82.56
2016-09-06,93,86.0,,0.86,79.98
2016-09-07,87,86.0,,0.86,74.82
2016-09-08,86,86.0,,0.86,73.96
2016-09-09,84,86.0,,0.86,72.24
2016-09-10,94,86.0,,0.86,80.84
2016-09-11,89,86.0,,0.86,76.53999999999999
2016-09-12,88,86.0,,0.86,75.67999999999999
2016-09-13,90,86.0,,0.86,77.4
2016-09-14,99,86.0,,0.86,85.14
2016-09-15,92,86.0,,0.86,79.12
2016-09-16,86,86.0,,0.86,73.96
2016-09-17,87,86.0,,0.86,74.82
2016-09-18,95,86.0,,0.86,81.7
2016-09-19,89,86.0,,0.86,76.53999999999999
2016-09-20,87,86.0,,0.86,74.82
2016-09-21,96,86.0,,0.86,82.56
2016-09-22,83,86.0,,0.86,71.38
2016-09-23,84,86.0,,0.86,72.24
2016-09-24,91,86.0,,0.86,78.26
2016-09-25,89,86.0,,0.86,76.53999999999999
2016-09-26,87,86.0,,0.86,74.82
2016-09-27,100,86.0,,0.86,86.0
2016-09-28,90,86.0,,0.86,77.4
2016-09-29,87,86.0,,0.86,74.82
2016-09-30,84,86.0,,0.86,72.24
2016-10-01,83,86.0,False,0.86,71.38
2016-10-02,94,86.0,,0.86,80.84
2016-10-03,88,86.0,,0.86,75.67999999999999
2016-10-04,88,86.0,,0.86,75.67999999999999
2016-10-05,85,86.0,,0.86,73.1
2016-10-06,81,86.0,,0.86,69.66
2016-10-07,78,86.0,,0.86,67.08
2016-10-08,82,86.0,,0.86,70.52
2016-10-09,80,86.0,,0.86,68.8
2016-10-10,84,86.0,,0.86,72.24
2016-10-11,87,86.0,,0.86,74.82
2016-10-12,88,86.0,,0.86,75.67999999999999
2016-10-13,85,86.0,,0.86,73.1
2016-10-14,85,86.0,,0.86,73.1
2016-10-15,94,86.0,,0.86,80.84
2016-10-16,87,86.0,,0.86,74.82
2016-10-17,88,86.0,,0.86,75.67999999999999
2016-10-18,94,86.0,,0.86,80.84
2016-10-19,86,86.0,,0.86,73.96
2016-10-20,84,86.0,,0.86,72.24
2016-10-21,85,86.0,,0.86,73.1
2016-10-22,89,86.0,,0.86,76.53999999999999
2016-10-23,100,86.0,,0.86,86.0
2016-10-24,90,86.0,,0.86,77.4
2016-10-25,88,86.0,,0.86,75.67999999999999
2016-10-26,93,86.0,,0.86,79.98
2016-10-27,89,86.0,,0.86,76.53999999999999
2016-10-28,85,86.0,,0.86,73.1
2016-10-29,92,86.0,,0.86,79.12
2016-10-30,92,86.0,,0.86,79.12
2016-10-31,89,86.0,,0.86,76.53999999999999
2016-11-01,81,87.0,False,0.87,70.47
2016-11-02,90,87.0,,0.87,78.3
2016-11-03,83,87.0,,0.87,72.21
2016-11-04,84,87.0,,0.87,73.08
2016-11-05,89,87.0,,0.87,77.42999999999999
2016-11-06,100,87.0,,0.87,87.0
2016-11-07,90,87.0,,0.87,78.3
2016-11-08,91,87.0,,0.87,79.17
2016-11-09,77,87.0,,0.87,66.99
2016-11-10,74,87.0,,0.87,64.38
2016-11-11,74,87.0,,0.87,64.38
2016-11-12,74,87.0,,0.87,64.38
2016-11-13,79,87.0,,0.87,68.73
2016-11-14,78,87.0,,0.87,67.86
2016-11-15,76,87.0,,0.87,66.12
2016-11-16,76,87.0,,0.87,66.12
2016-11-17,74,87.0,,0.87,64.38
2016-11-18,72,87.0,,0.87,62.64
2016-11-19,90,87.0,,0.87,78.3
2016-11-20,80,87.0,,0.87,69.6
2016-11-21,76,87.0,,0.87,66.12
2016-11-22,81,87.0,,0.87,70.47
2016-11-23,75,87.0,,0.87,65.25
2016-11-24,67,87.0,,0.87,58.29
2016-11-25,69,87.0,,0.87,60.03
2016-11-26,84,87.0,,0.87,73.08
2016-11-27,87,87.0,,0.87,75.69
2016-11-28,75,87.0,,0.87,65.25
2016-11-29,77,87.0,,0.87,66.99
2016-11-30,82,87.0,,0.87,71.34
2016-12-01,62,88.0,False,0.88,54.56
2016-12-02,62,88.0,,0.88,54.56
2016-12-03,100,88.0,,0.88,88.0
2016-12-04,68,88.0,,0.88,59.84
2016-12-05,63,88.0,,0.88,55.44
2016-12-06,61,88.0,,0.88,53.68
2016-12-07,70,88.0,,0.88,61.6
2016-12-08,63,88.0,,0.88,55.44
2016-12-09,57,88.0,,0.88,50.160000000000004
2016-12-10,68,88.0,,0.88,59.84
2016-12-11,67,88.0,,0.88,58.96
2016-12-12,63,88.0,,0.88,55.44
2016-12-13,62,88.0,,0.88,54.56
2016-12-14,67,88.0,,0.88,58.96
2016-12-15,85,88.0,,0.88,74.8
2016-12-16,60,88.0,,0.88,52.8
2016-12-17,62,88.0,,0.88,54.56
2016-12-18,69,88.0,,0.88,60.72
2016-12-19,62,88.0,,0.88,54.56
2016-12-20,60,88.0,,0.88,52.8
2016-12-21,61,88.0,,0.88,53.68
2016-12-22,59,88.0,,0.88,51.92
2016-12-23,57,88.0,,0.88,50.160000000000004
2016-12-24,58,88.0,,0.88,51.04
2016-12-25,58,88.0,,0.88,51.04
2016-12-26,57,88.0,,0.88,50.160000000000004
2016-12-27,61,88.0,,0.88,53.68
2016-12-28,64,88.0,,0.88,56.32
2016-12-29,61,88.0,,0.88,53.68
2016-12-30,61,88.0,,0.88,53.68
2016-12-31,57,88.0,,0.88,50.160000000000004
2017-01-01,78,90.0,False,0.9,70.2
2017-01-02,87,90.0,,0.9,78.3
2017-01-03,81,90.0,,0.9,72.9
2017-01-04,88,90.0,,0.9,79.2
2017-01-05,87,90.0,,0.9,78.3
2017-01-06,80,90.0,,0.9,72.0
2017-01-07,88,90.0,,0.9,79.2
2017-01-08,84,90.0,,0.9,75.60000000000001
2017-01-09,81,90.0,,0.9,72.9
2017-01-10,80,90.0,,0.9,72.0
2017-01-11,82,90.0,,0.9,73.8
2017-01-12,90,90.0,,0.9,81.0
2017-01-13,82,90.0,,0.9,73.8
2017-01-14,87,90.0,,0.9,78.3
2017-01-15,94,90.0,,0.9,84.60000000000001
2017-01-16,88,90.0,,0.9,79.2
2017-01-17,85,90.0,,0.9,76.5
2017-01-18,92,90.0,,0.9,82.8
2017-01-19,87,90.0,,0.9,78.3
2017-01-20,78,90.0,,0.9,70.2
2017-01-21,88,90.0,,0.9,79.2
2017-01-22,89,90.0,,0.9,80.10000000000001
2017-01-23,85,90.0,,0.9,76.5
2017-01-24,84,90.0,,0.9,75.60000000000001
2017-01-25,92,90.0,,0.9,82.8
2017-01-26,84,90.0,,0.9,75.60000000000001
2017-01-27,81,90.0,,0.9,72.9
2017-01-28,84,90.0,,0.9,75.60000000000001
2017-01-29,100,90.0,,0.9,90.0
2017-01-30,81,90.0,,0.9,72.9
2017-01-31,83,90.0,,0.9,74.7
2017-02-01,81,87.0,False,0.87,70.47
2017-02-02,82,87.0,,0.87,71.34
2017-02-03,81,87.0,,0.87,70.47
2017-02-04,85,87.0,,0.87,73.95
2017-02-05,92,87.0,,0.87,80.04
2017-02-06,86,87.0,,0.87,74.82
2017-02-07,84,87.0,,0.87,73.08
2017-02-08,85,87.0,,0.87,73.95
2017-02-09,81,87.0,,0.87,70.47
2017-02-10,78,87.0,,0.87,67.86
2017-02-11,95,87.0,,0.87,82.65
2017-02-12,87,87.0,,0.87,75.69
2017-02-13,84,87.0,,0.87,73.08
2017-02-14,78,87.0,,0.87,67.86
2017-02-15,100,87.0,,0.87,87.0
2017-02-16,83,87.0,,0.87,72.21
2017-02-17,79,87.0,,0.87,68.73
2017-02-18,92,87.0,,0.87,80.04
2017-02-19,86,87.0,,0.87,74.82
2017-02-20,85,87.0,,0.87,73.95
2017-02-21,84,87.0,,0.87,73.08
2017-02-22,95,87.0,,0.87,82.65
2017-02-23,82,87.0,,0.87,71.34
2017-02-24,79,87.0,,0.87,68.73
2017-02-25,82,87.0,,0.87,71.34
2017-02-26,96,87.0,,0.87,83.52
2017-02-27,82,87.0,,0.87,71.34
2017-02-28,82,87.0,,0.87,71.34
2017-03-01,90,87.0,False,0.87,78.3
2017-03-02,84,87.0,,0.87,73.08
2017-03-03,82,87.0,,0.87,71.34
2017-03-04,93,87.0,,0.87,80.91
2017-03-05,87,87.0,,0.87,75.69
2017-03-06,84,87.0,,0.87,73.08
2017-03-07,98,87.0,,0.87,85.26
2017-03-08,85,87.0,,0.87,73.95
2017-03-09,82,87.0,,0.87,71.34
2017-03-10,80,87.0,,0.87,69.6
2017-03-11,84,87.0,,0.87,73.08
2017-03-12,100,87.0,,0.87,87.0
2017-03-13,88,87.0,,0.87,76.56
2017-03-14,80,87.0,,0.87,69.6
2017-03-15,83,87.0,,0.87,72.21
2017-03-16,82,87.0,,0.87,71.34
2017-03-17,83,87.0,,0.87,72.21
2017-03-18,92,87.0,,0.87,80.04
2017-03-19,87,87.0,,0.87,75.69
2017-03-20,86,87.0,,0.87,74.82
2017-03-21,84,87.0,,0.87,73.08
2017-03-22,86,87.0,,0.87,74.82
2017-03-23,83,87.0,,0.87,72.21
2017-03-24,79,87.0,,0.87,68.73
2017-03-25,79,87.0,,0.87,68.73
2017-03-26,85,87.0,,0.87,73.95
2017-03-27,81,87.0,,0.87,70.47
2017-03-28,82,87.0,,0.87,71.34
2017-03-29,82,87.0,,0.87,71.34
2017-03-30,82,87.0,,0.87,71.34
2017-03-31,77,87.0,,0.87,66.99
2017-04-01,51,94.0,False,0.94,47.94
2017-04-02,58,94.0,,0.94,54.519999999999996
2017-04-03,51,94.0,,0.94,47.94
2017-04-04,52,94.0,,0.94,48.879999999999995
2017-04-05,55,94.0,,0.94,51.699999999999996
2017-04-06,51,94.0,,0.94,47.94
2017-04-07,47,94.0,,0.94,44.18
2017-04-08,61,94.0,,0.94,57.339999999999996
2017-04-09,52,94.0,,0.94,48.879999999999995
2017-04-10,52,94.0,,0.94,48.879999999999995
2017-04-11,51,94.0,,0.94,47.94
2017-04-12,69,94.0,,0.94,64.86
2017-04-13,51,94.0,,0.94,47.94
2017-04-14,48,94.0,,0.94,45.12
2017-04-15,57,94.0,,0.94,53.58
2017-04-16,55,94.0,,0.94,51.699999999999996
2017-04-17,54,94.0,,0.94,50.76
2017-04-18,76,94.0,,0.94,71.44
2017-04-19,57,94.0,,0.94,53.58
2017-04-20,51,94.0,,0.94,47.94
2017-04-21,51,94.0,,0.94,47.94
2017-04-22,54,94.0,,0.94,50.76
2017-04-23,100,94.0,,0.94,94.0
2017-04-24,61,94.0,,0.94,57.339999999999996
2017-04-25,52,94.0,,0.94,48.879999999999995
2017-04-26,58,94.0,,0.94,54.519999999999996
2017-04-27,50,94.0,,0.94,47.0
2017-04-28,46,94.0,,0.94,43.239999999999995
2017-04-29,56,94.0,,0.94,52.64
2017-04-30,53,94.0,,0.94,49.82
2017-05-01,75,90.0,False,0.9,67.5
2017-05-02,97,90.0,,0.9,87.3
2017-05-03,75,90.0,,0.9,67.5
2017-05-04,72,90.0,,0.9,64.8
2017-05-05,71,90.0,,0.9,63.9
2017-05-06,84,90.0,,0.9,75.60000000000001
2017-05-07,77,90.0,,0.9,69.3
2017-05-08,78,90.0,,0.9,70.2
2017-05-09,77,90.0,,0.9,69.3
2017-05-10,97,90.0,,0.9,87.3
2017-05-11,75,90.0,,0.9,67.5
2017-05-12,70,90.0,,0.9,63.0
2017-05-13,75,90.0,,0.9,67.5
2017-05-14,89,90.0,,0.9,80.10000000000001
2017-05-15,75,90.0,,0.9,67.5
2017-05-16,72,90.0,,0.9,64.8
2017-05-17,88,90.0,,0.9,79.2
2017-05-18,72,90.0,,0.9,64.8
2017-05-19,68,90.0,,0.9,61.2
2017-05-20,73,90.0,,0.9,65.7
2017-05-21,100,90.0,,0.9,90.0
2017-05-22,77,90.0,,0.9,69.3
2017-05-23,71,90.0,,0.9,63.9
2017-05-24,68,90.0,,0.9,61.2
2017-05-25,69,90.0,,0.9,62.1
2017-05-26,68,90.0,,0.9,61.2
2017-05-27,72,90.0,,0.9,64.8
2017-05-28,72,90.0,,0.9,64.8
2017-05-29,78,90.0,,0.9,70.2
2017-05-30,78,90.0,,0.9,70.2
2017-05-31,77,90.0,,0.9,69.3
2017-06-01,54,92.0,False,0.92,49.68
2017-06-02,53,92.0,,0.92,48.760000000000005
2017-06-03,100,92.0,,0.92,92.0
2017-06-04,63,92.0,,0.92,57.96
2017-06-05,53,92.0,,0.92,48.760000000000005
2017-06-06,53,92.0,,0.92,48.760000000000005
2017-06-07,50,92.0,,0.92,46.0
2017-06-08,50,92.0,,0.92,46.0
2017-06-09,50,92.0,,0.92,46.0
2017-06-10,49,92.0,,0.92,45.080000000000005
2017-06-11,51,92.0,,0.92,46.92
2017-06-12,52,92.0,,0.92,47.84
2017-06-13,49,92.0,,0.92,45.080000000000005
2017-06-14,50,92.0,,0.92,46.0
2017-06-15,50,92.0,,0.92,46.0
2017-06-16,50,92.0,,0.92,46.0
2017-06-17,50,92.0,,0.92,46.0
2017-06-18,50,92.0,,0.92,46.0
2017-06-19,53,92.0,,0.92,48.760000000000005
2017-06-20,51,92.0,,0.92,46.92
2017-06-21,52,92.0,,0.92,47.84
2017-06-22,51,92.0,,0.92,46.92
2017-06-23,49,92.0,,0.92,45.080000000000005
2017-06-24,49,92.0,,0.92,45.080000000000005
2017-06-25,52,92.0,,0.92,47.84
2017-06-26,54,92.0,,0.92,49.68
2017-06-27,50,92.0,,0.92,46.0
2017-06-28,51,92.0,,0.92,46.92
2017-06-29,52,92.0,,0.92,47.84
2017-06-30,48,92.0,,0.92,44.160000000000004
2017-07-01,64,94.0,False,0.94,60.16
2017-07-02,73,94.0,,0.94,68.61999999999999
2017-07-03,70,94.0,,0.94,65.8
2017-07-04,71,94.0,,0.94,66.74
2017-07-05,71,94.0,,0.94,66.74
2017-07-06,74,94.0,,0.94,69.56
2017-07-07,69,94.0,,0.94,64.86
2017-07-08,73,94.0,,0.94,68.61999999999999
2017-07-09,74,94.0,,0.94,69.56
2017-07-10,74,94.0,,0.94,69.56
2017-07-11,76,94.0,,0.94,71.44
2017-07-12,72,94.0,,0.94,67.67999999999999
2017-07-13,74,94.0,,0.94,69.56
2017-07-14,72,94.0,,0.94,67.67999999999999
2017-07-15,70,94.0,,0.94,65.8
2017-07-16,73,94.0,,0.94,68.61999999999999
2017-07-17,75,94.0,,0.94,70.5
2017-07-18,75,94.0,,0.94,70.5
2017-07-19,73,94.0,,0.94,68.61999999999999
2017-07-20,73,94.0,,0.94,68.61999999999999
2017-07-21,69,94.0,,0.94,64.86
2017-07-22,71,94.0,,0.94,66.74
2017-07-23,87,94.0,,0.94,81.78
2017-07-24,77,94.0,,0.94,72.38
2017-07-25,78,94.0,,0.94,73.32
2017-07-26,75,94.0,,0.94,70.5
2017-07-27,78,94.0,,0.94,73.32
2017-07-28,73,94.0,,0.94,68.61999999999999
2017-07-29,89,94.0,,0.94,83.66
2017-07-30,100,94.0,,0.94,94.0
2017-07-31,74,94.0,,0.94,69.56
2017-08-01,75,92.0,False,0.92,69.0
2017-08-02,80,92.0,,0.92,73.60000000000001
2017-08-03,87,92.0,,0.92,80.04
2017-08-04,71,92.0,,0.92,65.32000000000001
2017-08-05,71,92.0,,0.92,65.32000000000001
2017-08-06,75,92.0,,0.92,69.0
2017-08-07,76,92.0,,0.92,69.92
2017-08-08,89,92.0,,0.92,81.88000000000001
2017-08-09,74,92.0,,0.92,68.08
2017-08-10,73,92.0,,0.92,67.16
2017-08-11,70,92.0,,0.92,64.4
2017-08-12,70,92.0,,0.92,64.4
2017-08-13,100,92.0,,0.92,92.0
2017-08-14,80,92.0,,0.92,73.60000000000001
2017-08-15,78,92.0,,0.92,71.76
2017-08-16,96,92.0,,0.92,88.32000000000001
2017-08-17,74,92.0,,0.92,68.08
2017-08-18,66,92.0,,0.92,60.720000000000006
2017-08-19,72,92.0,,0.92,66.24000000000001
2017-08-20,80,92.0,,0.92,73.60000000000001
2017-08-21,68,92.0,,0.92,62.56
2017-08-22,71,92.0,,0.92,65.32000000000001
2017-08-23,75,92.0,,0.92,69.0
2017-08-24,66,92.0,,0.92,60.720000000000006
2017-08-25,65,92.0,,0.92,59.800000000000004
2017-08-26,67,92.0,,0.92,61.64
2017-08-27,76,92.0,,0.92,69.92
2017-08-28,75,92.0,,0.92,69.0
2017-08-29,69,92.0,,0.92,63.480000000000004
2017-08-30,67,92.0,,0.92,61.64
2017-08-31,66,92.0,,0.92,60.720000000000006
2017-09-01,76,82.0,False,0.82,62.31999999999999
2017-09-02,81,82.0,,0.82,66.42
2017-09-03,85,82.0,,0.82,69.7
2017-09-04,86,82.0,,0.82,70.52
2017-09-05,79,82.0,,0.82,64.78
2017-09-06,79,82.0,,0.82,64.78
2017-09-07,78,82.0,,0.82,63.959999999999994
2017-09-08,71,82.0,,0.82,58.22
2017-09-09,81,82.0,,0.82,66.42
2017-09-10,78,82.0,,0.82,63.959999999999994
2017-09-11,76,82.0,,0.82,62.31999999999999
2017-09-12,81,82.0,,0.82,66.42
2017-09-13,89,82.0,,0.82,72.97999999999999
2017-09-14,81,82.0,,0.82,66.42
2017-09-15,78,82.0,,0.82,63.959999999999994
2017-09-16,83,82.0,,0.82,68.06
2017-09-17,96,82.0,,0.82,78.72
2017-09-18,84,82.0,,0.82,68.88
2017-09-19,87,82.0,,0.82,71.33999999999999
2017-09-20,92,82.0,,0.82,75.44
2017-09-21,86,82.0,,0.82,70.52
2017-09-22,80,82.0,,0.82,65.6
2017-09-23,92,82.0,,0.82,75.44
2017-09-24,85,82.0,,0.82,69.7
2017-09-25,82,82.0,,0.82,67.24
2017-09-26,100,82.0,,0.82,82.0
2017-09-27,85,82.0,,0.82,69.7
2017-09-28,81,82.0,,0.82,66.42
2017-09-29,77,82.0,,0.82,63.13999999999999
2017-09-30,82,82.0,,0.82,67.24
2017-10-01,90,82.0,False,0.82,73.8
2017-10-02,77,82.0,,0.82,63.13999999999999
2017-10-03,79,82.0,,0.82,64.78
2017-10-04,80,82.0,,0.82,65.6
2017-10-05,81,82.0,,0.82,66.42
2017-10-06,77,82.0,,0.82,63.13999999999999
2017-10-07,77,82.0,,0.82,63.13999999999999
2017-10-08,82,82.0,,0.82,67.24
2017-10-09,84,82.0,,0.82,68.88
2017-10-10,81,82.0,,0.82,66.42
2017-10-11,81,82.0,,0.82,66.42
2017-10-12,82,82.0,,0.82,67.24
2017-10-13,78,82.0,,0.82,63.959999999999994
2017-10-14,89,82.0,,0.82,72.97999999999999
2017-10-15,85,82.0,,0.82,69.7
2017-10-16,88,82.0,,0.82,72.16
2017-10-17,100,82.0,,0.82,82.0
2017-10-18,84,82.0,,0.82,68.88
2017-10-19,83,82.0,,0.82,68.06
2017-10-20,82,82.0,,0.82,67.24
2017-10-21,81,82.0,,0.82,66.42
2017-10-22,93,82.0,,0.82,76.25999999999999
2017-10-23,87,82.0,,0.82,71.33999999999999
2017-10-24,88,82.0,,0.82,72.16
2017-10-25,85,82.0,,0.82,69.7
2017-10-26,85,82.0,,0.82,69.7
2017-10-27,78,82.0,,0.82,63.959999999999994
2017-10-28,80,82.0,,0.82,65.6
2017-10-29,91,82.0,,0.82,74.61999999999999
2017-10-30,83,82.0,,0.82,68.06
2017-10-31,83,82.0,,0.82,68.06
2017-11-01,100,82.0,False,0.82,82.0
2017-11-02,86,82.0,,0.82,70.52
2017-11-03,85,82.0,,0.82,69.7
2017-11-04,89,82.0,,0.82,72.97999999999999
2017-11-05,97,82.0,,0.82,79.53999999999999
2017-11-06,88,82.0,,0.82,72.16
2017-11-07,88,82.0,,0.82,72.16
2017-11-08,83,82.0,,0.82,68.06
2017-11-09,84,82.0,,0.82,68.88
2017-11-10,81,82.0,,0.82,66.42
2017-11-11,81,82.0,,0.82,66.42
2017-11-12,86,82.0,,0.82,70.52
2017-11-13,85,82.0,,0.82,69.7
2017-11-14,86,82.0,,0.82,70.52
2017-11-15,86,82.0,,0.82,70.52
2017-11-16,81,82.0,,0.82,66.42
2017-11-17,83,82.0,,0.82,68.06
2017-11-18,98,82.0,,0.82,80.36
2017-11-19,88,82.0,,0.82,72.16
2017-11-20,87,82.0,,0.82,71.33999999999999
2017-11-21,92,82.0,,0.82,75.44
2017-11-22,83,82.0,,0.82,68.06
2017-11-23,76,82.0,,0.82,62.31999999999999
2017-11-24,77,82.0,,0.82,63.13999999999999
2017-11-25,93,82.0,,0.82,76.25999999999999
2017-11-26,94,82.0,,0.82,77.08
2017-11-27,83,82.0,,0.82,68.06
2017-11-28,92,82.0,,0.82,75.44
2017-11-29,90,82.0,,0.82,73.8
2017-11-30,88,82.0,,0.82,72.16
2017-12-01,63,87.0,False,0.87,54.81
2017-12-02,76,87.0,,0.87,66.12
2017-12-03,69,87.0,,0.87,60.03
2017-12-04,70,87.0,,0.87,60.9
2017-12-05,65,87.0,,0.87,56.55
2017-12-06,73,87.0,,0.87,63.51
2017-12-07,66,87.0,,0.87,57.42
2017-12-08,63,87.0,,0.87,54.81
