date,TWTR_unscaled,TWTR_monthly,isPartial,scale,TWTR
2016-05-01,15,40.0,False,0.4,6.0
2016-05-02,70,40.0,,0.4,28.0
2016-05-03,81,40.0,,0.4,32.4
2016-05-04,83,40.0,,0.4,33.2
2016-05-05,100,40.0,,0.4,40.0
2016-05-06,66,40.0,,0.4,26.400000000000002
2016-05-07,21,40.0,,0.4,8.4
2016-05-08,9,40.0,,0.4,3.6
2016-05-09,56,40.0,,0.4,22.400000000000002
2016-05-10,82,40.0,,0.4,32.800000000000004
2016-05-11,67,40.0,,0.4,26.8
2016-05-12,70,40.0,,0.4,28.0
2016-05-13,59,40.0,,0.4,23.6
2016-05-14,9,40.0,,0.4,3.6
2016-05-15,14,40.0,,0.4,5.6000000000000005
2016-05-16,59,40.0,,0.4,23.6
2016-05-17,57,40.0,,0.4,22.8
2016-05-18,61,40.0,,0.4,24.400000000000002
2016-05-19,55,40.0,,0.4,22.0
2016-05-20,51,40.0,,0.4,20.400000000000002
2016-05-21,11,40.0,,0.4,4.4
2016-05-22,4,40.0,,0.4,1.6
2016-05-23,40,40.0,,0.4,16.0
2016-05-24,71,40.0,,0.4,28.400000000000002
2016-05-25,71,40.0,,0.4,28.400000000000002
2016-05-26,56,40.0,,0.4,22.400000000000002
2016-05-27,59,40.0,,0.4,23.6
2016-05-28,16,40.0,,0.4,6.4
2016-05-29,8,40.0,,0.4,3.2
2016-05-30,16,40.0,,0.4,6.4
2016-05-31,68,40.0,,0.4,27.200000000000003
2016-06-01,36,49.0,False,0.49,17.64
2016-06-02,33,49.0,,0.49,16.169999999999998
2016-06-03,43,49.0,,0.49,21.07
2016-06-04,10,49.0,,0.49,4.9
2016-06-05,4,49.0,,0.49,1.96
2016-06-06,38,49.0,,0.49,18.62
2016-06-07,34,49.0,,0.49,16.66
2016-06-08,36,49.0,,0.49,17.64
2016-06-09,32,49.0,,0.49,15.68
2016-06-10,33,49.0,,0.49,16.169999999999998
2016-06-11,7,49.0,,0.49,3.4299999999999997
2016-06-12,2,49.0,,0.49,0.98
2016-06-13,58,49.0,,0.49,28.419999999999998
2016-06-14,60,49.0,,0.49,29.4
2016-06-15,100,49.0,,0.49,49.0
2016-06-16,49,49.0,,0.49,24.009999999999998
2016-06-17,49,49.0,,0.49,24.009999999999998
2016-06-18,13,49.0,,0.49,6.37
2016-06-19,4,49.0,,0.49,1.96
2016-06-20,48,49.0,,0.49,23.52
2016-06-21,46,49.0,,0.49,22.54
2016-06-22,37,49.0,,0.49,18.13
2016-06-23,46,49.0,,0.49,22.54
2016-06-24,71,49.0,,0.49,34.79
2016-06-25,13,49.0,,0.49,6.37
2016-06-26,11,49.0,,0.49,5.39
2016-06-27,51,49.0,,0.49,24.99
2016-06-28,50,49.0,,0.49,24.5
2016-06-29,43,49.0,,0.49,21.07
2016-06-30,39,49.0,,0.49,19.11
2016-07-01,27,59.0,False,0.59,15.93
2016-07-02,7,59.0,,0.59,4.13
2016-07-03,4,59.0,,0.59,2.36
2016-07-04,3,59.0,,0.59,1.77
2016-07-05,25,59.0,,0.59,14.75
2016-07-06,28,59.0,,0.59,16.52
2016-07-07,25,59.0,,0.59,14.75
2016-07-08,35,59.0,,0.59,20.65
2016-07-09,7,59.0,,0.59,4.13
2016-07-10,6,59.0,,0.59,3.54
2016-07-11,28,59.0,,0.59,16.52
2016-07-12,32,59.0,,0.59,18.88
2016-07-13,24,59.0,,0.59,14.16
2016-07-14,31,59.0,,0.59,18.29
2016-07-15,25,59.0,,0.59,14.75
