date,UNT_unscaled,UNT_monthly,isPartial,scale,UNT
2016-05-01,50,51.0,False,0.51,25.5
2016-05-02,85,51.0,,0.51,43.35
2016-05-03,80,51.0,,0.51,40.8
2016-05-04,80,51.0,,0.51,40.8
2016-05-05,78,51.0,,0.51,39.78
2016-05-06,67,51.0,,0.51,34.17
2016-05-07,61,51.0,,0.51,31.11
2016-05-08,52,51.0,,0.51,26.52
2016-05-09,91,51.0,,0.51,46.410000000000004
2016-05-10,100,51.0,,0.51,51.0
2016-05-11,79,51.0,,0.51,40.29
2016-05-12,99,51.0,,0.51,50.49
2016-05-13,86,51.0,,0.51,43.86
2016-05-14,65,51.0,,0.51,33.15
2016-05-15,51,51.0,,0.51,26.01
2016-05-16,82,51.0,,0.51,41.82
2016-05-17,81,51.0,,0.51,41.31
2016-05-18,60,51.0,,0.51,30.6
2016-05-19,51,51.0,,0.51,26.01
2016-05-20,49,51.0,,0.51,24.990000000000002
2016-05-21,36,51.0,,0.51,18.36
2016-05-22,41,51.0,,0.51,20.91
2016-05-23,57,51.0,,0.51,29.07
2016-05-24,57,51.0,,0.51,29.07
2016-05-25,51,51.0,,0.51,26.01
2016-05-26,48,51.0,,0.51,24.48
2016-05-27,47,51.0,,0.51,23.97
2016-05-28,32,51.0,,0.51,16.32
2016-05-29,33,51.0,,0.51,16.830000000000002
2016-05-30,35,51.0,,0.51,17.85
2016-05-31,47,51.0,,0.51,23.97
2016-06-01,87,41.0,False,0.41,35.669999999999995
2016-06-02,91,41.0,,0.41,37.309999999999995
2016-06-03,98,41.0,,0.41,40.18
2016-06-04,74,41.0,,0.41,30.34
2016-06-05,56,41.0,,0.41,22.959999999999997
2016-06-06,91,41.0,,0.41,37.309999999999995
2016-06-07,85,41.0,,0.41,34.85
2016-06-08,100,41.0,,0.41,41.0
2016-06-09,81,41.0,,0.41,33.21
2016-06-10,73,41.0,,0.41,29.93
2016-06-11,53,41.0,,0.41,21.73
2016-06-12,56,41.0,,0.41,22.959999999999997
2016-06-13,86,41.0,,0.41,35.26
2016-06-14,97,41.0,,0.41,39.769999999999996
2016-06-15,90,41.0,,0.41,36.9
2016-06-16,84,41.0,,0.41,34.44
2016-06-17,83,41.0,,0.41,34.03
2016-06-18,55,41.0,,0.41,22.549999999999997
2016-06-19,51,41.0,,0.41,20.91
2016-06-20,78,41.0,,0.41,31.979999999999997
2016-06-21,76,41.0,,0.41,31.159999999999997
2016-06-22,70,41.0,,0.41,28.7
2016-06-23,86,41.0,,0.41,35.26
2016-06-24,61,41.0,,0.41,25.009999999999998
2016-06-25,49,41.0,,0.41,20.09
2016-06-26,71,41.0,,0.41,29.11
2016-06-27,84,41.0,,0.41,34.44
2016-06-28,78,41.0,,0.41,31.979999999999997
2016-06-29,78,41.0,,0.41,31.979999999999997
2016-06-30,82,41.0,,0.41,33.62
2016-07-01,56,43.0,False,0.43,24.08
2016-07-02,32,43.0,,0.43,13.76
2016-07-03,37,43.0,,0.43,15.91
2016-07-04,42,43.0,,0.43,18.06
2016-07-05,64,43.0,,0.43,27.52
2016-07-06,62,43.0,,0.43,26.66
2016-07-07,57,43.0,,0.43,24.509999999999998
2016-07-08,56,43.0,,0.43,24.08
2016-07-09,54,43.0,,0.43,23.22
2016-07-10,60,43.0,,0.43,25.8
2016-07-11,79,43.0,,0.43,33.97
2016-07-12,65,43.0,,0.43,27.95
2016-07-13,70,43.0,,0.43,30.099999999999998
2016-07-14,80,43.0,,0.43,34.4
2016-07-15,100,43.0,,0.43,43.0
2016-07-16,67,43.0,,0.43,28.81
2016-07-17,40,43.0,,0.43,17.2
2016-07-18,71,43.0,,0.43,30.53
2016-07-19,65,43.0,,0.43,27.95
2016-07-20,59,43.0,,0.43,25.37
2016-07-21,63,43.0,,0.43,27.09
2016-07-22,51,43.0,,0.43,21.93
2016-07-23,41,43.0,,0.43,17.63
2016-07-24,43,43.0,,0.43,18.49
2016-07-25,64,43.0,,0.43,27.52
2016-07-26,57,43.0,,0.43,24.509999999999998
2016-07-27,58,43.0,,0.43,24.94
2016-07-28,56,43.0,,0.43,24.08
2016-07-29,61,43.0,,0.43,26.23
2016-07-30,46,43.0,,0.43,19.78
2016-07-31,32,43.0,,0.43,13.76
2016-08-01,36,68.0,False,0.68,24.48
2016-08-02,38,68.0,,0.68,25.840000000000003
2016-08-03,31,68.0,,0.68,21.080000000000002
2016-08-04,30,68.0,,0.68,20.400000000000002
2016-08-05,29,68.0,,0.68,19.720000000000002
2016-08-06,26,68.0,,0.68,17.68
2016-08-07,18,68.0,,0.68,12.24
2016-08-08,34,68.0,,0.68,23.12
2016-08-09,35,68.0,,0.68,23.8
2016-08-10,37,68.0,,0.68,25.16
2016-08-11,41,68.0,,0.68,27.880000000000003
2016-08-12,37,68.0,,0.68,25.16
2016-08-13,31,68.0,,0.68,21.080000000000002
2016-08-14,26,68.0,,0.68,17.68
2016-08-15,43,68.0,,0.68,29.240000000000002
2016-08-16,47,68.0,,0.68,31.96
2016-08-17,46,68.0,,0.68,31.28
2016-08-18,60,68.0,,0.68,40.800000000000004
2016-08-19,45,68.0,,0.68,30.6
2016-08-20,33,68.0,,0.68,22.44
2016-08-21,50,68.0,,0.68,34.0
2016-08-22,68,68.0,,0.68,46.24
2016-08-23,55,68.0,,0.68,37.400000000000006
2016-08-24,58,68.0,,0.68,39.440000000000005
2016-08-25,50,68.0,,0.68,34.0
2016-08-26,49,68.0,,0.68,33.32
2016-08-27,40,68.0,,0.68,27.200000000000003
2016-08-28,49,68.0,,0.68,33.32
2016-08-29,100,68.0,,0.68,68.0
2016-08-30,94,68.0,,0.68,63.92
2016-08-31,81,68.0,,0.68,55.080000000000005
2016-09-01,81,82.0,False,0.82,66.42
2016-09-02,75,82.0,,0.82,61.49999999999999
2016-09-03,73,82.0,,0.82,59.86
2016-09-04,100,82.0,,0.82,82.0
2016-09-05,58,82.0,,0.82,47.559999999999995
2016-09-06,88,82.0,,0.82,72.16
2016-09-07,84,82.0,,0.82,68.88
2016-09-08,75,82.0,,0.82,61.49999999999999
2016-09-09,77,82.0,,0.82,63.13999999999999
2016-09-10,68,82.0,,0.82,55.76
2016-09-11,59,82.0,,0.82,48.379999999999995
2016-09-12,76,82.0,,0.82,62.31999999999999
2016-09-13,81,82.0,,0.82,66.42
2016-09-14,73,82.0,,0.82,59.86
2016-09-15,68,82.0,,0.82,55.76
2016-09-16,61,82.0,,0.82,50.019999999999996
2016-09-17,56,82.0,,0.82,45.919999999999995
2016-09-18,67,82.0,,0.82,54.94
2016-09-19,79,82.0,,0.82,64.78
2016-09-20,75,82.0,,0.82,61.49999999999999
2016-09-21,68,82.0,,0.82,55.76
2016-09-22,70,82.0,,0.82,57.4
2016-09-23,53,82.0,,0.82,43.46
2016-09-24,46,82.0,,0.82,37.72
2016-09-25,60,82.0,,0.82,49.199999999999996
2016-09-26,68,82.0,,0.82,55.76
2016-09-27,69,82.0,,0.82,56.58
2016-09-28,67,82.0,,0.82,54.94
2016-09-29,65,82.0,,0.82,53.3
2016-09-30,64,82.0,,0.82,52.48
2016-10-01,72,68.0,False,0.68,48.96
2016-10-02,74,68.0,,0.68,50.32
2016-10-03,86,68.0,,0.68,58.480000000000004
2016-10-04,95,68.0,,0.68,64.60000000000001
2016-10-05,86,68.0,,0.68,58.480000000000004
