date,MC_unscaled,MC_monthly,isPartial,scale,MC
2016-05-01,100,83.0,False,0.83,83.0
2016-05-02,87,83.0,,0.83,72.21
2016-05-03,84,83.0,,0.83,69.72
2016-05-04,89,83.0,,0.83,73.86999999999999
2016-05-05,80,83.0,,0.83,66.39999999999999
2016-05-06,80,83.0,,0.83,66.39999999999999
2016-05-07,88,83.0,,0.83,73.03999999999999
2016-05-08,85,83.0,,0.83,70.55
2016-05-09,76,83.0,,0.83,63.08
2016-05-10,74,83.0,,0.83,61.419999999999995
2016-05-11,74,83.0,,0.83,61.419999999999995
2016-05-12,81,83.0,,0.83,67.22999999999999
2016-05-13,75,83.0,,0.83,62.25
2016-05-14,87,83.0,,0.83,72.21
2016-05-15,88,83.0,,0.83,73.03999999999999
2016-05-16,78,83.0,,0.83,64.74
2016-05-17,76,83.0,,0.83,63.08
2016-05-18,72,83.0,,0.83,59.76
2016-05-19,78,83.0,,0.83,64.74
2016-05-20,74,83.0,,0.83,61.419999999999995
2016-05-21,86,83.0,,0.83,71.38
2016-05-22,86,83.0,,0.83,71.38
2016-05-23,86,83.0,,0.83,71.38
2016-05-24,76,83.0,,0.83,63.08
2016-05-25,81,83.0,,0.83,67.22999999999999
2016-05-26,76,83.0,,0.83,63.08
2016-05-27,76,83.0,,0.83,63.08
2016-05-28,80,83.0,,0.83,66.39999999999999
2016-05-29,86,83.0,,0.83,71.38
2016-05-30,92,83.0,,0.83,76.36
2016-05-31,75,83.0,,0.83,62.25
2016-06-01,79,82.0,False,0.82,64.78
2016-06-02,77,82.0,,0.82,63.13999999999999
2016-06-03,82,82.0,,0.82,67.24
2016-06-04,76,82.0,,0.82,62.31999999999999
2016-06-05,86,82.0,,0.82,70.52
2016-06-06,80,82.0,,0.82,65.6
2016-06-07,78,82.0,,0.82,63.959999999999994
2016-06-08,79,82.0,,0.82,64.78
2016-06-09,77,82.0,,0.82,63.13999999999999
2016-06-10,87,82.0,,0.82,71.33999999999999
2016-06-11,91,82.0,,0.82,74.61999999999999
2016-06-12,79,82.0,,0.82,64.78
2016-06-13,77,82.0,,0.82,63.13999999999999
2016-06-14,77,82.0,,0.82,63.13999999999999
2016-06-15,79,82.0,,0.82,64.78
2016-06-16,80,82.0,,0.82,65.6
2016-06-17,73,82.0,,0.82,59.86
2016-06-18,88,82.0,,0.82,72.16
2016-06-19,87,82.0,,0.82,71.33999999999999
2016-06-20,81,82.0,,0.82,66.42
2016-06-21,82,82.0,,0.82,67.24
2016-06-22,79,82.0,,0.82,64.78
2016-06-23,85,82.0,,0.82,69.7
2016-06-24,83,82.0,,0.82,68.06
2016-06-25,84,82.0,,0.82,68.88
2016-06-26,90,82.0,,0.82,73.8
2016-06-27,100,82.0,,0.82,82.0
2016-06-28,81,82.0,,0.82,66.42
2016-06-29,82,82.0,,0.82,67.24
2016-06-30,79,82.0,,0.82,64.78
2016-07-01,89,82.0,False,0.82,72.97999999999999
2016-07-02,91,82.0,,0.82,74.61999999999999
2016-07-03,87,82.0,,0.82,71.33999999999999
2016-07-04,88,82.0,,0.82,72.16
2016-07-05,80,82.0,,0.82,65.6
2016-07-06,85,82.0,,0.82,69.7
2016-07-07,81,82.0,,0.82,66.42
2016-07-08,84,82.0,,0.82,68.88
2016-07-09,81,82.0,,0.82,66.42
2016-07-10,86,82.0,,0.82,70.52
2016-07-11,86,82.0,,0.82,70.52
2016-07-12,85,82.0,,0.82,69.7
2016-07-13,83,82.0,,0.82,68.06
2016-07-14,79,82.0,,0.82,64.78
2016-07-15,91,82.0,,0.82,74.61999999999999
2016-07-16,83,82.0,,0.82,68.06
2016-07-17,100,82.0,,0.82,82.0
2016-07-18,91,82.0,,0.82,74.61999999999999
2016-07-19,87,82.0,,0.82,71.33999999999999
2016-07-20,93,82.0,,0.82,76.25999999999999
2016-07-21,87,82.0,,0.82,71.33999999999999
2016-07-22,94,82.0,,0.82,77.08
2016-07-23,89,82.0,,0.82,72.97999999999999
2016-07-24,100,82.0,,0.82,82.0
2016-07-25,89,82.0,,0.82,72.97999999999999
2016-07-26,91,82.0,,0.82,74.61999999999999
2016-07-27,89,82.0,,0.82,72.97999999999999
2016-07-28,90,82.0,,0.82,73.8
2016-07-29,90,82.0,,0.82,73.8
2016-07-30,84,82.0,,0.82,68.88
2016-07-31,92,82.0,,0.82,75.44
2016-08-01,88,84.0,False,0.84,73.92
2016-08-02,79,84.0,,0.84,66.36
2016-08-03,81,84.0,,0.84,68.03999999999999
2016-08-04,77,84.0,,0.84,64.67999999999999
2016-08-05,76,84.0,,0.84,63.839999999999996
2016-08-06,76,84.0,,0.84,63.839999999999996
2016-08-07,76,84.0,,0.84,63.839999999999996
2016-08-08,75,84.0,,0.84,63.0
2016-08-09,72,84.0,,0.84,60.48
2016-08-10,76,84.0,,0.84,63.839999999999996
2016-08-11,78,84.0,,0.84,65.52
2016-08-12,77,84.0,,0.84,64.67999999999999
2016-08-13,82,84.0,,0.84,68.88
2016-08-14,78,84.0,,0.84,65.52
2016-08-15,70,84.0,,0.84,58.8
2016-08-16,75,84.0,,0.84,63.0
2016-08-17,76,84.0,,0.84,63.839999999999996
2016-08-18,72,84.0,,0.84,60.48
2016-08-19,80,84.0,,0.84,67.2
2016-08-20,83,84.0,,0.84,69.72
2016-08-21,100,84.0,,0.84,84.0
2016-08-22,78,84.0,,0.84,65.52
2016-08-23,75,84.0,,0.84,63.0
2016-08-24,76,84.0,,0.84,63.839999999999996
2016-08-25,72,84.0,,0.84,60.48
2016-08-26,72,84.0,,0.84,60.48
2016-08-27,88,84.0,,0.84,73.92
2016-08-28,90,84.0,,0.84,75.6
2016-08-29,95,84.0,,0.84,79.8
2016-08-30,89,84.0,,0.84,74.75999999999999
2016-08-31,88,84.0,,0.84,73.92
2016-09-01,97,75.0,False,0.75,72.75
2016-09-02,91,75.0,,0.75,68.25
2016-09-03,97,75.0,,0.75,72.75
2016-09-04,100,75.0,,0.75,75.0
2016-09-05,92,75.0,,0.75,69.0
2016-09-06,87,75.0,,0.75,65.25
2016-09-07,82,75.0,,0.75,61.5
2016-09-08,80,75.0,,0.75,60.0
2016-09-09,78,75.0,,0.75,58.5
2016-09-10,93,75.0,,0.75,69.75
2016-09-11,84,75.0,,0.75,63.0
2016-09-12,82,75.0,,0.75,61.5
2016-09-13,81,75.0,,0.75,60.75
2016-09-14,83,75.0,,0.75,62.25
2016-09-15,87,75.0,,0.75,65.25
2016-09-16,83,75.0,,0.75,62.25
2016-09-17,91,75.0,,0.75,68.25
2016-09-18,86,75.0,,0.75,64.5
2016-09-19,81,75.0,,0.75,60.75
2016-09-20,85,75.0,,0.75,63.75
2016-09-21,78,75.0,,0.75,58.5
2016-09-22,80,75.0,,0.75,60.0
2016-09-23,81,75.0,,0.75,60.75
2016-09-24,86,75.0,,0.75,64.5
2016-09-25,90,75.0,,0.75,67.5
2016-09-26,82,75.0,,0.75,61.5
2016-09-27,83,75.0,,0.75,62.25
2016-09-28,83,75.0,,0.75,62.25
2016-09-29,86,75.0,,0.75,64.5
2016-09-30,82,75.0,,0.75,61.5
