date,QQQ_unscaled,QQQ_monthly,isPartial,scale,QQQ
2016-05-01,35,14.0,False,0.14,4.9
2016-05-02,58,14.0,,0.14,8.120000000000001
2016-05-03,86,14.0,,0.14,12.040000000000001
2016-05-04,79,14.0,,0.14,11.06
2016-05-05,87,14.0,,0.14,12.180000000000001
2016-05-06,80,14.0,,0.14,11.200000000000001
2016-05-07,27,14.0,,0.14,3.7800000000000002
2016-05-08,33,14.0,,0.14,4.62
2016-05-09,54,14.0,,0.14,7.5600000000000005
2016-05-10,82,14.0,,0.14,11.48
2016-05-11,88,14.0,,0.14,12.32
2016-05-12,81,14.0,,0.14,11.340000000000002
2016-05-13,93,14.0,,0.14,13.020000000000001
2016-05-14,49,14.0,,0.14,6.86
2016-05-15,37,14.0,,0.14,5.180000000000001
2016-05-16,90,14.0,,0.14,12.600000000000001
2016-05-17,80,14.0,,0.14,11.200000000000001
2016-05-18,59,14.0,,0.14,8.260000000000002
2016-05-19,80,14.0,,0.14,11.200000000000001
2016-05-20,84,14.0,,0.14,11.760000000000002
2016-05-21,28,14.0,,0.14,3.9200000000000004
2016-05-22,24,14.0,,0.14,3.3600000000000003
2016-05-23,53,14.0,,0.14,7.420000000000001
2016-05-24,100,14.0,,0.14,14.000000000000002
2016-05-25,76,14.0,,0.14,10.64
2016-05-26,91,14.0,,0.14,12.740000000000002
2016-05-27,65,14.0,,0.14,9.100000000000001
2016-05-28,22,14.0,,0.14,3.08
2016-05-29,29,14.0,,0.14,4.0600000000000005
2016-05-30,33,14.0,,0.14,4.62
2016-05-31,79,14.0,,0.14,11.06
2016-06-01,56,16.0,False,0.16,8.96
2016-06-02,47,16.0,,0.16,7.5200000000000005
2016-06-03,37,16.0,,0.16,5.92
2016-06-04,35,16.0,,0.16,5.6000000000000005
2016-06-05,19,16.0,,0.16,3.04
2016-06-06,38,16.0,,0.16,6.08
2016-06-07,42,16.0,,0.16,6.72
2016-06-08,29,16.0,,0.16,4.64
2016-06-09,36,16.0,,0.16,5.76
2016-06-10,50,16.0,,0.16,8.0
2016-06-11,27,16.0,,0.16,4.32
2016-06-12,20,16.0,,0.16,3.2
2016-06-13,51,16.0,,0.16,8.16
2016-06-14,43,16.0,,0.16,6.88
2016-06-15,52,16.0,,0.16,8.32
2016-06-16,49,16.0,,0.16,7.84
2016-06-17,52,16.0,,0.16,8.32
2016-06-18,20,16.0,,0.16,3.2
2016-06-19,15,16.0,,0.16,2.4
2016-06-20,42,16.0,,0.16,6.72
2016-06-21,62,16.0,,0.16,9.92
2016-06-22,40,16.0,,0.16,6.4
2016-06-23,49,16.0,,0.16,7.84
2016-06-24,100,16.0,,0.16,16.0
2016-06-25,24,16.0,,0.16,3.84
2016-06-26,30,16.0,,0.16,4.8
2016-06-27,76,16.0,,0.16,12.16
2016-06-28,83,16.0,,0.16,13.280000000000001
2016-06-29,72,16.0,,0.16,11.52
2016-06-30,68,16.0,,0.16,10.88
2016-07-01,87,16.0,False,0.16,13.92
2016-07-02,31,16.0,,0.16,4.96
2016-07-03,20,16.0,,0.16,3.2
2016-07-04,31,16.0,,0.16,4.96
2016-07-05,94,16.0,,0.16,15.040000000000001
2016-07-06,90,16.0,,0.16,14.4
2016-07-07,59,16.0,,0.16,9.44
2016-07-08,84,16.0,,0.16,13.44
2016-07-09,30,16.0,,0.16,4.8
2016-07-10,42,16.0,,0.16,6.72
2016-07-11,97,16.0,,0.16,15.52
2016-07-12,95,16.0,,0.16,15.200000000000001
2016-07-13,80,16.0,,0.16,12.8
2016-07-14,66,16.0,,0.16,10.56
2016-07-15,99,16.0,,0.16,15.84
2016-07-16,47,16.0,,0.16,7.5200000000000005
2016-07-17,22,16.0,,0.16,3.52
2016-07-18,91,16.0,,0.16,14.56
2016-07-19,52,16.0,,0.16,8.32
2016-07-20,77,16.0,,0.16,12.32
2016-07-21,75,16.0,,0.16,12.0
2016-07-22,73,16.0,,0.16,11.68
2016-07-23,49,16.0,,0.16,7.84
2016-07-24,25,16.0,,0.16,4.0
2016-07-25,77,16.0,,0.16,12.32
2016-07-26,68,16.0,,0.16,10.88
2016-07-27,77,16.0,,0.16,12.32
2016-07-28,100,16.0,,0.16,16.0
2016-07-29,83,16.0,,0.16,13.280000000000001
2016-07-30,22,16.0,,0.16,3.52
2016-07-31,38,16.0,,0.16,6.08
2016-08-01,73,14.0,False,0.14,10.22
2016-08-02,100,14.0,,0.14,14.000000000000002
2016-08-03,73,14.0,,0.14,10.22
2016-08-04,46,14.0,,0.14,6.44
2016-08-05,98,14.0,,0.14,13.72
2016-08-06,17,14.0,,0.14,2.3800000000000003
2016-08-07,33,14.0,,0.14,4.62
2016-08-08,48,14.0,,0.14,6.720000000000001
2016-08-09,58,14.0,,0.14,8.120000000000001
2016-08-10,73,14.0,,0.14,10.22
2016-08-11,76,14.0,,0.14,10.64
2016-08-12,68,14.0,,0.14,9.520000000000001
2016-08-13,24,14.0,,0.14,3.3600000000000003
2016-08-14,19,14.0,,0.14,2.66
2016-08-15,64,14.0,,0.14,8.96
2016-08-16,88,14.0,,0.14,12.32
2016-08-17,86,14.0,,0.14,12.040000000000001
2016-08-18,61,14.0,,0.14,8.540000000000001
2016-08-19,59,14.0,,0.14,8.260000000000002
2016-08-20,20,14.0,,0.14,2.8000000000000003
2016-08-21,20,14.0,,0.14,2.8000000000000003
2016-08-22,64,14.0,,0.14,8.96
2016-08-23,64,14.0,,0.14,8.96
2016-08-24,75,14.0,,0.14,10.500000000000002
2016-08-25,55,14.0,,0.14,7.700000000000001
2016-08-26,52,14.0,,0.14,7.280000000000001
2016-08-27,18,14.0,,0.14,2.5200000000000005
2016-08-28,29,14.0,,0.14,4.0600000000000005
2016-08-29,48,14.0,,0.14,6.720000000000001
2016-08-30,71,14.0,,0.14,9.940000000000001
2016-08-31,78,14.0,,0.14,10.920000000000002
2016-09-01,60,13.0,False,0.13,7.800000000000001
2016-09-02,62,13.0,,0.13,8.06
2016-09-03,29,13.0,,0.13,3.77
2016-09-04,21,13.0,,0.13,2.73
2016-09-05,22,13.0,,0.13,2.8600000000000003
2016-09-06,76,13.0,,0.13,9.88
2016-09-07,58,13.0,,0.13,7.54
2016-09-08,54,13.0,,0.13,7.0200000000000005
2016-09-09,90,13.0,,0.13,11.700000000000001
2016-09-10,26,13.0,,0.13,3.38
2016-09-11,43,13.0,,0.13,5.59
2016-09-12,76,13.0,,0.13,9.88
2016-09-13,70,13.0,,0.13,9.1
2016-09-14,94,13.0,,0.13,12.22
2016-09-15,78,13.0,,0.13,10.14
2016-09-16,78,13.0,,0.13,10.14
2016-09-17,25,13.0,,0.13,3.25
2016-09-18,24,13.0,,0.13,3.12
2016-09-19,58,13.0,,0.13,7.54
2016-09-20,75,13.0,,0.13,9.75
2016-09-21,73,13.0,,0.13,9.49
2016-09-22,100,13.0,,0.13,13.0
2016-09-23,68,13.0,,0.13,8.84
2016-09-24,23,13.0,,0.13,2.99
2016-09-25,19,13.0,,0.13,2.47
2016-09-26,82,13.0,,0.13,10.66
2016-09-27,78,13.0,,0.13,10.14
2016-09-28,52,13.0,,0.13,6.76
2016-09-29,61,13.0,,0.13,7.930000000000001
2016-09-30,69,13.0,,0.13,8.97
2016-10-01,36,12.0,False,0.12,4.32
2016-10-02,53,12.0,,0.12,6.359999999999999
2016-10-03,93,12.0,,0.12,11.16
2016-10-04,83,12.0,,0.12,9.959999999999999
2016-10-05,83,12.0,,0.12,9.959999999999999
2016-10-06,50,12.0,,0.12,6.0
2016-10-07,40,12.0,,0.12,4.8
2016-10-08,51,12.0,,0.12,6.12
2016-10-09,35,12.0,,0.12,4.2
2016-10-10,62,12.0,,0.12,7.4399999999999995
2016-10-11,100,12.0,,0.12,12.0
2016-10-12,70,12.0,,0.12,8.4
2016-10-13,55,12.0,,0.12,6.6
2016-10-14,86,12.0,,0.12,10.32
2016-10-15,46,12.0,,0.12,5.52
2016-10-16,35,12.0,,0.12,4.2
2016-10-17,47,12.0,,0.12,5.64
2016-10-18,96,12.0,,0.12,11.52
2016-10-19,55,12.0,,0.12,6.6
2016-10-20,75,12.0,,0.12,9.0
2016-10-21,89,12.0,,0.12,10.68
2016-10-22,34,12.0,,0.12,4.08
2016-10-23,24,12.0,,0.12,2.88
2016-10-24,51,12.0,,0.12,6.12
2016-10-25,66,12.0,,0.12,7.92
2016-10-26,76,12.0,,0.12,9.12
2016-10-27,54,12.0,,0.12,6.4799999999999995
2016-10-28,93,12.0,,0.12,11.16
2016-10-29,96,12.0,,0.12,11.52
2016-10-30,50,12.0,,0.12,6.0
2016-10-31,64,12.0,,0.12,7.68
2016-11-01,52,14.0,False,0.14,7.280000000000001
2016-11-02,43,14.0,,0.14,6.0200000000000005
2016-11-03,51,14.0,,0.14,7.140000000000001
2016-11-04,53,14.0,,0.14,7.420000000000001
2016-11-05,20,14.0,,0.14,2.8000000000000003
2016-11-06,22,14.0,,0.14,3.08
2016-11-07,51,14.0,,0.14,7.140000000000001
2016-11-08,81,14.0,,0.14,11.340000000000002
2016-11-09,96,14.0,,0.14,13.440000000000001
2016-11-10,100,14.0,,0.14,14.000000000000002
2016-11-11,57,14.0,,0.14,7.98
2016-11-12,24,14.0,,0.14,3.3600000000000003
2016-11-13,20,14.0,,0.14,2.8000000000000003
2016-11-14,76,14.0,,0.14,10.64
2016-11-15,44,14.0,,0.14,6.16
2016-11-16,75,14.0,,0.14,10.500000000000002
2016-11-17,54,14.0,,0.14,7.5600000000000005
2016-11-18,53,14.0,,0.14,7.420000000000001
2016-11-19,10,14.0,,0.14,1.4000000000000001
2016-11-20,22,14.0,,0.14,3.08
2016-11-21,40,14.0,,0.14,5.6000000000000005
2016-11-22,50,14.0,,0.14,7.000000000000001
2016-11-23,50,14.0,,0.14,7.000000000000001
2016-11-24,18,14.0,,0.14,2.5200000000000005
2016-11-25,39,14.0,,0.14,5.460000000000001
2016-11-26,13,14.0,,0.14,1.8200000000000003
2016-11-27,15,14.0,,0.14,2.1
2016-11-28,59,14.0,,0.14,8.260000000000002
2016-11-29,49,14.0,,0.14,6.86
2016-11-30,50,14.0,,0.14,7.000000000000001
2016-12-01,100,12.0,False,0.12,12.0
2016-12-02,84,12.0,,0.12,10.08
2016-12-03,60,12.0,,0.12,7.199999999999999
2016-12-04,45,12.0,,0.12,5.3999999999999995
2016-12-05,62,12.0,,0.12,7.4399999999999995
2016-12-06,52,12.0,,0.12,6.24
2016-12-07,86,12.0,,0.12,10.32
2016-12-08,85,12.0,,0.12,10.2
2016-12-09,78,12.0,,0.12,9.36
2016-12-10,34,12.0,,0.12,4.08
2016-12-11,23,12.0,,0.12,2.76
2016-12-12,65,12.0,,0.12,7.8
2016-12-13,75,12.0,,0.12,9.0
2016-12-14,100,12.0,,0.12,12.0
2016-12-15,96,12.0,,0.12,11.52
2016-12-16,93,12.0,,0.12,11.16
2016-12-17,22,12.0,,0.12,2.6399999999999997
2016-12-18,33,12.0,,0.12,3.96
2016-12-19,70,12.0,,0.12,8.4
2016-12-20,83,12.0,,0.12,9.959999999999999
2016-12-21,77,12.0,,0.12,9.24
2016-12-22,82,12.0,,0.12,9.84
2016-12-23,69,12.0,,0.12,8.28
2016-12-24,23,12.0,,0.12,2.76
2016-12-25,21,12.0,,0.12,2.52
2016-12-26,57,12.0,,0.12,6.84
2016-12-27,84,12.0,,0.12,10.08
2016-12-28,75,12.0,,0.12,9.0
2016-12-29,81,12.0,,0.12,9.719999999999999
2016-12-30,79,12.0,,0.12,9.48
2016-12-31,23,12.0,,0.12,2.76
2017-01-01,38,14.0,False,0.14,5.32
2017-01-02,46,14.0,,0.14,6.44
2017-01-03,52,14.0,,0.14,7.280000000000001
2017-01-04,60,14.0,,0.14,8.4
2017-01-05,74,14.0,,0.14,10.360000000000001
2017-01-06,79,14.0,,0.14,11.06
2017-01-07,36,14.0,,0.14,5.040000000000001
2017-01-08,49,14.0,,0.14,6.86
2017-01-09,75,14.0,,0.14,10.500000000000002
2017-01-10,70,14.0,,0.14,9.8
2017-01-11,46,14.0,,0.14,6.44
2017-01-12,79,14.0,,0.14,11.06
2017-01-13,70,14.0,,0.14,9.8
2017-01-14,43,14.0,,0.14,6.0200000000000005
2017-01-15,37,14.0,,0.14,5.180000000000001
2017-01-16,37,14.0,,0.14,5.180000000000001
2017-01-17,62,14.0,,0.14,8.680000000000001
2017-01-18,65,14.0,,0.14,9.100000000000001
2017-01-19,70,14.0,,0.14,9.8
2017-01-20,56,14.0,,0.14,7.840000000000001
2017-01-21,37,14.0,,0.14,5.180000000000001
2017-01-22,13,14.0,,0.14,1.8200000000000003
2017-01-23,54,14.0,,0.14,7.5600000000000005
2017-01-24,84,14.0,,0.14,11.760000000000002
2017-01-25,84,14.0,,0.14,11.760000000000002
2017-01-26,100,14.0,,0.14,14.000000000000002
2017-01-27,65,14.0,,0.14,9.100000000000001
2017-01-28,25,14.0,,0.14,3.5000000000000004
2017-01-29,22,14.0,,0.14,3.08
2017-01-30,71,14.0,,0.14,9.940000000000001
2017-01-31,93,14.0,,0.14,13.020000000000001
2017-02-01,60,15.0,False,0.15,9.0
2017-02-02,83,15.0,,0.15,12.45
2017-02-03,73,15.0,,0.15,10.95
2017-02-04,40,15.0,,0.15,6.0
2017-02-05,22,15.0,,0.15,3.3
2017-02-06,48,15.0,,0.15,7.199999999999999
2017-02-07,66,15.0,,0.15,9.9
2017-02-08,50,15.0,,0.15,7.5
2017-02-09,58,15.0,,0.15,8.7
2017-02-10,70,15.0,,0.15,10.5
2017-02-11,37,15.0,,0.15,5.55
2017-02-12,20,15.0,,0.15,3.0
2017-02-13,69,15.0,,0.15,10.35
2017-02-14,71,15.0,,0.15,10.65
2017-02-15,67,15.0,,0.15,10.049999999999999
2017-02-16,67,15.0,,0.15,10.049999999999999
2017-02-17,100,15.0,,0.15,15.0
2017-02-18,49,15.0,,0.15,7.35
2017-02-19,28,15.0,,0.15,4.2
2017-02-20,33,15.0,,0.15,4.95
2017-02-21,72,15.0,,0.15,10.799999999999999
2017-02-22,79,15.0,,0.15,11.85
2017-02-23,83,15.0,,0.15,12.45
2017-02-24,71,15.0,,0.15,10.65
2017-02-25,77,15.0,,0.15,11.549999999999999
2017-02-26,42,15.0,,0.15,6.3
2017-02-27,64,15.0,,0.15,9.6
2017-02-28,69,15.0,,0.15,10.35
2017-03-01,100,15.0,False,0.15,15.0
2017-03-02,81,15.0,,0.15,12.15
2017-03-03,76,15.0,,0.15,11.4
2017-03-04,28,15.0,,0.15,4.2
2017-03-05,30,15.0,,0.15,4.5
2017-03-06,69,15.0,,0.15,10.35
2017-03-07,57,15.0,,0.15,8.549999999999999
2017-03-08,63,15.0,,0.15,9.45
2017-03-09,65,15.0,,0.15,9.75
2017-03-10,67,15.0,,0.15,10.049999999999999
2017-03-11,25,15.0,,0.15,3.75
2017-03-12,33,15.0,,0.15,4.95
2017-03-13,66,15.0,,0.15,9.9
2017-03-14,59,15.0,,0.15,8.85
2017-03-15,65,15.0,,0.15,9.75
2017-03-16,63,15.0,,0.15,9.45
2017-03-17,67,15.0,,0.15,10.049999999999999
2017-03-18,20,15.0,,0.15,3.0
2017-03-19,36,15.0,,0.15,5.3999999999999995
2017-03-20,51,15.0,,0.15,7.6499999999999995
2017-03-21,81,15.0,,0.15,12.15
2017-03-22,95,15.0,,0.15,14.25
2017-03-23,92,15.0,,0.15,13.799999999999999
2017-03-24,80,15.0,,0.15,12.0
2017-03-25,31,15.0,,0.15,4.6499999999999995
2017-03-26,26,15.0,,0.15,3.9
2017-03-27,89,15.0,,0.15,13.35
2017-03-28,72,15.0,,0.15,10.799999999999999
2017-03-29,80,15.0,,0.15,12.0
2017-03-30,88,15.0,,0.15,13.2
2017-03-31,78,15.0,,0.15,11.7
2017-04-01,47,12.0,False,0.12,5.64
2017-04-02,25,12.0,,0.12,3.0
2017-04-03,94,12.0,,0.12,11.28
2017-04-04,89,12.0,,0.12,10.68
2017-04-05,80,12.0,,0.12,9.6
2017-04-06,69,12.0,,0.12,8.28
2017-04-07,78,12.0,,0.12,9.36
2017-04-08,57,12.0,,0.12,6.84
2017-04-09,20,12.0,,0.12,2.4
2017-04-10,69,12.0,,0.12,8.28
2017-04-11,65,12.0,,0.12,7.8
2017-04-12,68,12.0,,0.12,8.16
2017-04-13,80,12.0,,0.12,9.6
2017-04-14,48,12.0,,0.12,5.76
2017-04-15,23,12.0,,0.12,2.76
2017-04-16,24,12.0,,0.12,2.88
2017-04-17,49,12.0,,0.12,5.88
2017-04-18,79,12.0,,0.12,9.48
2017-04-19,64,12.0,,0.12,7.68
2017-04-20,64,12.0,,0.12,7.68
2017-04-21,73,12.0,,0.12,8.76
2017-04-22,42,12.0,,0.12,5.04
2017-04-23,28,12.0,,0.12,3.36
2017-04-24,64,12.0,,0.12,7.68
2017-04-25,100,12.0,,0.12,12.0
2017-04-26,91,12.0,,0.12,10.92
2017-04-27,82,12.0,,0.12,9.84
2017-04-28,94,12.0,,0.12,11.28
