date,TQQQ_unscaled,TQQQ_monthly,isPartial,scale,TQQQ
2016-05-01,10,6.0,False,0.06,0.6
2016-05-02,24,6.0,,0.06,1.44
2016-05-03,8,6.0,,0.06,0.48
2016-05-04,72,6.0,,0.06,4.32
2016-05-05,75,6.0,,0.06,4.5
2016-05-06,34,6.0,,0.06,2.04
2016-05-07,30,6.0,,0.06,1.7999999999999998
2016-05-08,10,6.0,,0.06,0.6
2016-05-09,57,6.0,,0.06,3.42
2016-05-10,40,6.0,,0.06,2.4
2016-05-11,24,6.0,,0.06,1.44
2016-05-12,17,6.0,,0.06,1.02
2016-05-13,17,6.0,,0.06,1.02
2016-05-14,20,6.0,,0.06,1.2
2016-05-15,0,6.0,,0.06,0.0
2016-05-16,42,6.0,,0.06,2.52
2016-05-17,24,6.0,,0.06,1.44
2016-05-18,41,6.0,,0.06,2.46
2016-05-19,100,6.0,,0.06,6.0
2016-05-20,43,6.0,,0.06,2.58
2016-05-21,21,6.0,,0.06,1.26
2016-05-22,0,6.0,,0.06,0.0
2016-05-23,42,6.0,,0.06,2.52
2016-05-24,33,6.0,,0.06,1.98
2016-05-25,34,6.0,,0.06,2.04
2016-05-26,43,6.0,,0.06,2.58
2016-05-27,36,6.0,,0.06,2.16
2016-05-28,10,6.0,,0.06,0.6
2016-05-29,0,6.0,,0.06,0.0
2016-05-30,49,6.0,,0.06,2.94
2016-05-31,34,6.0,,0.06,2.04
2016-06-01,44,7.0,False,0.07,3.08
2016-06-02,61,7.0,,0.07,4.2700000000000005
2016-06-03,36,7.0,,0.07,2.5200000000000005
2016-06-04,10,7.0,,0.07,0.7000000000000001
2016-06-05,0,7.0,,0.07,0.0
2016-06-06,52,7.0,,0.07,3.6400000000000006
2016-06-07,69,7.0,,0.07,4.83
2016-06-08,35,7.0,,0.07,2.45
2016-06-09,36,7.0,,0.07,2.5200000000000005
2016-06-10,19,7.0,,0.07,1.33
2016-06-11,10,7.0,,0.07,0.7000000000000001
2016-06-12,0,7.0,,0.07,0.0
2016-06-13,35,7.0,,0.07,2.45
2016-06-14,26,7.0,,0.07,1.8200000000000003
2016-06-15,62,7.0,,0.07,4.340000000000001
2016-06-16,18,7.0,,0.07,1.2600000000000002
2016-06-17,64,7.0,,0.07,4.48
2016-06-18,11,7.0,,0.07,0.77
2016-06-19,22,7.0,,0.07,1.54
2016-06-20,45,7.0,,0.07,3.1500000000000004
2016-06-21,72,7.0,,0.07,5.040000000000001
2016-06-22,45,7.0,,0.07,3.1500000000000004
2016-06-23,53,7.0,,0.07,3.7100000000000004
2016-06-24,91,7.0,,0.07,6.370000000000001
2016-06-25,43,7.0,,0.07,3.0100000000000002
2016-06-26,22,7.0,,0.07,1.54
2016-06-27,79,7.0,,0.07,5.53
2016-06-28,71,7.0,,0.07,4.970000000000001
2016-06-29,100,7.0,,0.07,7.000000000000001
2016-06-30,83,7.0,,0.07,5.8100000000000005
2016-07-01,55,7.0,False,0.07,3.8500000000000005
2016-07-02,11,7.0,,0.07,0.77
2016-07-03,22,7.0,,0.07,1.54
2016-07-04,32,7.0,,0.07,2.24
2016-07-05,66,7.0,,0.07,4.62
2016-07-06,36,7.0,,0.07,2.5200000000000005
2016-07-07,63,7.0,,0.07,4.41
2016-07-08,55,7.0,,0.07,3.8500000000000005
2016-07-09,0,7.0,,0.07,0.0
2016-07-10,0,7.0,,0.07,0.0
2016-07-11,99,7.0,,0.07,6.930000000000001
2016-07-12,99,7.0,,0.07,6.930000000000001
2016-07-13,46,7.0,,0.07,3.22
2016-07-14,44,7.0,,0.07,3.08
2016-07-15,37,7.0,,0.07,2.5900000000000003
2016-07-16,0,7.0,,0.07,0.0
2016-07-17,0,7.0,,0.07,0.0
2016-07-18,36,7.0,,0.07,2.5200000000000005
2016-07-19,72,7.0,,0.07,5.040000000000001
2016-07-20,64,7.0,,0.07,4.48
2016-07-21,55,7.0,,0.07,3.8500000000000005
2016-07-22,47,7.0,,0.07,3.2900000000000005
2016-07-23,0,7.0,,0.07,0.0
2016-07-24,11,7.0,,0.07,0.77
2016-07-25,18,7.0,,0.07,1.2600000000000002
2016-07-26,27,7.0,,0.07,1.8900000000000001
2016-07-27,54,7.0,,0.07,3.7800000000000002
2016-07-28,71,7.0,,0.07,4.970000000000001
2016-07-29,100,7.0,,0.07,7.000000000000001
2016-07-30,0,7.0,,0.07,0.0
2016-07-31,21,7.0,,0.07,1.4700000000000002
2016-08-01,28,4.0,False,0.04,1.12
2016-08-02,100,4.0,,0.04,4.0
2016-08-03,29,4.0,,0.04,1.16
2016-08-04,15,4.0,,0.04,0.6
2016-08-05,32,4.0,,0.04,1.28
2016-08-06,0,4.0,,0.04,0.0
2016-08-07,0,4.0,,0.04,0.0
2016-08-08,0,4.0,,0.04,0.0
2016-08-09,45,4.0,,0.04,1.8
2016-08-10,61,4.0,,0.04,2.44
2016-08-11,78,4.0,,0.04,3.12
2016-08-12,16,4.0,,0.04,0.64
2016-08-13,17,4.0,,0.04,0.68
2016-08-14,0,4.0,,0.04,0.0
2016-08-15,61,4.0,,0.04,2.44
2016-08-16,46,4.0,,0.04,1.84
2016-08-17,15,4.0,,0.04,0.6
2016-08-18,47,4.0,,0.04,1.8800000000000001
2016-08-19,48,4.0,,0.04,1.92
2016-08-20,0,4.0,,0.04,0.0
2016-08-21,0,4.0,,0.04,0.0
2016-08-22,15,4.0,,0.04,0.6
2016-08-23,0,4.0,,0.04,0.0
2016-08-24,30,4.0,,0.04,1.2
2016-08-25,85,4.0,,0.04,3.4
2016-08-26,44,4.0,,0.04,1.76
2016-08-27,0,4.0,,0.04,0.0
2016-08-28,17,4.0,,0.04,0.68
2016-08-29,56,4.0,,0.04,2.24
2016-08-30,42,4.0,,0.04,1.68
2016-08-31,97,4.0,,0.04,3.88
2016-09-01,22,4.0,False,0.04,0.88
2016-09-02,58,4.0,,0.04,2.32
2016-09-03,0,4.0,,0.04,0.0
2016-09-04,14,4.0,,0.04,0.56
2016-09-05,0,4.0,,0.04,0.0
2016-09-06,11,4.0,,0.04,0.44
2016-09-07,11,4.0,,0.04,0.44
2016-09-08,33,4.0,,0.04,1.32
2016-09-09,57,4.0,,0.04,2.2800000000000002
2016-09-10,0,4.0,,0.04,0.0
2016-09-11,0,4.0,,0.04,0.0
2016-09-12,44,4.0,,0.04,1.76
2016-09-13,88,4.0,,0.04,3.52
2016-09-14,56,4.0,,0.04,2.24
2016-09-15,56,4.0,,0.04,2.24
2016-09-16,11,4.0,,0.04,0.44
2016-09-17,0,4.0,,0.04,0.0
2016-09-18,0,4.0,,0.04,0.0
2016-09-19,87,4.0,,0.04,3.48
2016-09-20,66,4.0,,0.04,2.64
2016-09-21,22,4.0,,0.04,0.88
2016-09-22,56,4.0,,0.04,2.24
2016-09-23,34,4.0,,0.04,1.36
2016-09-24,13,4.0,,0.04,0.52
2016-09-25,26,4.0,,0.04,1.04
2016-09-26,55,4.0,,0.04,2.2
2016-09-27,55,4.0,,0.04,2.2
2016-09-28,77,4.0,,0.04,3.08
2016-09-29,100,4.0,,0.04,4.0
2016-09-30,12,4.0,,0.04,0.48
2016-10-01,33,4.0,False,0.04,1.32
2016-10-02,0,4.0,,0.04,0.0
2016-10-03,18,4.0,,0.04,0.72
2016-10-04,0,4.0,,0.04,0.0
2016-10-05,27,4.0,,0.04,1.08
2016-10-06,72,4.0,,0.04,2.88
2016-10-07,46,4.0,,0.04,1.84
2016-10-08,33,4.0,,0.04,1.32
2016-10-09,0,4.0,,0.04,0.0
2016-10-10,55,4.0,,0.04,2.2
2016-10-11,45,4.0,,0.04,1.8
2016-10-12,46,4.0,,0.04,1.84
2016-10-13,100,4.0,,0.04,4.0
2016-10-14,0,4.0,,0.04,0.0
2016-10-15,0,4.0,,0.04,0.0
2016-10-16,0,4.0,,0.04,0.0
2016-10-17,54,4.0,,0.04,2.16
2016-10-18,9,4.0,,0.04,0.36
2016-10-19,46,4.0,,0.04,1.84
2016-10-20,27,4.0,,0.04,1.08
2016-10-21,37,4.0,,0.04,1.48
2016-10-22,0,4.0,,0.04,0.0
2016-10-23,0,4.0,,0.04,0.0
2016-10-24,18,4.0,,0.04,0.72
2016-10-25,80,4.0,,0.04,3.2
2016-10-26,18,4.0,,0.04,0.72
2016-10-27,9,4.0,,0.04,0.36
2016-10-28,28,4.0,,0.04,1.12
2016-10-29,11,4.0,,0.04,0.44
2016-10-30,0,4.0,,0.04,0.0
2016-10-31,36,4.0,,0.04,1.44
2016-11-01,46,6.0,False,0.06,2.76
2016-11-02,22,6.0,,0.06,1.3199999999999998
2016-11-03,58,6.0,,0.06,3.48
2016-11-04,62,6.0,,0.06,3.7199999999999998
2016-11-05,0,6.0,,0.06,0.0
2016-11-06,9,6.0,,0.06,0.54
2016-11-07,36,6.0,,0.06,2.16
2016-11-08,64,6.0,,0.06,3.84
2016-11-09,100,6.0,,0.06,6.0
2016-11-10,99,6.0,,0.06,5.9399999999999995
2016-11-11,54,6.0,,0.06,3.2399999999999998
2016-11-12,9,6.0,,0.06,0.54
2016-11-13,0,6.0,,0.06,0.0
2016-11-14,44,6.0,,0.06,2.6399999999999997
2016-11-15,37,6.0,,0.06,2.2199999999999998
2016-11-16,15,6.0,,0.06,0.8999999999999999
2016-11-17,23,6.0,,0.06,1.38
2016-11-18,31,6.0,,0.06,1.8599999999999999
2016-11-19,0,6.0,,0.06,0.0
2016-11-20,0,6.0,,0.06,0.0
2016-11-21,44,6.0,,0.06,2.6399999999999997
2016-11-22,38,6.0,,0.06,2.28
2016-11-23,16,6.0,,0.06,0.96
2016-11-24,0,6.0,,0.06,0.0
2016-11-25,16,6.0,,0.06,0.96
2016-11-26,0,6.0,,0.06,0.0
2016-11-27,0,6.0,,0.06,0.0
2016-11-28,27,6.0,,0.06,1.6199999999999999
2016-11-29,28,6.0,,0.06,1.68
2016-11-30,21,6.0,,0.06,1.26
2016-12-01,25,4.0,False,0.04,1.0
2016-12-02,34,4.0,,0.04,1.36
2016-12-03,0,4.0,,0.04,0.0
2016-12-04,19,4.0,,0.04,0.76
2016-12-05,53,4.0,,0.04,2.12
2016-12-06,32,4.0,,0.04,1.28
2016-12-07,100,4.0,,0.04,4.0
2016-12-08,8,4.0,,0.04,0.32
2016-12-09,26,4.0,,0.04,1.04
2016-12-10,10,4.0,,0.04,0.4
2016-12-11,0,4.0,,0.04,0.0
2016-12-12,73,4.0,,0.04,2.92
2016-12-13,25,4.0,,0.04,1.0
2016-12-14,25,4.0,,0.04,1.0
2016-12-15,34,4.0,,0.04,1.36
2016-12-16,45,4.0,,0.04,1.8
2016-12-17,0,4.0,,0.04,0.0
2016-12-18,0,4.0,,0.04,0.0
2016-12-19,44,4.0,,0.04,1.76
2016-12-20,54,4.0,,0.04,2.16
2016-12-21,65,4.0,,0.04,2.6
2016-12-22,29,4.0,,0.04,1.16
2016-12-23,19,4.0,,0.04,0.76
2016-12-24,0,4.0,,0.04,0.0
2016-12-25,0,4.0,,0.04,0.0
2016-12-26,20,4.0,,0.04,0.8
2016-12-27,36,4.0,,0.04,1.44
2016-12-28,37,4.0,,0.04,1.48
2016-12-29,36,4.0,,0.04,1.44
2016-12-30,29,4.0,,0.04,1.16
2016-12-31,0,4.0,,0.04,0.0
2017-01-01,0,3.0,False,0.03,0.0
2017-01-02,16,3.0,,0.03,0.48
2017-01-03,43,3.0,,0.03,1.29
2017-01-04,58,3.0,,0.03,1.74
2017-01-05,60,3.0,,0.03,1.7999999999999998
