date,AAPL_unscaled,AAPL_monthly,isPartial,scale,AAPL
2016-05-01,13,46.0,False,0.46,5.98
2016-05-02,73,46.0,,0.46,33.58
2016-05-03,85,46.0,,0.46,39.1
2016-05-04,67,46.0,,0.46,30.82
2016-05-05,58,46.0,,0.46,26.68
2016-05-06,55,46.0,,0.46,25.3
2016-05-07,17,46.0,,0.46,7.82
2016-05-08,9,46.0,,0.46,4.140000000000001
2016-05-09,53,46.0,,0.46,24.380000000000003
2016-05-10,62,46.0,,0.46,28.52
2016-05-11,55,46.0,,0.46,25.3
2016-05-12,72,46.0,,0.46,33.120000000000005
2016-05-13,68,46.0,,0.46,31.28
2016-05-14,18,46.0,,0.46,8.280000000000001
2016-05-15,11,46.0,,0.46,5.0600000000000005
2016-05-16,100,46.0,,0.46,46.0
2016-05-17,79,46.0,,0.46,36.34
2016-05-18,62,46.0,,0.46,28.52
2016-05-19,59,46.0,,0.46,27.14
2016-05-20,57,46.0,,0.46,26.220000000000002
2016-05-21,15,46.0,,0.46,6.9
2016-05-22,10,46.0,,0.46,4.6000000000000005
2016-05-23,56,46.0,,0.46,25.76
2016-05-24,71,46.0,,0.46,32.660000000000004
2016-05-25,77,46.0,,0.46,35.42
2016-05-26,70,46.0,,0.46,32.2
2016-05-27,65,46.0,,0.46,29.900000000000002
2016-05-28,12,46.0,,0.46,5.5200000000000005
2016-05-29,8,46.0,,0.46,3.68
2016-05-30,9,46.0,,0.46,4.140000000000001
2016-05-31,56,46.0,,0.46,25.76
2016-06-01,58,34.0,False,0.34,19.720000000000002
2016-06-02,58,34.0,,0.34,19.720000000000002
2016-06-03,56,34.0,,0.34,19.040000000000003
2016-06-04,10,34.0,,0.34,3.4000000000000004
2016-06-05,10,34.0,,0.34,3.4000000000000004
2016-06-06,55,34.0,,0.34,18.700000000000003
2016-06-07,57,34.0,,0.34,19.380000000000003
2016-06-08,52,34.0,,0.34,17.68
2016-06-09,50,34.0,,0.34,17.0
2016-06-10,47,34.0,,0.34,15.98
2016-06-11,13,34.0,,0.34,4.42
2016-06-12,10,34.0,,0.34,3.4000000000000004
2016-06-13,62,34.0,,0.34,21.080000000000002
