date,DOW_unscaled,DOW_monthly,isPartial,scale,DOW
2016-05-01,9,6.0,False,0.06,0.54
2016-05-02,37,6.0,,0.06,2.2199999999999998
2016-05-03,45,6.0,,0.06,2.6999999999999997
2016-05-04,46,6.0,,0.06,2.76
2016-05-05,44,6.0,,0.06,2.6399999999999997
2016-05-06,42,6.0,,0.06,2.52
2016-05-07,11,6.0,,0.06,0.6599999999999999
2016-05-08,8,6.0,,0.06,0.48
2016-05-09,37,6.0,,0.06,2.2199999999999998
2016-05-10,41,6.0,,0.06,2.46
2016-05-11,42,6.0,,0.06,2.52
2016-05-12,42,6.0,,0.06,2.52
2016-05-13,40,6.0,,0.06,2.4
2016-05-14,11,6.0,,0.06,0.6599999999999999
2016-05-15,9,6.0,,0.06,0.54
2016-05-16,38,6.0,,0.06,2.28
2016-05-17,44,6.0,,0.06,2.6399999999999997
2016-05-18,43,6.0,,0.06,2.58
2016-05-19,41,6.0,,0.06,2.46
2016-05-20,41,6.0,,0.06,2.46
2016-05-21,11,6.0,,0.06,0.6599999999999999
2016-05-22,6,6.0,,0.06,0.36
2016-05-23,38,6.0,,0.06,2.28
2016-05-24,40,6.0,,0.06,2.4
2016-05-25,41,6.0,,0.06,2.46
2016-05-26,100,6.0,,0.06,6.0
2016-05-27,59,6.0,,0.06,3.54
2016-05-28,15,6.0,,0.06,0.8999999999999999
2016-05-29,10,6.0,,0.06,0.6
2016-05-30,11,6.0,,0.06,0.6599999999999999
2016-05-31,38,6.0,,0.06,2.28
2016-06-01,14,9.0,False,0.09,1.26
2016-06-02,13,9.0,,0.09,1.17
2016-06-03,14,9.0,,0.09,1.26
2016-06-04,4,9.0,,0.09,0.36
2016-06-05,3,9.0,,0.09,0.27
2016-06-06,13,9.0,,0.09,1.17
2016-06-07,14,9.0,,0.09,1.26
2016-06-08,15,9.0,,0.09,1.3499999999999999
2016-06-09,14,9.0,,0.09,1.26
2016-06-10,14,9.0,,0.09,1.26
2016-06-11,3,9.0,,0.09,0.27
2016-06-12,3,9.0,,0.09,0.27
2016-06-13,13,9.0,,0.09,1.17
2016-06-14,14,9.0,,0.09,1.26
2016-06-15,13,9.0,,0.09,1.17
2016-06-16,14,9.0,,0.09,1.26
2016-06-17,13,9.0,,0.09,1.17
2016-06-18,3,9.0,,0.09,0.27
2016-06-19,3,9.0,,0.09,0.27
2016-06-20,14,9.0,,0.09,1.26
2016-06-21,15,9.0,,0.09,1.3499999999999999
2016-06-22,15,9.0,,0.09,1.3499999999999999
2016-06-23,16,9.0,,0.09,1.44
2016-06-24,100,9.0,,0.09,9.0
2016-06-25,17,9.0,,0.09,1.53
2016-06-26,9,9.0,,0.09,0.8099999999999999
2016-06-27,46,9.0,,0.09,4.14
2016-06-28,37,9.0,,0.09,3.33
2016-06-29,29,9.0,,0.09,2.61
2016-06-30,26,9.0,,0.09,2.34
2016-07-01,100,7.0,False,0.07,7.000000000000001
2016-07-02,23,7.0,,0.07,1.61
