date,ID_unscaled,ID_monthly,isPartial,scale,ID
2016-05-01,82,72.0,False,0.72,59.04
2016-05-02,92,72.0,,0.72,66.24
2016-05-03,93,72.0,,0.72,66.96
2016-05-04,91,72.0,,0.72,65.52
2016-05-05,92,72.0,,0.72,66.24
2016-05-06,91,72.0,,0.72,65.52
2016-05-07,84,72.0,,0.72,60.48
2016-05-08,79,72.0,,0.72,56.879999999999995
2016-05-09,95,72.0,,0.72,68.39999999999999
2016-05-10,93,72.0,,0.72,66.96
2016-05-11,97,72.0,,0.72,69.84
2016-05-12,94,72.0,,0.72,67.67999999999999
2016-05-13,95,72.0,,0.72,68.39999999999999
2016-05-14,85,72.0,,0.72,61.199999999999996
2016-05-15,84,72.0,,0.72,60.48
2016-05-16,100,72.0,,0.72,72.0
2016-05-17,96,72.0,,0.72,69.12
2016-05-18,96,72.0,,0.72,69.12
2016-05-19,93,72.0,,0.72,66.96
2016-05-20,94,72.0,,0.72,67.67999999999999
2016-05-21,91,72.0,,0.72,65.52
2016-05-22,82,72.0,,0.72,59.04
2016-05-23,97,72.0,,0.72,69.84
2016-05-24,99,72.0,,0.72,71.28
2016-05-25,95,72.0,,0.72,68.39999999999999
2016-05-26,98,72.0,,0.72,70.56
2016-05-27,97,72.0,,0.72,69.84
2016-05-28,89,72.0,,0.72,64.08
2016-05-29,84,72.0,,0.72,60.48
2016-05-30,85,72.0,,0.72,61.199999999999996
2016-05-31,99,72.0,,0.72,71.28
2016-06-01,94,76.0,False,0.76,71.44
2016-06-02,94,76.0,,0.76,71.44
2016-06-03,94,76.0,,0.76,71.44
2016-06-04,81,76.0,,0.76,61.56
2016-06-05,79,76.0,,0.76,60.04
2016-06-06,93,76.0,,0.76,70.68
2016-06-07,93,76.0,,0.76,70.68
2016-06-08,92,76.0,,0.76,69.92
2016-06-09,91,76.0,,0.76,69.16
2016-06-10,94,76.0,,0.76,71.44
2016-06-11,77,76.0,,0.76,58.52
2016-06-12,75,76.0,,0.76,57.0
2016-06-13,92,76.0,,0.76,69.92
2016-06-14,93,76.0,,0.76,70.68
2016-06-15,97,76.0,,0.76,73.72
2016-06-16,95,76.0,,0.76,72.2
2016-06-17,91,76.0,,0.76,69.16
2016-06-18,82,76.0,,0.76,62.32
2016-06-19,79,76.0,,0.76,60.04
2016-06-20,94,76.0,,0.76,71.44
2016-06-21,100,76.0,,0.76,76.0
2016-06-22,95,76.0,,0.76,72.2
2016-06-23,95,76.0,,0.76,72.2
2016-06-24,92,76.0,,0.76,69.92
2016-06-25,82,76.0,,0.76,62.32
2016-06-26,81,76.0,,0.76,61.56
2016-06-27,94,76.0,,0.76,71.44
2016-06-28,97,76.0,,0.76,73.72
2016-06-29,98,76.0,,0.76,74.48
