date,MTCH_unscaled,MTCH_monthly,isPartial,scale,MTCH
2016-05-01,34,47.0,False,0.47,15.979999999999999
2016-05-02,64,47.0,,0.47,30.08
2016-05-03,79,47.0,,0.47,37.129999999999995
2016-05-04,100,47.0,,0.47,47.0
2016-05-05,59,47.0,,0.47,27.729999999999997
2016-05-06,69,47.0,,0.47,32.43
2016-05-07,36,47.0,,0.47,16.919999999999998
2016-05-08,9,47.0,,0.47,4.2299999999999995
2016-05-09,51,47.0,,0.47,23.97
2016-05-10,79,47.0,,0.47,37.129999999999995
2016-05-11,66,47.0,,0.47,31.02
2016-05-12,53,47.0,,0.47,24.91
2016-05-13,69,47.0,,0.47,32.43
2016-05-14,18,47.0,,0.47,8.459999999999999
2016-05-15,9,47.0,,0.47,4.2299999999999995
2016-05-16,30,47.0,,0.47,14.1
2016-05-17,58,47.0,,0.47,27.259999999999998
2016-05-18,29,47.0,,0.47,13.629999999999999
2016-05-19,60,47.0,,0.47,28.2
2016-05-20,16,47.0,,0.47,7.52
2016-05-21,18,47.0,,0.47,8.459999999999999
2016-05-22,0,47.0,,0.47,0.0
2016-05-23,30,47.0,,0.47,14.1
2016-05-24,0,47.0,,0.47,0.0
2016-05-25,15,47.0,,0.47,7.05
2016-05-26,15,47.0,,0.47,7.05
2016-05-27,40,47.0,,0.47,18.799999999999997
2016-05-28,28,47.0,,0.47,13.16
2016-05-29,19,47.0,,0.47,8.93
2016-05-30,27,47.0,,0.47,12.69
2016-05-31,53,47.0,,0.47,24.91
2016-06-01,84,32.0,False,0.32,26.88
2016-06-02,28,32.0,,0.32,8.96
2016-06-03,58,32.0,,0.32,18.56
2016-06-04,33,32.0,,0.32,10.56
2016-06-05,0,32.0,,0.32,0.0
2016-06-06,56,32.0,,0.32,17.92
2016-06-07,28,32.0,,0.32,8.96
2016-06-08,42,32.0,,0.32,13.44
2016-06-09,57,32.0,,0.32,18.240000000000002
2016-06-10,89,32.0,,0.32,28.48
2016-06-11,66,32.0,,0.32,21.12
2016-06-12,17,32.0,,0.32,5.44
2016-06-13,28,32.0,,0.32,8.96
2016-06-14,83,32.0,,0.32,26.560000000000002
2016-06-15,84,32.0,,0.32,26.88
2016-06-16,85,32.0,,0.32,27.2
2016-06-17,73,32.0,,0.32,23.36
2016-06-18,17,32.0,,0.32,5.44
2016-06-19,17,32.0,,0.32,5.44
2016-06-20,14,32.0,,0.32,4.48
2016-06-21,100,32.0,,0.32,32.0
2016-06-22,43,32.0,,0.32,13.76
2016-06-23,71,32.0,,0.32,22.72
2016-06-24,87,32.0,,0.32,27.84
2016-06-25,68,32.0,,0.32,21.76
2016-06-26,35,32.0,,0.32,11.200000000000001
2016-06-27,84,32.0,,0.32,26.88
2016-06-28,57,32.0,,0.32,18.240000000000002
2016-06-29,29,32.0,,0.32,9.28
2016-06-30,29,32.0,,0.32,9.28
2016-07-01,19,45.0,False,0.45,8.55
2016-07-02,30,45.0,,0.45,13.5
2016-07-03,31,45.0,,0.45,13.950000000000001
2016-07-04,15,45.0,,0.45,6.75
2016-07-05,20,45.0,,0.45,9.0
2016-07-06,44,45.0,,0.45,19.8
2016-07-07,25,45.0,,0.45,11.25
2016-07-08,19,45.0,,0.45,8.55
2016-07-09,7,45.0,,0.45,3.15
2016-07-10,15,45.0,,0.45,6.75
2016-07-11,19,45.0,,0.45,8.55
2016-07-12,70,45.0,,0.45,31.5
2016-07-13,13,45.0,,0.45,5.8500000000000005
2016-07-14,37,45.0,,0.45,16.650000000000002
2016-07-15,19,45.0,,0.45,8.55
2016-07-16,37,45.0,,0.45,16.650000000000002
2016-07-17,7,45.0,,0.45,3.15
2016-07-18,19,45.0,,0.45,8.55
2016-07-19,38,45.0,,0.45,17.1
2016-07-20,39,45.0,,0.45,17.55
2016-07-21,39,45.0,,0.45,17.55
2016-07-22,46,45.0,,0.45,20.7
