date,KO_unscaled,KO_monthly,isPartial,scale,KO
2016-05-01,42,69.0,False,0.69,28.979999999999997
2016-05-02,45,69.0,,0.69,31.049999999999997
2016-05-03,44,69.0,,0.69,30.36
2016-05-04,44,69.0,,0.69,30.36
2016-05-05,42,69.0,,0.69,28.979999999999997
2016-05-06,44,69.0,,0.69,30.36
2016-05-07,47,69.0,,0.69,32.43
2016-05-08,100,69.0,,0.69,69.0
2016-05-09,61,69.0,,0.69,42.089999999999996
2016-05-10,47,69.0,,0.69,32.43
2016-05-11,49,69.0,,0.69,33.809999999999995
2016-05-12,46,69.0,,0.69,31.74
2016-05-13,51,69.0,,0.69,35.19
2016-05-14,49,69.0,,0.69,33.809999999999995
2016-05-15,64,69.0,,0.69,44.16
2016-05-16,54,69.0,,0.69,37.26
2016-05-17,46,69.0,,0.69,31.74
2016-05-18,53,69.0,,0.69,36.57
2016-05-19,45,69.0,,0.69,31.049999999999997
2016-05-20,48,69.0,,0.69,33.12
2016-05-21,50,69.0,,0.69,34.5
2016-05-22,47,69.0,,0.69,32.43
2016-05-23,45,69.0,,0.69,31.049999999999997
2016-05-24,49,69.0,,0.69,33.809999999999995
2016-05-25,40,69.0,,0.69,27.599999999999998
2016-05-26,48,69.0,,0.69,33.12
2016-05-27,51,69.0,,0.69,35.19
2016-05-28,53,69.0,,0.69,36.57
2016-05-29,45,69.0,,0.69,31.049999999999997
2016-05-30,43,69.0,,0.69,29.669999999999998
2016-05-31,44,69.0,,0.69,30.36
2016-06-01,58,70.0,False,0.7,40.599999999999994
2016-06-02,58,70.0,,0.7,40.599999999999994
2016-06-03,64,70.0,,0.7,44.8
2016-06-04,72,70.0,,0.7,50.4
2016-06-05,100,70.0,,0.7,70.0
2016-06-06,71,70.0,,0.7,49.699999999999996
2016-06-07,49,70.0,,0.7,34.3
2016-06-08,51,70.0,,0.7,35.699999999999996
2016-06-09,61,70.0,,0.7,42.699999999999996
2016-06-10,60,70.0,,0.7,42.0
2016-06-11,60,70.0,,0.7,42.0
2016-06-12,88,70.0,,0.7,61.599999999999994
2016-06-13,75,70.0,,0.7,52.5
2016-06-14,56,70.0,,0.7,39.199999999999996
2016-06-15,55,70.0,,0.7,38.5
2016-06-16,52,70.0,,0.7,36.4
2016-06-17,53,70.0,,0.7,37.099999999999994
2016-06-18,55,70.0,,0.7,38.5
2016-06-19,59,70.0,,0.7,41.3
2016-06-20,56,70.0,,0.7,39.199999999999996
2016-06-21,60,70.0,,0.7,42.0
2016-06-22,51,70.0,,0.7,35.699999999999996
2016-06-23,54,70.0,,0.7,37.8
2016-06-24,67,70.0,,0.7,46.9
2016-06-25,73,70.0,,0.7,51.099999999999994
2016-06-26,71,70.0,,0.7,49.699999999999996
2016-06-27,71,70.0,,0.7,49.699999999999996
2016-06-28,59,70.0,,0.7,41.3
2016-06-29,58,70.0,,0.7,40.599999999999994
2016-06-30,60,70.0,,0.7,42.0
2016-07-01,51,73.0,False,0.73,37.23
2016-07-02,50,73.0,,0.73,36.5
2016-07-03,41,73.0,,0.73,29.93
2016-07-04,49,73.0,,0.73,35.769999999999996
2016-07-05,50,73.0,,0.73,36.5
2016-07-06,43,73.0,,0.73,31.39
2016-07-07,46,73.0,,0.73,33.58
2016-07-08,57,73.0,,0.73,41.61
2016-07-09,61,73.0,,0.73,44.53
2016-07-10,100,73.0,,0.73,73.0
2016-07-11,59,73.0,,0.73,43.07
2016-07-12,51,73.0,,0.73,37.23
2016-07-13,49,73.0,,0.73,35.769999999999996
2016-07-14,56,73.0,,0.73,40.879999999999995
2016-07-15,52,73.0,,0.73,37.96
2016-07-16,51,73.0,,0.73,37.23
2016-07-17,77,73.0,,0.73,56.21
2016-07-18,64,73.0,,0.73,46.72
2016-07-19,50,73.0,,0.73,36.5
2016-07-20,55,73.0,,0.73,40.15
2016-07-21,50,73.0,,0.73,36.5
2016-07-22,52,73.0,,0.73,37.96
2016-07-23,50,73.0,,0.73,36.5
2016-07-24,59,73.0,,0.73,43.07
2016-07-25,55,73.0,,0.73,40.15
2016-07-26,47,73.0,,0.73,34.31
