date,WH_unscaled,WH_monthly,isPartial,scale,WH
2016-05-01,100,67.0,False,0.67,67.0
2016-05-02,62,67.0,,0.67,41.54
2016-05-03,83,67.0,,0.67,55.61000000000001
2016-05-04,77,67.0,,0.67,51.59
2016-05-05,59,67.0,,0.67,39.53
2016-05-06,51,67.0,,0.67,34.17
2016-05-07,56,67.0,,0.67,37.52
2016-05-08,71,67.0,,0.67,47.57
2016-05-09,55,67.0,,0.67,36.85
2016-05-10,60,67.0,,0.67,40.2
2016-05-11,63,67.0,,0.67,42.21
2016-05-12,89,67.0,,0.67,59.63
2016-05-13,72,67.0,,0.67,48.24
2016-05-14,53,67.0,,0.67,35.510000000000005
2016-05-15,60,67.0,,0.67,40.2
2016-05-16,73,67.0,,0.67,48.910000000000004
2016-05-17,66,67.0,,0.67,44.220000000000006
2016-05-18,66,67.0,,0.67,44.220000000000006
2016-05-19,66,67.0,,0.67,44.220000000000006
2016-05-20,64,67.0,,0.67,42.88
2016-05-21,55,67.0,,0.67,36.85
2016-05-22,65,67.0,,0.67,43.550000000000004
2016-05-23,66,67.0,,0.67,44.220000000000006
2016-05-24,70,67.0,,0.67,46.900000000000006
2016-05-25,66,67.0,,0.67,44.220000000000006
2016-05-26,59,67.0,,0.67,39.53
2016-05-27,58,67.0,,0.67,38.86
2016-05-28,55,67.0,,0.67,36.85
2016-05-29,65,67.0,,0.67,43.550000000000004
2016-05-30,57,67.0,,0.67,38.190000000000005
2016-05-31,57,67.0,,0.67,38.190000000000005
2016-06-01,83,58.0,False,0.58,48.13999999999999
2016-06-02,76,58.0,,0.58,44.08
2016-06-03,83,58.0,,0.58,48.13999999999999
2016-06-04,86,58.0,,0.58,49.879999999999995
2016-06-05,85,58.0,,0.58,49.3
2016-06-06,81,58.0,,0.58,46.98
2016-06-07,77,58.0,,0.58,44.66
2016-06-08,92,58.0,,0.58,53.36
2016-06-09,96,58.0,,0.58,55.67999999999999
2016-06-10,82,58.0,,0.58,47.559999999999995
2016-06-11,66,58.0,,0.58,38.279999999999994
2016-06-12,82,58.0,,0.58,47.559999999999995
2016-06-13,91,58.0,,0.58,52.779999999999994
2016-06-14,100,58.0,,0.58,57.99999999999999
2016-06-15,74,58.0,,0.58,42.919999999999995
2016-06-16,86,58.0,,0.58,49.879999999999995
2016-06-17,61,58.0,,0.58,35.379999999999995
2016-06-18,70,58.0,,0.58,40.599999999999994
2016-06-19,63,58.0,,0.58,36.54
2016-06-20,62,58.0,,0.58,35.96
2016-06-21,63,58.0,,0.58,36.54
2016-06-22,78,58.0,,0.58,45.239999999999995
2016-06-23,71,58.0,,0.58,41.18
2016-06-24,69,58.0,,0.58,40.019999999999996
2016-06-25,52,58.0,,0.58,30.159999999999997
2016-06-26,71,58.0,,0.58,41.18
2016-06-27,64,58.0,,0.58,37.12
2016-06-28,63,58.0,,0.58,36.54
2016-06-29,88,58.0,,0.58,51.04
2016-06-30,68,58.0,,0.58,39.44
2016-07-01,70,57.0,False,0.57,39.9
2016-07-02,63,57.0,,0.57,35.91
2016-07-03,75,57.0,,0.57,42.74999999999999
2016-07-04,65,57.0,,0.57,37.05
2016-07-05,95,57.0,,0.57,54.15
2016-07-06,76,57.0,,0.57,43.31999999999999
2016-07-07,69,57.0,,0.57,39.33
2016-07-08,71,57.0,,0.57,40.47
2016-07-09,72,57.0,,0.57,41.04
2016-07-10,75,57.0,,0.57,42.74999999999999
2016-07-11,71,57.0,,0.57,40.47
2016-07-12,80,57.0,,0.57,45.599999999999994
2016-07-13,74,57.0,,0.57,42.18
2016-07-14,83,57.0,,0.57,47.309999999999995
2016-07-15,85,57.0,,0.57,48.449999999999996
2016-07-16,67,57.0,,0.57,38.19
2016-07-17,89,57.0,,0.57,50.73
2016-07-18,93,57.0,,0.57,53.01
2016-07-19,93,57.0,,0.57,53.01
2016-07-20,71,57.0,,0.57,40.47
2016-07-21,67,57.0,,0.57,38.19
2016-07-22,66,57.0,,0.57,37.62
2016-07-23,81,57.0,,0.57,46.169999999999995
2016-07-24,58,57.0,,0.57,33.059999999999995
2016-07-25,100,57.0,,0.57,56.99999999999999
2016-07-26,66,57.0,,0.57,37.62
2016-07-27,87,57.0,,0.57,49.589999999999996
2016-07-28,83,57.0,,0.57,47.309999999999995
2016-07-29,83,57.0,,0.57,47.309999999999995
2016-07-30,71,57.0,,0.57,40.47
2016-07-31,84,57.0,,0.57,47.879999999999995
2016-08-01,71,55.0,False,0.55,39.050000000000004
2016-08-02,95,55.0,,0.55,52.25000000000001
2016-08-03,58,55.0,,0.55,31.900000000000002
2016-08-04,83,55.0,,0.55,45.650000000000006
2016-08-05,76,55.0,,0.55,41.800000000000004
2016-08-06,74,55.0,,0.55,40.7
2016-08-07,74,55.0,,0.55,40.7
2016-08-08,71,55.0,,0.55,39.050000000000004
2016-08-09,82,55.0,,0.55,45.1
2016-08-10,66,55.0,,0.55,36.300000000000004
2016-08-11,65,55.0,,0.55,35.75
2016-08-12,75,55.0,,0.55,41.25
2016-08-13,67,55.0,,0.55,36.85
