date,NOK_unscaled,NOK_monthly,isPartial,scale,NOK
2016-05-01,71,9.0,False,0.09,6.39
2016-05-02,51,9.0,,0.09,4.59
2016-05-03,76,9.0,,0.09,6.84
2016-05-04,80,9.0,,0.09,7.199999999999999
2016-05-05,83,9.0,,0.09,7.47
2016-05-06,59,9.0,,0.09,5.31
2016-05-07,46,9.0,,0.09,4.14
2016-05-08,44,9.0,,0.09,3.96
2016-05-09,74,9.0,,0.09,6.66
2016-05-10,72,9.0,,0.09,6.4799999999999995
2016-05-11,69,9.0,,0.09,6.21
2016-05-12,84,9.0,,0.09,7.56
2016-05-13,66,9.0,,0.09,5.9399999999999995
2016-05-14,42,9.0,,0.09,3.78
2016-05-15,36,9.0,,0.09,3.2399999999999998
2016-05-16,83,9.0,,0.09,7.47
2016-05-17,96,9.0,,0.09,8.64
2016-05-18,80,9.0,,0.09,7.199999999999999
2016-05-19,60,9.0,,0.09,5.3999999999999995
2016-05-20,69,9.0,,0.09,6.21
2016-05-21,56,9.0,,0.09,5.04
2016-05-22,57,9.0,,0.09,5.13
2016-05-23,79,9.0,,0.09,7.109999999999999
2016-05-24,75,9.0,,0.09,6.75
2016-05-25,91,9.0,,0.09,8.19
2016-05-26,100,9.0,,0.09,9.0
2016-05-27,71,9.0,,0.09,6.39
2016-05-28,40,9.0,,0.09,3.5999999999999996
2016-05-29,38,9.0,,0.09,3.42
2016-05-30,46,9.0,,0.09,4.14
2016-05-31,94,9.0,,0.09,8.459999999999999
2016-06-01,42,11.0,False,0.11,4.62
2016-06-02,45,11.0,,0.11,4.95
2016-06-03,45,11.0,,0.11,4.95
2016-06-04,39,11.0,,0.11,4.29
2016-06-05,31,11.0,,0.11,3.41
2016-06-06,46,11.0,,0.11,5.06
2016-06-07,40,11.0,,0.11,4.4
2016-06-08,73,11.0,,0.11,8.03
2016-06-09,37,11.0,,0.11,4.07
2016-06-10,52,11.0,,0.11,5.72
2016-06-11,25,11.0,,0.11,2.75
2016-06-12,17,11.0,,0.11,1.87
2016-06-13,62,11.0,,0.11,6.82
2016-06-14,55,11.0,,0.11,6.05
2016-06-15,55,11.0,,0.11,6.05
2016-06-16,54,11.0,,0.11,5.94
2016-06-17,41,11.0,,0.11,4.51
2016-06-18,38,11.0,,0.11,4.18
2016-06-19,26,11.0,,0.11,2.86
2016-06-20,47,11.0,,0.11,5.17
2016-06-21,56,11.0,,0.11,6.16
2016-06-22,50,11.0,,0.11,5.5
2016-06-23,59,11.0,,0.11,6.49
2016-06-24,100,11.0,,0.11,11.0
2016-06-25,44,11.0,,0.11,4.84
2016-06-26,35,11.0,,0.11,3.85
2016-06-27,61,11.0,,0.11,6.71
2016-06-28,61,11.0,,0.11,6.71
2016-06-29,65,11.0,,0.11,7.15
2016-06-30,60,11.0,,0.11,6.6
2016-07-01,64,9.0,False,0.09,5.76
2016-07-02,56,9.0,,0.09,5.04
2016-07-03,40,9.0,,0.09,3.5999999999999996
2016-07-04,59,9.0,,0.09,5.31
2016-07-05,57,9.0,,0.09,5.13
2016-07-06,71,9.0,,0.09,6.39
2016-07-07,76,9.0,,0.09,6.84
2016-07-08,70,9.0,,0.09,6.3
2016-07-09,38,9.0,,0.09,3.42
2016-07-10,74,9.0,,0.09,6.66
2016-07-11,82,9.0,,0.09,7.38
2016-07-12,87,9.0,,0.09,7.83
2016-07-13,100,9.0,,0.09,9.0
2016-07-14,90,9.0,,0.09,8.1
2016-07-15,76,9.0,,0.09,6.84
2016-07-16,36,9.0,,0.09,3.2399999999999998
2016-07-17,33,9.0,,0.09,2.9699999999999998
2016-07-18,83,9.0,,0.09,7.47
2016-07-19,62,9.0,,0.09,5.58
2016-07-20,64,9.0,,0.09,5.76
2016-07-21,73,9.0,,0.09,6.569999999999999
2016-07-22,83,9.0,,0.09,7.47
2016-07-23,50,9.0,,0.09,4.5
