date,AMC_unscaled,AMC_monthly,isPartial,scale,AMC
2016-05-01,63,54.0,False,0.54,34.02
2016-05-02,31,54.0,,0.54,16.740000000000002
2016-05-03,29,54.0,,0.54,15.66
2016-05-04,30,54.0,,0.54,16.200000000000003
2016-05-05,39,54.0,,0.54,21.060000000000002
2016-05-06,65,54.0,,0.54,35.1
2016-05-07,100,54.0,,0.54,54.0
2016-05-08,88,54.0,,0.54,47.52
2016-05-09,39,54.0,,0.54,21.060000000000002
2016-05-10,32,54.0,,0.54,17.28
2016-05-11,31,54.0,,0.54,16.740000000000002
2016-05-12,31,54.0,,0.54,16.740000000000002
2016-05-13,48,54.0,,0.54,25.92
2016-05-14,76,54.0,,0.54,41.040000000000006
2016-05-15,67,54.0,,0.54,36.18
2016-05-16,31,54.0,,0.54,16.740000000000002
2016-05-17,28,54.0,,0.54,15.120000000000001
2016-05-18,27,54.0,,0.54,14.580000000000002
2016-05-19,31,54.0,,0.54,16.740000000000002
2016-05-20,49,54.0,,0.54,26.46
2016-05-21,77,54.0,,0.54,41.580000000000005
2016-05-22,68,54.0,,0.54,36.72
2016-05-23,42,54.0,,0.54,22.68
2016-05-24,32,54.0,,0.54,17.28
2016-05-25,30,54.0,,0.54,16.200000000000003
2016-05-26,39,54.0,,0.54,21.060000000000002
2016-05-27,61,54.0,,0.54,32.940000000000005
2016-05-28,81,54.0,,0.54,43.74
2016-05-29,80,54.0,,0.54,43.2
2016-05-30,76,54.0,,0.54,41.040000000000006
2016-05-31,37,54.0,,0.54,19.98
2016-06-01,29,67.0,False,0.67,19.43
2016-06-02,31,67.0,,0.67,20.77
2016-06-03,46,67.0,,0.67,30.82
2016-06-04,66,67.0,,0.67,44.220000000000006
2016-06-05,61,67.0,,0.67,40.870000000000005
2016-06-06,36,67.0,,0.67,24.12
2016-06-07,32,67.0,,0.67,21.44
2016-06-08,31,67.0,,0.67,20.77
2016-06-09,38,67.0,,0.67,25.46
2016-06-10,54,67.0,,0.67,36.18
2016-06-11,81,67.0,,0.67,54.27
2016-06-12,69,67.0,,0.67,46.230000000000004
2016-06-13,40,67.0,,0.67,26.8
2016-06-14,38,67.0,,0.67,25.46
2016-06-15,36,67.0,,0.67,24.12
2016-06-16,41,67.0,,0.67,27.470000000000002
2016-06-17,73,67.0,,0.67,48.910000000000004
2016-06-18,100,67.0,,0.67,67.0
2016-06-19,80,67.0,,0.67,53.6
2016-06-20,48,67.0,,0.67,32.160000000000004
2016-06-21,46,67.0,,0.67,30.82
2016-06-22,44,67.0,,0.67,29.48
2016-06-23,44,67.0,,0.67,29.48
2016-06-24,55,67.0,,0.67,36.85
2016-06-25,77,67.0,,0.67,51.59
2016-06-26,71,67.0,,0.67,47.57
2016-06-27,40,67.0,,0.67,26.8
2016-06-28,41,67.0,,0.67,27.470000000000002
2016-06-29,40,67.0,,0.67,26.8
2016-06-30,43,67.0,,0.67,28.810000000000002
2016-07-01,72,72.0,False,0.72,51.839999999999996
2016-07-02,100,72.0,,0.72,72.0
2016-07-03,95,72.0,,0.72,68.39999999999999
2016-07-04,75,72.0,,0.72,54.0
2016-07-05,52,72.0,,0.72,37.44
2016-07-06,49,72.0,,0.72,35.28
2016-07-07,49,72.0,,0.72,35.28
2016-07-08,68,72.0,,0.72,48.96
2016-07-09,98,72.0,,0.72,70.56
2016-07-10,86,72.0,,0.72,61.919999999999995
2016-07-11,48,72.0,,0.72,34.56
2016-07-12,43,72.0,,0.72,30.959999999999997
2016-07-13,47,72.0,,0.72,33.839999999999996
2016-07-14,41,72.0,,0.72,29.52
2016-07-15,57,72.0,,0.72,41.04
2016-07-16,79,72.0,,0.72,56.879999999999995
2016-07-17,72,72.0,,0.72,51.839999999999996
2016-07-18,44,72.0,,0.72,31.68
2016-07-19,40,72.0,,0.72,28.799999999999997
2016-07-20,40,72.0,,0.72,28.799999999999997
2016-07-21,45,72.0,,0.72,32.4
2016-07-22,67,72.0,,0.72,48.239999999999995
2016-07-23,93,72.0,,0.72,66.96
2016-07-24,82,72.0,,0.72,59.04
2016-07-25,48,72.0,,0.72,34.56
2016-07-26,45,72.0,,0.72,32.4
2016-07-27,43,72.0,,0.72,30.959999999999997
2016-07-28,48,72.0,,0.72,34.56
2016-07-29,63,72.0,,0.72,45.36
2016-07-30,92,72.0,,0.72,66.24
2016-07-31,87,72.0,,0.72,62.64
2016-08-01,53,54.0,False,0.54,28.62
2016-08-02,52,54.0,,0.54,28.080000000000002
2016-08-03,51,54.0,,0.54,27.540000000000003
2016-08-04,56,54.0,,0.54,30.240000000000002
