date,SOXL_unscaled,SOXL_monthly,isPartial,scale,SOXL
2016-05-01,100,1.0,False,0.01,1.0
2016-05-02,0,1.0,,0.01,0.0
2016-05-03,83,1.0,,0.01,0.8300000000000001
2016-05-04,0,1.0,,0.01,0.0
2016-05-05,0,1.0,,0.01,0.0
2016-05-06,89,1.0,,0.01,0.89
2016-05-07,0,1.0,,0.01,0.0
2016-05-08,0,1.0,,0.01,0.0
2016-05-09,0,1.0,,0.01,0.0
2016-05-10,0,1.0,,0.01,0.0
2016-05-11,0,1.0,,0.01,0.0
2016-05-12,88,1.0,,0.01,0.88
2016-05-13,90,1.0,,0.01,0.9
2016-05-14,0,1.0,,0.01,0.0
2016-05-15,0,1.0,,0.01,0.0
2016-05-16,0,1.0,,0.01,0.0
2016-05-17,85,1.0,,0.01,0.85
2016-05-18,0,1.0,,0.01,0.0
2016-05-19,87,1.0,,0.01,0.87
2016-05-20,0,1.0,,0.01,0.0
2016-05-21,0,1.0,,0.01,0.0
2016-05-22,0,1.0,,0.01,0.0
2016-05-23,0,1.0,,0.01,0.0
2016-05-24,87,1.0,,0.01,0.87
2016-05-25,0,1.0,,0.01,0.0
2016-05-26,0,1.0,,0.01,0.0
2016-05-27,0,1.0,,0.01,0.0
2016-05-28,0,1.0,,0.01,0.0
2016-05-29,0,1.0,,0.01,0.0
2016-05-30,0,1.0,,0.01,0.0
2016-05-31,89,1.0,,0.01,0.89
2016-06-01,0,1.0,False,0.01,0.0
2016-06-02,0,1.0,,0.01,0.0
2016-06-03,0,1.0,,0.01,0.0
2016-06-04,0,1.0,,0.01,0.0
2016-06-05,0,1.0,,0.01,0.0
2016-06-06,0,1.0,,0.01,0.0
2016-06-07,0,1.0,,0.01,0.0
2016-06-08,0,1.0,,0.01,0.0
2016-06-09,50,1.0,,0.01,0.5
2016-06-10,51,1.0,,0.01,0.51
2016-06-11,57,1.0,,0.01,0.5700000000000001
2016-06-12,0,1.0,,0.01,0.0
2016-06-13,48,1.0,,0.01,0.48
2016-06-14,0,1.0,,0.01,0.0
2016-06-15,49,1.0,,0.01,0.49
2016-06-16,0,1.0,,0.01,0.0
2016-06-17,0,1.0,,0.01,0.0
2016-06-18,0,1.0,,0.01,0.0
2016-06-19,0,1.0,,0.01,0.0
2016-06-20,99,1.0,,0.01,0.99
2016-06-21,0,1.0,,0.01,0.0
2016-06-22,0,1.0,,0.01,0.0
2016-06-23,0,1.0,,0.01,0.0
2016-06-24,100,1.0,,0.01,1.0
2016-06-25,0,1.0,,0.01,0.0
2016-06-26,0,1.0,,0.01,0.0
2016-06-27,49,1.0,,0.01,0.49
2016-06-28,0,1.0,,0.01,0.0
2016-06-29,50,1.0,,0.01,0.5
2016-06-30,51,1.0,,0.01,0.51
2016-07-01,0,2.0,False,0.02,0.0
2016-07-02,0,2.0,,0.02,0.0
2016-07-03,0,2.0,,0.02,0.0
2016-07-04,0,2.0,,0.02,0.0
2016-07-05,35,2.0,,0.02,0.7000000000000001
2016-07-06,34,2.0,,0.02,0.68
2016-07-07,0,2.0,,0.02,0.0
2016-07-08,0,2.0,,0.02,0.0
2016-07-09,0,2.0,,0.02,0.0
2016-07-10,0,2.0,,0.02,0.0
2016-07-11,0,2.0,,0.02,0.0
2016-07-12,34,2.0,,0.02,0.68
2016-07-13,0,2.0,,0.02,0.0
2016-07-14,65,2.0,,0.02,1.3
2016-07-15,0,2.0,,0.02,0.0
2016-07-16,40,2.0,,0.02,0.8
2016-07-17,0,2.0,,0.02,0.0
2016-07-18,0,2.0,,0.02,0.0
2016-07-19,34,2.0,,0.02,0.68
2016-07-20,69,2.0,,0.02,1.3800000000000001
2016-07-21,34,2.0,,0.02,0.68
2016-07-22,35,2.0,,0.02,0.7000000000000001
2016-07-23,0,2.0,,0.02,0.0
2016-07-24,0,2.0,,0.02,0.0
2016-07-25,0,2.0,,0.02,0.0
2016-07-26,33,2.0,,0.02,0.66
2016-07-27,100,2.0,,0.02,2.0
2016-07-28,0,2.0,,0.02,0.0
2016-07-29,0,2.0,,0.02,0.0
2016-07-30,39,2.0,,0.02,0.78
2016-07-31,39,2.0,,0.02,0.78
2016-08-01,0,1.0,False,0.01,0.0
2016-08-02,47,1.0,,0.01,0.47000000000000003
2016-08-03,48,1.0,,0.01,0.48
2016-08-04,0,1.0,,0.01,0.0
2016-08-05,0,1.0,,0.01,0.0
2016-08-06,0,1.0,,0.01,0.0
2016-08-07,0,1.0,,0.01,0.0
2016-08-08,0,1.0,,0.01,0.0
2016-08-09,49,1.0,,0.01,0.49
2016-08-10,50,1.0,,0.01,0.5
2016-08-11,0,1.0,,0.01,0.0
2016-08-12,51,1.0,,0.01,0.51
2016-08-13,57,1.0,,0.01,0.5700000000000001
2016-08-14,0,1.0,,0.01,0.0
2016-08-15,0,1.0,,0.01,0.0
2016-08-16,0,1.0,,0.01,0.0
2016-08-17,0,1.0,,0.01,0.0
2016-08-18,0,1.0,,0.01,0.0
2016-08-19,0,1.0,,0.01,0.0
2016-08-20,0,1.0,,0.01,0.0
2016-08-21,0,1.0,,0.01,0.0
2016-08-22,0,1.0,,0.01,0.0
2016-08-23,100,1.0,,0.01,1.0
2016-08-24,0,1.0,,0.01,0.0
2016-08-25,0,1.0,,0.01,0.0
2016-08-26,0,1.0,,0.01,0.0
2016-08-27,0,1.0,,0.01,0.0
2016-08-28,0,1.0,,0.01,0.0
2016-08-29,0,1.0,,0.01,0.0
2016-08-30,0,1.0,,0.01,0.0
2016-08-31,0,1.0,,0.01,0.0
2016-09-01,0,1.0,False,0.01,0.0
2016-09-02,0,1.0,,0.01,0.0
2016-09-03,0,1.0,,0.01,0.0
2016-09-04,0,1.0,,0.01,0.0
2016-09-05,0,1.0,,0.01,0.0
2016-09-06,0,1.0,,0.01,0.0
2016-09-07,0,1.0,,0.01,0.0
2016-09-08,0,1.0,,0.01,0.0
2016-09-09,33,1.0,,0.01,0.33
2016-09-10,0,1.0,,0.01,0.0
2016-09-11,37,1.0,,0.01,0.37
2016-09-12,0,1.0,,0.01,0.0
2016-09-13,0,1.0,,0.01,0.0
2016-09-14,0,1.0,,0.01,0.0
2016-09-15,32,1.0,,0.01,0.32
2016-09-16,0,1.0,,0.01,0.0
2016-09-17,0,1.0,,0.01,0.0
2016-09-18,0,1.0,,0.01,0.0
2016-09-19,0,1.0,,0.01,0.0
2016-09-20,32,1.0,,0.01,0.32
2016-09-21,32,1.0,,0.01,0.32
2016-09-22,32,1.0,,0.01,0.32
2016-09-23,33,1.0,,0.01,0.33
2016-09-24,0,1.0,,0.01,0.0
2016-09-25,0,1.0,,0.01,0.0
2016-09-26,32,1.0,,0.01,0.32
2016-09-27,0,1.0,,0.01,0.0
2016-09-28,32,1.0,,0.01,0.32
2016-09-29,0,1.0,,0.01,0.0
2016-09-30,100,1.0,,0.01,1.0
2016-10-01,0,1.0,False,0.01,0.0
2016-10-02,0,1.0,,0.01,0.0
2016-10-03,0,1.0,,0.01,0.0
2016-10-04,48,1.0,,0.01,0.48
2016-10-05,0,1.0,,0.01,0.0
2016-10-06,0,1.0,,0.01,0.0
2016-10-07,0,1.0,,0.01,0.0
2016-10-08,59,1.0,,0.01,0.59
2016-10-09,57,1.0,,0.01,0.5700000000000001
2016-10-10,0,1.0,,0.01,0.0
2016-10-11,0,1.0,,0.01,0.0
2016-10-12,50,1.0,,0.01,0.5
2016-10-13,0,1.0,,0.01,0.0
2016-10-14,0,1.0,,0.01,0.0
2016-10-15,0,1.0,,0.01,0.0
2016-10-16,0,1.0,,0.01,0.0
2016-10-17,49,1.0,,0.01,0.49
2016-10-18,49,1.0,,0.01,0.49
2016-10-19,99,1.0,,0.01,0.99
2016-10-20,0,1.0,,0.01,0.0
2016-10-21,100,1.0,,0.01,1.0
2016-10-22,0,1.0,,0.01,0.0
2016-10-23,0,1.0,,0.01,0.0
2016-10-24,0,1.0,,0.01,0.0
2016-10-25,0,1.0,,0.01,0.0
