date,SOXL_unscaled,SOXL_monthly,isPartial,scale,SOXL
2016-10-26,0,1.0,,0.01,0.0
2016-10-27,0,1.0,,0.01,0.0
2016-10-28,0,1.0,,0.01,0.0
2016-10-29,0,1.0,,0.01,0.0
2016-10-30,0,1.0,,0.01,0.0
2016-10-31,0,1.0,,0.01,0.0
2016-11-01,0,1.0,False,0.01,0.0
2016-11-02,0,1.0,,0.01,0.0
2016-11-03,0,1.0,,0.01,0.0
2016-11-04,0,1.0,,0.01,0.0
2016-11-05,0,1.0,,0.01,0.0
2016-11-06,0,1.0,,0.01,0.0
2016-11-07,0,1.0,,0.01,0.0
2016-11-08,0,1.0,,0.01,0.0
2016-11-09,0,1.0,,0.01,0.0
2016-11-10,84,1.0,,0.01,0.84
2016-11-11,0,1.0,,0.01,0.0
2016-11-12,0,1.0,,0.01,0.0
2016-11-13,0,1.0,,0.01,0.0
2016-11-14,0,1.0,,0.01,0.0
2016-11-15,82,1.0,,0.01,0.8200000000000001
2016-11-16,0,1.0,,0.01,0.0
2016-11-17,0,1.0,,0.01,0.0
2016-11-18,86,1.0,,0.01,0.86
2016-11-19,100,1.0,,0.01,1.0
2016-11-20,0,1.0,,0.01,0.0
2016-11-21,0,1.0,,0.01,0.0
2016-11-22,85,1.0,,0.01,0.85
2016-11-23,90,1.0,,0.01,0.9
2016-11-24,0,1.0,,0.01,0.0
2016-11-25,91,1.0,,0.01,0.91
2016-11-26,0,1.0,,0.01,0.0
2016-11-27,0,1.0,,0.01,0.0
2016-11-28,0,1.0,,0.01,0.0
2016-11-29,0,1.0,,0.01,0.0
2016-11-30,78,1.0,,0.01,0.78
2016-12-01,44,1.0,False,0.01,0.44
2016-12-02,45,1.0,,0.01,0.45
2016-12-03,0,1.0,,0.01,0.0
2016-12-04,0,1.0,,0.01,0.0
2016-12-05,0,1.0,,0.01,0.0
2016-12-06,0,1.0,,0.01,0.0
2016-12-07,0,1.0,,0.01,0.0
2016-12-08,44,1.0,,0.01,0.44
2016-12-09,46,1.0,,0.01,0.46
2016-12-10,0,1.0,,0.01,0.0
2016-12-11,0,1.0,,0.01,0.0
2016-12-12,0,1.0,,0.01,0.0
2016-12-13,43,1.0,,0.01,0.43
2016-12-14,0,1.0,,0.01,0.0
2016-12-15,0,1.0,,0.01,0.0
2016-12-16,0,1.0,,0.01,0.0
2016-12-17,0,1.0,,0.01,0.0
2016-12-18,0,1.0,,0.01,0.0
2016-12-19,0,1.0,,0.01,0.0
2016-12-20,47,1.0,,0.01,0.47000000000000003
2016-12-21,0,1.0,,0.01,0.0
2016-12-22,100,1.0,,0.01,1.0
2016-12-23,0,1.0,,0.01,0.0
2016-12-24,57,1.0,,0.01,0.5700000000000001
2016-12-25,61,1.0,,0.01,0.61
2016-12-26,0,1.0,,0.01,0.0
2016-12-27,0,1.0,,0.01,0.0
2016-12-28,98,1.0,,0.01,0.98
2016-12-29,0,1.0,,0.01,0.0
2016-12-30,50,1.0,,0.01,0.5
2016-12-31,0,1.0,,0.01,0.0
2017-01-01,0,2.0,False,0.02,0.0
2017-01-02,0,2.0,,0.02,0.0
2017-01-03,35,2.0,,0.02,0.7000000000000001
2017-01-04,35,2.0,,0.02,0.7000000000000001
2017-01-05,36,2.0,,0.02,0.72
2017-01-06,0,2.0,,0.02,0.0
2017-01-07,40,2.0,,0.02,0.8
2017-01-08,0,2.0,,0.02,0.0
2017-01-09,34,2.0,,0.02,0.68
2017-01-10,0,2.0,,0.02,0.0
2017-01-11,34,2.0,,0.02,0.68
2017-01-12,0,2.0,,0.02,0.0
2017-01-13,35,2.0,,0.02,0.7000000000000001
2017-01-14,0,2.0,,0.02,0.0
2017-01-15,0,2.0,,0.02,0.0
2017-01-16,0,2.0,,0.02,0.0
2017-01-17,34,2.0,,0.02,0.68
2017-01-18,0,2.0,,0.02,0.0
2017-01-19,0,2.0,,0.02,0.0
2017-01-20,67,2.0,,0.02,1.34
2017-01-21,0,2.0,,0.02,0.0
2017-01-22,0,2.0,,0.02,0.0
2017-01-23,0,2.0,,0.02,0.0
2017-01-24,0,2.0,,0.02,0.0
2017-01-25,100,2.0,,0.02,2.0
2017-01-26,0,2.0,,0.02,0.0
2017-01-27,0,2.0,,0.02,0.0
2017-01-28,40,2.0,,0.02,0.8
2017-01-29,0,2.0,,0.02,0.0
2017-01-30,33,2.0,,0.02,0.66
2017-01-31,0,2.0,,0.02,0.0
2017-02-01,20,4.0,False,0.04,0.8
2017-02-02,0,4.0,,0.04,0.0
2017-02-03,42,4.0,,0.04,1.68
2017-02-04,0,4.0,,0.04,0.0
2017-02-05,0,4.0,,0.04,0.0
2017-02-06,0,4.0,,0.04,0.0
2017-02-07,20,4.0,,0.04,0.8
2017-02-08,20,4.0,,0.04,0.8
2017-02-09,41,4.0,,0.04,1.6400000000000001
2017-02-10,63,4.0,,0.04,2.52
2017-02-11,0,4.0,,0.04,0.0
2017-02-12,0,4.0,,0.04,0.0
2017-02-13,20,4.0,,0.04,0.8
2017-02-14,0,4.0,,0.04,0.0
2017-02-15,21,4.0,,0.04,0.84
2017-02-16,81,4.0,,0.04,3.24
2017-02-17,41,4.0,,0.04,1.6400000000000001
2017-02-18,0,4.0,,0.04,0.0
2017-02-19,0,4.0,,0.04,0.0
2017-02-20,0,4.0,,0.04,0.0
2017-02-21,80,4.0,,0.04,3.2
2017-02-22,100,4.0,,0.04,4.0
2017-02-23,20,4.0,,0.04,0.8
2017-02-24,21,4.0,,0.04,0.84
2017-02-25,24,4.0,,0.04,0.96
2017-02-26,0,4.0,,0.04,0.0
2017-02-27,19,4.0,,0.04,0.76
2017-02-28,19,4.0,,0.04,0.76
2017-03-01,12,4.0,False,0.04,0.48
2017-03-02,12,4.0,,0.04,0.48
2017-03-03,25,4.0,,0.04,1.0
2017-03-04,0,4.0,,0.04,0.0
2017-03-05,15,4.0,,0.04,0.6
2017-03-06,12,4.0,,0.04,0.48
2017-03-07,35,4.0,,0.04,1.4000000000000001
2017-03-08,12,4.0,,0.04,0.48
2017-03-09,25,4.0,,0.04,1.0
2017-03-10,13,4.0,,0.04,0.52
2017-03-11,15,4.0,,0.04,0.6
2017-03-12,0,4.0,,0.04,0.0
2017-03-13,35,4.0,,0.04,1.4000000000000001
2017-03-14,12,4.0,,0.04,0.48
2017-03-15,0,4.0,,0.04,0.0
2017-03-16,13,4.0,,0.04,0.52
2017-03-17,13,4.0,,0.04,0.52
2017-03-18,0,4.0,,0.04,0.0
2017-03-19,15,4.0,,0.04,0.6
2017-03-20,25,4.0,,0.04,1.0
2017-03-21,100,4.0,,0.04,4.0
2017-03-22,0,4.0,,0.04,0.0
2017-03-23,25,4.0,,0.04,1.0
2017-03-24,26,4.0,,0.04,1.04
2017-03-25,0,4.0,,0.04,0.0
2017-03-26,0,4.0,,0.04,0.0
2017-03-27,0,4.0,,0.04,0.0
2017-03-28,51,4.0,,0.04,2.04
2017-03-29,0,4.0,,0.04,0.0
2017-03-30,26,4.0,,0.04,1.04
2017-03-31,13,4.0,,0.04,0.52
2017-04-01,0,4.0,False,0.04,0.0
2017-04-02,0,4.0,,0.04,0.0
2017-04-03,19,4.0,,0.04,0.76
2017-04-04,19,4.0,,0.04,0.76
2017-04-05,0,4.0,,0.04,0.0
2017-04-06,19,4.0,,0.04,0.76
2017-04-07,0,4.0,,0.04,0.0
2017-04-08,0,4.0,,0.04,0.0
2017-04-09,24,4.0,,0.04,0.96
2017-04-10,20,4.0,,0.04,0.8
2017-04-11,20,4.0,,0.04,0.8
2017-04-12,59,4.0,,0.04,2.36
2017-04-13,100,4.0,,0.04,4.0
2017-04-14,0,4.0,,0.04,0.0
2017-04-15,0,4.0,,0.04,0.0
2017-04-16,0,4.0,,0.04,0.0
2017-04-17,0,4.0,,0.04,0.0
2017-04-18,57,4.0,,0.04,2.2800000000000002
2017-04-19,19,4.0,,0.04,0.76
2017-04-20,39,4.0,,0.04,1.56
2017-04-21,41,4.0,,0.04,1.6400000000000001
2017-04-22,24,4.0,,0.04,0.96
2017-04-23,24,4.0,,0.04,0.96
2017-04-24,58,4.0,,0.04,2.32
2017-04-25,58,4.0,,0.04,2.32
2017-04-26,57,4.0,,0.04,2.2800000000000002
2017-04-27,19,4.0,,0.04,0.76
2017-04-28,40,4.0,,0.04,1.6
2017-04-29,0,4.0,,0.04,0.0
2017-04-30,0,4.0,,0.04,0.0
2017-05-01,39,5.0,False,0.05,1.9500000000000002
2017-05-02,13,5.0,,0.05,0.65
2017-05-03,0,5.0,,0.05,0.0
2017-05-04,27,5.0,,0.05,1.35
2017-05-05,0,5.0,,0.05,0.0
2017-05-06,16,5.0,,0.05,0.8
2017-05-07,0,5.0,,0.05,0.0
2017-05-08,27,5.0,,0.05,1.35
2017-05-09,13,5.0,,0.05,0.65
2017-05-10,27,5.0,,0.05,1.35
2017-05-11,14,5.0,,0.05,0.7000000000000001
2017-05-12,42,5.0,,0.05,2.1
2017-05-13,0,5.0,,0.05,0.0
2017-05-14,0,5.0,,0.05,0.0
2017-05-15,56,5.0,,0.05,2.8000000000000003
2017-05-16,14,5.0,,0.05,0.7000000000000001
2017-05-17,100,5.0,,0.05,5.0
2017-05-18,29,5.0,,0.05,1.4500000000000002
2017-05-19,29,5.0,,0.05,1.4500000000000002
2017-05-20,35,5.0,,0.05,1.75
2017-05-21,17,5.0,,0.05,0.8500000000000001
2017-05-22,43,5.0,,0.05,2.15
2017-05-23,28,5.0,,0.05,1.4000000000000001
2017-05-24,14,5.0,,0.05,0.7000000000000001
2017-05-25,29,5.0,,0.05,1.4500000000000002
2017-05-26,47,5.0,,0.05,2.35
2017-05-27,0,5.0,,0.05,0.0
2017-05-28,0,5.0,,0.05,0.0
2017-05-29,17,5.0,,0.05,0.8500000000000001
2017-05-30,29,5.0,,0.05,1.4500000000000002
2017-05-31,14,5.0,,0.05,0.7000000000000001
2017-06-01,18,13.0,False,0.13,2.34
2017-06-02,18,13.0,,0.13,2.34
2017-06-03,0,13.0,,0.13,0.0
2017-06-04,21,13.0,,0.13,2.73
2017-06-05,9,13.0,,0.13,1.17
2017-06-06,34,13.0,,0.13,4.42
2017-06-07,26,13.0,,0.13,3.38
2017-06-08,43,13.0,,0.13,5.59
2017-06-09,64,13.0,,0.13,8.32
2017-06-10,11,13.0,,0.13,1.4300000000000002
2017-06-11,32,13.0,,0.13,4.16
2017-06-12,17,13.0,,0.13,2.21
2017-06-13,67,13.0,,0.13,8.71
2017-06-14,94,13.0,,0.13,12.22
2017-06-15,62,13.0,,0.13,8.06
2017-06-16,9,13.0,,0.13,1.17
2017-06-17,0,13.0,,0.13,0.0
2017-06-18,21,13.0,,0.13,2.73
2017-06-19,61,13.0,,0.13,7.930000000000001
2017-06-20,82,13.0,,0.13,10.66
2017-06-21,100,13.0,,0.13,13.0
2017-06-22,8,13.0,,0.13,1.04
2017-06-23,8,13.0,,0.13,1.04
2017-06-24,0,13.0,,0.13,0.0
2017-06-25,0,13.0,,0.13,0.0
2017-06-26,18,13.0,,0.13,2.34
2017-06-27,45,13.0,,0.13,5.8500000000000005
2017-06-28,46,13.0,,0.13,5.98
2017-06-29,93,13.0,,0.13,12.09
2017-06-30,28,13.0,,0.13,3.64
2017-07-01,0,9.0,False,0.09,0.0
2017-07-02,27,9.0,,0.09,2.4299999999999997
2017-07-03,61,9.0,,0.09,5.49
2017-07-04,13,9.0,,0.09,1.17
2017-07-05,12,9.0,,0.09,1.08
2017-07-06,44,9.0,,0.09,3.96
2017-07-07,23,9.0,,0.09,2.07
2017-07-08,26,9.0,,0.09,2.34
2017-07-09,13,9.0,,0.09,1.17
2017-07-10,44,9.0,,0.09,3.96
2017-07-11,89,9.0,,0.09,8.01
2017-07-12,67,9.0,,0.09,6.029999999999999
2017-07-13,33,9.0,,0.09,2.9699999999999998
2017-07-14,23,9.0,,0.09,2.07
2017-07-15,0,9.0,,0.09,0.0
2017-07-16,0,9.0,,0.09,0.0
2017-07-17,100,9.0,,0.09,9.0
2017-07-18,44,9.0,,0.09,3.96
2017-07-19,0,9.0,,0.09,0.0
2017-07-20,22,9.0,,0.09,1.98
2017-07-21,23,9.0,,0.09,2.07
2017-07-22,0,9.0,,0.09,0.0
2017-07-23,13,9.0,,0.09,1.17
2017-07-24,0,9.0,,0.09,0.0
2017-07-25,55,9.0,,0.09,4.95
2017-07-26,22,9.0,,0.09,1.98
2017-07-27,22,9.0,,0.09,1.98
2017-07-28,56,9.0,,0.09,5.04
2017-07-29,13,9.0,,0.09,1.17
2017-07-30,0,9.0,,0.09,0.0
2017-07-31,22,9.0,,0.09,1.98
2017-08-01,56,8.0,False,0.08,4.48
2017-08-02,67,8.0,,0.08,5.36
2017-08-03,28,8.0,,0.08,2.24
2017-08-04,44,8.0,,0.08,3.52
2017-08-05,0,8.0,,0.08,0.0
2017-08-06,17,8.0,,0.08,1.36
2017-08-07,83,8.0,,0.08,6.640000000000001
2017-08-08,54,8.0,,0.08,4.32
2017-08-09,14,8.0,,0.08,1.12
2017-08-10,29,8.0,,0.08,2.32
2017-08-11,88,8.0,,0.08,7.04
2017-08-12,16,8.0,,0.08,1.28
2017-08-13,0,8.0,,0.08,0.0
2017-08-14,14,8.0,,0.08,1.12
2017-08-15,100,8.0,,0.08,8.0
2017-08-16,28,8.0,,0.08,2.24
2017-08-17,43,8.0,,0.08,3.44
2017-08-18,71,8.0,,0.08,5.68
2017-08-19,0,8.0,,0.08,0.0
2017-08-20,0,8.0,,0.08,0.0
2017-08-21,40,8.0,,0.08,3.2
2017-08-22,71,8.0,,0.08,5.68
2017-08-23,28,8.0,,0.08,2.24
2017-08-24,42,8.0,,0.08,3.36
2017-08-25,0,8.0,,0.08,0.0
2017-08-26,32,8.0,,0.08,2.56
2017-08-27,0,8.0,,0.08,0.0
2017-08-28,14,8.0,,0.08,1.12
2017-08-29,27,8.0,,0.08,2.16
2017-08-30,28,8.0,,0.08,2.24
2017-08-31,14,8.0,,0.08,1.12
2017-09-01,91,9.0,False,0.09,8.19
2017-09-02,17,9.0,,0.09,1.53
2017-09-03,17,9.0,,0.09,1.53
2017-09-04,0,9.0,,0.09,0.0
2017-09-05,56,9.0,,0.09,5.04
2017-09-06,14,9.0,,0.09,1.26
2017-09-07,14,9.0,,0.09,1.26
2017-09-08,28,9.0,,0.09,2.52
2017-09-09,0,9.0,,0.09,0.0
2017-09-10,16,9.0,,0.09,1.44
2017-09-11,56,9.0,,0.09,5.04
2017-09-12,29,9.0,,0.09,2.61
2017-09-13,28,9.0,,0.09,2.52
2017-09-14,58,9.0,,0.09,5.22
2017-09-15,73,9.0,,0.09,6.569999999999999
2017-09-16,35,9.0,,0.09,3.15
2017-09-17,0,9.0,,0.09,0.0
2017-09-18,42,9.0,,0.09,3.78
2017-09-19,42,9.0,,0.09,3.78
2017-09-20,85,9.0,,0.09,7.6499999999999995
2017-09-21,57,9.0,,0.09,5.13
2017-09-22,44,9.0,,0.09,3.96
2017-09-23,0,9.0,,0.09,0.0
2017-09-24,0,9.0,,0.09,0.0
2017-09-25,43,9.0,,0.09,3.8699999999999997
2017-09-26,100,9.0,,0.09,9.0
2017-09-27,86,9.0,,0.09,7.739999999999999
2017-09-28,72,9.0,,0.09,6.4799999999999995
2017-09-29,88,9.0,,0.09,7.92
2017-09-30,0,9.0,,0.09,0.0
2017-10-01,25,12.0,False,0.12,3.0
2017-10-02,20,12.0,,0.12,2.4
2017-10-03,70,12.0,,0.12,8.4
2017-10-04,51,12.0,,0.12,6.12
2017-10-05,20,12.0,,0.12,2.4
2017-10-06,63,12.0,,0.12,7.56
2017-10-07,36,12.0,,0.12,4.32
2017-10-08,0,12.0,,0.12,0.0
2017-10-09,50,12.0,,0.12,6.0
2017-10-10,60,12.0,,0.12,7.199999999999999
2017-10-11,50,12.0,,0.12,6.0
2017-10-12,51,12.0,,0.12,6.12
2017-10-13,84,12.0,,0.12,10.08
2017-10-14,12,12.0,,0.12,1.44
2017-10-15,12,12.0,,0.12,1.44
2017-10-16,10,12.0,,0.12,1.2
2017-10-17,31,12.0,,0.12,3.7199999999999998
2017-10-18,41,12.0,,0.12,4.92
2017-10-19,63,12.0,,0.12,7.56
2017-10-20,0,12.0,,0.12,0.0
2017-10-21,0,12.0,,0.12,0.0
2017-10-22,0,12.0,,0.12,0.0
2017-10-23,30,12.0,,0.12,3.5999999999999996
2017-10-24,100,12.0,,0.12,12.0
2017-10-25,71,12.0,,0.12,8.52
2017-10-26,41,12.0,,0.12,4.92
2017-10-27,85,12.0,,0.12,10.2
2017-10-28,50,12.0,,0.12,6.0
2017-10-29,0,12.0,,0.12,0.0
2017-10-30,40,12.0,,0.12,4.8
2017-10-31,62,12.0,,0.12,7.4399999999999995
2017-11-01,32,22.0,False,0.22,7.04
2017-11-02,17,22.0,,0.22,3.74
2017-11-03,51,22.0,,0.22,11.22
2017-11-04,37,22.0,,0.22,8.14
2017-11-05,5,22.0,,0.22,1.1
2017-11-06,40,22.0,,0.22,8.8
2017-11-07,44,22.0,,0.22,9.68
2017-11-08,31,22.0,,0.22,6.82
2017-11-09,31,22.0,,0.22,6.82
2017-11-10,76,22.0,,0.22,16.72
2017-11-11,11,22.0,,0.22,2.42
2017-11-12,0,22.0,,0.22,0.0
2017-11-13,30,22.0,,0.22,6.6
2017-11-14,44,22.0,,0.22,9.68
2017-11-15,40,22.0,,0.22,8.8
2017-11-16,44,22.0,,0.22,9.68
2017-11-17,27,22.0,,0.22,5.94
2017-11-18,32,22.0,,0.22,7.04
2017-11-19,0,22.0,,0.22,0.0
2017-11-20,23,22.0,,0.22,5.06
2017-11-21,33,22.0,,0.22,7.26
2017-11-22,39,22.0,,0.22,8.58
2017-11-23,5,22.0,,0.22,1.1
2017-11-24,10,22.0,,0.22,2.2
2017-11-25,0,22.0,,0.22,0.0
2017-11-26,10,22.0,,0.22,2.2
2017-11-27,29,22.0,,0.22,6.38
2017-11-28,56,22.0,,0.22,12.32
2017-11-29,100,22.0,,0.22,22.0
2017-11-30,62,22.0,,0.22,13.64
2017-12-01,38,20.0,False,0.2,7.6000000000000005
2017-12-02,26,20.0,,0.2,5.2
2017-12-03,13,20.0,,0.2,2.6
2017-12-04,95,20.0,,0.2,19.0
2017-12-05,100,20.0,,0.2,20.0
2017-12-06,43,20.0,,0.2,8.6
2017-12-07,70,20.0,,0.2,14.0
2017-12-08,50,20.0,,0.2,10.0
2017-12-09,13,20.0,,0.2,2.6
2017-12-10,6,20.0,,0.2,1.2000000000000002
2017-12-11,48,20.0,,0.2,9.600000000000001
2017-12-12,64,20.0,,0.2,12.8
2017-12-13,27,20.0,,0.2,5.4
2017-12-14,22,20.0,,0.2,4.4
2017-12-15,17,20.0,,0.2,3.4000000000000004
2017-12-16,13,20.0,,0.2,2.6
2017-12-17,0,20.0,,0.2,0.0
2017-12-18,55,20.0,,0.2,11.0
2017-12-19,84,20.0,,0.2,16.8
2017-12-20,41,20.0,,0.2,8.200000000000001
2017-12-21,48,20.0,,0.2,9.600000000000001
2017-12-22,31,20.0,,0.2,6.2
2017-12-23,14,20.0,,0.2,2.8000000000000003
2017-12-24,7,20.0,,0.2,1.4000000000000001
2017-12-25,15,20.0,,0.2,3.0
2017-12-26,39,20.0,,0.2,7.800000000000001
2017-12-27,24,20.0,,0.2,4.800000000000001
2017-12-28,49,20.0,,0.2,9.8
2017-12-29,24,20.0,,0.2,4.800000000000001
2017-12-30,7,20.0,,0.2,1.4000000000000001
2017-12-31,0,20.0,,0.2,0.0
2018-01-01,7,20.0,False,0.2,1.4000000000000001
2018-01-02,39,20.0,,0.2,7.800000000000001
2018-01-03,64,20.0,,0.2,12.8
2018-01-04,57,20.0,,0.2,11.4
2018-01-05,58,20.0,,0.2,11.600000000000001
2018-01-06,22,20.0,,0.2,4.4
2018-01-07,14,20.0,,0.2,2.8000000000000003
