date,APR_unscaled,APR_monthly,isPartial,scale,APR
2016-05-01,88,49.0,False,0.49,43.12
2016-05-02,100,49.0,,0.49,49.0
2016-05-03,100,49.0,,0.49,49.0
2016-05-04,94,49.0,,0.49,46.06
2016-05-05,80,49.0,,0.49,39.2
2016-05-06,71,49.0,,0.49,34.79
2016-05-07,53,49.0,,0.49,25.97
2016-05-08,52,49.0,,0.49,25.48
2016-05-09,84,49.0,,0.49,41.16
2016-05-10,98,49.0,,0.49,48.019999999999996
2016-05-11,85,49.0,,0.49,41.65
2016-05-12,71,49.0,,0.49,34.79
2016-05-13,87,49.0,,0.49,42.63
2016-05-14,53,49.0,,0.49,25.97
2016-05-15,47,49.0,,0.49,23.03
2016-05-16,82,49.0,,0.49,40.18
2016-05-17,83,49.0,,0.49,40.67
2016-05-18,79,49.0,,0.49,38.71
2016-05-19,90,49.0,,0.49,44.1
2016-05-20,84,49.0,,0.49,41.16
2016-05-21,64,49.0,,0.49,31.36
2016-05-22,56,49.0,,0.49,27.439999999999998
2016-05-23,84,49.0,,0.49,41.16
2016-05-24,83,49.0,,0.49,40.67
2016-05-25,72,49.0,,0.49,35.28
2016-05-26,78,49.0,,0.49,38.22
2016-05-27,60,49.0,,0.49,29.4
2016-05-28,45,49.0,,0.49,22.05
2016-05-29,48,49.0,,0.49,23.52
2016-05-30,46,49.0,,0.49,22.54
2016-05-31,66,49.0,,0.49,32.339999999999996
2016-06-01,92,43.0,False,0.43,39.56
2016-06-02,81,43.0,,0.43,34.83
2016-06-03,70,43.0,,0.43,30.099999999999998
2016-06-04,65,43.0,,0.43,27.95
2016-06-05,66,43.0,,0.43,28.38
2016-06-06,71,43.0,,0.43,30.53
2016-06-07,89,43.0,,0.43,38.269999999999996
2016-06-08,80,43.0,,0.43,34.4
2016-06-09,76,43.0,,0.43,32.68
2016-06-10,78,43.0,,0.43,33.54
2016-06-11,60,43.0,,0.43,25.8
2016-06-12,44,43.0,,0.43,18.919999999999998
2016-06-13,78,43.0,,0.43,33.54
2016-06-14,81,43.0,,0.43,34.83
2016-06-15,77,43.0,,0.43,33.11
2016-06-16,87,43.0,,0.43,37.41
2016-06-17,73,43.0,,0.43,31.39
2016-06-18,65,43.0,,0.43,27.95
2016-06-19,56,43.0,,0.43,24.08
2016-06-20,77,43.0,,0.43,33.11
2016-06-21,90,43.0,,0.43,38.7
2016-06-22,83,43.0,,0.43,35.69
2016-06-23,80,43.0,,0.43,34.4
2016-06-24,73,43.0,,0.43,31.39
2016-06-25,66,43.0,,0.43,28.38
2016-06-26,79,43.0,,0.43,33.97
2016-06-27,75,43.0,,0.43,32.25
2016-06-28,100,43.0,,0.43,43.0
2016-06-29,98,43.0,,0.43,42.14
2016-06-30,76,43.0,,0.43,32.68
2016-07-01,60,42.0,False,0.42,25.2
2016-07-02,53,42.0,,0.42,22.259999999999998
2016-07-03,53,42.0,,0.42,22.259999999999998
2016-07-04,53,42.0,,0.42,22.259999999999998
2016-07-05,68,42.0,,0.42,28.56
2016-07-06,100,42.0,,0.42,42.0
2016-07-07,76,42.0,,0.42,31.919999999999998
2016-07-08,74,42.0,,0.42,31.08
2016-07-09,71,42.0,,0.42,29.82
2016-07-10,74,42.0,,0.42,31.08
2016-07-11,75,42.0,,0.42,31.5
2016-07-12,87,42.0,,0.42,36.54
2016-07-13,85,42.0,,0.42,35.699999999999996
2016-07-14,80,42.0,,0.42,33.6
2016-07-15,78,42.0,,0.42,32.76
2016-07-16,80,42.0,,0.42,33.6
2016-07-17,54,42.0,,0.42,22.68
2016-07-18,91,42.0,,0.42,38.22
2016-07-19,81,42.0,,0.42,34.019999999999996
2016-07-20,78,42.0,,0.42,32.76
2016-07-21,84,42.0,,0.42,35.28
2016-07-22,77,42.0,,0.42,32.339999999999996
2016-07-23,71,42.0,,0.42,29.82
2016-07-24,52,42.0,,0.42,21.84
2016-07-25,73,42.0,,0.42,30.66
2016-07-26,90,42.0,,0.42,37.8
2016-07-27,79,42.0,,0.42,33.18
2016-07-28,74,42.0,,0.42,31.08
2016-07-29,76,42.0,,0.42,31.919999999999998
2016-07-30,56,42.0,,0.42,23.52
2016-07-31,60,42.0,,0.42,25.2
2016-08-01,78,41.0,False,0.41,31.979999999999997
2016-08-02,100,41.0,,0.41,41.0
2016-08-03,89,41.0,,0.41,36.489999999999995
2016-08-04,90,41.0,,0.41,36.9
2016-08-05,89,41.0,,0.41,36.489999999999995
2016-08-06,75,41.0,,0.41,30.749999999999996
2016-08-07,58,41.0,,0.41,23.779999999999998
2016-08-08,88,41.0,,0.41,36.08
2016-08-09,75,41.0,,0.41,30.749999999999996
2016-08-10,65,41.0,,0.41,26.65
2016-08-11,88,41.0,,0.41,36.08
2016-08-12,83,41.0,,0.41,34.03
2016-08-13,66,41.0,,0.41,27.06
2016-08-14,52,41.0,,0.41,21.32
2016-08-15,78,41.0,,0.41,31.979999999999997
2016-08-16,91,41.0,,0.41,37.309999999999995
2016-08-17,69,41.0,,0.41,28.29
2016-08-18,80,41.0,,0.41,32.8
2016-08-19,68,41.0,,0.41,27.88
2016-08-20,68,41.0,,0.41,27.88
2016-08-21,66,41.0,,0.41,27.06
2016-08-22,81,41.0,,0.41,33.21
2016-08-23,92,41.0,,0.41,37.72
2016-08-24,84,41.0,,0.41,34.44
2016-08-25,82,41.0,,0.41,33.62
2016-08-26,79,41.0,,0.41,32.39
2016-08-27,69,41.0,,0.41,28.29
2016-08-28,71,41.0,,0.41,29.11
2016-08-29,87,41.0,,0.41,35.669999999999995
2016-08-30,85,41.0,,0.41,34.85
2016-08-31,98,41.0,,0.41,40.18
2016-09-01,64,44.0,False,0.44,28.16
2016-09-02,68,44.0,,0.44,29.92
2016-09-03,56,44.0,,0.44,24.64
2016-09-04,47,44.0,,0.44,20.68
2016-09-05,64,44.0,,0.44,28.16
2016-09-06,75,44.0,,0.44,33.0
2016-09-07,67,44.0,,0.44,29.48
2016-09-08,73,44.0,,0.44,32.12
2016-09-09,72,44.0,,0.44,31.68
2016-09-10,56,44.0,,0.44,24.64
2016-09-11,54,44.0,,0.44,23.76
2016-09-12,73,44.0,,0.44,32.12
2016-09-13,83,44.0,,0.44,36.52
2016-09-14,75,44.0,,0.44,33.0
2016-09-15,74,44.0,,0.44,32.56
2016-09-16,69,44.0,,0.44,30.36
2016-09-17,52,44.0,,0.44,22.88
2016-09-18,58,44.0,,0.44,25.52
2016-09-19,76,44.0,,0.44,33.44
2016-09-20,75,44.0,,0.44,33.0
2016-09-21,72,44.0,,0.44,31.68
2016-09-22,75,44.0,,0.44,33.0
2016-09-23,57,44.0,,0.44,25.080000000000002
2016-09-24,51,44.0,,0.44,22.44
2016-09-25,58,44.0,,0.44,25.52
2016-09-26,100,44.0,,0.44,44.0
2016-09-27,76,44.0,,0.44,33.44
2016-09-28,74,44.0,,0.44,32.56
2016-09-29,80,44.0,,0.44,35.2
2016-09-30,67,44.0,,0.44,29.48
2016-10-01,64,43.0,False,0.43,27.52
2016-10-02,63,43.0,,0.43,27.09
2016-10-03,75,43.0,,0.43,32.25
2016-10-04,100,43.0,,0.43,43.0
2016-10-05,79,43.0,,0.43,33.97
2016-10-06,82,43.0,,0.43,35.26
2016-10-07,63,43.0,,0.43,27.09
2016-10-08,69,43.0,,0.43,29.669999999999998
2016-10-09,62,43.0,,0.43,26.66
2016-10-10,77,43.0,,0.43,33.11
2016-10-11,92,43.0,,0.43,39.56
2016-10-12,77,43.0,,0.43,33.11
2016-10-13,79,43.0,,0.43,33.97
2016-10-14,74,43.0,,0.43,31.82
2016-10-15,57,43.0,,0.43,24.509999999999998
2016-10-16,55,43.0,,0.43,23.65
2016-10-17,92,43.0,,0.43,39.56
2016-10-18,96,43.0,,0.43,41.28
2016-10-19,86,43.0,,0.43,36.98
2016-10-20,74,43.0,,0.43,31.82
2016-10-21,72,43.0,,0.43,30.96
2016-10-22,64,43.0,,0.43,27.52
2016-10-23,53,43.0,,0.43,22.79
2016-10-24,86,43.0,,0.43,36.98
2016-10-25,95,43.0,,0.43,40.85
2016-10-26,84,43.0,,0.43,36.12
2016-10-27,73,43.0,,0.43,31.39
2016-10-28,86,43.0,,0.43,36.98
2016-10-29,51,43.0,,0.43,21.93
2016-10-30,68,43.0,,0.43,29.24
2016-10-31,80,43.0,,0.43,34.4
2016-11-01,71,46.0,False,0.46,32.660000000000004
2016-11-02,87,46.0,,0.46,40.02
2016-11-03,79,46.0,,0.46,36.34
2016-11-04,79,46.0,,0.46,36.34
2016-11-05,70,46.0,,0.46,32.2
2016-11-06,53,46.0,,0.46,24.380000000000003
2016-11-07,89,46.0,,0.46,40.940000000000005
2016-11-08,78,46.0,,0.46,35.88
2016-11-09,50,46.0,,0.46,23.0
2016-11-10,81,46.0,,0.46,37.260000000000005
2016-11-11,59,46.0,,0.46,27.14
2016-11-12,63,46.0,,0.46,28.98
2016-11-13,58,46.0,,0.46,26.68
2016-11-14,87,46.0,,0.46,40.02
2016-11-15,85,46.0,,0.46,39.1
2016-11-16,98,46.0,,0.46,45.080000000000005
2016-11-17,86,46.0,,0.46,39.56
2016-11-18,87,46.0,,0.46,40.02
2016-11-19,60,46.0,,0.46,27.6
2016-11-20,63,46.0,,0.46,28.98
2016-11-21,83,46.0,,0.46,38.18
2016-11-22,82,46.0,,0.46,37.72
2016-11-23,81,46.0,,0.46,37.260000000000005
2016-11-24,46,46.0,,0.46,21.16
2016-11-25,54,46.0,,0.46,24.84
2016-11-26,59,46.0,,0.46,27.14
2016-11-27,90,46.0,,0.46,41.4
2016-11-28,84,46.0,,0.46,38.64
2016-11-29,91,46.0,,0.46,41.86
2016-11-30,100,46.0,,0.46,46.0
2016-12-01,86,41.0,False,0.41,35.26
2016-12-02,79,41.0,,0.41,32.39
2016-12-03,64,41.0,,0.41,26.24
2016-12-04,61,41.0,,0.41,25.009999999999998
2016-12-05,81,41.0,,0.41,33.21
2016-12-06,93,41.0,,0.41,38.129999999999995
2016-12-07,91,41.0,,0.41,37.309999999999995
2016-12-08,81,41.0,,0.41,33.21
2016-12-09,67,41.0,,0.41,27.47
2016-12-10,56,41.0,,0.41,22.959999999999997
2016-12-11,60,41.0,,0.41,24.599999999999998
2016-12-12,85,41.0,,0.41,34.85
2016-12-13,100,41.0,,0.41,41.0
2016-12-14,84,41.0,,0.41,34.44
2016-12-15,69,41.0,,0.41,28.29
2016-12-16,72,41.0,,0.41,29.52
2016-12-17,55,41.0,,0.41,22.549999999999997
2016-12-18,55,41.0,,0.41,22.549999999999997
2016-12-19,70,41.0,,0.41,28.7
2016-12-20,80,41.0,,0.41,32.8
2016-12-21,79,41.0,,0.41,32.39
2016-12-22,59,41.0,,0.41,24.189999999999998
2016-12-23,60,41.0,,0.41,24.599999999999998
2016-12-24,36,41.0,,0.41,14.76
2016-12-25,42,41.0,,0.41,17.22
2016-12-26,55,41.0,,0.41,22.549999999999997
2016-12-27,81,41.0,,0.41,33.21
2016-12-28,74,41.0,,0.41,30.34
2016-12-29,75,41.0,,0.41,30.749999999999996
2016-12-30,62,41.0,,0.41,25.419999999999998
2016-12-31,52,41.0,,0.41,21.32
2017-01-01,52,47.0,False,0.47,24.439999999999998
2017-01-02,72,47.0,,0.47,33.839999999999996
2017-01-03,85,47.0,,0.47,39.949999999999996
2017-01-04,99,47.0,,0.47,46.529999999999994
2017-01-05,86,47.0,,0.47,40.419999999999995
2017-01-06,77,47.0,,0.47,36.19
2017-01-07,70,47.0,,0.47,32.9
2017-01-08,67,47.0,,0.47,31.49
2017-01-09,87,47.0,,0.47,40.89
2017-01-10,85,47.0,,0.47,39.949999999999996
2017-01-11,96,47.0,,0.47,45.12
2017-01-12,88,47.0,,0.47,41.36
2017-01-13,94,47.0,,0.47,44.18
2017-01-14,69,47.0,,0.47,32.43
2017-01-15,68,47.0,,0.47,31.959999999999997
2017-01-16,79,47.0,,0.47,37.129999999999995
2017-01-17,89,47.0,,0.47,41.83
2017-01-18,98,47.0,,0.47,46.059999999999995
2017-01-19,86,47.0,,0.47,40.419999999999995
2017-01-20,76,47.0,,0.47,35.72
2017-01-21,80,47.0,,0.47,37.599999999999994
2017-01-22,78,47.0,,0.47,36.66
2017-01-23,84,47.0,,0.47,39.48
2017-01-24,100,47.0,,0.47,47.0
2017-01-25,99,47.0,,0.47,46.529999999999994
2017-01-26,93,47.0,,0.47,43.71
2017-01-27,86,47.0,,0.47,40.419999999999995
2017-01-28,75,47.0,,0.47,35.25
2017-01-29,83,47.0,,0.47,39.01
2017-01-30,96,47.0,,0.47,45.12
2017-01-31,99,47.0,,0.47,46.529999999999994
2017-02-01,94,53.0,False,0.53,49.82
2017-02-02,81,53.0,,0.53,42.93
2017-02-03,86,53.0,,0.53,45.580000000000005
2017-02-04,64,53.0,,0.53,33.92
2017-02-05,80,53.0,,0.53,42.400000000000006
2017-02-06,82,53.0,,0.53,43.46
2017-02-07,92,53.0,,0.53,48.760000000000005
2017-02-08,84,53.0,,0.53,44.52
2017-02-09,74,53.0,,0.53,39.22
2017-02-10,80,53.0,,0.53,42.400000000000006
2017-02-11,77,53.0,,0.53,40.81
2017-02-12,70,53.0,,0.53,37.1
2017-02-13,81,53.0,,0.53,42.93
2017-02-14,68,53.0,,0.53,36.04
2017-02-15,83,53.0,,0.53,43.99
2017-02-16,94,53.0,,0.53,49.82
2017-02-17,78,53.0,,0.53,41.34
2017-02-18,66,53.0,,0.53,34.980000000000004
2017-02-19,63,53.0,,0.53,33.39
2017-02-20,85,53.0,,0.53,45.050000000000004
2017-02-21,99,53.0,,0.53,52.470000000000006
2017-02-22,100,53.0,,0.53,53.0
2017-02-23,87,53.0,,0.53,46.11
2017-02-24,88,53.0,,0.53,46.64
2017-02-25,81,53.0,,0.53,42.93
2017-02-26,75,53.0,,0.53,39.75
2017-02-27,89,53.0,,0.53,47.17
2017-02-28,99,53.0,,0.53,52.470000000000006
2017-03-01,87,62.0,False,0.62,53.94
2017-03-02,86,62.0,,0.62,53.32
2017-03-03,87,62.0,,0.62,53.94
2017-03-04,71,62.0,,0.62,44.02
2017-03-05,76,62.0,,0.62,47.12
2017-03-06,94,62.0,,0.62,58.28
2017-03-07,88,62.0,,0.62,54.56
2017-03-08,97,62.0,,0.62,60.14
2017-03-09,85,62.0,,0.62,52.7
2017-03-10,95,62.0,,0.62,58.9
2017-03-11,71,62.0,,0.62,44.02
2017-03-12,68,62.0,,0.62,42.16
2017-03-13,91,62.0,,0.62,56.42
2017-03-14,91,62.0,,0.62,56.42
2017-03-15,92,62.0,,0.62,57.04
2017-03-16,81,62.0,,0.62,50.22
2017-03-17,72,62.0,,0.62,44.64
2017-03-18,65,62.0,,0.62,40.3
2017-03-19,74,62.0,,0.62,45.88
2017-03-20,100,62.0,,0.62,62.0
2017-03-21,86,62.0,,0.62,53.32
2017-03-22,96,62.0,,0.62,59.519999999999996
2017-03-23,84,62.0,,0.62,52.08
2017-03-24,83,62.0,,0.62,51.46
2017-03-25,75,62.0,,0.62,46.5
2017-03-26,76,62.0,,0.62,47.12
2017-03-27,95,62.0,,0.62,58.9
2017-03-28,97,62.0,,0.62,60.14
2017-03-29,94,62.0,,0.62,58.28
2017-03-30,87,62.0,,0.62,53.94
2017-03-31,91,62.0,,0.62,56.42
2017-04-01,71,90.0,False,0.9,63.9
2017-04-02,71,90.0,,0.9,63.9
2017-04-03,87,90.0,,0.9,78.3
2017-04-04,88,90.0,,0.9,79.2
2017-04-05,88,90.0,,0.9,79.2
2017-04-06,87,90.0,,0.9,78.3
2017-04-07,90,90.0,,0.9,81.0
2017-04-08,85,90.0,,0.9,76.5
2017-04-09,80,90.0,,0.9,72.0
2017-04-10,91,90.0,,0.9,81.9
2017-04-11,100,90.0,,0.9,90.0
2017-04-12,95,90.0,,0.9,85.5
2017-04-13,86,90.0,,0.9,77.4
2017-04-14,79,90.0,,0.9,71.10000000000001
2017-04-15,75,90.0,,0.9,67.5
2017-04-16,73,90.0,,0.9,65.7
2017-04-17,89,90.0,,0.9,80.10000000000001
2017-04-18,89,90.0,,0.9,80.10000000000001
2017-04-19,87,90.0,,0.9,78.3
2017-04-20,79,90.0,,0.9,71.10000000000001
2017-04-21,91,90.0,,0.9,81.9
2017-04-22,80,90.0,,0.9,72.0
2017-04-23,82,90.0,,0.9,73.8
2017-04-24,93,90.0,,0.9,83.7
2017-04-25,85,90.0,,0.9,76.5
2017-04-26,89,90.0,,0.9,80.10000000000001
2017-04-27,83,90.0,,0.9,74.7
2017-04-28,93,90.0,,0.9,83.7
2017-04-29,70,90.0,,0.9,63.0
2017-04-30,76,90.0,,0.9,68.4
2017-05-01,99,60.0,False,0.6,59.4
2017-05-02,83,60.0,,0.6,49.8
2017-05-03,90,60.0,,0.6,54.0
2017-05-04,77,60.0,,0.6,46.199999999999996
2017-05-05,68,60.0,,0.6,40.8
2017-05-06,64,60.0,,0.6,38.4
2017-05-07,60,60.0,,0.6,36.0
2017-05-08,92,60.0,,0.6,55.199999999999996
2017-05-09,83,60.0,,0.6,49.8
2017-05-10,93,60.0,,0.6,55.8
2017-05-11,100,60.0,,0.6,60.0
2017-05-12,74,60.0,,0.6,44.4
