date,RS_unscaled,RS_monthly,isPartial,scale,RS
2016-05-01,89,95.0,False,0.95,84.55
2016-05-02,75,95.0,,0.95,71.25
2016-05-03,80,95.0,,0.95,76.0
2016-05-04,76,95.0,,0.95,72.2
2016-05-05,85,95.0,,0.95,80.75
2016-05-06,80,95.0,,0.95,76.0
2016-05-07,89,95.0,,0.95,84.55
2016-05-08,100,95.0,,0.95,95.0
2016-05-09,78,95.0,,0.95,74.1
2016-05-10,71,95.0,,0.95,67.45
2016-05-11,81,95.0,,0.95,76.95
2016-05-12,76,95.0,,0.95,72.2
2016-05-13,78,95.0,,0.95,74.1
2016-05-14,78,95.0,,0.95,74.1
2016-05-15,82,95.0,,0.95,77.89999999999999
2016-05-16,85,95.0,,0.95,80.75
2016-05-17,85,95.0,,0.95,80.75
2016-05-18,81,95.0,,0.95,76.95
2016-05-19,77,95.0,,0.95,73.14999999999999
2016-05-20,78,95.0,,0.95,74.1
2016-05-21,92,95.0,,0.95,87.39999999999999
2016-05-22,94,95.0,,0.95,89.3
2016-05-23,83,95.0,,0.95,78.85
2016-05-24,85,95.0,,0.95,80.75
2016-05-25,79,95.0,,0.95,75.05
2016-05-26,81,95.0,,0.95,76.95
2016-05-27,77,95.0,,0.95,73.14999999999999
2016-05-28,84,95.0,,0.95,79.8
2016-05-29,79,95.0,,0.95,75.05
2016-05-30,92,95.0,,0.95,87.39999999999999
2016-05-31,83,95.0,,0.95,78.85
2016-06-01,78,99.0,False,0.99,77.22
2016-06-02,80,99.0,,0.99,79.2
2016-06-03,82,99.0,,0.99,81.17999999999999
2016-06-04,82,99.0,,0.99,81.17999999999999
2016-06-05,80,99.0,,0.99,79.2
2016-06-06,84,99.0,,0.99,83.16
2016-06-07,85,99.0,,0.99,84.15
2016-06-08,86,99.0,,0.99,85.14
2016-06-09,83,99.0,,0.99,82.17
2016-06-10,87,99.0,,0.99,86.13
2016-06-11,80,99.0,,0.99,79.2
2016-06-12,80,99.0,,0.99,79.2
2016-06-13,76,99.0,,0.99,75.24
2016-06-14,91,99.0,,0.99,90.09
2016-06-15,90,99.0,,0.99,89.1
2016-06-16,88,99.0,,0.99,87.12
2016-06-17,87,99.0,,0.99,86.13
2016-06-18,93,99.0,,0.99,92.07
2016-06-19,89,99.0,,0.99,88.11
2016-06-20,84,99.0,,0.99,83.16
2016-06-21,85,99.0,,0.99,84.15
2016-06-22,88,99.0,,0.99,87.12
2016-06-23,88,99.0,,0.99,87.12
2016-06-24,91,99.0,,0.99,90.09
2016-06-25,90,99.0,,0.99,89.1
2016-06-26,86,99.0,,0.99,85.14
2016-06-27,100,99.0,,0.99,99.0
2016-06-28,96,99.0,,0.99,95.03999999999999
2016-06-29,89,99.0,,0.99,88.11
2016-06-30,86,99.0,,0.99,85.14
2016-07-01,96,96.0,False,0.96,92.16
2016-07-02,92,96.0,,0.96,88.32
2016-07-03,95,96.0,,0.96,91.2
2016-07-04,91,96.0,,0.96,87.36
2016-07-05,96,96.0,,0.96,92.16
2016-07-06,97,96.0,,0.96,93.11999999999999
2016-07-07,89,96.0,,0.96,85.44
2016-07-08,91,96.0,,0.96,87.36
2016-07-09,95,96.0,,0.96,91.2
2016-07-10,74,96.0,,0.96,71.03999999999999
2016-07-11,91,96.0,,0.96,87.36
2016-07-12,83,96.0,,0.96,79.67999999999999
2016-07-13,85,96.0,,0.96,81.6
2016-07-14,83,96.0,,0.96,79.67999999999999
2016-07-15,89,96.0,,0.96,85.44
2016-07-16,91,96.0,,0.96,87.36
2016-07-17,97,96.0,,0.96,93.11999999999999
2016-07-18,100,96.0,,0.96,96.0
2016-07-19,99,96.0,,0.96,95.03999999999999
2016-07-20,99,96.0,,0.96,95.03999999999999
2016-07-21,89,96.0,,0.96,85.44
2016-07-22,100,96.0,,0.96,96.0
2016-07-23,90,96.0,,0.96,86.39999999999999
2016-07-24,92,96.0,,0.96,88.32
2016-07-25,94,96.0,,0.96,90.24
2016-07-26,97,96.0,,0.96,93.11999999999999
2016-07-27,87,96.0,,0.96,83.52
2016-07-28,98,96.0,,0.96,94.08
2016-07-29,86,96.0,,0.96,82.56
2016-07-30,85,96.0,,0.96,81.6
2016-07-31,92,96.0,,0.96,88.32
