date,WE_unscaled,WE_monthly,isPartial,scale,WE
2016-05-01,82,69.0,False,0.69,56.58
2016-05-02,96,69.0,,0.69,66.24
2016-05-03,97,69.0,,0.69,66.92999999999999
2016-05-04,95,69.0,,0.69,65.55
2016-05-05,100,69.0,,0.69,69.0
2016-05-06,94,69.0,,0.69,64.86
2016-05-07,72,69.0,,0.69,49.67999999999999
2016-05-08,73,69.0,,0.69,50.37
2016-05-09,89,69.0,,0.69,61.41
2016-05-10,93,69.0,,0.69,64.17
2016-05-11,87,69.0,,0.69,60.029999999999994
2016-05-12,91,69.0,,0.69,62.78999999999999
2016-05-13,89,69.0,,0.69,61.41
2016-05-14,73,69.0,,0.69,50.37
2016-05-15,82,69.0,,0.69,56.58
2016-05-16,93,69.0,,0.69,64.17
2016-05-17,88,69.0,,0.69,60.72
2016-05-18,90,69.0,,0.69,62.099999999999994
2016-05-19,91,69.0,,0.69,62.78999999999999
2016-05-20,87,69.0,,0.69,60.029999999999994
2016-05-21,73,69.0,,0.69,50.37
2016-05-22,82,69.0,,0.69,56.58
2016-05-23,92,69.0,,0.69,63.48
2016-05-24,88,69.0,,0.69,60.72
2016-05-25,88,69.0,,0.69,60.72
2016-05-26,91,69.0,,0.69,62.78999999999999
2016-05-27,80,69.0,,0.69,55.199999999999996
2016-05-28,74,69.0,,0.69,51.059999999999995
2016-05-29,77,69.0,,0.69,53.129999999999995
2016-05-30,76,69.0,,0.69,52.44
2016-05-31,81,69.0,,0.69,55.88999999999999
2016-06-01,88,64.0,False,0.64,56.32
2016-06-02,90,64.0,,0.64,57.6
2016-06-03,83,64.0,,0.64,53.120000000000005
2016-06-04,82,64.0,,0.64,52.480000000000004
2016-06-05,87,64.0,,0.64,55.68
2016-06-06,95,64.0,,0.64,60.800000000000004
2016-06-07,92,64.0,,0.64,58.88
2016-06-08,87,64.0,,0.64,55.68
2016-06-09,86,64.0,,0.64,55.04
2016-06-10,89,64.0,,0.64,56.96
2016-06-11,80,64.0,,0.64,51.2
2016-06-12,86,64.0,,0.64,55.04
2016-06-13,97,64.0,,0.64,62.08
2016-06-14,100,64.0,,0.64,64.0
2016-06-15,94,64.0,,0.64,60.160000000000004
2016-06-16,85,64.0,,0.64,54.4
2016-06-17,88,64.0,,0.64,56.32
2016-06-18,79,64.0,,0.64,50.56
2016-06-19,80,64.0,,0.64,51.2
2016-06-20,82,64.0,,0.64,52.480000000000004
2016-06-21,89,64.0,,0.64,56.96
2016-06-22,86,64.0,,0.64,55.04
2016-06-23,84,64.0,,0.64,53.76
2016-06-24,77,64.0,,0.64,49.28
2016-06-25,75,64.0,,0.64,48.0
2016-06-26,83,64.0,,0.64,53.120000000000005
2016-06-27,82,64.0,,0.64,52.480000000000004
2016-06-28,86,64.0,,0.64,55.04
2016-06-29,80,64.0,,0.64,51.2
2016-06-30,84,64.0,,0.64,53.76
2016-07-01,81,63.0,False,0.63,51.03
2016-07-02,78,63.0,,0.63,49.14
2016-07-03,82,63.0,,0.63,51.660000000000004
2016-07-04,86,63.0,,0.63,54.18
2016-07-05,82,63.0,,0.63,51.660000000000004
2016-07-06,81,63.0,,0.63,51.03
2016-07-07,83,63.0,,0.63,52.29
2016-07-08,96,63.0,,0.63,60.480000000000004
2016-07-09,81,63.0,,0.63,51.03
2016-07-10,81,63.0,,0.63,51.03
2016-07-11,83,63.0,,0.63,52.29
2016-07-12,79,63.0,,0.63,49.77
2016-07-13,76,63.0,,0.63,47.88
2016-07-14,79,63.0,,0.63,49.77
2016-07-15,81,63.0,,0.63,51.03
2016-07-16,78,63.0,,0.63,49.14
2016-07-17,83,63.0,,0.63,52.29
2016-07-18,81,63.0,,0.63,51.03
2016-07-19,90,63.0,,0.63,56.7
2016-07-20,90,63.0,,0.63,56.7
2016-07-21,89,63.0,,0.63,56.07
2016-07-22,84,63.0,,0.63,52.92
2016-07-23,78,63.0,,0.63,49.14
2016-07-24,79,63.0,,0.63,49.77
2016-07-25,81,63.0,,0.63,51.03
2016-07-26,96,63.0,,0.63,60.480000000000004
2016-07-27,97,63.0,,0.63,61.11
2016-07-28,100,63.0,,0.63,63.0
2016-07-29,99,63.0,,0.63,62.37
2016-07-30,87,63.0,,0.63,54.81
2016-07-31,85,63.0,,0.63,53.55
2016-08-01,84,62.0,False,0.62,52.08
2016-08-02,83,62.0,,0.62,51.46
2016-08-03,82,62.0,,0.62,50.839999999999996
2016-08-04,82,62.0,,0.62,50.839999999999996
2016-08-05,75,62.0,,0.62,46.5
2016-08-06,75,62.0,,0.62,46.5
2016-08-07,75,62.0,,0.62,46.5
2016-08-08,69,62.0,,0.62,42.78
2016-08-09,71,62.0,,0.62,44.02
2016-08-10,74,62.0,,0.62,45.88
2016-08-11,73,62.0,,0.62,45.26
2016-08-12,72,62.0,,0.62,44.64
2016-08-13,73,62.0,,0.62,45.26
2016-08-14,75,62.0,,0.62,46.5
2016-08-15,72,62.0,,0.62,44.64
2016-08-16,72,62.0,,0.62,44.64
2016-08-17,73,62.0,,0.62,45.26
2016-08-18,74,62.0,,0.62,45.88
2016-08-19,72,62.0,,0.62,44.64
2016-08-20,73,62.0,,0.62,45.26
2016-08-21,77,62.0,,0.62,47.74
2016-08-22,73,62.0,,0.62,45.26
2016-08-23,78,62.0,,0.62,48.36
2016-08-24,82,62.0,,0.62,50.839999999999996
2016-08-25,89,62.0,,0.62,55.18
2016-08-26,88,62.0,,0.62,54.56
2016-08-27,80,62.0,,0.62,49.6
2016-08-28,88,62.0,,0.62,54.56
2016-08-29,98,62.0,,0.62,60.76
2016-08-30,100,62.0,,0.62,62.0
2016-08-31,95,62.0,,0.62,58.9
2016-09-01,86,72.0,False,0.72,61.919999999999995
2016-09-02,86,72.0,,0.72,61.919999999999995
2016-09-03,73,72.0,,0.72,52.559999999999995
2016-09-04,78,72.0,,0.72,56.16
2016-09-05,81,72.0,,0.72,58.32
2016-09-06,86,72.0,,0.72,61.919999999999995
2016-09-07,87,72.0,,0.72,62.64
2016-09-08,88,72.0,,0.72,63.36
2016-09-09,91,72.0,,0.72,65.52
2016-09-10,76,72.0,,0.72,54.72
2016-09-11,95,72.0,,0.72,68.39999999999999
2016-09-12,89,72.0,,0.72,64.08
2016-09-13,92,72.0,,0.72,66.24
2016-09-14,90,72.0,,0.72,64.8
2016-09-15,93,72.0,,0.72,66.96
2016-09-16,92,72.0,,0.72,66.24
2016-09-17,74,72.0,,0.72,53.28
2016-09-18,81,72.0,,0.72,58.32
2016-09-19,90,72.0,,0.72,64.8
2016-09-20,94,72.0,,0.72,67.67999999999999
2016-09-21,100,72.0,,0.72,72.0
2016-09-22,95,72.0,,0.72,68.39999999999999
2016-09-23,91,72.0,,0.72,65.52
2016-09-24,71,72.0,,0.72,51.12
2016-09-25,82,72.0,,0.72,59.04
2016-09-26,92,72.0,,0.72,66.24
2016-09-27,97,72.0,,0.72,69.84
2016-09-28,95,72.0,,0.72,68.39999999999999
2016-09-29,99,72.0,,0.72,71.28
2016-09-30,96,72.0,,0.72,69.12
2016-10-01,74,75.0,False,0.75,55.5
