date,KR_unscaled,KR_monthly,isPartial,scale,KR
2016-05-01,53,72.0,False,0.72,38.16
2016-05-02,78,72.0,,0.72,56.16
2016-05-03,64,72.0,,0.72,46.08
2016-05-04,70,72.0,,0.72,50.4
2016-05-05,100,72.0,,0.72,72.0
2016-05-06,66,72.0,,0.72,47.519999999999996
2016-05-07,83,72.0,,0.72,59.76
2016-05-08,53,72.0,,0.72,38.16
2016-05-09,68,72.0,,0.72,48.96
2016-05-10,88,72.0,,0.72,63.36
2016-05-11,76,72.0,,0.72,54.72
2016-05-12,69,72.0,,0.72,49.68
2016-05-13,72,72.0,,0.72,51.839999999999996
2016-05-14,59,72.0,,0.72,42.48
2016-05-15,64,72.0,,0.72,46.08
2016-05-16,72,72.0,,0.72,51.839999999999996
2016-05-17,54,72.0,,0.72,38.879999999999995
2016-05-18,77,72.0,,0.72,55.44
2016-05-19,84,72.0,,0.72,60.48
2016-05-20,82,72.0,,0.72,59.04
2016-05-21,56,72.0,,0.72,40.32
2016-05-22,68,72.0,,0.72,48.96
2016-05-23,72,72.0,,0.72,51.839999999999996
2016-05-24,62,72.0,,0.72,44.64
2016-05-25,83,72.0,,0.72,59.76
2016-05-26,88,72.0,,0.72,63.36
2016-05-27,60,72.0,,0.72,43.199999999999996
2016-05-28,71,72.0,,0.72,51.12
2016-05-29,61,72.0,,0.72,43.92
2016-05-30,60,72.0,,0.72,43.199999999999996
2016-05-31,81,72.0,,0.72,58.32
2016-06-01,64,69.0,False,0.69,44.16
2016-06-02,73,69.0,,0.69,50.37
2016-06-03,79,69.0,,0.69,54.51
2016-06-04,74,69.0,,0.69,51.059999999999995
2016-06-05,48,69.0,,0.69,33.12
2016-06-06,61,69.0,,0.69,42.089999999999996
2016-06-07,77,69.0,,0.69,53.129999999999995
2016-06-08,83,69.0,,0.69,57.269999999999996
2016-06-09,74,69.0,,0.69,51.059999999999995
2016-06-10,82,69.0,,0.69,56.58
2016-06-11,56,69.0,,0.69,38.64
2016-06-12,55,69.0,,0.69,37.949999999999996
2016-06-13,66,69.0,,0.69,45.54
2016-06-14,81,69.0,,0.69,55.88999999999999
2016-06-15,75,69.0,,0.69,51.74999999999999
2016-06-16,87,69.0,,0.69,60.029999999999994
2016-06-17,100,69.0,,0.69,69.0
2016-06-18,64,69.0,,0.69,44.16
2016-06-19,61,69.0,,0.69,42.089999999999996
2016-06-20,56,69.0,,0.69,38.64
2016-06-21,56,69.0,,0.69,38.64
2016-06-22,67,69.0,,0.69,46.23
2016-06-23,80,69.0,,0.69,55.199999999999996
2016-06-24,82,69.0,,0.69,56.58
2016-06-25,68,69.0,,0.69,46.919999999999995
2016-06-26,66,69.0,,0.69,45.54
2016-06-27,82,69.0,,0.69,56.58
2016-06-28,79,69.0,,0.69,54.51
2016-06-29,62,69.0,,0.69,42.779999999999994
2016-06-30,66,69.0,,0.69,45.54
2016-07-01,100,68.0,False,0.68,68.0
2016-07-02,63,68.0,,0.68,42.84
2016-07-03,83,68.0,,0.68,56.440000000000005
2016-07-04,52,68.0,,0.68,35.36
2016-07-05,62,68.0,,0.68,42.160000000000004
2016-07-06,78,68.0,,0.68,53.040000000000006
2016-07-07,66,68.0,,0.68,44.88
2016-07-08,63,68.0,,0.68,42.84
