date,GL_unscaled,GL_monthly,isPartial,scale,GL
2016-05-01,77,100.0,False,1.0,77.0
2016-05-02,79,100.0,,1.0,79.0
2016-05-03,87,100.0,,1.0,87.0
2016-05-04,67,100.0,,1.0,67.0
2016-05-05,87,100.0,,1.0,87.0
2016-05-06,68,100.0,,1.0,68.0
2016-05-07,70,100.0,,1.0,70.0
2016-05-08,65,100.0,,1.0,65.0
2016-05-09,76,100.0,,1.0,76.0
2016-05-10,81,100.0,,1.0,81.0
2016-05-11,63,100.0,,1.0,63.0
2016-05-12,83,100.0,,1.0,83.0
2016-05-13,70,100.0,,1.0,70.0
2016-05-14,84,100.0,,1.0,84.0
2016-05-15,77,100.0,,1.0,77.0
2016-05-16,83,100.0,,1.0,83.0
2016-05-17,65,100.0,,1.0,65.0
2016-05-18,92,100.0,,1.0,92.0
2016-05-19,76,100.0,,1.0,76.0
2016-05-20,76,100.0,,1.0,76.0
2016-05-21,58,100.0,,1.0,58.0
2016-05-22,58,100.0,,1.0,58.0
2016-05-23,78,100.0,,1.0,78.0
2016-05-24,97,100.0,,1.0,97.0
2016-05-25,96,100.0,,1.0,96.0
2016-05-26,81,100.0,,1.0,81.0
2016-05-27,100,100.0,,1.0,100.0
2016-05-28,78,100.0,,1.0,78.0
2016-05-29,72,100.0,,1.0,72.0
2016-05-30,66,100.0,,1.0,66.0
2016-05-31,64,100.0,,1.0,64.0
2016-06-01,91,94.0,False,0.94,85.53999999999999
2016-06-02,94,94.0,,0.94,88.36
2016-06-03,92,94.0,,0.94,86.47999999999999
2016-06-04,73,94.0,,0.94,68.61999999999999
2016-06-05,68,94.0,,0.94,63.919999999999995
2016-06-06,86,94.0,,0.94,80.83999999999999
2016-06-07,91,94.0,,0.94,85.53999999999999
2016-06-08,86,94.0,,0.94,80.83999999999999
2016-06-09,78,94.0,,0.94,73.32
2016-06-10,76,94.0,,0.94,71.44
2016-06-11,85,94.0,,0.94,79.89999999999999
2016-06-12,76,94.0,,0.94,71.44
2016-06-13,79,94.0,,0.94,74.25999999999999
2016-06-14,92,94.0,,0.94,86.47999999999999
2016-06-15,81,94.0,,0.94,76.14
2016-06-16,85,94.0,,0.94,79.89999999999999
2016-06-17,98,94.0,,0.94,92.11999999999999
2016-06-18,63,94.0,,0.94,59.22
2016-06-19,71,94.0,,0.94,66.74
2016-06-20,88,94.0,,0.94,82.72
2016-06-21,95,94.0,,0.94,89.3
2016-06-22,77,94.0,,0.94,72.38
2016-06-23,89,94.0,,0.94,83.66
2016-06-24,88,94.0,,0.94,82.72
2016-06-25,78,94.0,,0.94,73.32
2016-06-26,82,94.0,,0.94,77.08
2016-06-27,80,94.0,,0.94,75.19999999999999
2016-06-28,100,94.0,,0.94,94.0
2016-06-29,85,94.0,,0.94,79.89999999999999
2016-06-30,80,94.0,,0.94,75.19999999999999
2016-07-01,77,95.0,False,0.95,73.14999999999999
2016-07-02,77,95.0,,0.95,73.14999999999999
2016-07-03,75,95.0,,0.95,71.25
2016-07-04,80,95.0,,0.95,76.0
2016-07-05,82,95.0,,0.95,77.89999999999999
2016-07-06,83,95.0,,0.95,78.85
2016-07-07,91,95.0,,0.95,86.45
2016-07-08,88,95.0,,0.95,83.6
2016-07-09,73,95.0,,0.95,69.35
2016-07-10,78,95.0,,0.95,74.1
2016-07-11,91,95.0,,0.95,86.45
2016-07-12,96,95.0,,0.95,91.19999999999999
2016-07-13,77,95.0,,0.95,73.14999999999999
2016-07-14,75,95.0,,0.95,71.25
2016-07-15,78,95.0,,0.95,74.1
2016-07-16,74,95.0,,0.95,70.3
2016-07-17,69,95.0,,0.95,65.55
2016-07-18,84,95.0,,0.95,79.8
2016-07-19,90,95.0,,0.95,85.5
2016-07-20,85,95.0,,0.95,80.75
2016-07-21,84,95.0,,0.95,79.8
2016-07-22,82,95.0,,0.95,77.89999999999999
2016-07-23,81,95.0,,0.95,76.95
2016-07-24,80,95.0,,0.95,76.0
2016-07-25,100,95.0,,0.95,95.0
2016-07-26,88,95.0,,0.95,83.6
2016-07-27,80,95.0,,0.95,76.0
2016-07-28,91,95.0,,0.95,86.45
2016-07-29,81,95.0,,0.95,76.95
2016-07-30,67,95.0,,0.95,63.65
2016-07-31,62,95.0,,0.95,58.9
2016-08-01,87,95.0,False,0.95,82.64999999999999
2016-08-02,89,95.0,,0.95,84.55
2016-08-03,85,95.0,,0.95,80.75
2016-08-04,78,95.0,,0.95,74.1
2016-08-05,75,95.0,,0.95,71.25
2016-08-06,74,95.0,,0.95,70.3
2016-08-07,94,95.0,,0.95,89.3
2016-08-08,89,95.0,,0.95,84.55
2016-08-09,81,95.0,,0.95,76.95
2016-08-10,91,95.0,,0.95,86.45
2016-08-11,71,95.0,,0.95,67.45
2016-08-12,100,95.0,,0.95,95.0
2016-08-13,74,95.0,,0.95,70.3
2016-08-14,76,95.0,,0.95,72.2
2016-08-15,84,95.0,,0.95,79.8
2016-08-16,92,95.0,,0.95,87.39999999999999
2016-08-17,92,95.0,,0.95,87.39999999999999
2016-08-18,87,95.0,,0.95,82.64999999999999
2016-08-19,87,95.0,,0.95,82.64999999999999
2016-08-20,74,95.0,,0.95,70.3
2016-08-21,57,95.0,,0.95,54.15
