date,MAGA_unscaled,MAGA_monthly,isPartial,scale,MAGA
2016-05-01,58,16.0,False,0.16,9.28
2016-05-02,64,16.0,,0.16,10.24
2016-05-03,67,16.0,,0.16,10.72
2016-05-04,100,16.0,,0.16,16.0
2016-05-05,64,16.0,,0.16,10.24
2016-05-06,78,16.0,,0.16,12.48
2016-05-07,70,16.0,,0.16,11.200000000000001
2016-05-08,81,16.0,,0.16,12.96
2016-05-09,70,16.0,,0.16,11.200000000000001
2016-05-10,69,16.0,,0.16,11.040000000000001
2016-05-11,84,16.0,,0.16,13.44
2016-05-12,61,16.0,,0.16,9.76
2016-05-13,67,16.0,,0.16,10.72
2016-05-14,74,16.0,,0.16,11.84
2016-05-15,84,16.0,,0.16,13.44
2016-05-16,81,16.0,,0.16,12.96
2016-05-17,72,16.0,,0.16,11.52
2016-05-18,74,16.0,,0.16,11.84
2016-05-19,78,16.0,,0.16,12.48
2016-05-20,66,16.0,,0.16,10.56
2016-05-21,89,16.0,,0.16,14.24
2016-05-22,62,16.0,,0.16,9.92
2016-05-23,67,16.0,,0.16,10.72
2016-05-24,73,16.0,,0.16,11.68
2016-05-25,77,16.0,,0.16,12.32
2016-05-26,69,16.0,,0.16,11.040000000000001
2016-05-27,60,16.0,,0.16,9.6
2016-05-28,55,16.0,,0.16,8.8
2016-05-29,70,16.0,,0.16,11.200000000000001
2016-05-30,64,16.0,,0.16,10.24
2016-05-31,66,16.0,,0.16,10.56
2016-06-01,73,17.0,False,0.17,12.41
2016-06-02,59,17.0,,0.17,10.030000000000001
2016-06-03,100,17.0,,0.17,17.0
2016-06-04,78,17.0,,0.17,13.260000000000002
2016-06-05,66,17.0,,0.17,11.22
2016-06-06,73,17.0,,0.17,12.41
2016-06-07,80,17.0,,0.17,13.600000000000001
2016-06-08,73,17.0,,0.17,12.41
2016-06-09,84,17.0,,0.17,14.280000000000001
2016-06-10,75,17.0,,0.17,12.750000000000002
2016-06-11,76,17.0,,0.17,12.920000000000002
2016-06-12,90,17.0,,0.17,15.3
2016-06-13,75,17.0,,0.17,12.750000000000002
2016-06-14,91,17.0,,0.17,15.47
2016-06-15,75,17.0,,0.17,12.750000000000002
2016-06-16,69,17.0,,0.17,11.73
2016-06-17,58,17.0,,0.17,9.860000000000001
2016-06-18,80,17.0,,0.17,13.600000000000001
2016-06-19,96,17.0,,0.17,16.32
2016-06-20,71,17.0,,0.17,12.07
2016-06-21,77,17.0,,0.17,13.090000000000002
2016-06-22,75,17.0,,0.17,12.750000000000002
2016-06-23,72,17.0,,0.17,12.24
2016-06-24,69,17.0,,0.17,11.73
2016-06-25,67,17.0,,0.17,11.39
2016-06-26,65,17.0,,0.17,11.05
2016-06-27,64,17.0,,0.17,10.88
2016-06-28,66,17.0,,0.17,11.22
2016-06-29,96,17.0,,0.17,16.32
2016-06-30,70,17.0,,0.17,11.9
2016-07-01,58,17.0,False,0.17,9.860000000000001
2016-07-02,68,17.0,,0.17,11.56
2016-07-03,89,17.0,,0.17,15.13
2016-07-04,81,17.0,,0.17,13.770000000000001
2016-07-05,74,17.0,,0.17,12.58
2016-07-06,97,17.0,,0.17,16.490000000000002
2016-07-07,100,17.0,,0.17,17.0
2016-07-08,81,17.0,,0.17,13.770000000000001
2016-07-09,89,17.0,,0.17,15.13
2016-07-10,75,17.0,,0.17,12.750000000000002
2016-07-11,73,17.0,,0.17,12.41
2016-07-12,67,17.0,,0.17,11.39
2016-07-13,73,17.0,,0.17,12.41
2016-07-14,75,17.0,,0.17,12.750000000000002
2016-07-15,54,17.0,,0.17,9.180000000000001
2016-07-16,74,17.0,,0.17,12.58
2016-07-17,63,17.0,,0.17,10.71
2016-07-18,78,17.0,,0.17,13.260000000000002
2016-07-19,61,17.0,,0.17,10.370000000000001
2016-07-20,64,17.0,,0.17,10.88
2016-07-21,59,17.0,,0.17,10.030000000000001
2016-07-22,63,17.0,,0.17,10.71
2016-07-23,73,17.0,,0.17,12.41
2016-07-24,72,17.0,,0.17,12.24
2016-07-25,81,17.0,,0.17,13.770000000000001
2016-07-26,68,17.0,,0.17,11.56
2016-07-27,85,17.0,,0.17,14.450000000000001
2016-07-28,75,17.0,,0.17,12.750000000000002
2016-07-29,67,17.0,,0.17,11.39
2016-07-30,77,17.0,,0.17,13.090000000000002
2016-07-31,64,17.0,,0.17,10.88
2016-08-01,69,16.0,False,0.16,11.040000000000001
2016-08-02,68,16.0,,0.16,10.88
2016-08-03,74,16.0,,0.16,11.84
2016-08-04,70,16.0,,0.16,11.200000000000001
2016-08-05,65,16.0,,0.16,10.4
2016-08-06,61,16.0,,0.16,9.76
2016-08-07,71,16.0,,0.16,11.36
2016-08-08,65,16.0,,0.16,10.4
2016-08-09,66,16.0,,0.16,10.56
2016-08-10,79,16.0,,0.16,12.64
2016-08-11,74,16.0,,0.16,11.84
2016-08-12,68,16.0,,0.16,10.88
2016-08-13,68,16.0,,0.16,10.88
2016-08-14,100,16.0,,0.16,16.0
2016-08-15,67,16.0,,0.16,10.72
2016-08-16,77,16.0,,0.16,12.32
2016-08-17,76,16.0,,0.16,12.16
2016-08-18,67,16.0,,0.16,10.72
2016-08-19,64,16.0,,0.16,10.24
2016-08-20,75,16.0,,0.16,12.0
2016-08-21,66,16.0,,0.16,10.56
2016-08-22,81,16.0,,0.16,12.96
2016-08-23,76,16.0,,0.16,12.16
2016-08-24,77,16.0,,0.16,12.32
2016-08-25,73,16.0,,0.16,11.68
2016-08-26,73,16.0,,0.16,11.68
2016-08-27,79,16.0,,0.16,12.64
2016-08-28,62,16.0,,0.16,9.92
2016-08-29,56,16.0,,0.16,8.96
2016-08-30,76,16.0,,0.16,12.16
2016-08-31,71,16.0,,0.16,11.36
2016-09-01,64,15.0,False,0.15,9.6
2016-09-02,74,15.0,,0.15,11.1
2016-09-03,64,15.0,,0.15,9.6
2016-09-04,71,15.0,,0.15,10.65
2016-09-05,86,15.0,,0.15,12.9
2016-09-06,75,15.0,,0.15,11.25
2016-09-07,75,15.0,,0.15,11.25
2016-09-08,78,15.0,,0.15,11.7
2016-09-09,62,15.0,,0.15,9.299999999999999
2016-09-10,61,15.0,,0.15,9.15
2016-09-11,63,15.0,,0.15,9.45
2016-09-12,67,15.0,,0.15,10.049999999999999
2016-09-13,82,15.0,,0.15,12.299999999999999
2016-09-14,68,15.0,,0.15,10.2
2016-09-15,57,15.0,,0.15,8.549999999999999
2016-09-16,86,15.0,,0.15,12.9
2016-09-17,82,15.0,,0.15,12.299999999999999
2016-09-18,77,15.0,,0.15,11.549999999999999
2016-09-19,73,15.0,,0.15,10.95
2016-09-20,66,15.0,,0.15,9.9
2016-09-21,70,15.0,,0.15,10.5
2016-09-22,71,15.0,,0.15,10.65
2016-09-23,79,15.0,,0.15,11.85
2016-09-24,81,15.0,,0.15,12.15
2016-09-25,63,15.0,,0.15,9.45
2016-09-26,77,15.0,,0.15,11.549999999999999
2016-09-27,100,15.0,,0.15,15.0
2016-09-28,72,15.0,,0.15,10.799999999999999
2016-09-29,65,15.0,,0.15,9.75
2016-09-30,66,15.0,,0.15,9.9
2016-10-01,33,18.0,False,0.18,5.9399999999999995
2016-10-02,48,18.0,,0.18,8.64
2016-10-03,43,18.0,,0.18,7.739999999999999
2016-10-04,53,18.0,,0.18,9.54
2016-10-05,44,18.0,,0.18,7.92
2016-10-06,47,18.0,,0.18,8.459999999999999
2016-10-07,34,18.0,,0.18,6.12
2016-10-08,100,18.0,,0.18,18.0
2016-10-09,96,18.0,,0.18,17.28
2016-10-10,71,18.0,,0.18,12.78
2016-10-11,64,18.0,,0.18,11.52
2016-10-12,55,18.0,,0.18,9.9
2016-10-13,42,18.0,,0.18,7.56
