date,PFE_unscaled,PFE_monthly,isPartial,scale,PFE
2016-05-01,14,9.0,False,0.09,1.26
2016-05-02,60,9.0,,0.09,5.3999999999999995
2016-05-03,100,9.0,,0.09,9.0
2016-05-04,62,9.0,,0.09,5.58
2016-05-05,82,9.0,,0.09,7.38
2016-05-06,53,9.0,,0.09,4.77
2016-05-07,19,9.0,,0.09,1.71
2016-05-08,5,9.0,,0.09,0.44999999999999996
2016-05-09,43,9.0,,0.09,3.8699999999999997
2016-05-10,49,9.0,,0.09,4.41
2016-05-11,68,9.0,,0.09,6.12
2016-05-12,32,9.0,,0.09,2.88
2016-05-13,47,9.0,,0.09,4.2299999999999995
2016-05-14,29,9.0,,0.09,2.61
2016-05-15,10,9.0,,0.09,0.8999999999999999
2016-05-16,81,9.0,,0.09,7.29
2016-05-17,57,9.0,,0.09,5.13
2016-05-18,60,9.0,,0.09,5.3999999999999995
2016-05-19,41,9.0,,0.09,3.69
2016-05-20,45,9.0,,0.09,4.05
2016-05-21,24,9.0,,0.09,2.16
2016-05-22,9,9.0,,0.09,0.8099999999999999
2016-05-23,43,9.0,,0.09,3.8699999999999997
2016-05-24,53,9.0,,0.09,4.77
2016-05-25,58,9.0,,0.09,5.22
2016-05-26,43,9.0,,0.09,3.8699999999999997
2016-05-27,49,9.0,,0.09,4.41
2016-05-28,17,9.0,,0.09,1.53
2016-05-29,8,9.0,,0.09,0.72
2016-05-30,14,9.0,,0.09,1.26
2016-05-31,64,9.0,,0.09,5.76
2016-06-01,43,8.0,False,0.08,3.44
2016-06-02,53,8.0,,0.08,4.24
2016-06-03,29,8.0,,0.08,2.32
2016-06-04,25,8.0,,0.08,2.0
2016-06-05,23,8.0,,0.08,1.84
2016-06-06,39,8.0,,0.08,3.12
2016-06-07,68,8.0,,0.08,5.44
2016-06-08,51,8.0,,0.08,4.08
2016-06-09,64,8.0,,0.08,5.12
2016-06-10,61,8.0,,0.08,4.88
2016-06-11,13,8.0,,0.08,1.04
2016-06-12,18,8.0,,0.08,1.44
2016-06-13,52,8.0,,0.08,4.16
2016-06-14,57,8.0,,0.08,4.5600000000000005
2016-06-15,60,8.0,,0.08,4.8
2016-06-16,50,8.0,,0.08,4.0
2016-06-17,34,8.0,,0.08,2.72
2016-06-18,8,8.0,,0.08,0.64
2016-06-19,11,8.0,,0.08,0.88
2016-06-20,46,8.0,,0.08,3.68
2016-06-21,53,8.0,,0.08,4.24
2016-06-22,55,8.0,,0.08,4.4
2016-06-23,52,8.0,,0.08,4.16
2016-06-24,100,8.0,,0.08,8.0
2016-06-25,24,8.0,,0.08,1.92
2016-06-26,11,8.0,,0.08,0.88
2016-06-27,67,8.0,,0.08,5.36
2016-06-28,57,8.0,,0.08,4.5600000000000005
2016-06-29,78,8.0,,0.08,6.24
2016-06-30,45,8.0,,0.08,3.6
2016-07-01,43,8.0,False,0.08,3.44
2016-07-02,23,8.0,,0.08,1.84
2016-07-03,10,8.0,,0.08,0.8
