date,NG_unscaled,NG_monthly,isPartial,scale,NG
2016-05-01,72,55.0,False,0.55,39.6
2016-05-02,82,55.0,,0.55,45.1
2016-05-03,83,55.0,,0.55,45.650000000000006
2016-05-04,83,55.0,,0.55,45.650000000000006
2016-05-05,100,55.0,,0.55,55.00000000000001
2016-05-06,80,55.0,,0.55,44.0
2016-05-07,68,55.0,,0.55,37.400000000000006
2016-05-08,61,55.0,,0.55,33.550000000000004
2016-05-09,90,55.0,,0.55,49.50000000000001
2016-05-10,85,55.0,,0.55,46.75000000000001
2016-05-11,91,55.0,,0.55,50.050000000000004
2016-05-12,87,55.0,,0.55,47.85
2016-05-13,69,55.0,,0.55,37.95
2016-05-14,61,55.0,,0.55,33.550000000000004
2016-05-15,66,55.0,,0.55,36.300000000000004
2016-05-16,77,55.0,,0.55,42.35
2016-05-17,71,55.0,,0.55,39.050000000000004
2016-05-18,94,55.0,,0.55,51.7
2016-05-19,78,55.0,,0.55,42.900000000000006
2016-05-20,96,55.0,,0.55,52.800000000000004
2016-05-21,66,55.0,,0.55,36.300000000000004
2016-05-22,69,55.0,,0.55,37.95
2016-05-23,88,55.0,,0.55,48.400000000000006
2016-05-24,88,55.0,,0.55,48.400000000000006
2016-05-25,86,55.0,,0.55,47.300000000000004
2016-05-26,87,55.0,,0.55,47.85
2016-05-27,76,55.0,,0.55,41.800000000000004
2016-05-28,75,55.0,,0.55,41.25
2016-05-29,61,55.0,,0.55,33.550000000000004
2016-05-30,66,55.0,,0.55,36.300000000000004
2016-05-31,80,55.0,,0.55,44.0
2016-06-01,76,63.0,False,0.63,47.88
2016-06-02,76,63.0,,0.63,47.88
2016-06-03,71,63.0,,0.63,44.73
2016-06-04,63,63.0,,0.63,39.69
2016-06-05,62,63.0,,0.63,39.06
2016-06-06,67,63.0,,0.63,42.21
2016-06-07,79,63.0,,0.63,49.77
2016-06-08,76,63.0,,0.63,47.88
2016-06-09,66,63.0,,0.63,41.58
2016-06-10,63,63.0,,0.63,39.69
2016-06-11,53,63.0,,0.63,33.39
2016-06-12,65,63.0,,0.63,40.95
2016-06-13,93,63.0,,0.63,58.59
2016-06-14,84,63.0,,0.63,52.92
2016-06-15,88,63.0,,0.63,55.44
2016-06-16,69,63.0,,0.63,43.47
2016-06-17,81,63.0,,0.63,51.03
2016-06-18,64,63.0,,0.63,40.32
2016-06-19,78,63.0,,0.63,49.14
