date,BA_unscaled,BA_monthly,isPartial,scale,BA
2016-05-01,97,56.0,False,0.56,54.32000000000001
2016-05-02,87,56.0,,0.56,48.720000000000006
2016-05-03,82,56.0,,0.56,45.92
2016-05-04,83,56.0,,0.56,46.480000000000004
2016-05-05,86,56.0,,0.56,48.160000000000004
2016-05-06,91,56.0,,0.56,50.96000000000001
2016-05-07,81,56.0,,0.56,45.36000000000001
2016-05-08,87,56.0,,0.56,48.720000000000006
2016-05-09,89,56.0,,0.56,49.84
2016-05-10,92,56.0,,0.56,51.52
2016-05-11,90,56.0,,0.56,50.400000000000006
2016-05-12,100,56.0,,0.56,56.00000000000001
2016-05-13,93,56.0,,0.56,52.080000000000005
2016-05-14,90,56.0,,0.56,50.400000000000006
2016-05-15,85,56.0,,0.56,47.6
2016-05-16,97,56.0,,0.56,54.32000000000001
2016-05-17,95,56.0,,0.56,53.2
2016-05-18,85,56.0,,0.56,47.6
2016-05-19,91,56.0,,0.56,50.96000000000001
2016-05-20,90,56.0,,0.56,50.400000000000006
2016-05-21,100,56.0,,0.56,56.00000000000001
2016-05-22,94,56.0,,0.56,52.64000000000001
2016-05-23,90,56.0,,0.56,50.400000000000006
2016-05-24,93,56.0,,0.56,52.080000000000005
2016-05-25,84,56.0,,0.56,47.040000000000006
2016-05-26,90,56.0,,0.56,50.400000000000006
2016-05-27,83,56.0,,0.56,46.480000000000004
2016-05-28,95,56.0,,0.56,53.2
2016-05-29,94,56.0,,0.56,52.64000000000001
2016-05-30,95,56.0,,0.56,53.2
2016-05-31,99,56.0,,0.56,55.440000000000005
2016-06-01,97,53.0,False,0.53,51.410000000000004
2016-06-02,94,53.0,,0.53,49.82
2016-06-03,100,53.0,,0.53,53.0
2016-06-04,97,53.0,,0.53,51.410000000000004
2016-06-05,93,53.0,,0.53,49.29
2016-06-06,98,53.0,,0.53,51.940000000000005
2016-06-07,91,53.0,,0.53,48.230000000000004
2016-06-08,94,53.0,,0.53,49.82
2016-06-09,91,53.0,,0.53,48.230000000000004
2016-06-10,87,53.0,,0.53,46.11
2016-06-11,88,53.0,,0.53,46.64
2016-06-12,86,53.0,,0.53,45.580000000000005
2016-06-13,88,53.0,,0.53,46.64
2016-06-14,99,53.0,,0.53,52.470000000000006
2016-06-15,89,53.0,,0.53,47.17
2016-06-16,93,53.0,,0.53,49.29
2016-06-17,78,53.0,,0.53,41.34
2016-06-18,90,53.0,,0.53,47.7
2016-06-19,83,53.0,,0.53,43.99
2016-06-20,93,53.0,,0.53,49.29
2016-06-21,98,53.0,,0.53,51.940000000000005
2016-06-22,93,53.0,,0.53,49.29
2016-06-23,91,53.0,,0.53,48.230000000000004
2016-06-24,88,53.0,,0.53,46.64
2016-06-25,84,53.0,,0.53,44.52
2016-06-26,100,53.0,,0.53,53.0
2016-06-27,97,53.0,,0.53,51.410000000000004
2016-06-28,87,53.0,,0.53,46.11
2016-06-29,95,53.0,,0.53,50.35
2016-06-30,96,53.0,,0.53,50.88
2016-07-01,72,55.0,False,0.55,39.6
2016-07-02,74,55.0,,0.55,40.7
2016-07-03,72,55.0,,0.55,39.6
2016-07-04,76,55.0,,0.55,41.800000000000004
2016-07-05,78,55.0,,0.55,42.900000000000006
2016-07-06,68,55.0,,0.55,37.400000000000006
2016-07-07,65,55.0,,0.55,35.75
2016-07-08,70,55.0,,0.55,38.5
2016-07-09,70,55.0,,0.55,38.5
2016-07-10,74,55.0,,0.55,40.7
2016-07-11,65,55.0,,0.55,35.75
2016-07-12,75,55.0,,0.55,41.25
2016-07-13,76,55.0,,0.55,41.800000000000004
2016-07-14,66,55.0,,0.55,36.300000000000004
2016-07-15,71,55.0,,0.55,39.050000000000004
2016-07-16,75,55.0,,0.55,41.25
2016-07-17,91,55.0,,0.55,50.050000000000004
2016-07-18,100,55.0,,0.55,55.00000000000001
2016-07-19,79,55.0,,0.55,43.45
2016-07-20,82,55.0,,0.55,45.1
2016-07-21,80,55.0,,0.55,44.0
2016-07-22,76,55.0,,0.55,41.800000000000004
2016-07-23,68,55.0,,0.55,37.400000000000006
2016-07-24,74,55.0,,0.55,40.7
2016-07-25,68,55.0,,0.55,37.400000000000006
2016-07-26,73,55.0,,0.55,40.150000000000006
2016-07-27,77,55.0,,0.55,42.35
2016-07-28,72,55.0,,0.55,39.6
2016-07-29,69,55.0,,0.55,37.95
2016-07-30,73,55.0,,0.55,40.150000000000006
2016-07-31,74,55.0,,0.55,40.7
2016-08-01,93,53.0,False,0.53,49.29
2016-08-02,92,53.0,,0.53,48.760000000000005
2016-08-03,97,53.0,,0.53,51.410000000000004
2016-08-04,89,53.0,,0.53,47.17
2016-08-05,94,53.0,,0.53,49.82
2016-08-06,87,53.0,,0.53,46.11
2016-08-07,88,53.0,,0.53,46.64
2016-08-08,89,53.0,,0.53,47.17
2016-08-09,86,53.0,,0.53,45.580000000000005
2016-08-10,87,53.0,,0.53,46.11
2016-08-11,81,53.0,,0.53,42.93
2016-08-12,84,53.0,,0.53,44.52
2016-08-13,80,53.0,,0.53,42.400000000000006
2016-08-14,96,53.0,,0.53,50.88
2016-08-15,87,53.0,,0.53,46.11
2016-08-16,83,53.0,,0.53,43.99
2016-08-17,97,53.0,,0.53,51.410000000000004
2016-08-18,100,53.0,,0.53,53.0
2016-08-19,84,53.0,,0.53,44.52
2016-08-20,81,53.0,,0.53,42.93
2016-08-21,89,53.0,,0.53,47.17
2016-08-22,92,53.0,,0.53,48.760000000000005
2016-08-23,91,53.0,,0.53,48.230000000000004
2016-08-24,87,53.0,,0.53,46.11
2016-08-25,88,53.0,,0.53,46.64
2016-08-26,91,53.0,,0.53,48.230000000000004
2016-08-27,92,53.0,,0.53,48.760000000000005
2016-08-28,90,53.0,,0.53,47.7
2016-08-29,98,53.0,,0.53,51.940000000000005
2016-08-30,97,53.0,,0.53,51.410000000000004
2016-08-31,95,53.0,,0.53,50.35
2016-09-01,78,53.0,False,0.53,41.34
2016-09-02,87,53.0,,0.53,46.11
2016-09-03,89,53.0,,0.53,47.17
2016-09-04,88,53.0,,0.53,46.64
2016-09-05,90,53.0,,0.53,47.7
2016-09-06,89,53.0,,0.53,47.17
2016-09-07,95,53.0,,0.53,50.35
2016-09-08,90,53.0,,0.53,47.7
2016-09-09,90,53.0,,0.53,47.7
2016-09-10,79,53.0,,0.53,41.870000000000005
2016-09-11,81,53.0,,0.53,42.93
2016-09-12,81,53.0,,0.53,42.93
2016-09-13,89,53.0,,0.53,47.17
2016-09-14,87,53.0,,0.53,46.11
2016-09-15,90,53.0,,0.53,47.7
2016-09-16,85,53.0,,0.53,45.050000000000004
2016-09-17,85,53.0,,0.53,45.050000000000004
2016-09-18,87,53.0,,0.53,46.11
2016-09-19,99,53.0,,0.53,52.470000000000006
2016-09-20,89,53.0,,0.53,47.17
2016-09-21,96,53.0,,0.53,50.88
2016-09-22,92,53.0,,0.53,48.760000000000005
2016-09-23,92,53.0,,0.53,48.760000000000005
2016-09-24,81,53.0,,0.53,42.93
2016-09-25,94,53.0,,0.53,49.82
2016-09-26,100,53.0,,0.53,53.0
2016-09-27,92,53.0,,0.53,48.760000000000005
2016-09-28,89,53.0,,0.53,47.17
2016-09-29,84,53.0,,0.53,44.52
2016-09-30,91,53.0,,0.53,48.230000000000004
2016-10-01,87,57.0,False,0.57,49.589999999999996
2016-10-02,81,57.0,,0.57,46.169999999999995
2016-10-03,82,57.0,,0.57,46.739999999999995
2016-10-04,95,57.0,,0.57,54.15
2016-10-05,87,57.0,,0.57,49.589999999999996
2016-10-06,83,57.0,,0.57,47.309999999999995
2016-10-07,85,57.0,,0.57,48.449999999999996
2016-10-08,77,57.0,,0.57,43.88999999999999
2016-10-09,79,57.0,,0.57,45.029999999999994
2016-10-10,88,57.0,,0.57,50.16
2016-10-11,94,57.0,,0.57,53.58
2016-10-12,90,57.0,,0.57,51.3
2016-10-13,84,57.0,,0.57,47.879999999999995
2016-10-14,87,57.0,,0.57,49.589999999999996
2016-10-15,88,57.0,,0.57,50.16
2016-10-16,82,57.0,,0.57,46.739999999999995
2016-10-17,93,57.0,,0.57,53.01
2016-10-18,92,57.0,,0.57,52.44
2016-10-19,86,57.0,,0.57,49.019999999999996
2016-10-20,88,57.0,,0.57,50.16
2016-10-21,88,57.0,,0.57,50.16
2016-10-22,89,57.0,,0.57,50.73
2016-10-23,81,57.0,,0.57,46.169999999999995
2016-10-24,99,57.0,,0.57,56.42999999999999
2016-10-25,90,57.0,,0.57,51.3
2016-10-26,100,57.0,,0.57,56.99999999999999
2016-10-27,94,57.0,,0.57,53.58
2016-10-28,91,57.0,,0.57,51.87
2016-10-29,94,57.0,,0.57,53.58
2016-10-30,89,57.0,,0.57,50.73
2016-10-31,97,57.0,,0.57,55.28999999999999
2016-11-01,95,55.0,False,0.55,52.25000000000001
2016-11-02,95,55.0,,0.55,52.25000000000001
2016-11-03,87,55.0,,0.55,47.85
2016-11-04,92,55.0,,0.55,50.6
2016-11-05,92,55.0,,0.55,50.6
2016-11-06,92,55.0,,0.55,50.6
2016-11-07,91,55.0,,0.55,50.050000000000004
2016-11-08,94,55.0,,0.55,51.7
2016-11-09,73,55.0,,0.55,40.150000000000006
2016-11-10,89,55.0,,0.55,48.95
2016-11-11,96,55.0,,0.55,52.800000000000004
2016-11-12,90,55.0,,0.55,49.50000000000001
2016-11-13,91,55.0,,0.55,50.050000000000004
2016-11-14,89,55.0,,0.55,48.95
2016-11-15,100,55.0,,0.55,55.00000000000001
2016-11-16,98,55.0,,0.55,53.900000000000006
2016-11-17,89,55.0,,0.55,48.95
2016-11-18,85,55.0,,0.55,46.75000000000001
2016-11-19,85,55.0,,0.55,46.75000000000001
2016-11-20,83,55.0,,0.55,45.650000000000006
2016-11-21,90,55.0,,0.55,49.50000000000001
2016-11-22,94,55.0,,0.55,51.7
2016-11-23,91,55.0,,0.55,50.050000000000004
2016-11-24,78,55.0,,0.55,42.900000000000006
2016-11-25,72,55.0,,0.55,39.6
2016-11-26,80,55.0,,0.55,44.0
2016-11-27,88,55.0,,0.55,48.400000000000006
2016-11-28,80,55.0,,0.55,44.0
2016-11-29,95,55.0,,0.55,52.25000000000001
2016-11-30,99,55.0,,0.55,54.45
2016-12-01,96,54.0,False,0.54,51.84
2016-12-02,90,54.0,,0.54,48.6
2016-12-03,90,54.0,,0.54,48.6
2016-12-04,86,54.0,,0.54,46.440000000000005
2016-12-05,86,54.0,,0.54,46.440000000000005
2016-12-06,95,54.0,,0.54,51.300000000000004
2016-12-07,98,54.0,,0.54,52.92
2016-12-08,85,54.0,,0.54,45.900000000000006
2016-12-09,88,54.0,,0.54,47.52
2016-12-10,83,54.0,,0.54,44.82
2016-12-11,89,54.0,,0.54,48.06
2016-12-12,89,54.0,,0.54,48.06
2016-12-13,95,54.0,,0.54,51.300000000000004
2016-12-14,85,54.0,,0.54,45.900000000000006
2016-12-15,89,54.0,,0.54,48.06
2016-12-16,88,54.0,,0.54,47.52
2016-12-17,90,54.0,,0.54,48.6
2016-12-18,86,54.0,,0.54,46.440000000000005
2016-12-19,83,54.0,,0.54,44.82
2016-12-20,89,54.0,,0.54,48.06
2016-12-21,89,54.0,,0.54,48.06
2016-12-22,90,54.0,,0.54,48.6
2016-12-23,87,54.0,,0.54,46.980000000000004
2016-12-24,92,54.0,,0.54,49.68000000000001
2016-12-25,75,54.0,,0.54,40.5
2016-12-26,89,54.0,,0.54,48.06
2016-12-27,80,54.0,,0.54,43.2
2016-12-28,100,54.0,,0.54,54.0
2016-12-29,84,54.0,,0.54,45.36
2016-12-30,94,54.0,,0.54,50.760000000000005
2016-12-31,78,54.0,,0.54,42.120000000000005
2017-01-01,82,55.0,False,0.55,45.1
2017-01-02,80,55.0,,0.55,44.0
2017-01-03,84,55.0,,0.55,46.2
2017-01-04,94,55.0,,0.55,51.7
2017-01-05,96,55.0,,0.55,52.800000000000004
2017-01-06,80,55.0,,0.55,44.0
2017-01-07,89,55.0,,0.55,48.95
2017-01-08,78,55.0,,0.55,42.900000000000006
2017-01-09,88,55.0,,0.55,48.400000000000006
2017-01-10,87,55.0,,0.55,47.85
2017-01-11,91,55.0,,0.55,50.050000000000004
2017-01-12,95,55.0,,0.55,52.25000000000001
2017-01-13,89,55.0,,0.55,48.95
2017-01-14,83,55.0,,0.55,45.650000000000006
2017-01-15,86,55.0,,0.55,47.300000000000004
2017-01-16,83,55.0,,0.55,45.650000000000006
2017-01-17,86,55.0,,0.55,47.300000000000004
2017-01-18,80,55.0,,0.55,44.0
2017-01-19,93,55.0,,0.55,51.150000000000006
2017-01-20,84,55.0,,0.55,46.2
2017-01-21,81,55.0,,0.55,44.550000000000004
2017-01-22,73,55.0,,0.55,40.150000000000006
2017-01-23,86,55.0,,0.55,47.300000000000004
2017-01-24,85,55.0,,0.55,46.75000000000001
2017-01-25,95,55.0,,0.55,52.25000000000001
2017-01-26,100,55.0,,0.55,55.00000000000001
2017-01-27,91,55.0,,0.55,50.050000000000004
2017-01-28,80,55.0,,0.55,44.0
2017-01-29,86,55.0,,0.55,47.300000000000004
2017-01-30,89,55.0,,0.55,48.95
2017-01-31,96,55.0,,0.55,52.800000000000004
2017-02-01,88,53.0,False,0.53,46.64
2017-02-02,92,53.0,,0.53,48.760000000000005
2017-02-03,92,53.0,,0.53,48.760000000000005
2017-02-04,88,53.0,,0.53,46.64
2017-02-05,81,53.0,,0.53,42.93
2017-02-06,91,53.0,,0.53,48.230000000000004
2017-02-07,94,53.0,,0.53,49.82
2017-02-08,86,53.0,,0.53,45.580000000000005
2017-02-09,100,53.0,,0.53,53.0
2017-02-10,99,53.0,,0.53,52.470000000000006
2017-02-11,93,53.0,,0.53,49.29
2017-02-12,96,53.0,,0.53,50.88
2017-02-13,95,53.0,,0.53,50.35
2017-02-14,93,53.0,,0.53,49.29
2017-02-15,93,53.0,,0.53,49.29
2017-02-16,88,53.0,,0.53,46.64
2017-02-17,83,53.0,,0.53,43.99
2017-02-18,92,53.0,,0.53,48.760000000000005
2017-02-19,85,53.0,,0.53,45.050000000000004
2017-02-20,96,53.0,,0.53,50.88
2017-02-21,98,53.0,,0.53,51.940000000000005
2017-02-22,93,53.0,,0.53,49.29
2017-02-23,97,53.0,,0.53,51.410000000000004
2017-02-24,99,53.0,,0.53,52.470000000000006
2017-02-25,89,53.0,,0.53,47.17
2017-02-26,92,53.0,,0.53,48.760000000000005
2017-02-27,92,53.0,,0.53,48.760000000000005
2017-02-28,99,53.0,,0.53,52.470000000000006
2017-03-01,95,56.0,False,0.56,53.2
2017-03-02,96,56.0,,0.56,53.760000000000005
2017-03-03,91,56.0,,0.56,50.96000000000001
2017-03-04,89,56.0,,0.56,49.84
2017-03-05,95,56.0,,0.56,53.2
2017-03-06,92,56.0,,0.56,51.52
2017-03-07,86,56.0,,0.56,48.160000000000004
2017-03-08,90,56.0,,0.56,50.400000000000006
2017-03-09,96,56.0,,0.56,53.760000000000005
2017-03-10,92,56.0,,0.56,51.52
2017-03-11,97,56.0,,0.56,54.32000000000001
2017-03-12,81,56.0,,0.56,45.36000000000001
2017-03-13,92,56.0,,0.56,51.52
2017-03-14,89,56.0,,0.56,49.84
2017-03-15,86,56.0,,0.56,48.160000000000004
2017-03-16,85,56.0,,0.56,47.6
2017-03-17,88,56.0,,0.56,49.28
2017-03-18,100,56.0,,0.56,56.00000000000001
2017-03-19,90,56.0,,0.56,50.400000000000006
2017-03-20,95,56.0,,0.56,53.2
2017-03-21,99,56.0,,0.56,55.440000000000005
2017-03-22,91,56.0,,0.56,50.96000000000001
2017-03-23,90,56.0,,0.56,50.400000000000006
2017-03-24,90,56.0,,0.56,50.400000000000006
2017-03-25,93,56.0,,0.56,52.080000000000005
2017-03-26,85,56.0,,0.56,47.6
2017-03-27,89,56.0,,0.56,49.84
2017-03-28,92,56.0,,0.56,51.52
2017-03-29,94,56.0,,0.56,52.64000000000001
2017-03-30,93,56.0,,0.56,52.080000000000005
2017-03-31,94,56.0,,0.56,52.64000000000001
2017-04-01,90,56.0,False,0.56,50.400000000000006
2017-04-02,87,56.0,,0.56,48.720000000000006
2017-04-03,84,56.0,,0.56,47.040000000000006
2017-04-04,95,56.0,,0.56,53.2
2017-04-05,92,56.0,,0.56,51.52
2017-04-06,88,56.0,,0.56,49.28
2017-04-07,84,56.0,,0.56,47.040000000000006
2017-04-08,90,56.0,,0.56,50.400000000000006
2017-04-09,89,56.0,,0.56,49.84
2017-04-10,91,56.0,,0.56,50.96000000000001
2017-04-11,96,56.0,,0.56,53.760000000000005
2017-04-12,87,56.0,,0.56,48.720000000000006
2017-04-13,80,56.0,,0.56,44.800000000000004
2017-04-14,87,56.0,,0.56,48.720000000000006
2017-04-15,96,56.0,,0.56,53.760000000000005
2017-04-16,80,56.0,,0.56,44.800000000000004
2017-04-17,88,56.0,,0.56,49.28
2017-04-18,86,56.0,,0.56,48.160000000000004
2017-04-19,83,56.0,,0.56,46.480000000000004
2017-04-20,92,56.0,,0.56,51.52
2017-04-21,80,56.0,,0.56,44.800000000000004
2017-04-22,87,56.0,,0.56,48.720000000000006
2017-04-23,78,56.0,,0.56,43.68000000000001
2017-04-24,100,56.0,,0.56,56.00000000000001
2017-04-25,85,56.0,,0.56,47.6
2017-04-26,91,56.0,,0.56,50.96000000000001
2017-04-27,89,56.0,,0.56,49.84
2017-04-28,86,56.0,,0.56,48.160000000000004
2017-04-29,89,56.0,,0.56,49.84
2017-04-30,80,56.0,,0.56,44.800000000000004
2017-05-01,81,55.0,False,0.55,44.550000000000004
2017-05-02,76,55.0,,0.55,41.800000000000004
2017-05-03,77,55.0,,0.55,42.35
2017-05-04,73,55.0,,0.55,40.150000000000006
2017-05-05,70,55.0,,0.55,38.5
2017-05-06,75,55.0,,0.55,41.25
2017-05-07,80,55.0,,0.55,44.0
2017-05-08,79,55.0,,0.55,43.45
2017-05-09,74,55.0,,0.55,40.7
2017-05-10,74,55.0,,0.55,40.7
2017-05-11,81,55.0,,0.55,44.550000000000004
2017-05-12,78,55.0,,0.55,42.900000000000006
2017-05-13,79,55.0,,0.55,43.45
2017-05-14,83,55.0,,0.55,45.650000000000006
2017-05-15,77,55.0,,0.55,42.35
2017-05-16,69,55.0,,0.55,37.95
2017-05-17,68,55.0,,0.55,37.400000000000006
2017-05-18,85,55.0,,0.55,46.75000000000001
2017-05-19,75,55.0,,0.55,41.25
2017-05-20,77,55.0,,0.55,42.35
2017-05-21,85,55.0,,0.55,46.75000000000001
2017-05-22,82,55.0,,0.55,45.1
2017-05-23,73,55.0,,0.55,40.150000000000006
2017-05-24,76,55.0,,0.55,41.800000000000004
2017-05-25,78,55.0,,0.55,42.900000000000006
2017-05-26,77,55.0,,0.55,42.35
2017-05-27,91,55.0,,0.55,50.050000000000004
2017-05-28,100,55.0,,0.55,55.00000000000001
2017-05-29,85,55.0,,0.55,46.75000000000001
2017-05-30,85,55.0,,0.55,46.75000000000001
2017-05-31,80,55.0,,0.55,44.0
2017-06-01,86,55.0,False,0.55,47.300000000000004
2017-06-02,92,55.0,,0.55,50.6
2017-06-03,87,55.0,,0.55,47.85
2017-06-04,77,55.0,,0.55,42.35
2017-06-05,100,55.0,,0.55,55.00000000000001
2017-06-06,95,55.0,,0.55,52.25000000000001
2017-06-07,81,55.0,,0.55,44.550000000000004
2017-06-08,85,55.0,,0.55,46.75000000000001
2017-06-09,84,55.0,,0.55,46.2
2017-06-10,87,55.0,,0.55,47.85
2017-06-11,93,55.0,,0.55,51.150000000000006
2017-06-12,83,55.0,,0.55,45.650000000000006
2017-06-13,90,55.0,,0.55,49.50000000000001
2017-06-14,90,55.0,,0.55,49.50000000000001
2017-06-15,88,55.0,,0.55,48.400000000000006
2017-06-16,82,55.0,,0.55,45.1
2017-06-17,90,55.0,,0.55,49.50000000000001
2017-06-18,85,55.0,,0.55,46.75000000000001
2017-06-19,89,55.0,,0.55,48.95
2017-06-20,84,55.0,,0.55,46.2
2017-06-21,86,55.0,,0.55,47.300000000000004
2017-06-22,93,55.0,,0.55,51.150000000000006
2017-06-23,93,55.0,,0.55,51.150000000000006
2017-06-24,87,55.0,,0.55,47.85
2017-06-25,83,55.0,,0.55,45.650000000000006
2017-06-26,90,55.0,,0.55,49.50000000000001
2017-06-27,95,55.0,,0.55,52.25000000000001
2017-06-28,88,55.0,,0.55,48.400000000000006
2017-06-29,88,55.0,,0.55,48.400000000000006
2017-06-30,92,55.0,,0.55,50.6
2017-07-01,85,53.0,False,0.53,45.050000000000004
2017-07-02,88,53.0,,0.53,46.64
2017-07-03,85,53.0,,0.53,45.050000000000004
2017-07-04,85,53.0,,0.53,45.050000000000004
2017-07-05,86,53.0,,0.53,45.580000000000005
2017-07-06,86,53.0,,0.53,45.580000000000005
2017-07-07,85,53.0,,0.53,45.050000000000004
2017-07-08,90,53.0,,0.53,47.7
2017-07-09,87,53.0,,0.53,46.11
2017-07-10,82,53.0,,0.53,43.46
2017-07-11,82,53.0,,0.53,43.46
2017-07-12,82,53.0,,0.53,43.46
2017-07-13,82,53.0,,0.53,43.46
2017-07-14,87,53.0,,0.53,46.11
2017-07-15,85,53.0,,0.53,45.050000000000004
2017-07-16,78,53.0,,0.53,41.34
2017-07-17,85,53.0,,0.53,45.050000000000004
2017-07-18,91,53.0,,0.53,48.230000000000004
2017-07-19,90,53.0,,0.53,47.7
2017-07-20,88,53.0,,0.53,46.64
2017-07-21,82,53.0,,0.53,43.46
2017-07-22,85,53.0,,0.53,45.050000000000004
2017-07-23,82,53.0,,0.53,43.46
2017-07-24,90,53.0,,0.53,47.7
2017-07-25,85,53.0,,0.53,45.050000000000004
2017-07-26,99,53.0,,0.53,52.470000000000006
2017-07-27,100,53.0,,0.53,53.0
2017-07-28,98,53.0,,0.53,51.940000000000005
2017-07-29,84,53.0,,0.53,44.52
2017-07-30,84,53.0,,0.53,44.52
2017-07-31,100,53.0,,0.53,53.0
2017-08-01,92,55.0,False,0.55,50.6
2017-08-02,92,55.0,,0.55,50.6
2017-08-03,90,55.0,,0.55,49.50000000000001
2017-08-04,97,55.0,,0.55,53.35
2017-08-05,85,55.0,,0.55,46.75000000000001
2017-08-06,84,55.0,,0.55,46.2
2017-08-07,89,55.0,,0.55,48.95
2017-08-08,84,55.0,,0.55,46.2
2017-08-09,98,55.0,,0.55,53.900000000000006
2017-08-10,92,55.0,,0.55,50.6
2017-08-11,89,55.0,,0.55,48.95
2017-08-12,96,55.0,,0.55,52.800000000000004
2017-08-13,99,55.0,,0.55,54.45
2017-08-14,83,55.0,,0.55,45.650000000000006
2017-08-15,93,55.0,,0.55,51.150000000000006
2017-08-16,92,55.0,,0.55,50.6
2017-08-17,93,55.0,,0.55,51.150000000000006
2017-08-18,90,55.0,,0.55,49.50000000000001
2017-08-19,94,55.0,,0.55,51.7
2017-08-20,94,55.0,,0.55,51.7
2017-08-21,100,55.0,,0.55,55.00000000000001
2017-08-22,99,55.0,,0.55,54.45
2017-08-23,96,55.0,,0.55,52.800000000000004
2017-08-24,91,55.0,,0.55,50.050000000000004
2017-08-25,85,55.0,,0.55,46.75000000000001
2017-08-26,86,55.0,,0.55,47.300000000000004
2017-08-27,79,55.0,,0.55,43.45
2017-08-28,95,55.0,,0.55,52.25000000000001
2017-08-29,87,55.0,,0.55,47.85
2017-08-30,92,55.0,,0.55,50.6
2017-08-31,85,55.0,,0.55,46.75000000000001
2017-09-01,81,54.0,False,0.54,43.74
2017-09-02,90,54.0,,0.54,48.6
2017-09-03,77,54.0,,0.54,41.580000000000005
2017-09-04,72,54.0,,0.54,38.88
2017-09-05,87,54.0,,0.54,46.980000000000004
2017-09-06,82,54.0,,0.54,44.28
2017-09-07,83,54.0,,0.54,44.82
2017-09-08,77,54.0,,0.54,41.580000000000005
2017-09-09,74,54.0,,0.54,39.96
2017-09-10,81,54.0,,0.54,43.74
2017-09-11,86,54.0,,0.54,46.440000000000005
2017-09-12,81,54.0,,0.54,43.74
2017-09-13,91,54.0,,0.54,49.14
2017-09-14,87,54.0,,0.54,46.980000000000004
2017-09-15,88,54.0,,0.54,47.52
2017-09-16,92,54.0,,0.54,49.68000000000001
2017-09-17,85,54.0,,0.54,45.900000000000006
2017-09-18,89,54.0,,0.54,48.06
2017-09-19,100,54.0,,0.54,54.0
2017-09-20,88,54.0,,0.54,47.52
2017-09-21,93,54.0,,0.54,50.220000000000006
2017-09-22,88,54.0,,0.54,47.52
2017-09-23,87,54.0,,0.54,46.980000000000004
2017-09-24,81,54.0,,0.54,43.74
2017-09-25,90,54.0,,0.54,48.6
2017-09-26,93,54.0,,0.54,50.220000000000006
2017-09-27,82,54.0,,0.54,44.28
2017-09-28,90,54.0,,0.54,48.6
2017-09-29,84,54.0,,0.54,45.36
2017-09-30,88,54.0,,0.54,47.52
