date,OI_unscaled,OI_monthly,isPartial,scale,OI
2016-05-01,61,100.0,False,1.0,61.0
2016-05-02,96,100.0,,1.0,96.0
2016-05-03,81,100.0,,1.0,81.0
2016-05-04,96,100.0,,1.0,96.0
2016-05-05,94,100.0,,1.0,94.0
2016-05-06,95,100.0,,1.0,95.0
2016-05-07,65,100.0,,1.0,65.0
2016-05-08,92,100.0,,1.0,92.0
2016-05-09,89,100.0,,1.0,89.0
2016-05-10,93,100.0,,1.0,93.0
2016-05-11,85,100.0,,1.0,85.0
2016-05-12,100,100.0,,1.0,100.0
2016-05-13,82,100.0,,1.0,82.0
2016-05-14,72,100.0,,1.0,72.0
2016-05-15,91,100.0,,1.0,91.0
2016-05-16,74,100.0,,1.0,74.0
2016-05-17,93,100.0,,1.0,93.0
2016-05-18,76,100.0,,1.0,76.0
2016-05-19,86,100.0,,1.0,86.0
2016-05-20,76,100.0,,1.0,76.0
2016-05-21,57,100.0,,1.0,57.0
2016-05-22,76,100.0,,1.0,76.0
2016-05-23,63,100.0,,1.0,63.0
2016-05-24,85,100.0,,1.0,85.0
2016-05-25,56,100.0,,1.0,56.0
2016-05-26,67,100.0,,1.0,67.0
2016-05-27,91,100.0,,1.0,91.0
2016-05-28,74,100.0,,1.0,74.0
2016-05-29,79,100.0,,1.0,79.0
2016-05-30,69,100.0,,1.0,69.0
2016-05-31,66,100.0,,1.0,66.0
2016-06-01,77,86.0,False,0.86,66.22
2016-06-02,68,86.0,,0.86,58.48
2016-06-03,69,86.0,,0.86,59.339999999999996
2016-06-04,62,86.0,,0.86,53.32
2016-06-05,73,86.0,,0.86,62.78
2016-06-06,70,86.0,,0.86,60.199999999999996
2016-06-07,75,86.0,,0.86,64.5
2016-06-08,52,86.0,,0.86,44.72
2016-06-09,62,86.0,,0.86,53.32
2016-06-10,73,86.0,,0.86,62.78
2016-06-11,67,86.0,,0.86,57.62
2016-06-12,68,86.0,,0.86,58.48
2016-06-13,52,86.0,,0.86,44.72
2016-06-14,85,86.0,,0.86,73.1
2016-06-15,64,86.0,,0.86,55.04
2016-06-16,55,86.0,,0.86,47.3
2016-06-17,62,86.0,,0.86,53.32
2016-06-18,58,86.0,,0.86,49.88
