date,ULTA_unscaled,ULTA_monthly,isPartial,scale,ULTA
2016-05-01,90,43.0,False,0.43,38.7
2016-05-02,63,43.0,,0.43,27.09
2016-05-03,66,43.0,,0.43,28.38
2016-05-04,65,43.0,,0.43,27.95
2016-05-05,73,43.0,,0.43,31.39
2016-05-06,74,43.0,,0.43,31.82
2016-05-07,100,43.0,,0.43,43.0
2016-05-08,97,43.0,,0.43,41.71
2016-05-09,64,43.0,,0.43,27.52
2016-05-10,64,43.0,,0.43,27.52
2016-05-11,64,43.0,,0.43,27.52
2016-05-12,67,43.0,,0.43,28.81
2016-05-13,78,43.0,,0.43,33.54
2016-05-14,89,43.0,,0.43,38.269999999999996
2016-05-15,94,43.0,,0.43,40.42
2016-05-16,66,43.0,,0.43,28.38
2016-05-17,65,43.0,,0.43,27.95
2016-05-18,63,43.0,,0.43,27.09
2016-05-19,66,43.0,,0.43,28.38
2016-05-20,74,43.0,,0.43,31.82
2016-05-21,91,43.0,,0.43,39.13
2016-05-22,89,43.0,,0.43,38.269999999999996
2016-05-23,63,43.0,,0.43,27.09
2016-05-24,62,43.0,,0.43,26.66
2016-05-25,63,43.0,,0.43,27.09
2016-05-26,70,43.0,,0.43,30.099999999999998
2016-05-27,72,43.0,,0.43,30.96
2016-05-28,83,43.0,,0.43,35.69
2016-05-29,82,43.0,,0.43,35.26
2016-05-30,86,43.0,,0.43,36.98
2016-05-31,64,43.0,,0.43,27.52
2016-06-01,71,42.0,False,0.42,29.82
2016-06-02,76,42.0,,0.42,31.919999999999998
2016-06-03,78,42.0,,0.42,32.76
2016-06-04,91,42.0,,0.42,38.22
2016-06-05,100,42.0,,0.42,42.0
2016-06-06,72,42.0,,0.42,30.24
2016-06-07,73,42.0,,0.42,30.66
2016-06-08,76,42.0,,0.42,31.919999999999998
2016-06-09,78,42.0,,0.42,32.76
2016-06-10,82,42.0,,0.42,34.44
2016-06-11,93,42.0,,0.42,39.059999999999995
2016-06-12,95,42.0,,0.42,39.9
2016-06-13,71,42.0,,0.42,29.82
2016-06-14,71,42.0,,0.42,29.82
2016-06-15,76,42.0,,0.42,31.919999999999998
2016-06-16,79,42.0,,0.42,33.18
2016-06-17,85,42.0,,0.42,35.699999999999996
2016-06-18,98,42.0,,0.42,41.16
2016-06-19,94,42.0,,0.42,39.48
2016-06-20,72,42.0,,0.42,30.24
2016-06-21,74,42.0,,0.42,31.08
2016-06-22,78,42.0,,0.42,32.76
2016-06-23,81,42.0,,0.42,34.019999999999996
2016-06-24,83,42.0,,0.42,34.86
2016-06-25,98,42.0,,0.42,41.16
2016-06-26,99,42.0,,0.42,41.58
2016-06-27,80,42.0,,0.42,33.6
2016-06-28,80,42.0,,0.42,33.6
2016-06-29,89,42.0,,0.42,37.379999999999995
2016-06-30,88,42.0,,0.42,36.96
2016-07-01,72,49.0,False,0.49,35.28
2016-07-02,68,49.0,,0.49,33.32
2016-07-03,78,49.0,,0.49,38.22
2016-07-04,64,49.0,,0.49,31.36
2016-07-05,52,49.0,,0.49,25.48
2016-07-06,55,49.0,,0.49,26.95
2016-07-07,52,49.0,,0.49,25.48
2016-07-08,56,49.0,,0.49,27.439999999999998
2016-07-09,64,49.0,,0.49,31.36
2016-07-10,65,49.0,,0.49,31.849999999999998
2016-07-11,52,49.0,,0.49,25.48
2016-07-12,50,49.0,,0.49,24.5
2016-07-13,50,49.0,,0.49,24.5
2016-07-14,51,49.0,,0.49,24.99
2016-07-15,59,49.0,,0.49,28.91
2016-07-16,68,49.0,,0.49,33.32
2016-07-17,65,49.0,,0.49,31.849999999999998
2016-07-18,56,49.0,,0.49,27.439999999999998
2016-07-19,54,49.0,,0.49,26.46
2016-07-20,58,49.0,,0.49,28.419999999999998
2016-07-21,55,49.0,,0.49,26.95
2016-07-22,58,49.0,,0.49,28.419999999999998
2016-07-23,68,49.0,,0.49,33.32
2016-07-24,71,49.0,,0.49,34.79
2016-07-25,52,49.0,,0.49,25.48
2016-07-26,51,49.0,,0.49,24.99
2016-07-27,53,49.0,,0.49,25.97
2016-07-28,54,49.0,,0.49,26.46
2016-07-29,63,49.0,,0.49,30.87
2016-07-30,100,49.0,,0.49,49.0
2016-07-31,84,49.0,,0.49,41.16
2016-08-01,70,48.0,False,0.48,33.6
2016-08-02,69,48.0,,0.48,33.12
2016-08-03,75,48.0,,0.48,36.0
2016-08-04,72,48.0,,0.48,34.56
2016-08-05,83,48.0,,0.48,39.839999999999996
2016-08-06,88,48.0,,0.48,42.239999999999995
2016-08-07,92,48.0,,0.48,44.16
2016-08-08,66,48.0,,0.48,31.68
2016-08-09,72,48.0,,0.48,34.56
2016-08-10,68,48.0,,0.48,32.64
2016-08-11,72,48.0,,0.48,34.56
2016-08-12,74,48.0,,0.48,35.519999999999996
2016-08-13,85,48.0,,0.48,40.8
2016-08-14,92,48.0,,0.48,44.16
2016-08-15,75,48.0,,0.48,36.0
2016-08-16,70,48.0,,0.48,33.6
2016-08-17,70,48.0,,0.48,33.6
2016-08-18,73,48.0,,0.48,35.04
2016-08-19,72,48.0,,0.48,34.56
2016-08-20,90,48.0,,0.48,43.199999999999996
2016-08-21,92,48.0,,0.48,44.16
2016-08-22,69,48.0,,0.48,33.12
2016-08-23,62,48.0,,0.48,29.759999999999998
2016-08-24,68,48.0,,0.48,32.64
2016-08-25,70,48.0,,0.48,33.6
2016-08-26,74,48.0,,0.48,35.519999999999996
2016-08-27,90,48.0,,0.48,43.199999999999996
2016-08-28,100,48.0,,0.48,48.0
2016-08-29,66,48.0,,0.48,31.68
2016-08-30,66,48.0,,0.48,31.68
2016-08-31,65,48.0,,0.48,31.2
2016-09-01,66,48.0,False,0.48,31.68
2016-09-02,79,48.0,,0.48,37.92
2016-09-03,93,48.0,,0.48,44.64
2016-09-04,98,48.0,,0.48,47.04
2016-09-05,100,48.0,,0.48,48.0
2016-09-06,63,48.0,,0.48,30.24
2016-09-07,63,48.0,,0.48,30.24
2016-09-08,64,48.0,,0.48,30.72
2016-09-09,70,48.0,,0.48,33.6
2016-09-10,96,48.0,,0.48,46.08
2016-09-11,95,48.0,,0.48,45.6
2016-09-12,63,48.0,,0.48,30.24
2016-09-13,55,48.0,,0.48,26.4
2016-09-14,64,48.0,,0.48,30.72
2016-09-15,59,48.0,,0.48,28.32
2016-09-16,80,48.0,,0.48,38.4
2016-09-17,92,48.0,,0.48,44.16
2016-09-18,90,48.0,,0.48,43.199999999999996
2016-09-19,60,48.0,,0.48,28.799999999999997
2016-09-20,61,48.0,,0.48,29.279999999999998
2016-09-21,60,48.0,,0.48,28.799999999999997
2016-09-22,63,48.0,,0.48,30.24
2016-09-23,72,48.0,,0.48,34.56
2016-09-24,100,48.0,,0.48,48.0
2016-09-25,88,48.0,,0.48,42.239999999999995
2016-09-26,57,48.0,,0.48,27.36
2016-09-27,55,48.0,,0.48,26.4
2016-09-28,62,48.0,,0.48,29.759999999999998
2016-09-29,63,48.0,,0.48,30.24
2016-09-30,70,48.0,,0.48,33.6
2016-10-01,100,45.0,False,0.45,45.0
2016-10-02,97,45.0,,0.45,43.65
2016-10-03,62,45.0,,0.45,27.900000000000002
2016-10-04,61,45.0,,0.45,27.45
2016-10-05,56,45.0,,0.45,25.2
2016-10-06,56,45.0,,0.45,25.2
2016-10-07,69,45.0,,0.45,31.05
2016-10-08,91,45.0,,0.45,40.95
2016-10-09,93,45.0,,0.45,41.85
2016-10-10,63,45.0,,0.45,28.35
2016-10-11,61,45.0,,0.45,27.45
2016-10-12,63,45.0,,0.45,28.35
2016-10-13,65,45.0,,0.45,29.25
2016-10-14,80,45.0,,0.45,36.0
2016-10-15,87,45.0,,0.45,39.15
