date,IT_unscaled,IT_monthly,isPartial,scale,IT
2016-05-01,96,77.0,False,0.77,73.92
2016-05-02,98,77.0,,0.77,75.46000000000001
2016-05-03,97,77.0,,0.77,74.69
2016-05-04,94,77.0,,0.77,72.38
2016-05-05,98,77.0,,0.77,75.46000000000001
2016-05-06,94,77.0,,0.77,72.38
2016-05-07,90,77.0,,0.77,69.3
2016-05-08,90,77.0,,0.77,69.3
2016-05-09,96,77.0,,0.77,73.92
2016-05-10,95,77.0,,0.77,73.15
2016-05-11,94,77.0,,0.77,72.38
2016-05-12,96,77.0,,0.77,73.92
2016-05-13,95,77.0,,0.77,73.15
2016-05-14,92,77.0,,0.77,70.84
2016-05-15,100,77.0,,0.77,77.0
2016-05-16,96,77.0,,0.77,73.92
2016-05-17,96,77.0,,0.77,73.92
2016-05-18,96,77.0,,0.77,73.92
2016-05-19,96,77.0,,0.77,73.92
2016-05-20,96,77.0,,0.77,73.92
2016-05-21,95,77.0,,0.77,73.15
2016-05-22,96,77.0,,0.77,73.92
2016-05-23,96,77.0,,0.77,73.92
2016-05-24,97,77.0,,0.77,74.69
2016-05-25,93,77.0,,0.77,71.61
2016-05-26,98,77.0,,0.77,75.46000000000001
2016-05-27,93,77.0,,0.77,71.61
2016-05-28,93,77.0,,0.77,71.61
2016-05-29,95,77.0,,0.77,73.15
2016-05-30,91,77.0,,0.77,70.07000000000001
2016-05-31,92,77.0,,0.77,70.84
2016-06-01,98,76.0,False,0.76,74.48
2016-06-02,99,76.0,,0.76,75.24
2016-06-03,100,76.0,,0.76,76.0
2016-06-04,96,76.0,,0.76,72.96000000000001
2016-06-05,100,76.0,,0.76,76.0
2016-06-06,98,76.0,,0.76,74.48
2016-06-07,96,76.0,,0.76,72.96000000000001
2016-06-08,98,76.0,,0.76,74.48
2016-06-09,99,76.0,,0.76,75.24
2016-06-10,97,76.0,,0.76,73.72
2016-06-11,97,76.0,,0.76,73.72
2016-06-12,98,76.0,,0.76,74.48
2016-06-13,94,76.0,,0.76,71.44
2016-06-14,94,76.0,,0.76,71.44
2016-06-15,98,76.0,,0.76,74.48
2016-06-16,98,76.0,,0.76,74.48
2016-06-17,98,76.0,,0.76,74.48
2016-06-18,95,76.0,,0.76,72.2
2016-06-19,98,76.0,,0.76,74.48
2016-06-20,97,76.0,,0.76,73.72
2016-06-21,100,76.0,,0.76,76.0
2016-06-22,97,76.0,,0.76,73.72
2016-06-23,96,76.0,,0.76,72.96000000000001
2016-06-24,96,76.0,,0.76,72.96000000000001
2016-06-25,96,76.0,,0.76,72.96000000000001
2016-06-26,99,76.0,,0.76,75.24
2016-06-27,93,76.0,,0.76,70.68
2016-06-28,98,76.0,,0.76,74.48
2016-06-29,98,76.0,,0.76,74.48
2016-06-30,96,76.0,,0.76,72.96000000000001
2016-07-01,93,73.0,False,0.73,67.89
2016-07-02,95,73.0,,0.73,69.35
2016-07-03,99,73.0,,0.73,72.27
2016-07-04,94,73.0,,0.73,68.62
2016-07-05,94,73.0,,0.73,68.62
2016-07-06,97,73.0,,0.73,70.81
2016-07-07,94,73.0,,0.73,68.62
2016-07-08,92,73.0,,0.73,67.16
2016-07-09,99,73.0,,0.73,72.27
2016-07-10,97,73.0,,0.73,70.81
2016-07-11,96,73.0,,0.73,70.08
2016-07-12,96,73.0,,0.73,70.08
2016-07-13,97,73.0,,0.73,70.81
2016-07-14,96,73.0,,0.73,70.08
2016-07-15,94,73.0,,0.73,68.62
2016-07-16,95,73.0,,0.73,69.35
2016-07-17,97,73.0,,0.73,70.81
2016-07-18,96,73.0,,0.73,70.08
2016-07-19,96,73.0,,0.73,70.08
2016-07-20,100,73.0,,0.73,73.0
2016-07-21,100,73.0,,0.73,73.0
2016-07-22,96,73.0,,0.73,70.08
2016-07-23,97,73.0,,0.73,70.81
2016-07-24,98,73.0,,0.73,71.53999999999999
2016-07-25,95,73.0,,0.73,69.35
2016-07-26,96,73.0,,0.73,70.08
2016-07-27,95,73.0,,0.73,69.35
2016-07-28,96,73.0,,0.73,70.08
2016-07-29,96,73.0,,0.73,70.08
2016-07-30,95,73.0,,0.73,69.35
2016-07-31,95,73.0,,0.73,69.35
2016-08-01,94,69.0,False,0.69,64.86
2016-08-02,93,69.0,,0.69,64.17
2016-08-03,95,69.0,,0.69,65.55
2016-08-04,92,69.0,,0.69,63.48
2016-08-05,93,69.0,,0.69,64.17
2016-08-06,92,69.0,,0.69,63.48
2016-08-07,89,69.0,,0.69,61.41
2016-08-08,86,69.0,,0.69,59.339999999999996
2016-08-09,87,69.0,,0.69,60.029999999999994
2016-08-10,89,69.0,,0.69,61.41
2016-08-11,88,69.0,,0.69,60.72
2016-08-12,88,69.0,,0.69,60.72
2016-08-13,86,69.0,,0.69,59.339999999999996
2016-08-14,90,69.0,,0.69,62.099999999999994
2016-08-15,84,69.0,,0.69,57.959999999999994
2016-08-16,87,69.0,,0.69,60.029999999999994
2016-08-17,88,69.0,,0.69,60.72
2016-08-18,88,69.0,,0.69,60.72
2016-08-19,86,69.0,,0.69,59.339999999999996
2016-08-20,87,69.0,,0.69,60.029999999999994
2016-08-21,89,69.0,,0.69,61.41
2016-08-22,87,69.0,,0.69,60.029999999999994
2016-08-23,88,69.0,,0.69,60.72
2016-08-24,91,69.0,,0.69,62.78999999999999
2016-08-25,94,69.0,,0.69,64.86
2016-08-26,94,69.0,,0.69,64.86
2016-08-27,94,69.0,,0.69,64.86
2016-08-28,100,69.0,,0.69,69.0
2016-08-29,93,69.0,,0.69,64.17
2016-08-30,92,69.0,,0.69,63.48
2016-08-31,96,69.0,,0.69,66.24
2016-09-01,94,72.0,False,0.72,67.67999999999999
2016-09-02,92,72.0,,0.72,66.24
2016-09-03,90,72.0,,0.72,64.8
2016-09-04,96,72.0,,0.72,69.12
2016-09-05,97,72.0,,0.72,69.84
2016-09-06,94,72.0,,0.72,67.67999999999999
2016-09-07,94,72.0,,0.72,67.67999999999999
2016-09-08,94,72.0,,0.72,67.67999999999999
2016-09-09,97,72.0,,0.72,69.84
2016-09-10,93,72.0,,0.72,66.96
2016-09-11,96,72.0,,0.72,69.12
2016-09-12,91,72.0,,0.72,65.52
2016-09-13,98,72.0,,0.72,70.56
2016-09-14,99,72.0,,0.72,71.28
2016-09-15,95,72.0,,0.72,68.39999999999999
2016-09-16,97,72.0,,0.72,69.84
2016-09-17,94,72.0,,0.72,67.67999999999999
2016-09-18,98,72.0,,0.72,70.56
2016-09-19,98,72.0,,0.72,70.56
2016-09-20,99,72.0,,0.72,71.28
2016-09-21,96,72.0,,0.72,69.12
2016-09-22,97,72.0,,0.72,69.84
2016-09-23,97,72.0,,0.72,69.84
2016-09-24,94,72.0,,0.72,67.67999999999999
2016-09-25,96,72.0,,0.72,69.12
2016-09-26,96,72.0,,0.72,69.12
2016-09-27,98,72.0,,0.72,70.56
2016-09-28,100,72.0,,0.72,72.0
2016-09-29,98,72.0,,0.72,70.56
2016-09-30,95,72.0,,0.72,68.39999999999999
2016-10-01,89,74.0,False,0.74,65.86
2016-10-02,93,74.0,,0.74,68.82
2016-10-03,92,74.0,,0.74,68.08
2016-10-04,98,74.0,,0.74,72.52
2016-10-05,95,74.0,,0.74,70.3
2016-10-06,100,74.0,,0.74,74.0
2016-10-07,90,74.0,,0.74,66.6
2016-10-08,91,74.0,,0.74,67.34
2016-10-09,90,74.0,,0.74,66.6
2016-10-10,90,74.0,,0.74,66.6
