date,MAN_unscaled,MAN_monthly,isPartial,scale,MAN
2016-05-01,95,74.0,False,0.74,70.3
2016-05-02,85,74.0,,0.74,62.9
2016-05-03,88,74.0,,0.74,65.12
2016-05-04,94,74.0,,0.74,69.56
2016-05-05,91,74.0,,0.74,67.34
2016-05-06,89,74.0,,0.74,65.86
2016-05-07,100,74.0,,0.74,74.0
2016-05-08,97,74.0,,0.74,71.78
2016-05-09,88,74.0,,0.74,65.12
2016-05-10,88,74.0,,0.74,65.12
2016-05-11,85,74.0,,0.74,62.9
2016-05-12,84,74.0,,0.74,62.16
2016-05-13,89,74.0,,0.74,65.86
2016-05-14,94,74.0,,0.74,69.56
2016-05-15,100,74.0,,0.74,74.0
2016-05-16,86,74.0,,0.74,63.64
2016-05-17,86,74.0,,0.74,63.64
2016-05-18,83,74.0,,0.74,61.42
2016-05-19,84,74.0,,0.74,62.16
2016-05-20,85,74.0,,0.74,62.9
2016-05-21,99,74.0,,0.74,73.26
2016-05-22,95,74.0,,0.74,70.3
2016-05-23,86,74.0,,0.74,63.64
2016-05-24,84,74.0,,0.74,62.16
2016-05-25,82,74.0,,0.74,60.68
2016-05-26,85,74.0,,0.74,62.9
2016-05-27,84,74.0,,0.74,62.16
2016-05-28,90,74.0,,0.74,66.6
2016-05-29,96,74.0,,0.74,71.03999999999999
2016-05-30,91,74.0,,0.74,67.34
2016-05-31,82,74.0,,0.74,60.68
2016-06-01,83,66.0,False,0.66,54.78
2016-06-02,86,66.0,,0.66,56.760000000000005
2016-06-03,87,66.0,,0.66,57.42
2016-06-04,92,66.0,,0.66,60.720000000000006
2016-06-05,98,66.0,,0.66,64.68
2016-06-06,87,66.0,,0.66,57.42
2016-06-07,83,66.0,,0.66,54.78
2016-06-08,88,66.0,,0.66,58.080000000000005
2016-06-09,92,66.0,,0.66,60.720000000000006
2016-06-10,89,66.0,,0.66,58.74
2016-06-11,93,66.0,,0.66,61.38
2016-06-12,99,66.0,,0.66,65.34
2016-06-13,84,66.0,,0.66,55.440000000000005
2016-06-14,86,66.0,,0.66,56.760000000000005
2016-06-15,84,66.0,,0.66,55.440000000000005
2016-06-16,85,66.0,,0.66,56.1
2016-06-17,83,66.0,,0.66,54.78
2016-06-18,95,66.0,,0.66,62.7
2016-06-19,100,66.0,,0.66,66.0
2016-06-20,81,66.0,,0.66,53.46
2016-06-21,83,66.0,,0.66,54.78
2016-06-22,82,66.0,,0.66,54.120000000000005
2016-06-23,78,66.0,,0.66,51.480000000000004
2016-06-24,81,66.0,,0.66,53.46
2016-06-25,90,66.0,,0.66,59.400000000000006
2016-06-26,96,66.0,,0.66,63.36
2016-06-27,80,66.0,,0.66,52.800000000000004
2016-06-28,83,66.0,,0.66,54.78
2016-06-29,86,66.0,,0.66,56.760000000000005
2016-06-30,88,66.0,,0.66,58.080000000000005
2016-07-01,71,69.0,False,0.69,48.989999999999995
2016-07-02,77,69.0,,0.69,53.129999999999995
2016-07-03,82,69.0,,0.69,56.58
2016-07-04,85,69.0,,0.69,58.65
2016-07-05,69,69.0,,0.69,47.61
2016-07-06,76,69.0,,0.69,52.44
2016-07-07,98,69.0,,0.69,67.61999999999999
2016-07-08,100,69.0,,0.69,69.0
2016-07-09,89,69.0,,0.69,61.41
2016-07-10,78,69.0,,0.69,53.81999999999999
2016-07-11,68,69.0,,0.69,46.919999999999995
2016-07-12,66,69.0,,0.69,45.54
2016-07-13,65,69.0,,0.69,44.849999999999994
2016-07-14,64,69.0,,0.69,44.16
2016-07-15,66,69.0,,0.69,45.54
2016-07-16,72,69.0,,0.69,49.67999999999999
2016-07-17,79,69.0,,0.69,54.51
2016-07-18,66,69.0,,0.69,45.54
