date,CAN_unscaled,CAN_monthly,isPartial,scale,CAN
2016-06-21,99,61.0,,0.61,60.39
2016-06-22,97,61.0,,0.61,59.17
2016-06-23,94,61.0,,0.61,57.339999999999996
2016-06-24,92,61.0,,0.61,56.12
2016-06-25,99,61.0,,0.61,60.39
2016-06-26,100,61.0,,0.61,61.0
2016-06-27,94,61.0,,0.61,57.339999999999996
2016-06-28,100,61.0,,0.61,61.0
2016-06-29,100,61.0,,0.61,61.0
2016-06-30,98,61.0,,0.61,59.78
2016-07-01,90,61.0,False,0.61,54.9
2016-07-02,97,61.0,,0.61,59.17
2016-07-03,98,61.0,,0.61,59.78
2016-07-04,97,61.0,,0.61,59.17
2016-07-05,91,61.0,,0.61,55.51
2016-07-06,93,61.0,,0.61,56.73
2016-07-07,94,61.0,,0.61,57.339999999999996
2016-07-08,89,61.0,,0.61,54.29
2016-07-09,98,61.0,,0.61,59.78
2016-07-10,97,61.0,,0.61,59.17
2016-07-11,95,61.0,,0.61,57.949999999999996
2016-07-12,96,61.0,,0.61,58.56
2016-07-13,98,61.0,,0.61,59.78
2016-07-14,89,61.0,,0.61,54.29
2016-07-15,91,61.0,,0.61,55.51
2016-07-16,94,61.0,,0.61,57.339999999999996
2016-07-17,100,61.0,,0.61,61.0
2016-07-18,93,61.0,,0.61,56.73
2016-07-19,93,61.0,,0.61,56.73
2016-07-20,93,61.0,,0.61,56.73
2016-07-21,93,61.0,,0.61,56.73
2016-07-22,92,61.0,,0.61,56.12
2016-07-23,94,61.0,,0.61,57.339999999999996
2016-07-24,95,61.0,,0.61,57.949999999999996
2016-07-25,92,61.0,,0.61,56.12
2016-07-26,95,61.0,,0.61,57.949999999999996
2016-07-27,93,61.0,,0.61,56.73
2016-07-28,92,61.0,,0.61,56.12
2016-07-29,91,61.0,,0.61,55.51
2016-07-30,94,61.0,,0.61,57.339999999999996
2016-07-31,98,61.0,,0.61,59.78
2016-08-01,94,58.0,False,0.58,54.519999999999996
2016-08-02,98,58.0,,0.58,56.839999999999996
2016-08-03,96,58.0,,0.58,55.67999999999999
2016-08-04,92,58.0,,0.58,53.36
2016-08-05,95,58.0,,0.58,55.099999999999994
2016-08-06,94,58.0,,0.58,54.519999999999996
2016-08-07,95,58.0,,0.58,55.099999999999994
2016-08-08,89,58.0,,0.58,51.62
2016-08-09,89,58.0,,0.58,51.62
2016-08-10,87,58.0,,0.58,50.459999999999994
2016-08-11,90,58.0,,0.58,52.199999999999996
2016-08-12,87,58.0,,0.58,50.459999999999994
2016-08-13,90,58.0,,0.58,52.199999999999996
2016-08-14,94,58.0,,0.58,54.519999999999996
2016-08-15,85,58.0,,0.58,49.3
2016-08-16,89,58.0,,0.58,51.62
2016-08-17,90,58.0,,0.58,52.199999999999996
2016-08-18,88,58.0,,0.58,51.04
2016-08-19,84,58.0,,0.58,48.72
2016-08-20,91,58.0,,0.58,52.779999999999994
2016-08-21,94,58.0,,0.58,54.519999999999996
2016-08-22,87,58.0,,0.58,50.459999999999994
2016-08-23,90,58.0,,0.58,52.199999999999996
2016-08-24,91,58.0,,0.58,52.779999999999994
2016-08-25,93,58.0,,0.58,53.94
2016-08-26,91,58.0,,0.58,52.779999999999994
2016-08-27,95,58.0,,0.58,55.099999999999994
2016-08-28,100,58.0,,0.58,57.99999999999999
2016-08-29,92,58.0,,0.58,53.36
2016-08-30,92,58.0,,0.58,53.36
2016-08-31,98,58.0,,0.58,56.839999999999996
2016-09-01,93,58.0,False,0.58,53.94
2016-09-02,91,58.0,,0.58,52.779999999999994
2016-09-03,95,58.0,,0.58,55.099999999999994
2016-09-04,100,58.0,,0.58,57.99999999999999
2016-09-05,100,58.0,,0.58,57.99999999999999
2016-09-06,95,58.0,,0.58,55.099999999999994
2016-09-07,93,58.0,,0.58,53.94
2016-09-08,92,58.0,,0.58,53.36
2016-09-09,93,58.0,,0.58,53.94
2016-09-10,97,58.0,,0.58,56.26
2016-09-11,95,58.0,,0.58,55.099999999999994
2016-09-12,91,58.0,,0.58,52.779999999999994
2016-09-13,98,58.0,,0.58,56.839999999999996
2016-09-14,97,58.0,,0.58,56.26
2016-09-15,93,58.0,,0.58,53.94
2016-09-16,91,58.0,,0.58,52.779999999999994
2016-09-17,94,58.0,,0.58,54.519999999999996
2016-09-18,98,58.0,,0.58,56.839999999999996
2016-09-19,93,58.0,,0.58,53.94
2016-09-20,97,58.0,,0.58,56.26
2016-09-21,93,58.0,,0.58,53.94
2016-09-22,93,58.0,,0.58,53.94
2016-09-23,89,58.0,,0.58,51.62
2016-09-24,95,58.0,,0.58,55.099999999999994
2016-09-25,97,58.0,,0.58,56.26
2016-09-26,95,58.0,,0.58,55.099999999999994
2016-09-27,95,58.0,,0.58,55.099999999999994
2016-09-28,94,58.0,,0.58,54.519999999999996
2016-09-29,96,58.0,,0.58,55.67999999999999
2016-09-30,91,58.0,,0.58,52.779999999999994
2016-10-01,94,61.0,False,0.61,57.339999999999996
2016-10-02,99,61.0,,0.61,60.39
2016-10-03,93,61.0,,0.61,56.73
2016-10-04,96,61.0,,0.61,58.56
2016-10-05,91,61.0,,0.61,55.51
2016-10-06,93,61.0,,0.61,56.73
2016-10-07,89,61.0,,0.61,54.29
2016-10-08,95,61.0,,0.61,57.949999999999996
2016-10-09,99,61.0,,0.61,60.39
2016-10-10,96,61.0,,0.61,58.56
2016-10-11,98,61.0,,0.61,59.78
2016-10-12,95,61.0,,0.61,57.949999999999996
2016-10-13,96,61.0,,0.61,58.56
2016-10-14,92,61.0,,0.61,56.12
2016-10-15,94,61.0,,0.61,57.339999999999996
2016-10-16,100,61.0,,0.61,61.0
2016-10-17,96,61.0,,0.61,58.56
