date,AMAT_unscaled,AMAT_monthly,isPartial,scale,AMAT
2016-05-01,11,35.0,False,0.35,3.8499999999999996
2016-05-02,36,35.0,,0.35,12.6
2016-05-03,56,35.0,,0.35,19.599999999999998
2016-05-04,41,35.0,,0.35,14.35
2016-05-05,34,35.0,,0.35,11.899999999999999
2016-05-06,29,35.0,,0.35,10.149999999999999
2016-05-07,19,35.0,,0.35,6.6499999999999995
2016-05-08,19,35.0,,0.35,6.6499999999999995
2016-05-09,58,35.0,,0.35,20.299999999999997
2016-05-10,45,35.0,,0.35,15.749999999999998
2016-05-11,45,35.0,,0.35,15.749999999999998
2016-05-12,41,35.0,,0.35,14.35
2016-05-13,29,35.0,,0.35,10.149999999999999
2016-05-14,4,35.0,,0.35,1.4
2016-05-15,8,35.0,,0.35,2.8
2016-05-16,43,35.0,,0.35,15.049999999999999
2016-05-17,27,35.0,,0.35,9.45
2016-05-18,34,35.0,,0.35,11.899999999999999
2016-05-19,59,35.0,,0.35,20.65
2016-05-20,100,35.0,,0.35,35.0
2016-05-21,61,35.0,,0.35,21.349999999999998
2016-05-22,26,35.0,,0.35,9.1
2016-05-23,37,35.0,,0.35,12.95
2016-05-24,34,35.0,,0.35,11.899999999999999
2016-05-25,63,35.0,,0.35,22.049999999999997
2016-05-26,58,35.0,,0.35,20.299999999999997
2016-05-27,67,35.0,,0.35,23.45
2016-05-28,35,35.0,,0.35,12.25
2016-05-29,20,35.0,,0.35,7.0
2016-05-30,29,35.0,,0.35,10.149999999999999
2016-05-31,35,35.0,,0.35,12.25
2016-06-01,42,26.0,False,0.26,10.92
2016-06-02,90,26.0,,0.26,23.400000000000002
2016-06-03,75,26.0,,0.26,19.5
2016-06-04,28,26.0,,0.26,7.28
2016-06-05,28,26.0,,0.26,7.28
2016-06-06,48,26.0,,0.26,12.48
2016-06-07,54,26.0,,0.26,14.040000000000001
2016-06-08,24,26.0,,0.26,6.24
2016-06-09,80,26.0,,0.26,20.8
2016-06-10,96,26.0,,0.26,24.96
2016-06-11,50,26.0,,0.26,13.0
2016-06-12,43,26.0,,0.26,11.18
2016-06-13,36,26.0,,0.26,9.36
2016-06-14,71,26.0,,0.26,18.46
2016-06-15,55,26.0,,0.26,14.3
2016-06-16,79,26.0,,0.26,20.54
2016-06-17,50,26.0,,0.26,13.0
2016-06-18,37,26.0,,0.26,9.620000000000001
2016-06-19,30,26.0,,0.26,7.800000000000001
2016-06-20,62,26.0,,0.26,16.12
2016-06-21,61,26.0,,0.26,15.860000000000001
2016-06-22,49,26.0,,0.26,12.74
2016-06-23,73,26.0,,0.26,18.98
2016-06-24,75,26.0,,0.26,19.5
2016-06-25,44,26.0,,0.26,11.440000000000001
2016-06-26,67,26.0,,0.26,17.42
2016-06-27,79,26.0,,0.26,20.54
2016-06-28,61,26.0,,0.26,15.860000000000001
2016-06-29,100,26.0,,0.26,26.0
2016-06-30,25,26.0,,0.26,6.5
2016-07-01,72,26.0,False,0.26,18.72
2016-07-02,41,26.0,,0.26,10.66
2016-07-03,26,26.0,,0.26,6.76
2016-07-04,66,26.0,,0.26,17.16
2016-07-05,44,26.0,,0.26,11.440000000000001
2016-07-06,91,26.0,,0.26,23.66
2016-07-07,91,26.0,,0.26,23.66
2016-07-08,57,26.0,,0.26,14.82
2016-07-09,33,26.0,,0.26,8.58
2016-07-10,25,26.0,,0.26,6.5
2016-07-11,77,26.0,,0.26,20.02
2016-07-12,70,26.0,,0.26,18.2
2016-07-13,93,26.0,,0.26,24.18
2016-07-14,61,26.0,,0.26,15.860000000000001
2016-07-15,86,26.0,,0.26,22.36
2016-07-16,41,26.0,,0.26,10.66
2016-07-17,50,26.0,,0.26,13.0
2016-07-18,77,26.0,,0.26,20.02
2016-07-19,97,26.0,,0.26,25.220000000000002
2016-07-20,78,26.0,,0.26,20.28
2016-07-21,100,26.0,,0.26,26.0
2016-07-22,65,26.0,,0.26,16.900000000000002
2016-07-23,41,26.0,,0.26,10.66
2016-07-24,8,26.0,,0.26,2.08
2016-07-25,62,26.0,,0.26,16.12
2016-07-26,55,26.0,,0.26,14.3
2016-07-27,76,26.0,,0.26,19.76
2016-07-28,48,26.0,,0.26,12.48
2016-07-29,91,26.0,,0.26,23.66
2016-07-30,40,26.0,,0.26,10.4
2016-07-31,49,26.0,,0.26,12.74
2016-08-01,25,39.0,False,0.39,9.75
2016-08-02,34,39.0,,0.39,13.26
2016-08-03,41,39.0,,0.39,15.99
2016-08-04,29,39.0,,0.39,11.31
2016-08-05,41,39.0,,0.39,15.99
2016-08-06,18,39.0,,0.39,7.0200000000000005
2016-08-07,18,39.0,,0.39,7.0200000000000005
2016-08-08,23,39.0,,0.39,8.97
2016-08-09,24,39.0,,0.39,9.36
2016-08-10,30,39.0,,0.39,11.700000000000001
2016-08-11,53,39.0,,0.39,20.67
2016-08-12,28,39.0,,0.39,10.92
2016-08-13,38,39.0,,0.39,14.82
2016-08-14,21,39.0,,0.39,8.19
2016-08-15,15,39.0,,0.39,5.8500000000000005
