date,SPY_unscaled,SPY_monthly,isPartial,scale,SPY
2016-05-01,94,56.0,False,0.56,52.64000000000001
2016-05-02,76,56.0,,0.56,42.56
2016-05-03,77,56.0,,0.56,43.120000000000005
2016-05-04,75,56.0,,0.56,42.00000000000001
2016-05-05,83,56.0,,0.56,46.480000000000004
2016-05-06,78,56.0,,0.56,43.68000000000001
2016-05-07,87,56.0,,0.56,48.720000000000006
2016-05-08,81,56.0,,0.56,45.36000000000001
2016-05-09,75,56.0,,0.56,42.00000000000001
2016-05-10,83,56.0,,0.56,46.480000000000004
2016-05-11,84,56.0,,0.56,47.040000000000006
2016-05-12,80,56.0,,0.56,44.800000000000004
2016-05-13,85,56.0,,0.56,47.6
2016-05-14,94,56.0,,0.56,52.64000000000001
2016-05-15,100,56.0,,0.56,56.00000000000001
2016-05-16,82,56.0,,0.56,45.92
2016-05-17,76,56.0,,0.56,42.56
2016-05-18,80,56.0,,0.56,44.800000000000004
2016-05-19,93,56.0,,0.56,52.080000000000005
2016-05-20,81,56.0,,0.56,45.36000000000001
2016-05-21,95,56.0,,0.56,53.2
2016-05-22,91,56.0,,0.56,50.96000000000001
2016-05-23,80,56.0,,0.56,44.800000000000004
2016-05-24,78,56.0,,0.56,43.68000000000001
2016-05-25,81,56.0,,0.56,45.36000000000001
2016-05-26,81,56.0,,0.56,45.36000000000001
2016-05-27,83,56.0,,0.56,46.480000000000004
2016-05-28,88,56.0,,0.56,49.28
2016-05-29,84,56.0,,0.56,47.040000000000006
2016-05-30,86,56.0,,0.56,48.160000000000004
2016-05-31,82,56.0,,0.56,45.92
2016-06-01,49,61.0,False,0.61,29.89
2016-06-02,66,61.0,,0.61,40.26
2016-06-03,72,61.0,,0.61,43.92
2016-06-04,58,61.0,,0.61,35.38
2016-06-05,53,61.0,,0.61,32.33
2016-06-06,52,61.0,,0.61,31.72
2016-06-07,50,61.0,,0.61,30.5
2016-06-08,45,61.0,,0.61,27.45
2016-06-09,48,61.0,,0.61,29.28
2016-06-10,50,61.0,,0.61,30.5
2016-06-11,56,61.0,,0.61,34.16
2016-06-12,53,61.0,,0.61,32.33
2016-06-13,48,61.0,,0.61,29.28
2016-06-14,46,61.0,,0.61,28.06
2016-06-15,48,61.0,,0.61,29.28
2016-06-16,57,61.0,,0.61,34.769999999999996
2016-06-17,100,61.0,,0.61,61.0
2016-06-18,64,61.0,,0.61,39.04
