date,CHK_unscaled,CHK_monthly,isPartial,scale,CHK
2016-05-01,7,85.0,False,0.85,5.95
2016-05-02,82,85.0,,0.85,69.7
2016-05-03,76,85.0,,0.85,64.6
2016-05-04,74,85.0,,0.85,62.9
2016-05-05,100,85.0,,0.85,85.0
2016-05-06,90,85.0,,0.85,76.5
2016-05-07,27,85.0,,0.85,22.95
2016-05-08,13,85.0,,0.85,11.049999999999999
2016-05-09,83,85.0,,0.85,70.55
2016-05-10,91,85.0,,0.85,77.35
2016-05-11,75,85.0,,0.85,63.75
2016-05-12,71,85.0,,0.85,60.35
2016-05-13,69,85.0,,0.85,58.65
2016-05-14,17,85.0,,0.85,14.45
2016-05-15,6,85.0,,0.85,5.1
2016-05-16,69,85.0,,0.85,58.65
2016-05-17,89,85.0,,0.85,75.64999999999999
2016-05-18,56,85.0,,0.85,47.6
2016-05-19,65,85.0,,0.85,55.25
2016-05-20,63,85.0,,0.85,53.55
2016-05-21,23,85.0,,0.85,19.55
2016-05-22,11,85.0,,0.85,9.35
2016-05-23,63,85.0,,0.85,53.55
2016-05-24,62,85.0,,0.85,52.699999999999996
2016-05-25,84,85.0,,0.85,71.39999999999999
2016-05-26,92,85.0,,0.85,78.2
2016-05-27,65,85.0,,0.85,55.25
2016-05-28,14,85.0,,0.85,11.9
2016-05-29,16,85.0,,0.85,13.6
2016-05-30,8,85.0,,0.85,6.8
2016-05-31,74,85.0,,0.85,62.9
2016-06-01,73,66.0,False,0.66,48.18
2016-06-02,74,66.0,,0.66,48.84
2016-06-03,54,66.0,,0.66,35.64
2016-06-04,18,66.0,,0.66,11.88
2016-06-05,10,66.0,,0.66,6.6000000000000005
2016-06-06,75,66.0,,0.66,49.5
2016-06-07,91,66.0,,0.66,60.06
2016-06-08,100,66.0,,0.66,66.0
2016-06-09,85,66.0,,0.66,56.1
2016-06-10,92,66.0,,0.66,60.720000000000006
2016-06-11,24,66.0,,0.66,15.84
2016-06-12,9,66.0,,0.66,5.94
2016-06-13,61,66.0,,0.66,40.260000000000005
2016-06-14,59,66.0,,0.66,38.940000000000005
2016-06-15,77,66.0,,0.66,50.82
2016-06-16,51,66.0,,0.66,33.660000000000004
2016-06-17,59,66.0,,0.66,38.940000000000005
2016-06-18,8,66.0,,0.66,5.28
2016-06-19,14,66.0,,0.66,9.24
2016-06-20,55,66.0,,0.66,36.300000000000004
2016-06-21,75,66.0,,0.66,49.5
2016-06-22,48,66.0,,0.66,31.68
2016-06-23,49,66.0,,0.66,32.34
2016-06-24,68,66.0,,0.66,44.88
2016-06-25,17,66.0,,0.66,11.22
2016-06-26,9,66.0,,0.66,5.94
2016-06-27,59,66.0,,0.66,38.940000000000005
2016-06-28,57,66.0,,0.66,37.620000000000005
2016-06-29,78,66.0,,0.66,51.480000000000004
2016-06-30,65,66.0,,0.66,42.9
2016-07-01,75,60.0,False,0.6,45.0
2016-07-02,18,60.0,,0.6,10.799999999999999
2016-07-03,8,60.0,,0.6,4.8
2016-07-04,16,60.0,,0.6,9.6
2016-07-05,57,60.0,,0.6,34.199999999999996
2016-07-06,67,60.0,,0.6,40.199999999999996
2016-07-07,61,60.0,,0.6,36.6
2016-07-08,73,60.0,,0.6,43.8
2016-07-09,19,60.0,,0.6,11.4
2016-07-10,9,60.0,,0.6,5.3999999999999995
2016-07-11,55,60.0,,0.6,33.0
2016-07-12,72,60.0,,0.6,43.199999999999996
2016-07-13,88,60.0,,0.6,52.8
2016-07-14,74,60.0,,0.6,44.4
2016-07-15,51,60.0,,0.6,30.599999999999998
2016-07-16,18,60.0,,0.6,10.799999999999999
2016-07-17,9,60.0,,0.6,5.3999999999999995
2016-07-18,67,60.0,,0.6,40.199999999999996
2016-07-19,71,60.0,,0.6,42.6
2016-07-20,68,60.0,,0.6,40.8
2016-07-21,92,60.0,,0.6,55.199999999999996
2016-07-22,94,60.0,,0.6,56.4
2016-07-23,33,60.0,,0.6,19.8
2016-07-24,23,60.0,,0.6,13.799999999999999
2016-07-25,84,60.0,,0.6,50.4
2016-07-26,79,60.0,,0.6,47.4
2016-07-27,100,60.0,,0.6,60.0
2016-07-28,85,60.0,,0.6,51.0
2016-07-29,61,60.0,,0.6,36.6
2016-07-30,17,60.0,,0.6,10.2
2016-07-31,19,60.0,,0.6,11.4
2016-08-01,63,74.0,False,0.74,46.62
2016-08-02,73,74.0,,0.74,54.019999999999996
2016-08-03,70,74.0,,0.74,51.8
2016-08-04,100,74.0,,0.74,74.0
2016-08-05,63,74.0,,0.74,46.62
2016-08-06,15,74.0,,0.74,11.1
2016-08-07,11,74.0,,0.74,8.14
2016-08-08,67,74.0,,0.74,49.58
2016-08-09,52,74.0,,0.74,38.48
2016-08-10,61,74.0,,0.74,45.14
2016-08-11,81,74.0,,0.74,59.94
2016-08-12,62,74.0,,0.74,45.88
2016-08-13,12,74.0,,0.74,8.879999999999999
2016-08-14,9,74.0,,0.74,6.66
2016-08-15,67,74.0,,0.74,49.58
2016-08-16,100,74.0,,0.74,74.0
2016-08-17,74,74.0,,0.74,54.76
2016-08-18,88,74.0,,0.74,65.12
2016-08-19,69,74.0,,0.74,51.06
2016-08-20,10,74.0,,0.74,7.4
2016-08-21,11,74.0,,0.74,8.14
2016-08-22,52,74.0,,0.74,38.48
2016-08-23,73,74.0,,0.74,54.019999999999996
2016-08-24,75,74.0,,0.74,55.5
2016-08-25,56,74.0,,0.74,41.44
2016-08-26,59,74.0,,0.74,43.66
2016-08-27,20,74.0,,0.74,14.8
2016-08-28,11,74.0,,0.74,8.14
2016-08-29,56,74.0,,0.74,41.44
2016-08-30,55,74.0,,0.74,40.7
2016-08-31,50,74.0,,0.74,37.0
2016-09-01,56,72.0,False,0.72,40.32
2016-09-02,59,72.0,,0.72,42.48
2016-09-03,23,72.0,,0.72,16.56
2016-09-04,11,72.0,,0.72,7.92
2016-09-05,16,72.0,,0.72,11.52
2016-09-06,73,72.0,,0.72,52.559999999999995
2016-09-07,65,72.0,,0.72,46.8
2016-09-08,99,72.0,,0.72,71.28
2016-09-09,85,72.0,,0.72,61.199999999999996
2016-09-10,24,72.0,,0.72,17.28
2016-09-11,13,72.0,,0.72,9.36
2016-09-12,76,72.0,,0.72,54.72
2016-09-13,100,72.0,,0.72,72.0
2016-09-14,69,72.0,,0.72,49.68
2016-09-15,72,72.0,,0.72,51.839999999999996
2016-09-16,48,72.0,,0.72,34.56
2016-09-17,13,72.0,,0.72,9.36
2016-09-18,15,72.0,,0.72,10.799999999999999
2016-09-19,58,72.0,,0.72,41.76
2016-09-20,90,72.0,,0.72,64.8
2016-09-21,54,72.0,,0.72,38.879999999999995
2016-09-22,57,72.0,,0.72,41.04
2016-09-23,64,72.0,,0.72,46.08
2016-09-24,17,72.0,,0.72,12.24
2016-09-25,10,72.0,,0.72,7.199999999999999
2016-09-26,52,72.0,,0.72,37.44
2016-09-27,60,72.0,,0.72,43.199999999999996
2016-09-28,78,72.0,,0.72,56.16
2016-09-29,80,72.0,,0.72,57.599999999999994
2016-09-30,74,72.0,,0.72,53.28
2016-10-01,16,49.0,False,0.49,7.84
2016-10-02,10,49.0,,0.49,4.9
2016-10-03,65,49.0,,0.49,31.849999999999998
2016-10-04,71,49.0,,0.49,34.79
2016-10-05,79,49.0,,0.49,38.71
2016-10-06,100,49.0,,0.49,49.0
2016-10-07,68,49.0,,0.49,33.32
2016-10-08,19,49.0,,0.49,9.31
2016-10-09,11,49.0,,0.49,5.39
2016-10-10,76,49.0,,0.49,37.24
2016-10-11,89,49.0,,0.49,43.61
2016-10-12,54,49.0,,0.49,26.46
2016-10-13,64,49.0,,0.49,31.36
2016-10-14,70,49.0,,0.49,34.3
2016-10-15,32,49.0,,0.49,15.68
2016-10-16,17,49.0,,0.49,8.33
2016-10-17,53,49.0,,0.49,25.97
2016-10-18,80,49.0,,0.49,39.2
2016-10-19,80,49.0,,0.49,39.2
2016-10-20,82,49.0,,0.49,40.18
2016-10-21,62,49.0,,0.49,30.38
2016-10-22,14,49.0,,0.49,6.859999999999999
2016-10-23,9,49.0,,0.49,4.41
2016-10-24,74,49.0,,0.49,36.26
2016-10-25,64,49.0,,0.49,31.36
2016-10-26,72,49.0,,0.49,35.28
2016-10-27,69,49.0,,0.49,33.81
2016-10-28,76,49.0,,0.49,37.24
2016-10-29,12,49.0,,0.49,5.88
2016-10-30,9,49.0,,0.49,4.41
2016-10-31,59,49.0,,0.49,28.91
2016-11-01,56,54.0,False,0.54,30.240000000000002
2016-11-02,44,54.0,,0.54,23.76
2016-11-03,64,54.0,,0.54,34.56
2016-11-04,52,54.0,,0.54,28.080000000000002
2016-11-05,10,54.0,,0.54,5.4
2016-11-06,12,54.0,,0.54,6.48
2016-11-07,61,54.0,,0.54,32.940000000000005
2016-11-08,39,54.0,,0.54,21.060000000000002
2016-11-09,68,54.0,,0.54,36.72
2016-11-10,59,54.0,,0.54,31.860000000000003
2016-11-11,56,54.0,,0.54,30.240000000000002
2016-11-12,9,54.0,,0.54,4.86
2016-11-13,3,54.0,,0.54,1.62
2016-11-14,45,54.0,,0.54,24.3
2016-11-15,65,54.0,,0.54,35.1
2016-11-16,69,54.0,,0.54,37.260000000000005
2016-11-17,49,54.0,,0.54,26.46
2016-11-18,44,54.0,,0.54,23.76
2016-11-19,13,54.0,,0.54,7.0200000000000005
2016-11-20,18,54.0,,0.54,9.72
2016-11-21,58,54.0,,0.54,31.32
2016-11-22,63,54.0,,0.54,34.02
2016-11-23,66,54.0,,0.54,35.64
2016-11-24,14,54.0,,0.54,7.5600000000000005
2016-11-25,37,54.0,,0.54,19.98
2016-11-26,19,54.0,,0.54,10.260000000000002
2016-11-27,15,54.0,,0.54,8.100000000000001
2016-11-28,62,54.0,,0.54,33.480000000000004
2016-11-29,64,54.0,,0.54,34.56
2016-11-30,100,54.0,,0.54,54.0
2016-12-01,78,67.0,False,0.67,52.260000000000005
2016-12-02,74,67.0,,0.67,49.580000000000005
2016-12-03,25,67.0,,0.67,16.75
2016-12-04,12,67.0,,0.67,8.040000000000001
2016-12-05,71,67.0,,0.67,47.57
2016-12-06,71,67.0,,0.67,47.57
2016-12-07,100,67.0,,0.67,67.0
2016-12-08,88,67.0,,0.67,58.96
2016-12-09,66,67.0,,0.67,44.220000000000006
2016-12-10,18,67.0,,0.67,12.06
2016-12-11,12,67.0,,0.67,8.040000000000001
2016-12-12,82,67.0,,0.67,54.940000000000005
2016-12-13,84,67.0,,0.67,56.28
2016-12-14,56,67.0,,0.67,37.52
2016-12-15,65,67.0,,0.67,43.550000000000004
2016-12-16,65,67.0,,0.67,43.550000000000004
2016-12-17,17,67.0,,0.67,11.39
2016-12-18,20,67.0,,0.67,13.4
2016-12-19,47,67.0,,0.67,31.490000000000002
2016-12-20,77,67.0,,0.67,51.59
2016-12-21,75,67.0,,0.67,50.25
2016-12-22,71,67.0,,0.67,47.57
2016-12-23,50,67.0,,0.67,33.5
2016-12-24,9,67.0,,0.67,6.03
2016-12-25,5,67.0,,0.67,3.35
2016-12-26,23,67.0,,0.67,15.41
2016-12-27,60,67.0,,0.67,40.2
2016-12-28,62,67.0,,0.67,41.54
