date,PTON_unscaled,PTON_monthly,isPartial,scale,PTON
2016-05-01,56,1.0,False,0.01,0.56
2016-05-02,0,1.0,,0.01,0.0
2016-05-03,0,1.0,,0.01,0.0
2016-05-04,0,1.0,,0.01,0.0
2016-05-05,24,1.0,,0.01,0.24
2016-05-06,0,1.0,,0.01,0.0
2016-05-07,29,1.0,,0.01,0.29
2016-05-08,29,1.0,,0.01,0.29
2016-05-09,0,1.0,,0.01,0.0
2016-05-10,70,1.0,,0.01,0.7000000000000001
2016-05-11,0,1.0,,0.01,0.0
2016-05-12,0,1.0,,0.01,0.0
2016-05-13,100,1.0,,0.01,1.0
2016-05-14,0,1.0,,0.01,0.0
2016-05-15,30,1.0,,0.01,0.3
2016-05-16,24,1.0,,0.01,0.24
2016-05-17,0,1.0,,0.01,0.0
2016-05-18,0,1.0,,0.01,0.0
2016-05-19,0,1.0,,0.01,0.0
2016-05-20,25,1.0,,0.01,0.25
2016-05-21,0,1.0,,0.01,0.0
2016-05-22,0,1.0,,0.01,0.0
2016-05-23,0,1.0,,0.01,0.0
2016-05-24,0,1.0,,0.01,0.0
2016-05-25,0,1.0,,0.01,0.0
2016-05-26,0,1.0,,0.01,0.0
2016-05-27,26,1.0,,0.01,0.26
2016-05-28,30,1.0,,0.01,0.3
2016-05-29,0,1.0,,0.01,0.0
2016-05-30,0,1.0,,0.01,0.0
2016-05-31,25,1.0,,0.01,0.25
2016-06-01,32,1.0,False,0.01,0.32
2016-06-02,32,1.0,,0.01,0.32
2016-06-03,0,1.0,,0.01,0.0
2016-06-04,0,1.0,,0.01,0.0
2016-06-05,38,1.0,,0.01,0.38
2016-06-06,64,1.0,,0.01,0.64
2016-06-07,0,1.0,,0.01,0.0
2016-06-08,0,1.0,,0.01,0.0
2016-06-09,0,1.0,,0.01,0.0
2016-06-10,0,1.0,,0.01,0.0
2016-06-11,0,1.0,,0.01,0.0
2016-06-12,0,1.0,,0.01,0.0
2016-06-13,0,1.0,,0.01,0.0
2016-06-14,32,1.0,,0.01,0.32
2016-06-15,0,1.0,,0.01,0.0
2016-06-16,0,1.0,,0.01,0.0
2016-06-17,0,1.0,,0.01,0.0
2016-06-18,40,1.0,,0.01,0.4
2016-06-19,0,1.0,,0.01,0.0
2016-06-20,0,1.0,,0.01,0.0
2016-06-21,33,1.0,,0.01,0.33
2016-06-22,0,1.0,,0.01,0.0
2016-06-23,33,1.0,,0.01,0.33
2016-06-24,100,1.0,,0.01,1.0
2016-06-25,0,1.0,,0.01,0.0
2016-06-26,79,1.0,,0.01,0.79
