date,NIO_unscaled,NIO_monthly,isPartial,scale,NIO
2016-05-01,23,1.0,False,0.01,0.23
2016-05-02,38,1.0,,0.01,0.38
2016-05-03,63,1.0,,0.01,0.63
2016-05-04,57,1.0,,0.01,0.5700000000000001
2016-05-05,79,1.0,,0.01,0.79
2016-05-06,34,1.0,,0.01,0.34
2016-05-07,39,1.0,,0.01,0.39
2016-05-08,24,1.0,,0.01,0.24
2016-05-09,58,1.0,,0.01,0.58
2016-05-10,83,1.0,,0.01,0.8300000000000001
2016-05-11,45,1.0,,0.01,0.45
2016-05-12,53,1.0,,0.01,0.53
2016-05-13,54,1.0,,0.01,0.54
2016-05-14,72,1.0,,0.01,0.72
2016-05-15,64,1.0,,0.01,0.64
2016-05-16,72,1.0,,0.01,0.72
2016-05-17,51,1.0,,0.01,0.51
2016-05-18,58,1.0,,0.01,0.58
2016-05-19,73,1.0,,0.01,0.73
2016-05-20,34,1.0,,0.01,0.34
2016-05-21,33,1.0,,0.01,0.33
2016-05-22,48,1.0,,0.01,0.48
2016-05-23,40,1.0,,0.01,0.4
2016-05-24,66,1.0,,0.01,0.66
2016-05-25,100,1.0,,0.01,1.0
2016-05-26,61,1.0,,0.01,0.61
2016-05-27,35,1.0,,0.01,0.35000000000000003
2016-05-28,8,1.0,,0.01,0.08
2016-05-29,59,1.0,,0.01,0.59
2016-05-30,31,1.0,,0.01,0.31
2016-05-31,60,1.0,,0.01,0.6
2016-06-01,61,1.0,False,0.01,0.61
2016-06-02,34,1.0,,0.01,0.34
2016-06-03,63,1.0,,0.01,0.63
2016-06-04,48,1.0,,0.01,0.48
2016-06-05,47,1.0,,0.01,0.47000000000000003
2016-06-06,13,1.0,,0.01,0.13
2016-06-07,67,1.0,,0.01,0.67
2016-06-08,54,1.0,,0.01,0.54
2016-06-09,35,1.0,,0.01,0.35000000000000003
2016-06-10,29,1.0,,0.01,0.29
2016-06-11,40,1.0,,0.01,0.4
2016-06-12,65,1.0,,0.01,0.65
2016-06-13,61,1.0,,0.01,0.61
2016-06-14,100,1.0,,0.01,1.0
2016-06-15,48,1.0,,0.01,0.48
2016-06-16,62,1.0,,0.01,0.62
2016-06-17,28,1.0,,0.01,0.28
2016-06-18,50,1.0,,0.01,0.5
2016-06-19,42,1.0,,0.01,0.42
2016-06-20,48,1.0,,0.01,0.48
2016-06-21,21,1.0,,0.01,0.21
2016-06-22,69,1.0,,0.01,0.6900000000000001
2016-06-23,75,1.0,,0.01,0.75
2016-06-24,42,1.0,,0.01,0.42
