date,CSCO_unscaled,CSCO_monthly,isPartial,scale,CSCO
2016-05-01,10,49.0,False,0.49,4.9
2016-05-02,17,49.0,,0.49,8.33
2016-05-03,25,49.0,,0.49,12.25
2016-05-04,22,49.0,,0.49,10.78
2016-05-05,20,49.0,,0.49,9.8
2016-05-06,22,49.0,,0.49,10.78
2016-05-07,3,49.0,,0.49,1.47
2016-05-08,3,49.0,,0.49,1.47
2016-05-09,25,49.0,,0.49,12.25
2016-05-10,22,49.0,,0.49,10.78
2016-05-11,25,49.0,,0.49,12.25
2016-05-12,32,49.0,,0.49,15.68
2016-05-13,20,49.0,,0.49,9.8
2016-05-14,13,49.0,,0.49,6.37
2016-05-15,10,49.0,,0.49,4.9
2016-05-16,35,49.0,,0.49,17.15
2016-05-17,34,49.0,,0.49,16.66
2016-05-18,100,49.0,,0.49,49.0
2016-05-19,73,49.0,,0.49,35.769999999999996
2016-05-20,43,49.0,,0.49,21.07
2016-05-21,13,49.0,,0.49,6.37
2016-05-22,6,49.0,,0.49,2.94
2016-05-23,33,49.0,,0.49,16.169999999999998
2016-05-24,41,49.0,,0.49,20.09
2016-05-25,48,49.0,,0.49,23.52
2016-05-26,45,49.0,,0.49,22.05
2016-05-27,35,49.0,,0.49,17.15
2016-05-28,17,49.0,,0.49,8.33
2016-05-29,6,49.0,,0.49,2.94
2016-05-30,13,49.0,,0.49,6.37
2016-05-31,30,49.0,,0.49,14.7
2016-06-01,46,51.0,False,0.51,23.46
2016-06-02,52,51.0,,0.51,26.52
2016-06-03,29,51.0,,0.51,14.790000000000001
2016-06-04,6,51.0,,0.51,3.06
2016-06-05,13,51.0,,0.51,6.63
2016-06-06,50,51.0,,0.51,25.5
2016-06-07,44,51.0,,0.51,22.44
2016-06-08,41,51.0,,0.51,20.91
2016-06-09,39,51.0,,0.51,19.89
2016-06-10,29,51.0,,0.51,14.790000000000001
2016-06-11,13,51.0,,0.51,6.63
2016-06-12,6,51.0,,0.51,3.06
2016-06-13,32,51.0,,0.51,16.32
2016-06-14,42,51.0,,0.51,21.42
2016-06-15,43,51.0,,0.51,21.93
2016-06-16,24,51.0,,0.51,12.24
2016-06-17,35,51.0,,0.51,17.85
2016-06-18,14,51.0,,0.51,7.140000000000001
2016-06-19,20,51.0,,0.51,10.2
2016-06-20,34,51.0,,0.51,17.34
2016-06-21,44,51.0,,0.51,22.44
2016-06-22,39,51.0,,0.51,19.89
2016-06-23,37,51.0,,0.51,18.87
2016-06-24,100,51.0,,0.51,51.0
2016-06-25,17,51.0,,0.51,8.67
2016-06-26,18,51.0,,0.51,9.18
2016-06-27,64,51.0,,0.51,32.64
2016-06-28,58,51.0,,0.51,29.580000000000002
2016-06-29,56,51.0,,0.51,28.560000000000002
2016-06-30,46,51.0,,0.51,23.46
2016-07-01,42,53.0,False,0.53,22.26
2016-07-02,29,53.0,,0.53,15.370000000000001
2016-07-03,8,53.0,,0.53,4.24
2016-07-04,19,53.0,,0.53,10.07
2016-07-05,43,53.0,,0.53,22.790000000000003
2016-07-06,57,53.0,,0.53,30.21
2016-07-07,55,53.0,,0.53,29.150000000000002
2016-07-08,50,53.0,,0.53,26.5
2016-07-09,21,53.0,,0.53,11.13
2016-07-10,22,53.0,,0.53,11.66
2016-07-11,94,53.0,,0.53,49.82
2016-07-12,66,53.0,,0.53,34.980000000000004
2016-07-13,52,53.0,,0.53,27.560000000000002
2016-07-14,51,53.0,,0.53,27.03
2016-07-15,54,53.0,,0.53,28.62
2016-07-16,12,53.0,,0.53,6.36
2016-07-17,10,53.0,,0.53,5.300000000000001
2016-07-18,43,53.0,,0.53,22.790000000000003
2016-07-19,87,53.0,,0.53,46.11
2016-07-20,100,53.0,,0.53,53.0
2016-07-21,73,53.0,,0.53,38.690000000000005
2016-07-22,59,53.0,,0.53,31.270000000000003
2016-07-23,33,53.0,,0.53,17.490000000000002
2016-07-24,14,53.0,,0.53,7.42
2016-07-25,60,53.0,,0.53,31.8
2016-07-26,77,53.0,,0.53,40.81
2016-07-27,71,53.0,,0.53,37.63
2016-07-28,74,53.0,,0.53,39.22
2016-07-29,54,53.0,,0.53,28.62
2016-07-30,28,53.0,,0.53,14.84
2016-07-31,5,53.0,,0.53,2.6500000000000004
2016-08-01,11,65.0,False,0.65,7.15
2016-08-02,19,65.0,,0.65,12.35
2016-08-03,15,65.0,,0.65,9.75
2016-08-04,24,65.0,,0.65,15.600000000000001
2016-08-05,21,65.0,,0.65,13.65
2016-08-06,4,65.0,,0.65,2.6
2016-08-07,6,65.0,,0.65,3.9000000000000004
2016-08-08,20,65.0,,0.65,13.0
2016-08-09,19,65.0,,0.65,12.35
2016-08-10,14,65.0,,0.65,9.1
2016-08-11,21,65.0,,0.65,13.65
2016-08-12,14,65.0,,0.65,9.1
2016-08-13,2,65.0,,0.65,1.3
2016-08-14,4,65.0,,0.65,2.6
2016-08-15,24,65.0,,0.65,15.600000000000001
2016-08-16,34,65.0,,0.65,22.1
2016-08-17,100,65.0,,0.65,65.0
2016-08-18,75,65.0,,0.65,48.75
2016-08-19,22,65.0,,0.65,14.3
2016-08-20,8,65.0,,0.65,5.2
2016-08-21,5,65.0,,0.65,3.25
2016-08-22,17,65.0,,0.65,11.05
2016-08-23,17,65.0,,0.65,11.05
2016-08-24,25,65.0,,0.65,16.25
2016-08-25,27,65.0,,0.65,17.55
2016-08-26,22,65.0,,0.65,14.3
2016-08-27,8,65.0,,0.65,5.2
2016-08-28,3,65.0,,0.65,1.9500000000000002
2016-08-29,17,65.0,,0.65,11.05
2016-08-30,17,65.0,,0.65,11.05
2016-08-31,18,65.0,,0.65,11.700000000000001
2016-09-01,65,39.0,False,0.39,25.35
2016-09-02,86,39.0,,0.39,33.54
2016-09-03,28,39.0,,0.39,10.92
2016-09-04,15,39.0,,0.39,5.8500000000000005
2016-09-05,27,39.0,,0.39,10.530000000000001
2016-09-06,73,39.0,,0.39,28.470000000000002
2016-09-07,51,39.0,,0.39,19.89
2016-09-08,76,39.0,,0.39,29.64
2016-09-09,81,39.0,,0.39,31.59
2016-09-10,14,39.0,,0.39,5.46
2016-09-11,10,39.0,,0.39,3.9000000000000004
2016-09-12,94,39.0,,0.39,36.660000000000004
2016-09-13,75,39.0,,0.39,29.25
2016-09-14,67,39.0,,0.39,26.130000000000003
2016-09-15,70,39.0,,0.39,27.3
2016-09-16,72,39.0,,0.39,28.080000000000002
2016-09-17,14,39.0,,0.39,5.46
2016-09-18,13,39.0,,0.39,5.07
2016-09-19,80,39.0,,0.39,31.200000000000003
2016-09-20,55,39.0,,0.39,21.45
2016-09-21,46,39.0,,0.39,17.94
2016-09-22,100,39.0,,0.39,39.0
2016-09-23,45,39.0,,0.39,17.55
2016-09-24,7,39.0,,0.39,2.73
2016-09-25,7,39.0,,0.39,2.73
2016-09-26,52,39.0,,0.39,20.28
2016-09-27,52,39.0,,0.39,20.28
2016-09-28,46,39.0,,0.39,17.94
2016-09-29,50,39.0,,0.39,19.5
2016-09-30,64,39.0,,0.39,24.96
2016-10-01,27,33.0,False,0.33,8.91
2016-10-02,8,33.0,,0.33,2.64
2016-10-03,75,33.0,,0.33,24.75
2016-10-04,53,33.0,,0.33,17.490000000000002
2016-10-05,47,33.0,,0.33,15.510000000000002
2016-10-06,51,33.0,,0.33,16.830000000000002
2016-10-07,55,33.0,,0.33,18.150000000000002
2016-10-08,19,33.0,,0.33,6.2700000000000005
2016-10-09,15,33.0,,0.33,4.95
2016-10-10,61,33.0,,0.33,20.130000000000003
2016-10-11,58,33.0,,0.33,19.14
2016-10-12,100,33.0,,0.33,33.0
2016-10-13,99,33.0,,0.33,32.67
2016-10-14,83,33.0,,0.33,27.39
2016-10-15,24,33.0,,0.33,7.92
2016-10-16,19,33.0,,0.33,6.2700000000000005
2016-10-17,48,33.0,,0.33,15.84
2016-10-18,70,33.0,,0.33,23.1
2016-10-19,58,33.0,,0.33,19.14
2016-10-20,61,33.0,,0.33,20.130000000000003
2016-10-21,62,33.0,,0.33,20.46
2016-10-22,20,33.0,,0.33,6.6000000000000005
2016-10-23,19,33.0,,0.33,6.2700000000000005
2016-10-24,44,33.0,,0.33,14.520000000000001
2016-10-25,56,33.0,,0.33,18.48
2016-10-26,66,33.0,,0.33,21.78
2016-10-27,73,33.0,,0.33,24.09
2016-10-28,43,33.0,,0.33,14.190000000000001
2016-10-29,23,33.0,,0.33,7.590000000000001
2016-10-30,23,33.0,,0.33,7.590000000000001
2016-10-31,57,33.0,,0.33,18.810000000000002
2016-11-01,34,50.0,False,0.5,17.0
2016-11-02,20,50.0,,0.5,10.0
2016-11-03,28,50.0,,0.5,14.0
2016-11-04,26,50.0,,0.5,13.0
2016-11-05,5,50.0,,0.5,2.5
2016-11-06,6,50.0,,0.5,3.0
2016-11-07,25,50.0,,0.5,12.5
2016-11-08,31,50.0,,0.5,15.5
2016-11-09,56,50.0,,0.5,28.0
2016-11-10,36,50.0,,0.5,18.0
2016-11-11,26,50.0,,0.5,13.0
2016-11-12,10,50.0,,0.5,5.0
2016-11-13,7,50.0,,0.5,3.5
2016-11-14,39,50.0,,0.5,19.5
2016-11-15,42,50.0,,0.5,21.0
2016-11-16,81,50.0,,0.5,40.5
2016-11-17,100,50.0,,0.5,50.0
2016-11-18,49,50.0,,0.5,24.5
2016-11-19,8,50.0,,0.5,4.0
2016-11-20,10,50.0,,0.5,5.0
2016-11-21,29,50.0,,0.5,14.5
2016-11-22,37,50.0,,0.5,18.5
2016-11-23,46,50.0,,0.5,23.0
2016-11-24,9,50.0,,0.5,4.5
2016-11-25,21,50.0,,0.5,10.5
2016-11-26,3,50.0,,0.5,1.5
2016-11-27,9,50.0,,0.5,4.5
2016-11-28,23,50.0,,0.5,11.5
2016-11-29,33,50.0,,0.5,16.5
2016-11-30,22,50.0,,0.5,11.0
2016-12-01,58,39.0,False,0.39,22.62
2016-12-02,92,39.0,,0.39,35.88
2016-12-03,12,39.0,,0.39,4.68
2016-12-04,11,39.0,,0.39,4.29
2016-12-05,54,39.0,,0.39,21.060000000000002
2016-12-06,73,39.0,,0.39,28.470000000000002
2016-12-07,57,39.0,,0.39,22.23
2016-12-08,100,39.0,,0.39,39.0
2016-12-09,71,39.0,,0.39,27.69
2016-12-10,16,39.0,,0.39,6.24
