date,EDIT_unscaled,EDIT_monthly,isPartial,scale,EDIT
2016-12-16,77,60.0,,0.6,46.199999999999996
2016-12-17,67,60.0,,0.6,40.199999999999996
2016-12-18,70,60.0,,0.6,42.0
2016-12-19,88,60.0,,0.6,52.8
2016-12-20,90,60.0,,0.6,54.0
2016-12-21,85,60.0,,0.6,51.0
2016-12-22,87,60.0,,0.6,52.199999999999996
2016-12-23,78,60.0,,0.6,46.8
2016-12-24,62,60.0,,0.6,37.199999999999996
2016-12-25,74,60.0,,0.6,44.4
2016-12-26,64,60.0,,0.6,38.4
2016-12-27,77,60.0,,0.6,46.199999999999996
2016-12-28,81,60.0,,0.6,48.6
2016-12-29,77,60.0,,0.6,46.199999999999996
2016-12-30,81,60.0,,0.6,48.6
2016-12-31,66,60.0,,0.6,39.6
2017-01-01,66,64.0,False,0.64,42.24
2017-01-02,77,64.0,,0.64,49.28
2017-01-03,85,64.0,,0.64,54.4
2017-01-04,85,64.0,,0.64,54.4
2017-01-05,97,64.0,,0.64,62.08
2017-01-06,84,64.0,,0.64,53.76
2017-01-07,72,64.0,,0.64,46.08
2017-01-08,72,64.0,,0.64,46.08
2017-01-09,90,64.0,,0.64,57.6
2017-01-10,84,64.0,,0.64,53.76
2017-01-11,91,64.0,,0.64,58.24
2017-01-12,92,64.0,,0.64,58.88
2017-01-13,95,64.0,,0.64,60.800000000000004
2017-01-14,72,64.0,,0.64,46.08
2017-01-15,76,64.0,,0.64,48.64
2017-01-16,85,64.0,,0.64,54.4
2017-01-17,96,64.0,,0.64,61.44
2017-01-18,97,64.0,,0.64,62.08
2017-01-19,100,64.0,,0.64,64.0
2017-01-20,82,64.0,,0.64,52.480000000000004
2017-01-21,68,64.0,,0.64,43.52
2017-01-22,72,64.0,,0.64,46.08
2017-01-23,92,64.0,,0.64,58.88
2017-01-24,98,64.0,,0.64,62.72
2017-01-25,99,64.0,,0.64,63.36
2017-01-26,98,64.0,,0.64,62.72
2017-01-27,86,64.0,,0.64,55.04
2017-01-28,68,64.0,,0.64,43.52
2017-01-29,70,64.0,,0.64,44.800000000000004
2017-01-30,93,64.0,,0.64,59.52
2017-01-31,95,64.0,,0.64,60.800000000000004
2017-02-01,100,66.0,False,0.66,66.0
2017-02-02,92,66.0,,0.66,60.720000000000006
2017-02-03,95,66.0,,0.66,62.7
2017-02-04,74,66.0,,0.66,48.84
2017-02-05,76,66.0,,0.66,50.160000000000004
2017-02-06,87,66.0,,0.66,57.42
2017-02-07,95,66.0,,0.66,62.7
2017-02-08,99,66.0,,0.66,65.34
2017-02-09,97,66.0,,0.66,64.02
2017-02-10,93,66.0,,0.66,61.38
2017-02-11,75,66.0,,0.66,49.5
2017-02-12,76,66.0,,0.66,50.160000000000004
2017-02-13,91,66.0,,0.66,60.06
2017-02-14,91,66.0,,0.66,60.06
2017-02-15,95,66.0,,0.66,62.7
2017-02-16,98,66.0,,0.66,64.68
2017-02-17,94,66.0,,0.66,62.040000000000006
2017-02-18,67,66.0,,0.66,44.22
2017-02-19,70,66.0,,0.66,46.2
2017-02-20,85,66.0,,0.66,56.1
2017-02-21,95,66.0,,0.66,62.7
2017-02-22,98,66.0,,0.66,64.68
2017-02-23,99,66.0,,0.66,65.34
2017-02-24,93,66.0,,0.66,61.38
2017-02-25,75,66.0,,0.66,49.5
2017-02-26,75,66.0,,0.66,49.5
2017-02-27,96,66.0,,0.66,63.36
2017-02-28,99,66.0,,0.66,65.34
2017-03-01,95,65.0,False,0.65,61.75
2017-03-02,95,65.0,,0.65,61.75
2017-03-03,94,65.0,,0.65,61.1
2017-03-04,64,65.0,,0.65,41.6
2017-03-05,73,65.0,,0.65,47.45
2017-03-06,97,65.0,,0.65,63.050000000000004
2017-03-07,89,65.0,,0.65,57.85
2017-03-08,92,65.0,,0.65,59.800000000000004
2017-03-09,89,65.0,,0.65,57.85
2017-03-10,83,65.0,,0.65,53.95
2017-03-11,69,65.0,,0.65,44.85
2017-03-12,72,65.0,,0.65,46.800000000000004
2017-03-13,96,65.0,,0.65,62.400000000000006
2017-03-14,96,65.0,,0.65,62.400000000000006
2017-03-15,88,65.0,,0.65,57.2
2017-03-16,94,65.0,,0.65,61.1
2017-03-17,81,65.0,,0.65,52.65
2017-03-18,71,65.0,,0.65,46.15
2017-03-19,67,65.0,,0.65,43.550000000000004
2017-03-20,88,65.0,,0.65,57.2
2017-03-21,96,65.0,,0.65,62.400000000000006
2017-03-22,100,65.0,,0.65,65.0
2017-03-23,96,65.0,,0.65,62.400000000000006
2017-03-24,85,65.0,,0.65,55.25
2017-03-25,71,65.0,,0.65,46.15
