date,F_unscaled,F_monthly,isPartial,scale,F
2016-05-01,99,99.0,False,0.99,98.01
2016-05-02,100,99.0,,0.99,99.0
2016-05-03,96,99.0,,0.99,95.03999999999999
2016-05-04,96,99.0,,0.99,95.03999999999999
2016-05-05,99,99.0,,0.99,98.01
2016-05-06,95,99.0,,0.99,94.05
2016-05-07,92,99.0,,0.99,91.08
2016-05-08,99,99.0,,0.99,98.01
2016-05-09,96,99.0,,0.99,95.03999999999999
2016-05-10,96,99.0,,0.99,95.03999999999999
2016-05-11,97,99.0,,0.99,96.03
2016-05-12,94,99.0,,0.99,93.06
2016-05-13,92,99.0,,0.99,91.08
2016-05-14,95,99.0,,0.99,94.05
2016-05-15,98,99.0,,0.99,97.02
2016-05-16,97,99.0,,0.99,96.03
2016-05-17,93,99.0,,0.99,92.07
2016-05-18,97,99.0,,0.99,96.03
2016-05-19,93,99.0,,0.99,92.07
2016-05-20,97,99.0,,0.99,96.03
2016-05-21,99,99.0,,0.99,98.01
2016-05-22,94,99.0,,0.99,93.06
2016-05-23,96,99.0,,0.99,95.03999999999999
2016-05-24,97,99.0,,0.99,96.03
2016-05-25,95,99.0,,0.99,94.05
2016-05-26,96,99.0,,0.99,95.03999999999999
2016-05-27,93,99.0,,0.99,92.07
2016-05-28,96,99.0,,0.99,95.03999999999999
2016-05-29,96,99.0,,0.99,95.03999999999999
2016-05-30,92,99.0,,0.99,91.08
2016-05-31,96,99.0,,0.99,95.03999999999999
2016-06-01,95,95.0,False,0.95,90.25
2016-06-02,94,95.0,,0.95,89.3
2016-06-03,93,95.0,,0.95,88.35
2016-06-04,93,95.0,,0.95,88.35
2016-06-05,96,95.0,,0.95,91.19999999999999
2016-06-06,96,95.0,,0.95,91.19999999999999
2016-06-07,94,95.0,,0.95,89.3
2016-06-08,92,95.0,,0.95,87.39999999999999
2016-06-09,91,95.0,,0.95,86.45
2016-06-10,89,95.0,,0.95,84.55
2016-06-11,93,95.0,,0.95,88.35
2016-06-12,92,95.0,,0.95,87.39999999999999
2016-06-13,91,95.0,,0.95,86.45
2016-06-14,89,95.0,,0.95,84.55
2016-06-15,90,95.0,,0.95,85.5
2016-06-16,93,95.0,,0.95,88.35
2016-06-17,89,95.0,,0.95,84.55
2016-06-18,96,95.0,,0.95,91.19999999999999
2016-06-19,100,95.0,,0.95,95.0
2016-06-20,95,95.0,,0.95,90.25
2016-06-21,94,95.0,,0.95,89.3
2016-06-22,96,95.0,,0.95,91.19999999999999
2016-06-23,90,95.0,,0.95,85.5
2016-06-24,91,95.0,,0.95,86.45
2016-06-25,92,95.0,,0.95,87.39999999999999
2016-06-26,98,95.0,,0.95,93.1
2016-06-27,92,95.0,,0.95,87.39999999999999
2016-06-28,91,95.0,,0.95,86.45
2016-06-29,92,95.0,,0.95,87.39999999999999
2016-06-30,91,95.0,,0.95,86.45
2016-07-01,94,90.0,False,0.9,84.60000000000001
2016-07-02,91,90.0,,0.9,81.9
2016-07-03,96,90.0,,0.9,86.4
2016-07-04,98,90.0,,0.9,88.2
2016-07-05,92,90.0,,0.9,82.8
2016-07-06,100,90.0,,0.9,90.0
2016-07-07,93,90.0,,0.9,83.7
2016-07-08,92,90.0,,0.9,82.8
2016-07-09,92,90.0,,0.9,82.8
2016-07-10,93,90.0,,0.9,83.7
2016-07-11,92,90.0,,0.9,82.8
2016-07-12,94,90.0,,0.9,84.60000000000001
2016-07-13,96,90.0,,0.9,86.4
2016-07-14,92,90.0,,0.9,82.8
2016-07-15,94,90.0,,0.9,84.60000000000001
2016-07-16,91,90.0,,0.9,81.9
2016-07-17,97,90.0,,0.9,87.3
2016-07-18,97,90.0,,0.9,87.3
2016-07-19,94,90.0,,0.9,84.60000000000001
2016-07-20,96,90.0,,0.9,86.4
2016-07-21,93,90.0,,0.9,83.7
2016-07-22,93,90.0,,0.9,83.7
2016-07-23,97,90.0,,0.9,87.3
2016-07-24,94,90.0,,0.9,84.60000000000001
2016-07-25,96,90.0,,0.9,86.4
2016-07-26,94,90.0,,0.9,84.60000000000001
2016-07-27,93,90.0,,0.9,83.7
2016-07-28,96,90.0,,0.9,86.4
2016-07-29,95,90.0,,0.9,85.5
2016-07-30,92,90.0,,0.9,82.8
2016-07-31,94,90.0,,0.9,84.60000000000001
