date,LINK_unscaled,LINK_monthly,isPartial,scale,LINK
2016-05-01,77,72.0,False,0.72,55.44
2016-05-02,100,72.0,,0.72,72.0
2016-05-03,97,72.0,,0.72,69.84
2016-05-04,93,72.0,,0.72,66.96
2016-05-05,98,72.0,,0.72,70.56
2016-05-06,96,72.0,,0.72,69.12
2016-05-07,77,72.0,,0.72,55.44
2016-05-08,77,72.0,,0.72,55.44
2016-05-09,95,72.0,,0.72,68.39999999999999
2016-05-10,96,72.0,,0.72,69.12
2016-05-11,96,72.0,,0.72,69.12
2016-05-12,97,72.0,,0.72,69.84
2016-05-13,93,72.0,,0.72,66.96
2016-05-14,75,72.0,,0.72,54.0
2016-05-15,79,72.0,,0.72,56.879999999999995
2016-05-16,96,72.0,,0.72,69.12
2016-05-17,100,72.0,,0.72,72.0
2016-05-18,93,72.0,,0.72,66.96
2016-05-19,97,72.0,,0.72,69.84
2016-05-20,88,72.0,,0.72,63.36
2016-05-21,77,72.0,,0.72,55.44
2016-05-22,77,72.0,,0.72,55.44
2016-05-23,97,72.0,,0.72,69.84
2016-05-24,96,72.0,,0.72,69.12
2016-05-25,95,72.0,,0.72,68.39999999999999
2016-05-26,97,72.0,,0.72,69.84
2016-05-27,89,72.0,,0.72,64.08
2016-05-28,70,72.0,,0.72,50.4
2016-05-29,71,72.0,,0.72,51.12
2016-05-30,75,72.0,,0.72,54.0
2016-05-31,100,72.0,,0.72,72.0
2016-06-01,93,74.0,False,0.74,68.82
2016-06-02,91,74.0,,0.74,67.34
2016-06-03,90,74.0,,0.74,66.6
2016-06-04,71,74.0,,0.74,52.54
2016-06-05,68,74.0,,0.74,50.32
2016-06-06,91,74.0,,0.74,67.34
2016-06-07,93,74.0,,0.74,68.82
2016-06-08,90,74.0,,0.74,66.6
2016-06-09,90,74.0,,0.74,66.6
2016-06-10,88,74.0,,0.74,65.12
2016-06-11,69,74.0,,0.74,51.06
2016-06-12,71,74.0,,0.74,52.54
2016-06-13,88,74.0,,0.74,65.12
2016-06-14,94,74.0,,0.74,69.56
2016-06-15,100,74.0,,0.74,74.0
2016-06-16,95,74.0,,0.74,70.3
2016-06-17,92,74.0,,0.74,68.08
2016-06-18,75,74.0,,0.74,55.5
2016-06-19,72,74.0,,0.74,53.28
2016-06-20,89,74.0,,0.74,65.86
2016-06-21,94,74.0,,0.74,69.56
2016-06-22,91,74.0,,0.74,67.34
2016-06-23,89,74.0,,0.74,65.86
2016-06-24,85,74.0,,0.74,62.9
2016-06-25,74,74.0,,0.74,54.76
2016-06-26,70,74.0,,0.74,51.8
2016-06-27,92,74.0,,0.74,68.08
2016-06-28,91,74.0,,0.74,67.34
2016-06-29,91,74.0,,0.74,67.34
2016-06-30,91,74.0,,0.74,67.34
2016-07-01,92,69.0,False,0.69,63.48
2016-07-02,79,69.0,,0.69,54.51
2016-07-03,82,69.0,,0.69,56.58
2016-07-04,74,69.0,,0.69,51.059999999999995
2016-07-05,96,69.0,,0.69,66.24
2016-07-06,100,69.0,,0.69,69.0
2016-07-07,98,69.0,,0.69,67.61999999999999
2016-07-08,89,69.0,,0.69,61.41
2016-07-09,75,69.0,,0.69,51.74999999999999
2016-07-10,80,69.0,,0.69,55.199999999999996
2016-07-11,91,69.0,,0.69,62.78999999999999
2016-07-12,97,69.0,,0.69,66.92999999999999
2016-07-13,96,69.0,,0.69,66.24
2016-07-14,87,69.0,,0.69,60.029999999999994
2016-07-15,91,69.0,,0.69,62.78999999999999
2016-07-16,75,69.0,,0.69,51.74999999999999
2016-07-17,70,69.0,,0.69,48.3
2016-07-18,95,69.0,,0.69,65.55
2016-07-19,94,69.0,,0.69,64.86
2016-07-20,99,69.0,,0.69,68.30999999999999
2016-07-21,99,69.0,,0.69,68.30999999999999
2016-07-22,88,69.0,,0.69,60.72
2016-07-23,75,69.0,,0.69,51.74999999999999
2016-07-24,74,69.0,,0.69,51.059999999999995
2016-07-25,92,69.0,,0.69,63.48
2016-07-26,99,69.0,,0.69,68.30999999999999
2016-07-27,94,69.0,,0.69,64.86
2016-07-28,96,69.0,,0.69,66.24
2016-07-29,90,69.0,,0.69,62.099999999999994
2016-07-30,78,69.0,,0.69,53.81999999999999
2016-07-31,76,69.0,,0.69,52.44
2016-08-01,95,71.0,False,0.71,67.45
2016-08-02,93,71.0,,0.71,66.03
2016-08-03,98,71.0,,0.71,69.58
2016-08-04,89,71.0,,0.71,63.19
2016-08-05,92,71.0,,0.71,65.32
2016-08-06,67,71.0,,0.71,47.57
2016-08-07,75,71.0,,0.71,53.25
2016-08-08,90,71.0,,0.71,63.9
2016-08-09,96,71.0,,0.71,68.16
2016-08-10,89,71.0,,0.71,63.19
2016-08-11,92,71.0,,0.71,65.32
2016-08-12,91,71.0,,0.71,64.61
2016-08-13,71,71.0,,0.71,50.41
2016-08-14,71,71.0,,0.71,50.41
2016-08-15,90,71.0,,0.71,63.9
2016-08-16,93,71.0,,0.71,66.03
2016-08-17,89,71.0,,0.71,63.19
2016-08-18,87,71.0,,0.71,61.769999999999996
2016-08-19,90,71.0,,0.71,63.9
2016-08-20,74,71.0,,0.71,52.54
2016-08-21,68,71.0,,0.71,48.28
2016-08-22,97,71.0,,0.71,68.86999999999999
2016-08-23,96,71.0,,0.71,68.16
2016-08-24,100,71.0,,0.71,71.0
2016-08-25,97,71.0,,0.71,68.86999999999999
2016-08-26,87,71.0,,0.71,61.769999999999996
2016-08-27,78,71.0,,0.71,55.379999999999995
2016-08-28,79,71.0,,0.71,56.089999999999996
2016-08-29,96,71.0,,0.71,68.16
2016-08-30,98,71.0,,0.71,69.58
2016-08-31,96,71.0,,0.71,68.16
2016-09-01,95,72.0,False,0.72,68.39999999999999
2016-09-02,94,72.0,,0.72,67.67999999999999
2016-09-03,76,72.0,,0.72,54.72
2016-09-04,74,72.0,,0.72,53.28
2016-09-05,82,72.0,,0.72,59.04
2016-09-06,100,72.0,,0.72,72.0
2016-09-07,100,72.0,,0.72,72.0
2016-09-08,97,72.0,,0.72,69.84
2016-09-09,97,72.0,,0.72,69.84
2016-09-10,78,72.0,,0.72,56.16
2016-09-11,75,72.0,,0.72,54.0
2016-09-12,92,72.0,,0.72,66.24
2016-09-13,98,72.0,,0.72,70.56
2016-09-14,100,72.0,,0.72,72.0
2016-09-15,98,72.0,,0.72,70.56
2016-09-16,86,72.0,,0.72,61.919999999999995
2016-09-17,77,72.0,,0.72,55.44
2016-09-18,70,72.0,,0.72,50.4
2016-09-19,98,72.0,,0.72,70.56
