date,NET_unscaled,NET_monthly,isPartial,scale,NET
2016-05-01,98,57.0,False,0.57,55.85999999999999
2016-05-02,96,57.0,,0.57,54.72
2016-05-03,96,57.0,,0.57,54.72
2016-05-04,98,57.0,,0.57,55.85999999999999
2016-05-05,96,57.0,,0.57,54.72
2016-05-06,88,57.0,,0.57,50.16
2016-05-07,89,57.0,,0.57,50.73
2016-05-08,90,57.0,,0.57,51.3
2016-05-09,98,57.0,,0.57,55.85999999999999
2016-05-10,94,57.0,,0.57,53.58
2016-05-11,94,57.0,,0.57,53.58
2016-05-12,90,57.0,,0.57,51.3
2016-05-13,89,57.0,,0.57,50.73
2016-05-14,80,57.0,,0.57,45.599999999999994
2016-05-15,92,57.0,,0.57,52.44
2016-05-16,94,57.0,,0.57,53.58
2016-05-17,96,57.0,,0.57,54.72
2016-05-18,93,57.0,,0.57,53.01
2016-05-19,91,57.0,,0.57,51.87
2016-05-20,90,57.0,,0.57,51.3
2016-05-21,81,57.0,,0.57,46.169999999999995
2016-05-22,94,57.0,,0.57,53.58
2016-05-23,100,57.0,,0.57,56.99999999999999
2016-05-24,91,57.0,,0.57,51.87
2016-05-25,93,57.0,,0.57,53.01
2016-05-26,93,57.0,,0.57,53.01
2016-05-27,85,57.0,,0.57,48.449999999999996
2016-05-28,81,57.0,,0.57,46.169999999999995
2016-05-29,82,57.0,,0.57,46.739999999999995
2016-05-30,89,57.0,,0.57,50.73
2016-05-31,88,57.0,,0.57,50.16
2016-06-01,83,57.0,False,0.57,47.309999999999995
2016-06-02,78,57.0,,0.57,44.459999999999994
2016-06-03,82,57.0,,0.57,46.739999999999995
2016-06-04,90,57.0,,0.57,51.3
2016-06-05,100,57.0,,0.57,56.99999999999999
2016-06-06,93,57.0,,0.57,53.01
2016-06-07,92,57.0,,0.57,52.44
2016-06-08,90,57.0,,0.57,51.3
2016-06-09,88,57.0,,0.57,50.16
2016-06-10,89,57.0,,0.57,50.73
2016-06-11,87,57.0,,0.57,49.589999999999996
2016-06-12,76,57.0,,0.57,43.31999999999999
2016-06-13,79,57.0,,0.57,45.029999999999994
2016-06-14,83,57.0,,0.57,47.309999999999995
2016-06-15,81,57.0,,0.57,46.169999999999995
2016-06-16,83,57.0,,0.57,47.309999999999995
2016-06-17,82,57.0,,0.57,46.739999999999995
2016-06-18,77,57.0,,0.57,43.88999999999999
2016-06-19,81,57.0,,0.57,46.169999999999995
2016-06-20,94,57.0,,0.57,53.58
2016-06-21,90,57.0,,0.57,51.3
2016-06-22,88,57.0,,0.57,50.16
2016-06-23,81,57.0,,0.57,46.169999999999995
2016-06-24,74,57.0,,0.57,42.18
2016-06-25,76,57.0,,0.57,43.31999999999999
2016-06-26,82,57.0,,0.57,46.739999999999995
2016-06-27,90,57.0,,0.57,51.3
2016-06-28,87,57.0,,0.57,49.589999999999996
2016-06-29,91,57.0,,0.57,51.87
2016-06-30,85,57.0,,0.57,48.449999999999996
2016-07-01,83,60.0,False,0.6,49.8
2016-07-02,73,60.0,,0.6,43.8
2016-07-03,80,60.0,,0.6,48.0
2016-07-04,86,60.0,,0.6,51.6
2016-07-05,80,60.0,,0.6,48.0
2016-07-06,89,60.0,,0.6,53.4
2016-07-07,86,60.0,,0.6,51.6
2016-07-08,75,60.0,,0.6,45.0
2016-07-09,78,60.0,,0.6,46.8
2016-07-10,86,60.0,,0.6,51.6
2016-07-11,89,60.0,,0.6,53.4
2016-07-12,94,60.0,,0.6,56.4
2016-07-13,91,60.0,,0.6,54.6
2016-07-14,87,60.0,,0.6,52.199999999999996
2016-07-15,78,60.0,,0.6,46.8
2016-07-16,76,60.0,,0.6,45.6
2016-07-17,93,60.0,,0.6,55.8
2016-07-18,93,60.0,,0.6,55.8
2016-07-19,94,60.0,,0.6,56.4
2016-07-20,96,60.0,,0.6,57.599999999999994
2016-07-21,93,60.0,,0.6,55.8
2016-07-22,97,60.0,,0.6,58.199999999999996
2016-07-23,77,60.0,,0.6,46.199999999999996
2016-07-24,84,60.0,,0.6,50.4
2016-07-25,91,60.0,,0.6,54.6
2016-07-26,97,60.0,,0.6,58.199999999999996
2016-07-27,88,60.0,,0.6,52.8
2016-07-28,96,60.0,,0.6,57.599999999999994
2016-07-29,88,60.0,,0.6,52.8
2016-07-30,83,60.0,,0.6,49.8
2016-07-31,100,60.0,,0.6,60.0
2016-08-01,85,60.0,False,0.6,51.0
2016-08-02,85,60.0,,0.6,51.0
2016-08-03,81,60.0,,0.6,48.6
2016-08-04,78,60.0,,0.6,46.8
2016-08-05,73,60.0,,0.6,43.8
2016-08-06,69,60.0,,0.6,41.4
2016-08-07,78,60.0,,0.6,46.8
2016-08-08,84,60.0,,0.6,50.4
2016-08-09,81,60.0,,0.6,48.6
2016-08-10,89,60.0,,0.6,53.4
2016-08-11,81,60.0,,0.6,48.6
2016-08-12,93,60.0,,0.6,55.8
2016-08-13,81,60.0,,0.6,48.6
2016-08-14,100,60.0,,0.6,60.0
2016-08-15,96,60.0,,0.6,57.599999999999994
2016-08-16,86,60.0,,0.6,51.6
2016-08-17,82,60.0,,0.6,49.199999999999996
2016-08-18,77,60.0,,0.6,46.199999999999996
2016-08-19,83,60.0,,0.6,49.8
2016-08-20,75,60.0,,0.6,45.0
2016-08-21,81,60.0,,0.6,48.6
2016-08-22,79,60.0,,0.6,47.4
2016-08-23,84,60.0,,0.6,50.4
2016-08-24,80,60.0,,0.6,48.0
2016-08-25,87,60.0,,0.6,52.199999999999996
2016-08-26,84,60.0,,0.6,50.4
2016-08-27,75,60.0,,0.6,45.0
2016-08-28,85,60.0,,0.6,51.0
2016-08-29,91,60.0,,0.6,54.6
2016-08-30,89,60.0,,0.6,53.4
2016-08-31,91,60.0,,0.6,54.6
2016-09-01,81,59.0,False,0.59,47.79
2016-09-02,75,59.0,,0.59,44.25
2016-09-03,69,59.0,,0.59,40.71
2016-09-04,81,59.0,,0.59,47.79
2016-09-05,88,59.0,,0.59,51.919999999999995
2016-09-06,89,59.0,,0.59,52.51
2016-09-07,81,59.0,,0.59,47.79
2016-09-08,85,59.0,,0.59,50.15
2016-09-09,82,59.0,,0.59,48.379999999999995
2016-09-10,82,59.0,,0.59,48.379999999999995
2016-09-11,86,59.0,,0.59,50.739999999999995
2016-09-12,83,59.0,,0.59,48.97
2016-09-13,89,59.0,,0.59,52.51
2016-09-14,82,59.0,,0.59,48.379999999999995
2016-09-15,82,59.0,,0.59,48.379999999999995
2016-09-16,76,59.0,,0.59,44.839999999999996
2016-09-17,75,59.0,,0.59,44.25
2016-09-18,81,59.0,,0.59,47.79
2016-09-19,85,59.0,,0.59,50.15
2016-09-20,88,59.0,,0.59,51.919999999999995
2016-09-21,91,59.0,,0.59,53.69
2016-09-22,83,59.0,,0.59,48.97
2016-09-23,80,59.0,,0.59,47.199999999999996
2016-09-24,73,59.0,,0.59,43.07
2016-09-25,86,59.0,,0.59,50.739999999999995
2016-09-26,100,59.0,,0.59,59.0
2016-09-27,92,59.0,,0.59,54.279999999999994
2016-09-28,91,59.0,,0.59,53.69
2016-09-29,88,59.0,,0.59,51.919999999999995
2016-09-30,81,59.0,,0.59,47.79
2016-10-01,86,60.0,False,0.6,51.6
