date,DIA_unscaled,DIA_monthly,isPartial,scale,DIA
2016-05-01,10,100.0,False,1.0,10.0
2016-05-02,7,100.0,,1.0,7.0
2016-05-03,8,100.0,,1.0,8.0
2016-05-04,8,100.0,,1.0,8.0
2016-05-05,10,100.0,,1.0,10.0
2016-05-06,12,100.0,,1.0,12.0
2016-05-07,15,100.0,,1.0,15.0
2016-05-08,100,100.0,,1.0,100.0
2016-05-09,15,100.0,,1.0,15.0
2016-05-10,68,100.0,,1.0,68.0
2016-05-11,13,100.0,,1.0,13.0
2016-05-12,7,100.0,,1.0,7.0
2016-05-13,7,100.0,,1.0,7.0
2016-05-14,6,100.0,,1.0,6.0
2016-05-15,8,100.0,,1.0,8.0
2016-05-16,6,100.0,,1.0,6.0
2016-05-17,6,100.0,,1.0,6.0
2016-05-18,6,100.0,,1.0,6.0
2016-05-19,6,100.0,,1.0,6.0
2016-05-20,6,100.0,,1.0,6.0
2016-05-21,5,100.0,,1.0,5.0
2016-05-22,6,100.0,,1.0,6.0
2016-05-23,6,100.0,,1.0,6.0
2016-05-24,6,100.0,,1.0,6.0
2016-05-25,6,100.0,,1.0,6.0
2016-05-26,6,100.0,,1.0,6.0
2016-05-27,6,100.0,,1.0,6.0
2016-05-28,6,100.0,,1.0,6.0
2016-05-29,9,100.0,,1.0,9.0
2016-05-30,7,100.0,,1.0,7.0
2016-05-31,6,100.0,,1.0,6.0
2016-06-01,8,71.0,False,0.71,5.68
2016-06-02,9,71.0,,0.71,6.39
2016-06-03,9,71.0,,0.71,6.39
2016-06-04,8,71.0,,0.71,5.68
2016-06-05,9,71.0,,0.71,6.39
2016-06-06,8,71.0,,0.71,5.68
2016-06-07,10,71.0,,0.71,7.1
2016-06-08,9,71.0,,0.71,6.39
2016-06-09,10,71.0,,0.71,7.1
2016-06-10,10,71.0,,0.71,7.1
2016-06-11,10,71.0,,0.71,7.1
2016-06-12,13,71.0,,0.71,9.23
2016-06-13,11,71.0,,0.71,7.81
2016-06-14,11,71.0,,0.71,7.81
2016-06-15,11,71.0,,0.71,7.81
2016-06-16,12,71.0,,0.71,8.52
2016-06-17,24,71.0,,0.71,17.04
2016-06-18,20,71.0,,0.71,14.2
2016-06-19,100,71.0,,0.71,71.0
2016-06-20,16,71.0,,0.71,11.36
2016-06-21,9,71.0,,0.71,6.39
2016-06-22,8,71.0,,0.71,5.68
2016-06-23,8,71.0,,0.71,5.68
2016-06-24,9,71.0,,0.71,6.39
2016-06-25,8,71.0,,0.71,5.68
2016-06-26,8,71.0,,0.71,5.68
2016-06-27,7,71.0,,0.71,4.97
2016-06-28,7,71.0,,0.71,4.97
2016-06-29,8,71.0,,0.71,5.68
2016-06-30,8,71.0,,0.71,5.68
2016-07-01,87,43.0,False,0.43,37.41
2016-07-02,69,43.0,,0.43,29.669999999999998
2016-07-03,65,43.0,,0.43,27.95
2016-07-04,84,43.0,,0.43,36.12
2016-07-05,80,43.0,,0.43,34.4
2016-07-06,80,43.0,,0.43,34.4
2016-07-07,77,43.0,,0.43,33.11
2016-07-08,76,43.0,,0.43,32.68
2016-07-09,73,43.0,,0.43,31.39
2016-07-10,67,43.0,,0.43,28.81
2016-07-11,69,43.0,,0.43,29.669999999999998
2016-07-12,75,43.0,,0.43,32.25
2016-07-13,76,43.0,,0.43,32.68
2016-07-14,75,43.0,,0.43,32.25
2016-07-15,73,43.0,,0.43,31.39
2016-07-16,74,43.0,,0.43,31.82
2016-07-17,80,43.0,,0.43,34.4
2016-07-18,76,43.0,,0.43,32.68
2016-07-19,73,43.0,,0.43,31.39
2016-07-20,91,43.0,,0.43,39.13
2016-07-21,78,43.0,,0.43,33.54
2016-07-22,73,43.0,,0.43,31.39
2016-07-23,71,43.0,,0.43,30.53
2016-07-24,70,43.0,,0.43,30.099999999999998
2016-07-25,68,43.0,,0.43,29.24
2016-07-26,77,43.0,,0.43,33.11
2016-07-27,76,43.0,,0.43,32.68
2016-07-28,78,43.0,,0.43,33.54
2016-07-29,72,43.0,,0.43,30.96
2016-07-30,70,43.0,,0.43,30.099999999999998
2016-07-31,100,43.0,,0.43,43.0
2016-08-01,86,41.0,False,0.41,35.26
2016-08-02,88,41.0,,0.41,36.08
2016-08-03,83,41.0,,0.41,34.03
2016-08-04,80,41.0,,0.41,32.8
2016-08-05,79,41.0,,0.41,32.39
2016-08-06,77,41.0,,0.41,31.569999999999997
2016-08-07,81,41.0,,0.41,33.21
2016-08-08,78,41.0,,0.41,31.979999999999997
2016-08-09,81,41.0,,0.41,33.21
2016-08-10,82,41.0,,0.41,33.62
2016-08-11,79,41.0,,0.41,32.39
2016-08-12,79,41.0,,0.41,32.39
2016-08-13,78,41.0,,0.41,31.979999999999997
2016-08-14,96,41.0,,0.41,39.36
2016-08-15,91,41.0,,0.41,37.309999999999995
2016-08-16,82,41.0,,0.41,33.62
2016-08-17,78,41.0,,0.41,31.979999999999997
2016-08-18,83,41.0,,0.41,34.03
2016-08-19,75,41.0,,0.41,30.749999999999996
2016-08-20,83,41.0,,0.41,34.03
2016-08-21,87,41.0,,0.41,35.669999999999995
2016-08-22,81,41.0,,0.41,33.21
2016-08-23,79,41.0,,0.41,32.39
2016-08-24,89,41.0,,0.41,36.489999999999995
2016-08-25,85,41.0,,0.41,34.85
2016-08-26,86,41.0,,0.41,35.26
2016-08-27,79,41.0,,0.41,32.39
2016-08-28,100,41.0,,0.41,41.0
2016-08-29,82,41.0,,0.41,33.62
2016-08-30,85,41.0,,0.41,34.85
2016-08-31,86,41.0,,0.41,35.26
2016-09-01,73,48.0,False,0.48,35.04
2016-09-02,68,48.0,,0.48,32.64
2016-09-03,69,48.0,,0.48,33.12
2016-09-04,65,48.0,,0.48,31.2
2016-09-05,81,48.0,,0.48,38.879999999999995
2016-09-06,71,48.0,,0.48,34.08
2016-09-07,72,48.0,,0.48,34.56
2016-09-08,70,48.0,,0.48,33.6
2016-09-09,74,48.0,,0.48,35.519999999999996
2016-09-10,66,48.0,,0.48,31.68
2016-09-11,63,48.0,,0.48,30.24
2016-09-12,76,48.0,,0.48,36.48
2016-09-13,86,48.0,,0.48,41.28
2016-09-14,79,48.0,,0.48,37.92
2016-09-15,100,48.0,,0.48,48.0
2016-09-16,87,48.0,,0.48,41.76
2016-09-17,77,48.0,,0.48,36.96
2016-09-18,64,48.0,,0.48,30.72
2016-09-19,75,48.0,,0.48,36.0
2016-09-20,71,48.0,,0.48,34.08
2016-09-21,85,48.0,,0.48,40.8
2016-09-22,92,48.0,,0.48,44.16
2016-09-23,75,48.0,,0.48,36.0
2016-09-24,71,48.0,,0.48,34.08
2016-09-25,63,48.0,,0.48,30.24
2016-09-26,69,48.0,,0.48,33.12
2016-09-27,71,48.0,,0.48,34.08
2016-09-28,80,48.0,,0.48,38.4
2016-09-29,88,48.0,,0.48,42.239999999999995
2016-09-30,83,48.0,,0.48,39.839999999999996
2016-10-01,31,69.0,False,0.69,21.389999999999997
2016-10-02,29,69.0,,0.69,20.009999999999998
2016-10-03,34,69.0,,0.69,23.459999999999997
2016-10-04,35,69.0,,0.69,24.15
2016-10-05,35,69.0,,0.69,24.15
2016-10-06,32,69.0,,0.69,22.08
2016-10-07,31,69.0,,0.69,21.389999999999997
2016-10-08,28,69.0,,0.69,19.32
2016-10-09,30,69.0,,0.69,20.7
2016-10-10,35,69.0,,0.69,24.15
2016-10-11,37,69.0,,0.69,25.529999999999998
2016-10-12,40,69.0,,0.69,27.599999999999998
2016-10-13,40,69.0,,0.69,27.599999999999998
2016-10-14,37,69.0,,0.69,25.529999999999998
2016-10-15,35,69.0,,0.69,24.15
2016-10-16,36,69.0,,0.69,24.839999999999996
2016-10-17,36,69.0,,0.69,24.839999999999996
