date,BOOM_unscaled,BOOM_monthly,isPartial,scale,BOOM
2016-05-01,96,76.0,False,0.76,72.96000000000001
2016-05-02,87,76.0,,0.76,66.12
2016-05-03,82,76.0,,0.76,62.32
2016-05-04,87,76.0,,0.76,66.12
2016-05-05,89,76.0,,0.76,67.64
2016-05-06,91,76.0,,0.76,69.16
2016-05-07,93,76.0,,0.76,70.68
2016-05-08,100,76.0,,0.76,76.0
2016-05-09,84,76.0,,0.76,63.84
2016-05-10,90,76.0,,0.76,68.4
2016-05-11,85,76.0,,0.76,64.6
2016-05-12,82,76.0,,0.76,62.32
2016-05-13,91,76.0,,0.76,69.16
2016-05-14,93,76.0,,0.76,70.68
2016-05-15,93,76.0,,0.76,70.68
2016-05-16,86,76.0,,0.76,65.36
2016-05-17,91,76.0,,0.76,69.16
2016-05-18,86,76.0,,0.76,65.36
2016-05-19,90,76.0,,0.76,68.4
2016-05-20,88,76.0,,0.76,66.88
2016-05-21,98,76.0,,0.76,74.48
2016-05-22,92,76.0,,0.76,69.92
2016-05-23,90,76.0,,0.76,68.4
2016-05-24,85,76.0,,0.76,64.6
2016-05-25,87,76.0,,0.76,66.12
2016-05-26,91,76.0,,0.76,69.16
2016-05-27,85,76.0,,0.76,64.6
2016-05-28,97,76.0,,0.76,73.72
2016-05-29,96,76.0,,0.76,72.96000000000001
2016-05-30,95,76.0,,0.76,72.2
2016-05-31,90,76.0,,0.76,68.4
2016-06-01,83,79.0,False,0.79,65.57000000000001
2016-06-02,81,79.0,,0.79,63.99
2016-06-03,77,79.0,,0.79,60.830000000000005
2016-06-04,89,79.0,,0.79,70.31
2016-06-05,85,79.0,,0.79,67.15
2016-06-06,77,79.0,,0.79,60.830000000000005
2016-06-07,78,79.0,,0.79,61.620000000000005
2016-06-08,76,79.0,,0.79,60.040000000000006
2016-06-09,75,79.0,,0.79,59.25
2016-06-10,73,79.0,,0.79,57.67
2016-06-11,83,79.0,,0.79,65.57000000000001
2016-06-12,80,79.0,,0.79,63.2
2016-06-13,73,79.0,,0.79,57.67
2016-06-14,76,79.0,,0.79,60.040000000000006
2016-06-15,73,79.0,,0.79,57.67
2016-06-16,71,79.0,,0.79,56.09
2016-06-17,77,79.0,,0.79,60.830000000000005
2016-06-18,87,79.0,,0.79,68.73
