date,TTWO_unscaled,TTWO_monthly,isPartial,scale,TTWO
2016-09-14,20,10.0,,0.1,2.0
2016-09-15,20,10.0,,0.1,2.0
2016-09-16,41,10.0,,0.1,4.1000000000000005
2016-09-17,23,10.0,,0.1,2.3000000000000003
2016-09-18,0,10.0,,0.1,0.0
2016-09-19,0,10.0,,0.1,0.0
2016-09-20,59,10.0,,0.1,5.9
2016-09-21,0,10.0,,0.1,0.0
2016-09-22,100,10.0,,0.1,10.0
2016-09-23,41,10.0,,0.1,4.1000000000000005
2016-09-24,0,10.0,,0.1,0.0
2016-09-25,0,10.0,,0.1,0.0
2016-09-26,20,10.0,,0.1,2.0
2016-09-27,59,10.0,,0.1,5.9
2016-09-28,0,10.0,,0.1,0.0
2016-09-29,59,10.0,,0.1,5.9
2016-09-30,21,10.0,,0.1,2.1
2016-10-01,14,16.0,False,0.16,2.24
2016-10-02,13,16.0,,0.16,2.08
2016-10-03,11,16.0,,0.16,1.76
2016-10-04,11,16.0,,0.16,1.76
2016-10-05,55,16.0,,0.16,8.8
2016-10-06,56,16.0,,0.16,8.96
2016-10-07,11,16.0,,0.16,1.76
2016-10-08,0,16.0,,0.16,0.0
2016-10-09,13,16.0,,0.16,2.08
2016-10-10,34,16.0,,0.16,5.44
2016-10-11,23,16.0,,0.16,3.68
2016-10-12,0,16.0,,0.16,0.0
2016-10-13,45,16.0,,0.16,7.2
2016-10-14,23,16.0,,0.16,3.68
2016-10-15,14,16.0,,0.16,2.24
2016-10-16,53,16.0,,0.16,8.48
2016-10-17,56,16.0,,0.16,8.96
2016-10-18,100,16.0,,0.16,16.0
2016-10-19,34,16.0,,0.16,5.44
2016-10-20,56,16.0,,0.16,8.96
2016-10-21,23,16.0,,0.16,3.68
2016-10-22,0,16.0,,0.16,0.0
2016-10-23,13,16.0,,0.16,2.08
2016-10-24,77,16.0,,0.16,12.32
2016-10-25,22,16.0,,0.16,3.52
2016-10-26,11,16.0,,0.16,1.76
2016-10-27,11,16.0,,0.16,1.76
2016-10-28,12,16.0,,0.16,1.92
2016-10-29,0,16.0,,0.16,0.0
2016-10-30,0,16.0,,0.16,0.0
2016-10-31,33,16.0,,0.16,5.28
2016-11-01,42,19.0,False,0.19,7.98
2016-11-02,100,19.0,,0.19,19.0
2016-11-03,79,19.0,,0.19,15.01
2016-11-04,42,19.0,,0.19,7.98
2016-11-05,12,19.0,,0.19,2.2800000000000002
2016-11-06,36,19.0,,0.19,6.84
2016-11-07,10,19.0,,0.19,1.9
2016-11-08,68,19.0,,0.19,12.92
2016-11-09,32,19.0,,0.19,6.08
2016-11-10,72,19.0,,0.19,13.68
2016-11-11,21,19.0,,0.19,3.99
2016-11-12,36,19.0,,0.19,6.84
2016-11-13,0,19.0,,0.19,0.0
2016-11-14,30,19.0,,0.19,5.7
2016-11-15,30,19.0,,0.19,5.7
2016-11-16,10,19.0,,0.19,1.9
2016-11-17,21,19.0,,0.19,3.99
2016-11-18,42,19.0,,0.19,7.98
2016-11-19,0,19.0,,0.19,0.0
2016-11-20,0,19.0,,0.19,0.0
2016-11-21,30,19.0,,0.19,5.7
2016-11-22,63,19.0,,0.19,11.97
2016-11-23,0,19.0,,0.19,0.0
2016-11-24,0,19.0,,0.19,0.0
2016-11-25,22,19.0,,0.19,4.18
2016-11-26,0,19.0,,0.19,0.0
2016-11-27,0,19.0,,0.19,0.0
2016-11-28,18,19.0,,0.19,3.42
2016-11-29,19,19.0,,0.19,3.61
2016-11-30,38,19.0,,0.19,7.22
2016-12-01,100,8.0,False,0.08,8.0
2016-12-02,0,8.0,,0.08,0.0
2016-12-03,30,8.0,,0.08,2.4
2016-12-04,56,8.0,,0.08,4.48
2016-12-05,45,8.0,,0.08,3.6
2016-12-06,47,8.0,,0.08,3.7600000000000002
2016-12-07,74,8.0,,0.08,5.92
2016-12-08,50,8.0,,0.08,4.0
2016-12-09,26,8.0,,0.08,2.08
2016-12-10,31,8.0,,0.08,2.48
2016-12-11,58,8.0,,0.08,4.64
2016-12-12,24,8.0,,0.08,1.92
2016-12-13,24,8.0,,0.08,1.92
2016-12-14,25,8.0,,0.08,2.0
2016-12-15,0,8.0,,0.08,0.0
2016-12-16,79,8.0,,0.08,6.32
2016-12-17,0,8.0,,0.08,0.0
2016-12-18,0,8.0,,0.08,0.0
2016-12-19,26,8.0,,0.08,2.08
2016-12-20,80,8.0,,0.08,6.4
2016-12-21,28,8.0,,0.08,2.24
2016-12-22,28,8.0,,0.08,2.24
2016-12-23,0,8.0,,0.08,0.0
2016-12-24,0,8.0,,0.08,0.0
2016-12-25,0,8.0,,0.08,0.0
2016-12-26,0,8.0,,0.08,0.0
2016-12-27,54,8.0,,0.08,4.32
2016-12-28,28,8.0,,0.08,2.24
2016-12-29,54,8.0,,0.08,4.32
2016-12-30,28,8.0,,0.08,2.24
2016-12-31,29,8.0,,0.08,2.32
2017-01-01,16,14.0,False,0.14,2.24
2017-01-02,14,14.0,,0.14,1.9600000000000002
2017-01-03,13,14.0,,0.14,1.8200000000000003
2017-01-04,0,14.0,,0.14,0.0
2017-01-05,39,14.0,,0.14,5.460000000000001
2017-01-06,64,14.0,,0.14,8.96
2017-01-07,0,14.0,,0.14,0.0
2017-01-08,43,14.0,,0.14,6.0200000000000005
2017-01-09,25,14.0,,0.14,3.5000000000000004
2017-01-10,12,14.0,,0.14,1.6800000000000002
2017-01-11,37,14.0,,0.14,5.180000000000001
2017-01-12,37,14.0,,0.14,5.180000000000001
2017-01-13,51,14.0,,0.14,7.140000000000001
2017-01-14,15,14.0,,0.14,2.1
2017-01-15,0,14.0,,0.14,0.0
2017-01-16,0,14.0,,0.14,0.0
2017-01-17,24,14.0,,0.14,3.3600000000000003
2017-01-18,12,14.0,,0.14,1.6800000000000002
2017-01-19,12,14.0,,0.14,1.6800000000000002
2017-01-20,12,14.0,,0.14,1.6800000000000002
2017-01-21,43,14.0,,0.14,6.0200000000000005
2017-01-22,14,14.0,,0.14,1.9600000000000002
2017-01-23,58,14.0,,0.14,8.120000000000001
2017-01-24,24,14.0,,0.14,3.3600000000000003
2017-01-25,36,14.0,,0.14,5.040000000000001
2017-01-26,48,14.0,,0.14,6.720000000000001
2017-01-27,100,14.0,,0.14,14.000000000000002
2017-01-28,29,14.0,,0.14,4.0600000000000005
2017-01-29,15,14.0,,0.14,2.1
2017-01-30,12,14.0,,0.14,1.6800000000000002
2017-01-31,48,14.0,,0.14,6.720000000000001
2017-02-01,76,24.0,False,0.24,18.24
2017-02-02,48,24.0,,0.24,11.52
2017-02-03,60,24.0,,0.24,14.399999999999999
2017-02-04,0,24.0,,0.24,0.0
2017-02-05,11,24.0,,0.24,2.6399999999999997
2017-02-06,37,24.0,,0.24,8.879999999999999
2017-02-07,85,24.0,,0.24,20.4
2017-02-08,68,24.0,,0.24,16.32
2017-02-09,58,24.0,,0.24,13.92
2017-02-10,80,24.0,,0.24,19.2
2017-02-11,12,24.0,,0.24,2.88
2017-02-12,23,24.0,,0.24,5.52
