date,MGM_unscaled,MGM_monthly,isPartial,scale,MGM
2016-05-01,80,52.0,False,0.52,41.6
2016-05-02,71,52.0,,0.52,36.92
2016-05-03,76,52.0,,0.52,39.52
2016-05-04,68,52.0,,0.52,35.36
2016-05-05,91,52.0,,0.52,47.32
2016-05-06,80,52.0,,0.52,41.6
2016-05-07,82,52.0,,0.52,42.64
2016-05-08,100,52.0,,0.52,52.0
2016-05-09,95,52.0,,0.52,49.4
2016-05-10,87,52.0,,0.52,45.24
2016-05-11,76,52.0,,0.52,39.52
2016-05-12,84,52.0,,0.52,43.68
2016-05-13,86,52.0,,0.52,44.72
2016-05-14,87,52.0,,0.52,45.24
2016-05-15,76,52.0,,0.52,39.52
2016-05-16,75,52.0,,0.52,39.0
2016-05-17,84,52.0,,0.52,43.68
2016-05-18,82,52.0,,0.52,42.64
2016-05-19,85,52.0,,0.52,44.2
2016-05-20,85,52.0,,0.52,44.2
2016-05-21,83,52.0,,0.52,43.160000000000004
2016-05-22,82,52.0,,0.52,42.64
2016-05-23,93,52.0,,0.52,48.36
2016-05-24,90,52.0,,0.52,46.800000000000004
2016-05-25,74,52.0,,0.52,38.480000000000004
2016-05-26,80,52.0,,0.52,41.6
2016-05-27,76,52.0,,0.52,39.52
2016-05-28,82,52.0,,0.52,42.64
2016-05-29,82,52.0,,0.52,42.64
2016-05-30,81,52.0,,0.52,42.120000000000005
2016-05-31,82,52.0,,0.52,42.64
2016-06-01,79,53.0,False,0.53,41.870000000000005
2016-06-02,80,53.0,,0.53,42.400000000000006
2016-06-03,76,53.0,,0.53,40.28
2016-06-04,75,53.0,,0.53,39.75
2016-06-05,83,53.0,,0.53,43.99
2016-06-06,80,53.0,,0.53,42.400000000000006
2016-06-07,86,53.0,,0.53,45.580000000000005
2016-06-08,92,53.0,,0.53,48.760000000000005
2016-06-09,89,53.0,,0.53,47.17
2016-06-10,77,53.0,,0.53,40.81
2016-06-11,85,53.0,,0.53,45.050000000000004
2016-06-12,79,53.0,,0.53,41.870000000000005
2016-06-13,79,53.0,,0.53,41.870000000000005
2016-06-14,87,53.0,,0.53,46.11
2016-06-15,81,53.0,,0.53,42.93
2016-06-16,95,53.0,,0.53,50.35
2016-06-17,96,53.0,,0.53,50.88
2016-06-18,92,53.0,,0.53,48.760000000000005
2016-06-19,73,53.0,,0.53,38.690000000000005
2016-06-20,100,53.0,,0.53,53.0
2016-06-21,100,53.0,,0.53,53.0
2016-06-22,90,53.0,,0.53,47.7
2016-06-23,88,53.0,,0.53,46.64
2016-06-24,84,53.0,,0.53,44.52
2016-06-25,96,53.0,,0.53,50.88
2016-06-26,81,53.0,,0.53,42.93
