date,NEXT_unscaled,NEXT_monthly,isPartial,scale,NEXT
2016-05-01,99,76.0,False,0.76,75.24
2016-05-02,86,76.0,,0.76,65.36
2016-05-03,86,76.0,,0.76,65.36
2016-05-04,93,76.0,,0.76,70.68
2016-05-05,91,76.0,,0.76,69.16
2016-05-06,90,76.0,,0.76,68.4
2016-05-07,93,76.0,,0.76,70.68
2016-05-08,97,76.0,,0.76,73.72
2016-05-09,88,76.0,,0.76,66.88
2016-05-10,88,76.0,,0.76,66.88
2016-05-11,89,76.0,,0.76,67.64
2016-05-12,93,76.0,,0.76,70.68
2016-05-13,94,76.0,,0.76,71.44
2016-05-14,98,76.0,,0.76,74.48
2016-05-15,99,76.0,,0.76,75.24
2016-05-16,90,76.0,,0.76,68.4
2016-05-17,85,76.0,,0.76,64.6
2016-05-18,89,76.0,,0.76,67.64
2016-05-19,91,76.0,,0.76,69.16
2016-05-20,93,76.0,,0.76,70.68
2016-05-21,97,76.0,,0.76,73.72
2016-05-22,98,76.0,,0.76,74.48
2016-05-23,87,76.0,,0.76,66.12
2016-05-24,88,76.0,,0.76,66.88
2016-05-25,88,76.0,,0.76,66.88
2016-05-26,87,76.0,,0.76,66.12
2016-05-27,89,76.0,,0.76,67.64
2016-05-28,95,76.0,,0.76,72.2
2016-05-29,100,76.0,,0.76,76.0
2016-05-30,93,76.0,,0.76,70.68
2016-05-31,89,76.0,,0.76,67.64
2016-06-01,82,76.0,False,0.76,62.32
2016-06-02,82,76.0,,0.76,62.32
2016-06-03,86,76.0,,0.76,65.36
2016-06-04,86,76.0,,0.76,65.36
2016-06-05,91,76.0,,0.76,69.16
2016-06-06,84,76.0,,0.76,63.84
2016-06-07,85,76.0,,0.76,64.6
2016-06-08,85,76.0,,0.76,64.6
2016-06-09,88,76.0,,0.76,66.88
2016-06-10,91,76.0,,0.76,69.16
2016-06-11,92,76.0,,0.76,69.92
2016-06-12,100,76.0,,0.76,76.0
2016-06-13,89,76.0,,0.76,67.64
2016-06-14,92,76.0,,0.76,69.92
2016-06-15,90,76.0,,0.76,68.4
2016-06-16,86,76.0,,0.76,65.36
2016-06-17,88,76.0,,0.76,66.88
2016-06-18,89,76.0,,0.76,67.64
2016-06-19,91,76.0,,0.76,69.16
2016-06-20,84,76.0,,0.76,63.84
2016-06-21,88,76.0,,0.76,66.88
2016-06-22,81,76.0,,0.76,61.56
2016-06-23,79,76.0,,0.76,60.04
2016-06-24,82,76.0,,0.76,62.32
2016-06-25,85,76.0,,0.76,64.6
2016-06-26,87,76.0,,0.76,66.12
2016-06-27,84,76.0,,0.76,63.84
2016-06-28,85,76.0,,0.76,64.6
2016-06-29,80,76.0,,0.76,60.8
2016-06-30,80,76.0,,0.76,60.8
2016-07-01,80,76.0,False,0.76,60.8
2016-07-02,83,76.0,,0.76,63.08
2016-07-03,84,76.0,,0.76,63.84
2016-07-04,82,76.0,,0.76,62.32
2016-07-05,83,76.0,,0.76,63.08
2016-07-06,85,76.0,,0.76,64.6
2016-07-07,86,76.0,,0.76,65.36
2016-07-08,79,76.0,,0.76,60.04
2016-07-09,87,76.0,,0.76,66.12
2016-07-10,89,76.0,,0.76,67.64
2016-07-11,86,76.0,,0.76,65.36
2016-07-12,86,76.0,,0.76,65.36
2016-07-13,85,76.0,,0.76,64.6
2016-07-14,80,76.0,,0.76,60.8
2016-07-15,81,76.0,,0.76,61.56
2016-07-16,84,76.0,,0.76,63.84
2016-07-17,88,76.0,,0.76,66.88
2016-07-18,85,76.0,,0.76,64.6
2016-07-19,88,76.0,,0.76,66.88
2016-07-20,87,76.0,,0.76,66.12
2016-07-21,85,76.0,,0.76,64.6
2016-07-22,86,76.0,,0.76,65.36
2016-07-23,91,76.0,,0.76,69.16
2016-07-24,92,76.0,,0.76,69.92
2016-07-25,83,76.0,,0.76,63.08
2016-07-26,100,76.0,,0.76,76.0
2016-07-27,100,76.0,,0.76,76.0
2016-07-28,92,76.0,,0.76,69.92
2016-07-29,90,76.0,,0.76,68.4
2016-07-30,91,76.0,,0.76,69.16
2016-07-31,90,76.0,,0.76,68.4
2016-08-01,52,75.0,False,0.75,39.0
2016-08-02,100,75.0,,0.75,75.0
2016-08-03,59,75.0,,0.75,44.25
2016-08-04,54,75.0,,0.75,40.5
2016-08-05,53,75.0,,0.75,39.75
2016-08-06,60,75.0,,0.75,45.0
2016-08-07,57,75.0,,0.75,42.75
2016-08-08,52,75.0,,0.75,39.0
2016-08-09,53,75.0,,0.75,39.75
2016-08-10,53,75.0,,0.75,39.75
2016-08-11,54,75.0,,0.75,40.5
2016-08-12,53,75.0,,0.75,39.75
2016-08-13,53,75.0,,0.75,39.75
