date,BEST_unscaled,BEST_monthly,isPartial,scale,BEST
2016-05-01,94,77.0,False,0.77,72.38
2016-05-02,78,77.0,,0.77,60.06
2016-05-03,79,77.0,,0.77,60.83
2016-05-04,76,77.0,,0.77,58.52
2016-05-05,74,77.0,,0.77,56.980000000000004
2016-05-06,78,77.0,,0.77,60.06
2016-05-07,86,77.0,,0.77,66.22
2016-05-08,90,77.0,,0.77,69.3
2016-05-09,79,77.0,,0.77,60.83
2016-05-10,81,77.0,,0.77,62.370000000000005
2016-05-11,75,77.0,,0.77,57.75
2016-05-12,79,77.0,,0.77,60.83
2016-05-13,77,77.0,,0.77,59.29
2016-05-14,91,77.0,,0.77,70.07000000000001
2016-05-15,96,77.0,,0.77,73.92
2016-05-16,81,77.0,,0.77,62.370000000000005
2016-05-17,79,77.0,,0.77,60.83
2016-05-18,79,77.0,,0.77,60.83
2016-05-19,77,77.0,,0.77,59.29
2016-05-20,78,77.0,,0.77,60.06
2016-05-21,90,77.0,,0.77,69.3
2016-05-22,95,77.0,,0.77,73.15
2016-05-23,79,77.0,,0.77,60.83
2016-05-24,81,77.0,,0.77,62.370000000000005
2016-05-25,77,77.0,,0.77,59.29
2016-05-26,80,77.0,,0.77,61.6
2016-05-27,81,77.0,,0.77,62.370000000000005
2016-05-28,91,77.0,,0.77,70.07000000000001
2016-05-29,96,77.0,,0.77,73.92
2016-05-30,100,77.0,,0.77,77.0
2016-05-31,79,77.0,,0.77,60.83
2016-06-01,81,80.0,False,0.8,64.8
2016-06-02,81,80.0,,0.8,64.8
2016-06-03,83,80.0,,0.8,66.4
2016-06-04,93,80.0,,0.8,74.4
2016-06-05,100,80.0,,0.8,80.0
2016-06-06,87,80.0,,0.8,69.60000000000001
2016-06-07,82,80.0,,0.8,65.60000000000001
2016-06-08,84,80.0,,0.8,67.2
2016-06-09,86,80.0,,0.8,68.8
2016-06-10,82,80.0,,0.8,65.60000000000001
2016-06-11,89,80.0,,0.8,71.2
2016-06-12,93,80.0,,0.8,74.4
2016-06-13,83,80.0,,0.8,66.4
2016-06-14,81,80.0,,0.8,64.8
2016-06-15,83,80.0,,0.8,66.4
2016-06-16,83,80.0,,0.8,66.4
2016-06-17,84,80.0,,0.8,67.2
2016-06-18,95,80.0,,0.8,76.0
2016-06-19,99,80.0,,0.8,79.2
2016-06-20,85,80.0,,0.8,68.0
2016-06-21,85,80.0,,0.8,68.0
2016-06-22,83,80.0,,0.8,66.4
2016-06-23,82,80.0,,0.8,65.60000000000001
2016-06-24,80,80.0,,0.8,64.0
2016-06-25,94,80.0,,0.8,75.2
2016-06-26,98,80.0,,0.8,78.4
2016-06-27,83,80.0,,0.8,66.4
2016-06-28,87,80.0,,0.8,69.60000000000001
2016-06-29,86,80.0,,0.8,68.8
2016-06-30,87,80.0,,0.8,69.60000000000001
2016-07-01,83,81.0,False,0.81,67.23
2016-07-02,93,81.0,,0.81,75.33
2016-07-03,98,81.0,,0.81,79.38000000000001
2016-07-04,99,81.0,,0.81,80.19000000000001
2016-07-05,84,81.0,,0.81,68.04
2016-07-06,85,81.0,,0.81,68.85000000000001
2016-07-07,82,81.0,,0.81,66.42
2016-07-08,81,81.0,,0.81,65.61
2016-07-09,93,81.0,,0.81,75.33
2016-07-10,97,81.0,,0.81,78.57000000000001
2016-07-11,85,81.0,,0.81,68.85000000000001
2016-07-12,87,81.0,,0.81,70.47
2016-07-13,84,81.0,,0.81,68.04
2016-07-14,80,81.0,,0.81,64.80000000000001
2016-07-15,83,81.0,,0.81,67.23
2016-07-16,90,81.0,,0.81,72.9
2016-07-17,100,81.0,,0.81,81.0
2016-07-18,88,81.0,,0.81,71.28
2016-07-19,85,81.0,,0.81,68.85000000000001
2016-07-20,84,81.0,,0.81,68.04
2016-07-21,85,81.0,,0.81,68.85000000000001
2016-07-22,81,81.0,,0.81,65.61
2016-07-23,93,81.0,,0.81,75.33
2016-07-24,99,81.0,,0.81,80.19000000000001
2016-07-25,85,81.0,,0.81,68.85000000000001
2016-07-26,86,81.0,,0.81,69.66000000000001
2016-07-27,81,81.0,,0.81,65.61
2016-07-28,80,81.0,,0.81,64.80000000000001
2016-07-29,82,81.0,,0.81,66.42
2016-07-30,95,81.0,,0.81,76.95
2016-07-31,100,81.0,,0.81,81.0
2016-08-01,86,79.0,False,0.79,67.94
2016-08-02,85,79.0,,0.79,67.15
2016-08-03,84,79.0,,0.79,66.36
2016-08-04,81,79.0,,0.79,63.99
2016-08-05,85,79.0,,0.79,67.15
2016-08-06,90,79.0,,0.79,71.10000000000001
2016-08-07,96,79.0,,0.79,75.84
2016-08-08,83,79.0,,0.79,65.57000000000001
2016-08-09,81,79.0,,0.79,63.99
2016-08-10,78,79.0,,0.79,61.620000000000005
2016-08-11,80,79.0,,0.79,63.2
