date,MF_unscaled,MF_monthly,isPartial,scale,MF
2016-06-10,85,13.0,,0.13,11.05
2016-06-11,76,13.0,,0.13,9.88
2016-06-12,85,13.0,,0.13,11.05
2016-06-13,86,13.0,,0.13,11.18
2016-06-14,81,13.0,,0.13,10.530000000000001
2016-06-15,77,13.0,,0.13,10.01
2016-06-16,87,13.0,,0.13,11.31
2016-06-17,73,13.0,,0.13,9.49
2016-06-18,100,13.0,,0.13,13.0
2016-06-19,69,13.0,,0.13,8.97
2016-06-20,69,13.0,,0.13,8.97
2016-06-21,78,13.0,,0.13,10.14
2016-06-22,68,13.0,,0.13,8.84
2016-06-23,84,13.0,,0.13,10.92
2016-06-24,73,13.0,,0.13,9.49
2016-06-25,81,13.0,,0.13,10.530000000000001
2016-06-26,79,13.0,,0.13,10.27
2016-06-27,78,13.0,,0.13,10.14
2016-06-28,82,13.0,,0.13,10.66
2016-06-29,81,13.0,,0.13,10.530000000000001
2016-06-30,74,13.0,,0.13,9.620000000000001
2016-07-01,95,13.0,False,0.13,12.35
2016-07-02,65,13.0,,0.13,8.450000000000001
2016-07-03,78,13.0,,0.13,10.14
2016-07-04,84,13.0,,0.13,10.92
2016-07-05,69,13.0,,0.13,8.97
2016-07-06,90,13.0,,0.13,11.700000000000001
2016-07-07,65,13.0,,0.13,8.450000000000001
2016-07-08,84,13.0,,0.13,10.92
2016-07-09,86,13.0,,0.13,11.18
2016-07-10,76,13.0,,0.13,9.88
2016-07-11,74,13.0,,0.13,9.620000000000001
2016-07-12,70,13.0,,0.13,9.1
2016-07-13,76,13.0,,0.13,9.88
2016-07-14,86,13.0,,0.13,11.18
2016-07-15,82,13.0,,0.13,10.66
2016-07-16,90,13.0,,0.13,11.700000000000001
2016-07-17,83,13.0,,0.13,10.790000000000001
2016-07-18,91,13.0,,0.13,11.83
2016-07-19,76,13.0,,0.13,9.88
2016-07-20,74,13.0,,0.13,9.620000000000001
2016-07-21,84,13.0,,0.13,10.92
2016-07-22,94,13.0,,0.13,12.22
2016-07-23,75,13.0,,0.13,9.75
2016-07-24,68,13.0,,0.13,8.84
2016-07-25,79,13.0,,0.13,10.27
2016-07-26,100,13.0,,0.13,13.0
2016-07-27,80,13.0,,0.13,10.4
2016-07-28,81,13.0,,0.13,10.530000000000001
2016-07-29,82,13.0,,0.13,10.66
2016-07-30,81,13.0,,0.13,10.530000000000001
2016-07-31,68,13.0,,0.13,8.84
2016-08-01,97,11.0,False,0.11,10.67
2016-08-02,65,11.0,,0.11,7.15
2016-08-03,90,11.0,,0.11,9.9
2016-08-04,70,11.0,,0.11,7.7
2016-08-05,97,11.0,,0.11,10.67
2016-08-06,77,11.0,,0.11,8.47
2016-08-07,89,11.0,,0.11,9.790000000000001
2016-08-08,72,11.0,,0.11,7.92
2016-08-09,77,11.0,,0.11,8.47
2016-08-10,55,11.0,,0.11,6.05
2016-08-11,73,11.0,,0.11,8.03
2016-08-12,100,11.0,,0.11,11.0
2016-08-13,96,11.0,,0.11,10.56
2016-08-14,65,11.0,,0.11,7.15
2016-08-15,86,11.0,,0.11,9.46
2016-08-16,87,11.0,,0.11,9.57
2016-08-17,97,11.0,,0.11,10.67
