date,GOOGL_unscaled,GOOGL_monthly,isPartial,scale,GOOGL
2016-05-01,47,89.0,False,0.89,41.83
2016-05-02,83,89.0,,0.89,73.87
2016-05-03,85,89.0,,0.89,75.65
2016-05-04,86,89.0,,0.89,76.54
2016-05-05,97,89.0,,0.89,86.33
2016-05-06,83,89.0,,0.89,73.87
2016-05-07,55,89.0,,0.89,48.95
2016-05-08,54,89.0,,0.89,48.06
2016-05-09,95,89.0,,0.89,84.55
2016-05-10,84,89.0,,0.89,74.76
2016-05-11,90,89.0,,0.89,80.1
2016-05-12,88,89.0,,0.89,78.32000000000001
2016-05-13,86,89.0,,0.89,76.54
2016-05-14,50,89.0,,0.89,44.5
2016-05-15,47,89.0,,0.89,41.83
2016-05-16,82,89.0,,0.89,72.98
2016-05-17,84,89.0,,0.89,74.76
2016-05-18,100,89.0,,0.89,89.0
2016-05-19,83,89.0,,0.89,73.87
2016-05-20,70,89.0,,0.89,62.300000000000004
2016-05-21,53,89.0,,0.89,47.17
2016-05-22,41,89.0,,0.89,36.49
2016-05-23,75,89.0,,0.89,66.75
2016-05-24,81,89.0,,0.89,72.09
2016-05-25,88,89.0,,0.89,78.32000000000001
2016-05-26,85,89.0,,0.89,75.65
2016-05-27,87,89.0,,0.89,77.43
2016-05-28,47,89.0,,0.89,41.83
2016-05-29,49,89.0,,0.89,43.61
2016-05-30,43,89.0,,0.89,38.27
2016-05-31,70,89.0,,0.89,62.300000000000004
2016-06-01,91,67.0,False,0.67,60.970000000000006
2016-06-02,94,67.0,,0.67,62.980000000000004
2016-06-03,93,67.0,,0.67,62.31
2016-06-04,71,67.0,,0.67,47.57
2016-06-05,65,67.0,,0.67,43.550000000000004
2016-06-06,100,67.0,,0.67,67.0
2016-06-07,94,67.0,,0.67,62.980000000000004
2016-06-08,94,67.0,,0.67,62.980000000000004
2016-06-09,83,67.0,,0.67,55.61000000000001
2016-06-10,83,67.0,,0.67,55.61000000000001
2016-06-11,51,67.0,,0.67,34.17
2016-06-12,56,67.0,,0.67,37.52
2016-06-13,74,67.0,,0.67,49.580000000000005
2016-06-14,82,67.0,,0.67,54.940000000000005
2016-06-15,79,67.0,,0.67,52.93
