date,ES_unscaled,ES_monthly,isPartial,scale,ES
2017-02-26,88,66.0,,0.66,58.080000000000005
2017-02-27,84,66.0,,0.66,55.440000000000005
2017-02-28,92,66.0,,0.66,60.720000000000006
2017-03-01,93,64.0,False,0.64,59.52
2017-03-02,93,64.0,,0.64,59.52
2017-03-03,95,64.0,,0.64,60.800000000000004
2017-03-04,93,64.0,,0.64,59.52
2017-03-05,95,64.0,,0.64,60.800000000000004
2017-03-06,90,64.0,,0.64,57.6
2017-03-07,94,64.0,,0.64,60.160000000000004
2017-03-08,99,64.0,,0.64,63.36
2017-03-09,97,64.0,,0.64,62.08
2017-03-10,93,64.0,,0.64,59.52
2017-03-11,96,64.0,,0.64,61.44
2017-03-12,100,64.0,,0.64,64.0
2017-03-13,93,64.0,,0.64,59.52
2017-03-14,93,64.0,,0.64,59.52
2017-03-15,93,64.0,,0.64,59.52
2017-03-16,95,64.0,,0.64,60.800000000000004
2017-03-17,96,64.0,,0.64,61.44
2017-03-18,96,64.0,,0.64,61.44
2017-03-19,96,64.0,,0.64,61.44
2017-03-20,92,64.0,,0.64,58.88
2017-03-21,95,64.0,,0.64,60.800000000000004
2017-03-22,96,64.0,,0.64,61.44
2017-03-23,95,64.0,,0.64,60.800000000000004
2017-03-24,95,64.0,,0.64,60.800000000000004
2017-03-25,95,64.0,,0.64,60.800000000000004
2017-03-26,92,64.0,,0.64,58.88
2017-03-27,91,64.0,,0.64,58.24
2017-03-28,95,64.0,,0.64,60.800000000000004
2017-03-29,96,64.0,,0.64,61.44
2017-03-30,96,64.0,,0.64,61.44
2017-03-31,92,64.0,,0.64,58.88
2017-04-01,98,61.0,False,0.61,59.78
2017-04-02,99,61.0,,0.61,60.39
2017-04-03,92,61.0,,0.61,56.12
2017-04-04,96,61.0,,0.61,58.56
2017-04-05,95,61.0,,0.61,57.949999999999996
2017-04-06,98,61.0,,0.61,59.78
2017-04-07,92,61.0,,0.61,56.12
2017-04-08,97,61.0,,0.61,59.17
2017-04-09,98,61.0,,0.61,59.78
2017-04-10,92,61.0,,0.61,56.12
2017-04-11,93,61.0,,0.61,56.73
2017-04-12,93,61.0,,0.61,56.73
2017-04-13,89,61.0,,0.61,54.29
2017-04-14,89,61.0,,0.61,54.29
2017-04-15,98,61.0,,0.61,59.78
2017-04-16,96,61.0,,0.61,58.56
2017-04-17,89,61.0,,0.61,54.29
2017-04-18,94,61.0,,0.61,57.339999999999996
2017-04-19,93,61.0,,0.61,56.73
2017-04-20,91,61.0,,0.61,55.51
2017-04-21,96,61.0,,0.61,58.56
2017-04-22,99,61.0,,0.61,60.39
2017-04-23,100,61.0,,0.61,61.0
2017-04-24,90,61.0,,0.61,54.9
2017-04-25,95,61.0,,0.61,57.949999999999996
2017-04-26,96,61.0,,0.61,58.56
2017-04-27,95,61.0,,0.61,57.949999999999996
2017-04-28,94,61.0,,0.61,57.339999999999996
2017-04-29,91,61.0,,0.61,55.51
2017-04-30,95,61.0,,0.61,57.949999999999996
2017-05-01,82,62.0,False,0.62,50.839999999999996
2017-05-02,86,62.0,,0.62,53.32
2017-05-03,91,62.0,,0.62,56.42
2017-05-04,90,62.0,,0.62,55.8
2017-05-05,96,62.0,,0.62,59.519999999999996
2017-05-06,95,62.0,,0.62,58.9
2017-05-07,100,62.0,,0.62,62.0
2017-05-08,88,62.0,,0.62,54.56
2017-05-09,89,62.0,,0.62,55.18
2017-05-10,90,62.0,,0.62,55.8
2017-05-11,87,62.0,,0.62,53.94
2017-05-12,87,62.0,,0.62,53.94
2017-05-13,89,62.0,,0.62,55.18
2017-05-14,89,62.0,,0.62,55.18
2017-05-15,85,62.0,,0.62,52.7
2017-05-16,94,62.0,,0.62,58.28
2017-05-17,90,62.0,,0.62,55.8
2017-05-18,94,62.0,,0.62,58.28
2017-05-19,93,62.0,,0.62,57.66
2017-05-20,92,62.0,,0.62,57.04
2017-05-21,96,62.0,,0.62,59.519999999999996
2017-05-22,91,62.0,,0.62,56.42
2017-05-23,91,62.0,,0.62,56.42
2017-05-24,88,62.0,,0.62,54.56
2017-05-25,92,62.0,,0.62,57.04
2017-05-26,93,62.0,,0.62,57.66
2017-05-27,95,62.0,,0.62,58.9
2017-05-28,91,62.0,,0.62,56.42
2017-05-29,90,62.0,,0.62,55.8
2017-05-30,91,62.0,,0.62,56.42
2017-05-31,89,62.0,,0.62,55.18
2017-06-01,94,62.0,False,0.62,58.28
2017-06-02,90,62.0,,0.62,55.8
2017-06-03,95,62.0,,0.62,58.9
2017-06-04,93,62.0,,0.62,57.66
2017-06-05,86,62.0,,0.62,53.32
2017-06-06,91,62.0,,0.62,56.42
2017-06-07,92,62.0,,0.62,57.04
2017-06-08,93,62.0,,0.62,57.66
2017-06-09,94,62.0,,0.62,58.28
2017-06-10,98,62.0,,0.62,60.76
2017-06-11,96,62.0,,0.62,59.519999999999996
2017-06-12,89,62.0,,0.62,55.18
2017-06-13,94,62.0,,0.62,58.28
2017-06-14,93,62.0,,0.62,57.66
2017-06-15,94,62.0,,0.62,58.28
2017-06-16,94,62.0,,0.62,58.28
2017-06-17,97,62.0,,0.62,60.14
2017-06-18,100,62.0,,0.62,62.0
2017-06-19,86,62.0,,0.62,53.32
2017-06-20,90,62.0,,0.62,55.8
2017-06-21,95,62.0,,0.62,58.9
2017-06-22,90,62.0,,0.62,55.8
2017-06-23,87,62.0,,0.62,53.94
2017-06-24,95,62.0,,0.62,58.9
2017-06-25,97,62.0,,0.62,60.14
2017-06-26,90,62.0,,0.62,55.8
2017-06-27,89,62.0,,0.62,55.18
2017-06-28,90,62.0,,0.62,55.8
2017-06-29,91,62.0,,0.62,56.42
2017-06-30,90,62.0,,0.62,55.8
2017-07-01,97,60.0,False,0.6,58.199999999999996
2017-07-02,98,60.0,,0.6,58.8
2017-07-03,92,60.0,,0.6,55.199999999999996
2017-07-04,98,60.0,,0.6,58.8
2017-07-05,89,60.0,,0.6,53.4
2017-07-06,90,60.0,,0.6,54.0
2017-07-07,92,60.0,,0.6,55.199999999999996
2017-07-08,97,60.0,,0.6,58.199999999999996
2017-07-09,98,60.0,,0.6,58.8
2017-07-10,90,60.0,,0.6,54.0
2017-07-11,92,60.0,,0.6,55.199999999999996
2017-07-12,93,60.0,,0.6,55.8
2017-07-13,94,60.0,,0.6,56.4
2017-07-14,93,60.0,,0.6,55.8
2017-07-15,96,60.0,,0.6,57.599999999999994
2017-07-16,97,60.0,,0.6,58.199999999999996
2017-07-17,89,60.0,,0.6,53.4
2017-07-18,92,60.0,,0.6,55.199999999999996
2017-07-19,95,60.0,,0.6,57.0
2017-07-20,91,60.0,,0.6,54.6
2017-07-21,93,60.0,,0.6,55.8
2017-07-22,95,60.0,,0.6,57.0
2017-07-23,97,60.0,,0.6,58.199999999999996
2017-07-24,92,60.0,,0.6,55.199999999999996
2017-07-25,95,60.0,,0.6,57.0
2017-07-26,92,60.0,,0.6,55.199999999999996
2017-07-27,89,60.0,,0.6,53.4
2017-07-28,95,60.0,,0.6,57.0
2017-07-29,100,60.0,,0.6,60.0
2017-07-30,99,60.0,,0.6,59.4
2017-07-31,89,60.0,,0.6,53.4
2017-08-01,85,65.0,False,0.65,55.25
2017-08-02,88,65.0,,0.65,57.2
2017-08-03,87,65.0,,0.65,56.550000000000004
2017-08-04,90,65.0,,0.65,58.5
2017-08-05,86,65.0,,0.65,55.9
2017-08-06,87,65.0,,0.65,56.550000000000004
2017-08-07,84,65.0,,0.65,54.6
2017-08-08,85,65.0,,0.65,55.25
2017-08-09,89,65.0,,0.65,57.85
2017-08-10,88,65.0,,0.65,57.2
2017-08-11,86,65.0,,0.65,55.9
2017-08-12,90,65.0,,0.65,58.5
2017-08-13,90,65.0,,0.65,58.5
2017-08-14,82,65.0,,0.65,53.300000000000004
2017-08-15,88,65.0,,0.65,57.2
2017-08-16,89,65.0,,0.65,57.85
2017-08-17,90,65.0,,0.65,58.5
2017-08-18,90,65.0,,0.65,58.5
2017-08-19,92,65.0,,0.65,59.800000000000004
2017-08-20,92,65.0,,0.65,59.800000000000004
2017-08-21,100,65.0,,0.65,65.0
2017-08-22,89,65.0,,0.65,57.85
2017-08-23,92,65.0,,0.65,59.800000000000004
2017-08-24,92,65.0,,0.65,59.800000000000004
2017-08-25,92,65.0,,0.65,59.800000000000004
2017-08-26,92,65.0,,0.65,59.800000000000004
2017-08-27,90,65.0,,0.65,58.5
2017-08-28,86,65.0,,0.65,55.9
2017-08-29,87,65.0,,0.65,56.550000000000004
2017-08-30,91,65.0,,0.65,59.15
2017-08-31,90,65.0,,0.65,58.5
2017-09-01,94,65.0,False,0.65,61.1
2017-09-02,93,65.0,,0.65,60.45
2017-09-03,94,65.0,,0.65,61.1
2017-09-04,94,65.0,,0.65,61.1
2017-09-05,90,65.0,,0.65,58.5
2017-09-06,90,65.0,,0.65,58.5
2017-09-07,91,65.0,,0.65,59.15
2017-09-08,87,65.0,,0.65,56.550000000000004
2017-09-09,91,65.0,,0.65,59.15
2017-09-10,84,65.0,,0.65,54.6
2017-09-11,82,65.0,,0.65,53.300000000000004
2017-09-12,90,65.0,,0.65,58.5
2017-09-13,92,65.0,,0.65,59.800000000000004
2017-09-14,94,65.0,,0.65,61.1
2017-09-15,96,65.0,,0.65,62.400000000000006
2017-09-16,95,65.0,,0.65,61.75
2017-09-17,100,65.0,,0.65,65.0
2017-09-18,89,65.0,,0.65,57.85
2017-09-19,96,65.0,,0.65,62.400000000000006
2017-09-20,90,65.0,,0.65,58.5
2017-09-21,96,65.0,,0.65,62.400000000000006
2017-09-22,94,65.0,,0.65,61.1
2017-09-23,91,65.0,,0.65,59.15
2017-09-24,88,65.0,,0.65,57.2
2017-09-25,91,65.0,,0.65,59.15
2017-09-26,94,65.0,,0.65,61.1
2017-09-27,96,65.0,,0.65,62.400000000000006
2017-09-28,93,65.0,,0.65,60.45
2017-09-29,93,65.0,,0.65,60.45
2017-09-30,94,65.0,,0.65,61.1
2017-10-01,93,66.0,False,0.66,61.38
2017-10-02,89,66.0,,0.66,58.74
2017-10-03,91,66.0,,0.66,60.06
2017-10-04,96,66.0,,0.66,63.36
2017-10-05,99,66.0,,0.66,65.34
2017-10-06,97,66.0,,0.66,64.02
2017-10-07,93,66.0,,0.66,61.38
2017-10-08,98,66.0,,0.66,64.68
2017-10-09,92,66.0,,0.66,60.720000000000006
2017-10-10,93,66.0,,0.66,61.38
2017-10-11,93,66.0,,0.66,61.38
2017-10-12,98,66.0,,0.66,64.68
2017-10-13,93,66.0,,0.66,61.38
2017-10-14,92,66.0,,0.66,60.720000000000006
2017-10-15,91,66.0,,0.66,60.06
2017-10-16,92,66.0,,0.66,60.720000000000006
2017-10-17,97,66.0,,0.66,64.02
2017-10-18,97,66.0,,0.66,64.02
2017-10-19,100,66.0,,0.66,66.0
2017-10-20,98,66.0,,0.66,64.68
2017-10-21,96,66.0,,0.66,63.36
2017-10-22,96,66.0,,0.66,63.36
2017-10-23,93,66.0,,0.66,61.38
2017-10-24,96,66.0,,0.66,63.36
2017-10-25,97,66.0,,0.66,64.02
2017-10-26,97,66.0,,0.66,64.02
2017-10-27,96,66.0,,0.66,63.36
2017-10-28,95,66.0,,0.66,62.7
2017-10-29,100,66.0,,0.66,66.0
2017-10-30,94,66.0,,0.66,62.040000000000006
2017-10-31,96,66.0,,0.66,63.36
2017-11-01,92,65.0,False,0.65,59.800000000000004
2017-11-02,90,65.0,,0.65,58.5
2017-11-03,91,65.0,,0.65,59.15
2017-11-04,97,65.0,,0.65,63.050000000000004
2017-11-05,100,65.0,,0.65,65.0
2017-11-06,92,65.0,,0.65,59.800000000000004
2017-11-07,93,65.0,,0.65,60.45
2017-11-08,91,65.0,,0.65,59.15
2017-11-09,94,65.0,,0.65,61.1
2017-11-10,97,65.0,,0.65,63.050000000000004
2017-11-11,95,65.0,,0.65,61.75
2017-11-12,94,65.0,,0.65,61.1
2017-11-13,89,65.0,,0.65,57.85
2017-11-14,95,65.0,,0.65,61.75
2017-11-15,94,65.0,,0.65,61.1
2017-11-16,91,65.0,,0.65,59.15
2017-11-17,93,65.0,,0.65,60.45
2017-11-18,91,65.0,,0.65,59.15
2017-11-19,91,65.0,,0.65,59.15
2017-11-20,86,65.0,,0.65,55.9
2017-11-21,91,65.0,,0.65,59.15
2017-11-22,91,65.0,,0.65,59.15
2017-11-23,89,65.0,,0.65,57.85
2017-11-24,83,65.0,,0.65,53.95
2017-11-25,88,65.0,,0.65,57.2
2017-11-26,93,65.0,,0.65,60.45
2017-11-27,85,65.0,,0.65,55.25
2017-11-28,92,65.0,,0.65,59.800000000000004
2017-11-29,95,65.0,,0.65,61.75
2017-11-30,94,65.0,,0.65,61.1
2017-12-01,96,59.0,False,0.59,56.64
2017-12-02,100,59.0,,0.59,59.0
2017-12-03,99,59.0,,0.59,58.41
2017-12-04,95,59.0,,0.59,56.05
2017-12-05,93,59.0,,0.59,54.87
2017-12-06,94,59.0,,0.59,55.459999999999994
2017-12-07,97,59.0,,0.59,57.23
2017-12-08,93,59.0,,0.59,54.87
2017-12-09,99,59.0,,0.59,58.41
2017-12-10,97,59.0,,0.59,57.23
2017-12-11,89,59.0,,0.59,52.51
2017-12-12,94,59.0,,0.59,55.459999999999994
2017-12-13,90,59.0,,0.59,53.099999999999994
2017-12-14,91,59.0,,0.59,53.69
2017-12-15,93,59.0,,0.59,54.87
2017-12-16,89,59.0,,0.59,52.51
2017-12-17,91,59.0,,0.59,53.69
2017-12-18,85,59.0,,0.59,50.15
2017-12-19,89,59.0,,0.59,52.51
2017-12-20,92,59.0,,0.59,54.279999999999994
2017-12-21,92,59.0,,0.59,54.279999999999994
2017-12-22,85,59.0,,0.59,50.15
2017-12-23,90,59.0,,0.59,53.099999999999994
2017-12-24,88,59.0,,0.59,51.919999999999995
2017-12-25,82,59.0,,0.59,48.379999999999995
2017-12-26,86,59.0,,0.59,50.739999999999995
2017-12-27,87,59.0,,0.59,51.33
2017-12-28,93,59.0,,0.59,54.87
2017-12-29,90,59.0,,0.59,53.099999999999994
