date,ES_unscaled,ES_monthly,isPartial,scale,ES
2016-05-01,91,63.0,False,0.63,57.33
2016-05-02,88,63.0,,0.63,55.44
2016-05-03,94,63.0,,0.63,59.22
2016-05-04,99,63.0,,0.63,62.37
2016-05-05,100,63.0,,0.63,63.0
2016-05-06,92,63.0,,0.63,57.96
2016-05-07,92,63.0,,0.63,57.96
2016-05-08,92,63.0,,0.63,57.96
2016-05-09,88,63.0,,0.63,55.44
2016-05-10,91,63.0,,0.63,57.33
2016-05-11,91,63.0,,0.63,57.33
2016-05-12,96,63.0,,0.63,60.480000000000004
2016-05-13,95,63.0,,0.63,59.85
2016-05-14,96,63.0,,0.63,60.480000000000004
2016-05-15,97,63.0,,0.63,61.11
2016-05-16,91,63.0,,0.63,57.33
2016-05-17,96,63.0,,0.63,60.480000000000004
2016-05-18,96,63.0,,0.63,60.480000000000004
2016-05-19,96,63.0,,0.63,60.480000000000004
2016-05-20,92,63.0,,0.63,57.96
2016-05-21,98,63.0,,0.63,61.74
2016-05-22,99,63.0,,0.63,62.37
2016-05-23,90,63.0,,0.63,56.7
2016-05-24,92,63.0,,0.63,57.96
2016-05-25,97,63.0,,0.63,61.11
2016-05-26,95,63.0,,0.63,59.85
2016-05-27,97,63.0,,0.63,61.11
2016-05-28,96,63.0,,0.63,60.480000000000004
2016-05-29,98,63.0,,0.63,61.74
2016-05-30,99,63.0,,0.63,62.37
2016-05-31,95,63.0,,0.63,59.85
2016-06-01,91,62.0,False,0.62,56.42
2016-06-02,92,62.0,,0.62,57.04
2016-06-03,95,62.0,,0.62,58.9
2016-06-04,91,62.0,,0.62,56.42
2016-06-05,97,62.0,,0.62,60.14
2016-06-06,90,62.0,,0.62,55.8
2016-06-07,90,62.0,,0.62,55.8
2016-06-08,97,62.0,,0.62,60.14
2016-06-09,91,62.0,,0.62,56.42
2016-06-10,96,62.0,,0.62,59.519999999999996
2016-06-11,95,62.0,,0.62,58.9
2016-06-12,100,62.0,,0.62,62.0
2016-06-13,88,62.0,,0.62,54.56
2016-06-14,93,62.0,,0.62,57.66
2016-06-15,96,62.0,,0.62,59.519999999999996
2016-06-16,92,62.0,,0.62,57.04
2016-06-17,98,62.0,,0.62,60.76
2016-06-18,97,62.0,,0.62,60.14
2016-06-19,100,62.0,,0.62,62.0
2016-06-20,84,62.0,,0.62,52.08
2016-06-21,90,62.0,,0.62,55.8
2016-06-22,93,62.0,,0.62,57.66
2016-06-23,94,62.0,,0.62,58.28
2016-06-24,93,62.0,,0.62,57.66
2016-06-25,96,62.0,,0.62,59.519999999999996
2016-06-26,97,62.0,,0.62,60.14
2016-06-27,89,62.0,,0.62,55.18
2016-06-28,89,62.0,,0.62,55.18
2016-06-29,92,62.0,,0.62,57.04
2016-06-30,94,62.0,,0.62,58.28
2016-07-01,94,57.0,False,0.57,53.58
2016-07-02,92,57.0,,0.57,52.44
2016-07-03,96,57.0,,0.57,54.72
2016-07-04,99,57.0,,0.57,56.42999999999999
2016-07-05,88,57.0,,0.57,50.16
2016-07-06,94,57.0,,0.57,53.58
2016-07-07,98,57.0,,0.57,55.85999999999999
2016-07-08,95,57.0,,0.57,54.15
2016-07-09,95,57.0,,0.57,54.15
2016-07-10,99,57.0,,0.57,56.42999999999999
2016-07-11,91,57.0,,0.57,51.87
2016-07-12,94,57.0,,0.57,53.58
2016-07-13,95,57.0,,0.57,54.15
2016-07-14,93,57.0,,0.57,53.01
2016-07-15,91,57.0,,0.57,51.87
2016-07-16,94,57.0,,0.57,53.58
2016-07-17,98,57.0,,0.57,55.85999999999999
2016-07-18,96,57.0,,0.57,54.72
2016-07-19,95,57.0,,0.57,54.15
2016-07-20,95,57.0,,0.57,54.15
2016-07-21,95,57.0,,0.57,54.15
2016-07-22,94,57.0,,0.57,53.58
2016-07-23,96,57.0,,0.57,54.72
2016-07-24,89,57.0,,0.57,50.73
2016-07-25,89,57.0,,0.57,50.73
2016-07-26,95,57.0,,0.57,54.15
2016-07-27,92,57.0,,0.57,52.44
2016-07-28,95,57.0,,0.57,54.15
2016-07-29,94,57.0,,0.57,53.58
2016-07-30,98,57.0,,0.57,55.85999999999999
2016-07-31,100,57.0,,0.57,56.99999999999999
2016-08-01,87,57.0,False,0.57,49.589999999999996
2016-08-02,88,57.0,,0.57,50.16
2016-08-03,93,57.0,,0.57,53.01
2016-08-04,90,57.0,,0.57,51.3
2016-08-05,85,57.0,,0.57,48.449999999999996
2016-08-06,85,57.0,,0.57,48.449999999999996
2016-08-07,84,57.0,,0.57,47.879999999999995
2016-08-08,80,57.0,,0.57,45.599999999999994
2016-08-09,81,57.0,,0.57,46.169999999999995
2016-08-10,87,57.0,,0.57,49.589999999999996
2016-08-11,84,57.0,,0.57,47.879999999999995
2016-08-12,80,57.0,,0.57,45.599999999999994
2016-08-13,84,57.0,,0.57,47.879999999999995
2016-08-14,83,57.0,,0.57,47.309999999999995
2016-08-15,82,57.0,,0.57,46.739999999999995
2016-08-16,86,57.0,,0.57,49.019999999999996
2016-08-17,86,57.0,,0.57,49.019999999999996
2016-08-18,88,57.0,,0.57,50.16
2016-08-19,89,57.0,,0.57,50.73
2016-08-20,84,57.0,,0.57,47.879999999999995
2016-08-21,89,57.0,,0.57,50.73
2016-08-22,83,57.0,,0.57,47.309999999999995
2016-08-23,91,57.0,,0.57,51.87
2016-08-24,96,57.0,,0.57,54.72
2016-08-25,96,57.0,,0.57,54.72
2016-08-26,98,57.0,,0.57,55.85999999999999
2016-08-27,94,57.0,,0.57,53.58
2016-08-28,100,57.0,,0.57,56.99999999999999
2016-08-29,96,57.0,,0.57,54.72
2016-08-30,98,57.0,,0.57,55.85999999999999
2016-08-31,99,57.0,,0.57,56.42999999999999
2016-09-01,95,65.0,False,0.65,61.75
2016-09-02,89,65.0,,0.65,57.85
2016-09-03,95,65.0,,0.65,61.75
2016-09-04,94,65.0,,0.65,61.1
2016-09-05,98,65.0,,0.65,63.7
2016-09-06,94,65.0,,0.65,61.1
2016-09-07,96,65.0,,0.65,62.400000000000006
2016-09-08,98,65.0,,0.65,63.7
2016-09-09,94,65.0,,0.65,61.1
2016-09-10,92,65.0,,0.65,59.800000000000004
2016-09-11,92,65.0,,0.65,59.800000000000004
2016-09-12,90,65.0,,0.65,58.5
2016-09-13,95,65.0,,0.65,61.75
2016-09-14,100,65.0,,0.65,65.0
2016-09-15,96,65.0,,0.65,62.400000000000006
2016-09-16,95,65.0,,0.65,61.75
2016-09-17,90,65.0,,0.65,58.5
2016-09-18,89,65.0,,0.65,57.85
2016-09-19,92,65.0,,0.65,59.800000000000004
2016-09-20,95,65.0,,0.65,61.75
2016-09-21,95,65.0,,0.65,61.75
2016-09-22,93,65.0,,0.65,60.45
2016-09-23,93,65.0,,0.65,60.45
2016-09-24,91,65.0,,0.65,59.15
2016-09-25,94,65.0,,0.65,61.1
2016-09-26,90,65.0,,0.65,58.5
2016-09-27,94,65.0,,0.65,61.1
2016-09-28,94,65.0,,0.65,61.1
2016-09-29,95,65.0,,0.65,61.75
2016-09-30,98,65.0,,0.65,63.7
2016-10-01,94,63.0,False,0.63,59.22
2016-10-02,99,63.0,,0.63,62.37
2016-10-03,91,63.0,,0.63,57.33
2016-10-04,95,63.0,,0.63,59.85
2016-10-05,95,63.0,,0.63,59.85
2016-10-06,96,63.0,,0.63,60.480000000000004
2016-10-07,93,63.0,,0.63,58.59
2016-10-08,92,63.0,,0.63,57.96
2016-10-09,97,63.0,,0.63,61.11
2016-10-10,89,63.0,,0.63,56.07
2016-10-11,96,63.0,,0.63,60.480000000000004
2016-10-12,98,63.0,,0.63,61.74
2016-10-13,95,63.0,,0.63,59.85
2016-10-14,98,63.0,,0.63,61.74
2016-10-15,97,63.0,,0.63,61.11
2016-10-16,94,63.0,,0.63,59.22
2016-10-17,95,63.0,,0.63,59.85
2016-10-18,97,63.0,,0.63,61.11
2016-10-19,100,63.0,,0.63,63.0
2016-10-20,96,63.0,,0.63,60.480000000000004
2016-10-21,96,63.0,,0.63,60.480000000000004
2016-10-22,96,63.0,,0.63,60.480000000000004
2016-10-23,93,63.0,,0.63,58.59
2016-10-24,93,63.0,,0.63,58.59
2016-10-25,98,63.0,,0.63,61.74
2016-10-26,95,63.0,,0.63,59.85
2016-10-27,97,63.0,,0.63,61.11
2016-10-28,97,63.0,,0.63,61.11
2016-10-29,93,63.0,,0.63,58.59
2016-10-30,97,63.0,,0.63,61.11
2016-10-31,93,63.0,,0.63,58.59
2016-11-01,98,62.0,False,0.62,60.76
2016-11-02,97,62.0,,0.62,60.14
2016-11-03,95,62.0,,0.62,58.9
2016-11-04,95,62.0,,0.62,58.9
2016-11-05,94,62.0,,0.62,58.28
2016-11-06,97,62.0,,0.62,60.14
2016-11-07,92,62.0,,0.62,57.04
2016-11-08,92,62.0,,0.62,57.04
2016-11-09,92,62.0,,0.62,57.04
2016-11-10,100,62.0,,0.62,62.0
2016-11-11,100,62.0,,0.62,62.0
2016-11-12,99,62.0,,0.62,61.38
2016-11-13,99,62.0,,0.62,61.38
2016-11-14,92,62.0,,0.62,57.04
2016-11-15,99,62.0,,0.62,61.38
2016-11-16,100,62.0,,0.62,62.0
2016-11-17,99,62.0,,0.62,61.38
2016-11-18,98,62.0,,0.62,60.76
2016-11-19,93,62.0,,0.62,57.66
2016-11-20,95,62.0,,0.62,58.9
2016-11-21,90,62.0,,0.62,55.8
2016-11-22,95,62.0,,0.62,58.9
2016-11-23,94,62.0,,0.62,58.28
2016-11-24,98,62.0,,0.62,60.76
2016-11-25,84,62.0,,0.62,52.08
2016-11-26,88,62.0,,0.62,54.56
2016-11-27,98,62.0,,0.62,60.76
2016-11-28,87,62.0,,0.62,53.94
2016-11-29,92,62.0,,0.62,57.04
2016-11-30,99,62.0,,0.62,61.38
2016-12-01,97,59.0,False,0.59,57.23
2016-12-02,94,59.0,,0.59,55.459999999999994
2016-12-03,99,59.0,,0.59,58.41
2016-12-04,100,59.0,,0.59,59.0
2016-12-05,96,59.0,,0.59,56.64
2016-12-06,95,59.0,,0.59,56.05
2016-12-07,100,59.0,,0.59,59.0
2016-12-08,97,59.0,,0.59,57.23
2016-12-09,95,59.0,,0.59,56.05
2016-12-10,93,59.0,,0.59,54.87
2016-12-11,92,59.0,,0.59,54.279999999999994
2016-12-12,91,59.0,,0.59,53.69
2016-12-13,92,59.0,,0.59,54.279999999999994
2016-12-14,94,59.0,,0.59,55.459999999999994
2016-12-15,91,59.0,,0.59,53.69
2016-12-16,92,59.0,,0.59,54.279999999999994
2016-12-17,93,59.0,,0.59,54.87
2016-12-18,92,59.0,,0.59,54.279999999999994
2016-12-19,85,59.0,,0.59,50.15
2016-12-20,91,59.0,,0.59,53.69
2016-12-21,89,59.0,,0.59,52.51
2016-12-22,87,59.0,,0.59,51.33
2016-12-23,84,59.0,,0.59,49.559999999999995
2016-12-24,88,59.0,,0.59,51.919999999999995
2016-12-25,85,59.0,,0.59,50.15
2016-12-26,86,59.0,,0.59,50.739999999999995
2016-12-27,88,59.0,,0.59,51.919999999999995
2016-12-28,91,59.0,,0.59,53.69
2016-12-29,91,59.0,,0.59,53.69
2016-12-30,92,59.0,,0.59,54.279999999999994
2016-12-31,88,59.0,,0.59,51.919999999999995
2017-01-01,78,63.0,False,0.63,49.14
2017-01-02,82,63.0,,0.63,51.660000000000004
2017-01-03,87,63.0,,0.63,54.81
2017-01-04,87,63.0,,0.63,54.81
2017-01-05,89,63.0,,0.63,56.07
2017-01-06,87,63.0,,0.63,54.81
2017-01-07,91,63.0,,0.63,57.33
2017-01-08,93,63.0,,0.63,58.59
2017-01-09,83,63.0,,0.63,52.29
2017-01-10,89,63.0,,0.63,56.07
2017-01-11,95,63.0,,0.63,59.85
2017-01-12,95,63.0,,0.63,59.85
2017-01-13,96,63.0,,0.63,60.480000000000004
2017-01-14,97,63.0,,0.63,61.11
2017-01-15,91,63.0,,0.63,57.33
2017-01-16,88,63.0,,0.63,55.44
2017-01-17,96,63.0,,0.63,60.480000000000004
2017-01-18,93,63.0,,0.63,58.59
2017-01-19,97,63.0,,0.63,61.11
2017-01-20,91,63.0,,0.63,57.33
2017-01-21,94,63.0,,0.63,59.22
2017-01-22,98,63.0,,0.63,61.74
2017-01-23,91,63.0,,0.63,57.33
2017-01-24,97,63.0,,0.63,61.11
2017-01-25,93,63.0,,0.63,58.59
2017-01-26,96,63.0,,0.63,60.480000000000004
2017-01-27,97,63.0,,0.63,61.11
2017-01-28,100,63.0,,0.63,63.0
2017-01-29,99,63.0,,0.63,62.37
2017-01-30,91,63.0,,0.63,57.33
2017-01-31,96,63.0,,0.63,60.480000000000004
2017-02-01,99,66.0,False,0.66,65.34
2017-02-02,97,66.0,,0.66,64.02
2017-02-03,97,66.0,,0.66,64.02
2017-02-04,98,66.0,,0.66,64.68
2017-02-05,99,66.0,,0.66,65.34
2017-02-06,89,66.0,,0.66,58.74
2017-02-07,95,66.0,,0.66,62.7
2017-02-08,96,66.0,,0.66,63.36
2017-02-09,98,66.0,,0.66,64.68
2017-02-10,97,66.0,,0.66,64.02
2017-02-11,100,66.0,,0.66,66.0
2017-02-12,96,66.0,,0.66,63.36
2017-02-13,85,66.0,,0.66,56.1
2017-02-14,92,66.0,,0.66,60.720000000000006
2017-02-15,93,66.0,,0.66,61.38
2017-02-16,96,66.0,,0.66,63.36
2017-02-17,96,66.0,,0.66,63.36
2017-02-18,98,66.0,,0.66,64.68
2017-02-19,97,66.0,,0.66,64.02
2017-02-20,95,66.0,,0.66,62.7
2017-02-21,96,66.0,,0.66,63.36
2017-02-22,95,66.0,,0.66,62.7
2017-02-23,91,66.0,,0.66,60.06
2017-02-24,93,66.0,,0.66,61.38
2017-02-25,96,66.0,,0.66,63.36
