date,VTI_unscaled,VTI_monthly,isPartial,scale,VTI
2016-05-01,28,10.0,False,0.1,2.8000000000000003
2016-05-02,64,10.0,,0.1,6.4
2016-05-03,72,10.0,,0.1,7.2
2016-05-04,61,10.0,,0.1,6.1000000000000005
2016-05-05,57,10.0,,0.1,5.7
2016-05-06,71,10.0,,0.1,7.1000000000000005
2016-05-07,22,10.0,,0.1,2.2
2016-05-08,7,10.0,,0.1,0.7000000000000001
2016-05-09,68,10.0,,0.1,6.800000000000001
2016-05-10,64,10.0,,0.1,6.4
2016-05-11,86,10.0,,0.1,8.6
2016-05-12,79,10.0,,0.1,7.9
2016-05-13,84,10.0,,0.1,8.4
2016-05-14,26,10.0,,0.1,2.6
2016-05-15,37,10.0,,0.1,3.7
2016-05-16,45,10.0,,0.1,4.5
2016-05-17,53,10.0,,0.1,5.300000000000001
2016-05-18,80,10.0,,0.1,8.0
2016-05-19,45,10.0,,0.1,4.5
2016-05-20,47,10.0,,0.1,4.7
2016-05-21,33,10.0,,0.1,3.3000000000000003
2016-05-22,7,10.0,,0.1,0.7000000000000001
2016-05-23,45,10.0,,0.1,4.5
2016-05-24,48,10.0,,0.1,4.800000000000001
2016-05-25,92,10.0,,0.1,9.200000000000001
2016-05-26,100,10.0,,0.1,10.0
2016-05-27,74,10.0,,0.1,7.4
2016-05-28,34,10.0,,0.1,3.4000000000000004
2016-05-29,12,10.0,,0.1,1.2000000000000002
2016-05-30,14,10.0,,0.1,1.4000000000000001
2016-05-31,83,10.0,,0.1,8.3
2016-06-01,28,15.0,False,0.15,4.2
2016-06-02,27,15.0,,0.15,4.05
2016-06-03,18,15.0,,0.15,2.6999999999999997
2016-06-04,5,15.0,,0.15,0.75
2016-06-05,7,15.0,,0.15,1.05
2016-06-06,22,15.0,,0.15,3.3
2016-06-07,23,15.0,,0.15,3.4499999999999997
2016-06-08,23,15.0,,0.15,3.4499999999999997
2016-06-09,27,15.0,,0.15,4.05
2016-06-10,26,15.0,,0.15,3.9
2016-06-11,6,15.0,,0.15,0.8999999999999999
2016-06-12,11,15.0,,0.15,1.65
2016-06-13,17,15.0,,0.15,2.55
2016-06-14,24,15.0,,0.15,3.5999999999999996
2016-06-15,27,15.0,,0.15,4.05
2016-06-16,34,15.0,,0.15,5.1
2016-06-17,22,15.0,,0.15,3.3
2016-06-18,9,15.0,,0.15,1.3499999999999999
2016-06-19,10,15.0,,0.15,1.5
2016-06-20,32,15.0,,0.15,4.8
2016-06-21,27,15.0,,0.15,4.05
2016-06-22,26,15.0,,0.15,3.9
2016-06-23,33,15.0,,0.15,4.95
2016-06-24,100,15.0,,0.15,15.0
2016-06-25,18,15.0,,0.15,2.6999999999999997
2016-06-26,9,15.0,,0.15,1.3499999999999999
2016-06-27,59,15.0,,0.15,8.85
2016-06-28,62,15.0,,0.15,9.299999999999999
2016-06-29,48,15.0,,0.15,7.199999999999999
2016-06-30,36,15.0,,0.15,5.3999999999999995
2016-07-01,79,13.0,False,0.13,10.27
2016-07-02,29,13.0,,0.13,3.77
2016-07-03,25,13.0,,0.13,3.25
2016-07-04,12,13.0,,0.13,1.56
2016-07-05,73,13.0,,0.13,9.49
2016-07-06,75,13.0,,0.13,9.75
2016-07-07,60,13.0,,0.13,7.800000000000001
2016-07-08,71,13.0,,0.13,9.23
2016-07-09,38,13.0,,0.13,4.94
2016-07-10,9,13.0,,0.13,1.17
2016-07-11,55,13.0,,0.13,7.15
2016-07-12,83,13.0,,0.13,10.790000000000001
2016-07-13,100,13.0,,0.13,13.0
2016-07-14,92,13.0,,0.13,11.96
2016-07-15,62,13.0,,0.13,8.06
2016-07-16,26,13.0,,0.13,3.38
2016-07-17,12,13.0,,0.13,1.56
2016-07-18,76,13.0,,0.13,9.88
2016-07-19,57,13.0,,0.13,7.41
2016-07-20,89,13.0,,0.13,11.57
2016-07-21,72,13.0,,0.13,9.36
2016-07-22,75,13.0,,0.13,9.75
2016-07-23,9,13.0,,0.13,1.17
2016-07-24,6,13.0,,0.13,0.78
