date,TSLA_unscaled,TSLA_monthly,isPartial,scale,TSLA
2016-05-01,10,8.0,False,0.08,0.8
2016-05-02,33,8.0,,0.08,2.64
2016-05-03,39,8.0,,0.08,3.12
2016-05-04,100,8.0,,0.08,8.0
2016-05-05,94,8.0,,0.08,7.5200000000000005
2016-05-06,51,8.0,,0.08,4.08
2016-05-07,11,8.0,,0.08,0.88
2016-05-08,7,8.0,,0.08,0.56
2016-05-09,37,8.0,,0.08,2.96
2016-05-10,41,8.0,,0.08,3.2800000000000002
2016-05-11,36,8.0,,0.08,2.88
2016-05-12,34,8.0,,0.08,2.72
2016-05-13,25,8.0,,0.08,2.0
2016-05-14,11,8.0,,0.08,0.88
2016-05-15,8,8.0,,0.08,0.64
2016-05-16,26,8.0,,0.08,2.08
2016-05-17,34,8.0,,0.08,2.72
2016-05-18,53,8.0,,0.08,4.24
2016-05-19,56,8.0,,0.08,4.48
2016-05-20,39,8.0,,0.08,3.12
2016-05-21,11,8.0,,0.08,0.88
2016-05-22,9,8.0,,0.08,0.72
2016-05-23,33,8.0,,0.08,2.64
2016-05-24,27,8.0,,0.08,2.16
2016-05-25,33,8.0,,0.08,2.64
2016-05-26,32,8.0,,0.08,2.56
2016-05-27,28,8.0,,0.08,2.24
2016-05-28,9,8.0,,0.08,0.72
2016-05-29,4,8.0,,0.08,0.32
2016-05-30,3,8.0,,0.08,0.24
2016-05-31,27,8.0,,0.08,2.16
2016-06-01,23,9.0,False,0.09,2.07
2016-06-02,21,9.0,,0.09,1.89
2016-06-03,20,9.0,,0.09,1.7999999999999998
2016-06-04,4,9.0,,0.09,0.36
2016-06-05,6,9.0,,0.09,0.54
2016-06-06,17,9.0,,0.09,1.53
2016-06-07,33,9.0,,0.09,2.9699999999999998
2016-06-08,37,9.0,,0.09,3.33
2016-06-09,31,9.0,,0.09,2.79
2016-06-10,33,9.0,,0.09,2.9699999999999998
2016-06-11,9,9.0,,0.09,0.8099999999999999
2016-06-12,5,9.0,,0.09,0.44999999999999996
2016-06-13,23,9.0,,0.09,2.07
2016-06-14,20,9.0,,0.09,1.7999999999999998
2016-06-15,20,9.0,,0.09,1.7999999999999998
2016-06-16,21,9.0,,0.09,1.89
2016-06-17,22,9.0,,0.09,1.98
2016-06-18,7,9.0,,0.09,0.63
2016-06-19,4,9.0,,0.09,0.36
2016-06-20,19,9.0,,0.09,1.71
2016-06-21,44,9.0,,0.09,3.96
2016-06-22,100,9.0,,0.09,9.0
2016-06-23,66,9.0,,0.09,5.9399999999999995
2016-06-24,67,9.0,,0.09,6.029999999999999
2016-06-25,14,9.0,,0.09,1.26
2016-06-26,7,9.0,,0.09,0.63
2016-06-27,40,9.0,,0.09,3.5999999999999996
2016-06-28,40,9.0,,0.09,3.5999999999999996
2016-06-29,38,9.0,,0.09,3.42
2016-06-30,56,9.0,,0.09,5.04
2016-07-01,100,9.0,False,0.09,9.0
2016-07-02,17,9.0,,0.09,1.53
2016-07-03,11,9.0,,0.09,0.99
2016-07-04,18,9.0,,0.09,1.6199999999999999
2016-07-05,71,9.0,,0.09,6.39
2016-07-06,66,9.0,,0.09,5.9399999999999995
2016-07-07,55,9.0,,0.09,4.95
2016-07-08,43,9.0,,0.09,3.8699999999999997
2016-07-09,8,9.0,,0.09,0.72
2016-07-10,12,9.0,,0.09,1.08
2016-07-11,63,9.0,,0.09,5.67
2016-07-12,73,9.0,,0.09,6.569999999999999
2016-07-13,61,9.0,,0.09,5.49
2016-07-14,49,9.0,,0.09,4.41
2016-07-15,44,9.0,,0.09,3.96
2016-07-16,9,9.0,,0.09,0.8099999999999999
2016-07-17,6,9.0,,0.09,0.54
2016-07-18,47,9.0,,0.09,4.2299999999999995
2016-07-19,42,9.0,,0.09,3.78
2016-07-20,51,9.0,,0.09,4.59
2016-07-21,90,9.0,,0.09,8.1
2016-07-22,55,9.0,,0.09,4.95
2016-07-23,10,9.0,,0.09,0.8999999999999999
2016-07-24,10,9.0,,0.09,0.8999999999999999
2016-07-25,48,9.0,,0.09,4.32
2016-07-26,50,9.0,,0.09,4.5
2016-07-27,51,9.0,,0.09,4.59
2016-07-28,46,9.0,,0.09,4.14
2016-07-29,51,9.0,,0.09,4.59
2016-07-30,12,9.0,,0.09,1.08
2016-07-31,7,9.0,,0.09,0.63
2016-08-01,66,7.0,False,0.07,4.62
2016-08-02,50,7.0,,0.07,3.5000000000000004
2016-08-03,100,7.0,,0.07,7.000000000000001
2016-08-04,83,7.0,,0.07,5.8100000000000005
