date,SQQQ_unscaled,SQQQ_monthly,isPartial,scale,SQQQ
2016-05-01,20,4.0,False,0.04,0.8
2016-05-02,17,4.0,,0.04,0.68
2016-05-03,67,4.0,,0.04,2.68
2016-05-04,100,4.0,,0.04,4.0
2016-05-05,35,4.0,,0.04,1.4000000000000001
2016-05-06,54,4.0,,0.04,2.16
2016-05-07,21,4.0,,0.04,0.84
2016-05-08,0,4.0,,0.04,0.0
2016-05-09,51,4.0,,0.04,2.04
2016-05-10,50,4.0,,0.04,2.0
2016-05-11,85,4.0,,0.04,3.4
2016-05-12,35,4.0,,0.04,1.4000000000000001
2016-05-13,36,4.0,,0.04,1.44
2016-05-14,21,4.0,,0.04,0.84
2016-05-15,0,4.0,,0.04,0.0
2016-05-16,0,4.0,,0.04,0.0
2016-05-17,17,4.0,,0.04,0.68
2016-05-18,86,4.0,,0.04,3.44
2016-05-19,35,4.0,,0.04,1.4000000000000001
2016-05-20,36,4.0,,0.04,1.44
2016-05-21,0,4.0,,0.04,0.0
2016-05-22,21,4.0,,0.04,0.84
2016-05-23,70,4.0,,0.04,2.8000000000000003
2016-05-24,35,4.0,,0.04,1.4000000000000001
2016-05-25,35,4.0,,0.04,1.4000000000000001
2016-05-26,72,4.0,,0.04,2.88
2016-05-27,75,4.0,,0.04,3.0
2016-05-28,22,4.0,,0.04,0.88
2016-05-29,0,4.0,,0.04,0.0
2016-05-30,0,4.0,,0.04,0.0
2016-05-31,35,4.0,,0.04,1.4000000000000001
2016-06-01,37,7.0,False,0.07,2.5900000000000003
2016-06-02,7,7.0,,0.07,0.49000000000000005
2016-06-03,38,7.0,,0.07,2.66
2016-06-04,9,7.0,,0.07,0.6300000000000001
2016-06-05,0,7.0,,0.07,0.0
2016-06-06,15,7.0,,0.07,1.05
2016-06-07,37,7.0,,0.07,2.5900000000000003
2016-06-08,15,7.0,,0.07,1.05
2016-06-09,46,7.0,,0.07,3.22
2016-06-10,16,7.0,,0.07,1.12
2016-06-11,9,7.0,,0.07,0.6300000000000001
2016-06-12,0,7.0,,0.07,0.0
2016-06-13,52,7.0,,0.07,3.6400000000000006
2016-06-14,44,7.0,,0.07,3.08
2016-06-15,7,7.0,,0.07,0.49000000000000005
2016-06-16,23,7.0,,0.07,1.61
2016-06-17,23,7.0,,0.07,1.61
2016-06-18,28,7.0,,0.07,1.9600000000000002
2016-06-19,0,7.0,,0.07,0.0
2016-06-20,23,7.0,,0.07,1.61
2016-06-21,15,7.0,,0.07,1.05
2016-06-22,15,7.0,,0.07,1.05
2016-06-23,30,7.0,,0.07,2.1
2016-06-24,100,7.0,,0.07,7.000000000000001
2016-06-25,9,7.0,,0.07,0.6300000000000001
2016-06-26,9,7.0,,0.07,0.6300000000000001
2016-06-27,67,7.0,,0.07,4.69
