date,JAN_unscaled,JAN_monthly,isPartial,scale,JAN
2016-06-12,27,17.0,,0.17,4.590000000000001
2016-06-13,36,17.0,,0.17,6.12
2016-06-14,28,17.0,,0.17,4.760000000000001
2016-06-15,26,17.0,,0.17,4.42
2016-06-16,26,17.0,,0.17,4.42
2016-06-17,28,17.0,,0.17,4.760000000000001
2016-06-18,25,17.0,,0.17,4.25
2016-06-19,26,17.0,,0.17,4.42
2016-06-20,26,17.0,,0.17,4.42
2016-06-21,27,17.0,,0.17,4.590000000000001
2016-06-22,27,17.0,,0.17,4.590000000000001
2016-06-23,28,17.0,,0.17,4.760000000000001
2016-06-24,23,17.0,,0.17,3.91
2016-06-25,23,17.0,,0.17,3.91
2016-06-26,28,17.0,,0.17,4.760000000000001
2016-06-27,30,17.0,,0.17,5.1000000000000005
2016-06-28,26,17.0,,0.17,4.42
2016-06-29,28,17.0,,0.17,4.760000000000001
2016-06-30,29,17.0,,0.17,4.930000000000001
2016-07-01,95,13.0,False,0.13,12.35
2016-07-02,84,13.0,,0.13,10.92
2016-07-03,85,13.0,,0.13,11.05
2016-07-04,78,13.0,,0.13,10.14
2016-07-05,95,13.0,,0.13,12.35
2016-07-06,87,13.0,,0.13,11.31
2016-07-07,84,13.0,,0.13,10.92
2016-07-08,92,13.0,,0.13,11.96
2016-07-09,82,13.0,,0.13,10.66
2016-07-10,85,13.0,,0.13,11.05
2016-07-11,82,13.0,,0.13,10.66
2016-07-12,100,13.0,,0.13,13.0
2016-07-13,79,13.0,,0.13,10.27
2016-07-14,77,13.0,,0.13,10.01
2016-07-15,84,13.0,,0.13,10.92
2016-07-16,77,13.0,,0.13,10.01
2016-07-17,81,13.0,,0.13,10.530000000000001
2016-07-18,87,13.0,,0.13,11.31
2016-07-19,86,13.0,,0.13,11.18
2016-07-20,79,13.0,,0.13,10.27
2016-07-21,71,13.0,,0.13,9.23
2016-07-22,73,13.0,,0.13,9.49
2016-07-23,77,13.0,,0.13,10.01
2016-07-24,81,13.0,,0.13,10.530000000000001
2016-07-25,95,13.0,,0.13,12.35
2016-07-26,82,13.0,,0.13,10.66
2016-07-27,75,13.0,,0.13,9.75
2016-07-28,87,13.0,,0.13,11.31
2016-07-29,72,13.0,,0.13,9.36
2016-07-30,74,13.0,,0.13,9.620000000000001
2016-07-31,92,13.0,,0.13,11.96
2016-08-01,85,13.0,False,0.13,11.05
2016-08-02,80,13.0,,0.13,10.4
2016-08-03,82,13.0,,0.13,10.66
2016-08-04,89,13.0,,0.13,11.57
2016-08-05,75,13.0,,0.13,9.75
2016-08-06,76,13.0,,0.13,9.88
2016-08-07,67,13.0,,0.13,8.71
2016-08-08,73,13.0,,0.13,9.49
2016-08-09,74,13.0,,0.13,9.620000000000001
2016-08-10,79,13.0,,0.13,10.27
2016-08-11,78,13.0,,0.13,10.14
2016-08-12,69,13.0,,0.13,8.97
2016-08-13,66,13.0,,0.13,8.58
2016-08-14,79,13.0,,0.13,10.27
2016-08-15,85,13.0,,0.13,11.05
2016-08-16,82,13.0,,0.13,10.66
2016-08-17,74,13.0,,0.13,9.620000000000001
2016-08-18,100,13.0,,0.13,13.0
2016-08-19,80,13.0,,0.13,10.4
2016-08-20,72,13.0,,0.13,9.36
2016-08-21,68,13.0,,0.13,8.84
2016-08-22,83,13.0,,0.13,10.790000000000001
2016-08-23,84,13.0,,0.13,10.92
2016-08-24,81,13.0,,0.13,10.530000000000001
2016-08-25,88,13.0,,0.13,11.440000000000001
2016-08-26,82,13.0,,0.13,10.66
2016-08-27,76,13.0,,0.13,9.88
2016-08-28,82,13.0,,0.13,10.66
2016-08-29,81,13.0,,0.13,10.530000000000001
2016-08-30,87,13.0,,0.13,11.31
2016-08-31,97,13.0,,0.13,12.610000000000001
2016-09-01,99,14.0,False,0.14,13.860000000000001
2016-09-02,94,14.0,,0.14,13.160000000000002
2016-09-03,89,14.0,,0.14,12.46
2016-09-04,83,14.0,,0.14,11.620000000000001
2016-09-05,85,14.0,,0.14,11.9
2016-09-06,92,14.0,,0.14,12.88
2016-09-07,79,14.0,,0.14,11.06
2016-09-08,85,14.0,,0.14,11.9
2016-09-09,90,14.0,,0.14,12.600000000000001
2016-09-10,82,14.0,,0.14,11.48
2016-09-11,83,14.0,,0.14,11.620000000000001
2016-09-12,90,14.0,,0.14,12.600000000000001
2016-09-13,99,14.0,,0.14,13.860000000000001
2016-09-14,92,14.0,,0.14,12.88
2016-09-15,86,14.0,,0.14,12.040000000000001
2016-09-16,84,14.0,,0.14,11.760000000000002
2016-09-17,73,14.0,,0.14,10.22
2016-09-18,80,14.0,,0.14,11.200000000000001
2016-09-19,99,14.0,,0.14,13.860000000000001
2016-09-20,100,14.0,,0.14,14.000000000000002
2016-09-21,93,14.0,,0.14,13.020000000000001
2016-09-22,90,14.0,,0.14,12.600000000000001
2016-09-23,91,14.0,,0.14,12.740000000000002
2016-09-24,90,14.0,,0.14,12.600000000000001
2016-09-25,75,14.0,,0.14,10.500000000000002
2016-09-26,90,14.0,,0.14,12.600000000000001
2016-09-27,94,14.0,,0.14,13.160000000000002
2016-09-28,89,14.0,,0.14,12.46
2016-09-29,80,14.0,,0.14,11.200000000000001
2016-09-30,80,14.0,,0.14,11.200000000000001
2016-10-01,67,14.0,False,0.14,9.38
2016-10-02,70,14.0,,0.14,9.8
2016-10-03,83,14.0,,0.14,11.620000000000001
2016-10-04,95,14.0,,0.14,13.3
2016-10-05,78,14.0,,0.14,10.920000000000002
2016-10-06,71,14.0,,0.14,9.940000000000001
2016-10-07,77,14.0,,0.14,10.780000000000001
2016-10-08,68,14.0,,0.14,9.520000000000001
2016-10-09,73,14.0,,0.14,10.22
2016-10-10,93,14.0,,0.14,13.020000000000001
2016-10-11,94,14.0,,0.14,13.160000000000002
2016-10-12,86,14.0,,0.14,12.040000000000001
2016-10-13,77,14.0,,0.14,10.780000000000001
2016-10-14,77,14.0,,0.14,10.780000000000001
2016-10-15,65,14.0,,0.14,9.100000000000001
2016-10-16,70,14.0,,0.14,9.8
2016-10-17,87,14.0,,0.14,12.180000000000001
2016-10-18,100,14.0,,0.14,14.000000000000002
2016-10-19,94,14.0,,0.14,13.160000000000002
2016-10-20,99,14.0,,0.14,13.860000000000001
2016-10-21,87,14.0,,0.14,12.180000000000001
2016-10-22,87,14.0,,0.14,12.180000000000001
2016-10-23,80,14.0,,0.14,11.200000000000001
2016-10-24,94,14.0,,0.14,13.160000000000002
2016-10-25,88,14.0,,0.14,12.32
2016-10-26,85,14.0,,0.14,11.9
2016-10-27,92,14.0,,0.14,12.88
2016-10-28,90,14.0,,0.14,12.600000000000001
2016-10-29,71,14.0,,0.14,9.940000000000001
2016-10-30,68,14.0,,0.14,9.520000000000001
2016-10-31,84,14.0,,0.14,11.760000000000002
2016-11-01,87,16.0,False,0.16,13.92
2016-11-02,80,16.0,,0.16,12.8
2016-11-03,82,16.0,,0.16,13.120000000000001
2016-11-04,69,16.0,,0.16,11.040000000000001
2016-11-05,74,16.0,,0.16,11.84
2016-11-06,75,16.0,,0.16,12.0
2016-11-07,84,16.0,,0.16,13.44
2016-11-08,73,16.0,,0.16,11.68
2016-11-09,65,16.0,,0.16,10.4
2016-11-10,75,16.0,,0.16,12.0
2016-11-11,82,16.0,,0.16,13.120000000000001
2016-11-12,76,16.0,,0.16,12.16
2016-11-13,81,16.0,,0.16,12.96
2016-11-14,87,16.0,,0.16,13.92
2016-11-15,97,16.0,,0.16,15.52
2016-11-16,96,16.0,,0.16,15.36
2016-11-17,93,16.0,,0.16,14.88
2016-11-18,91,16.0,,0.16,14.56
2016-11-19,74,16.0,,0.16,11.84
2016-11-20,76,16.0,,0.16,12.16
2016-11-21,94,16.0,,0.16,15.040000000000001
2016-11-22,89,16.0,,0.16,14.24
2016-11-23,87,16.0,,0.16,13.92
2016-11-24,76,16.0,,0.16,12.16
2016-11-25,74,16.0,,0.16,11.84
2016-11-26,76,16.0,,0.16,12.16
2016-11-27,88,16.0,,0.16,14.08
2016-11-28,93,16.0,,0.16,14.88
2016-11-29,100,16.0,,0.16,16.0
2016-11-30,97,16.0,,0.16,15.52
2016-12-01,35,25.0,False,0.25,8.75
2016-12-02,36,25.0,,0.25,9.0
2016-12-03,30,25.0,,0.25,7.5
2016-12-04,34,25.0,,0.25,8.5
2016-12-05,41,25.0,,0.25,10.25
2016-12-06,39,25.0,,0.25,9.75
2016-12-07,40,25.0,,0.25,10.0
2016-12-08,42,25.0,,0.25,10.5
2016-12-09,38,25.0,,0.25,9.5
2016-12-10,36,25.0,,0.25,9.0
2016-12-11,37,25.0,,0.25,9.25
2016-12-12,42,25.0,,0.25,10.5
2016-12-13,43,25.0,,0.25,10.75
2016-12-14,38,25.0,,0.25,9.5
2016-12-15,40,25.0,,0.25,10.0
2016-12-16,40,25.0,,0.25,10.0
2016-12-17,38,25.0,,0.25,9.5
2016-12-18,38,25.0,,0.25,9.5
2016-12-19,43,25.0,,0.25,10.75
2016-12-20,51,25.0,,0.25,12.75
2016-12-21,46,25.0,,0.25,11.5
2016-12-22,46,25.0,,0.25,11.5
2016-12-23,41,25.0,,0.25,10.25
2016-12-24,41,25.0,,0.25,10.25
2016-12-25,42,25.0,,0.25,10.5
2016-12-26,52,25.0,,0.25,13.0
2016-12-27,58,25.0,,0.25,14.5
2016-12-28,70,25.0,,0.25,17.5
2016-12-29,71,25.0,,0.25,17.75
2016-12-30,83,25.0,,0.25,20.75
2016-12-31,100,25.0,,0.25,25.0
2017-01-01,73,85.0,False,0.85,62.05
2017-01-02,100,85.0,,0.85,85.0
2017-01-03,55,85.0,,0.85,46.75
2017-01-04,52,85.0,,0.85,44.199999999999996
2017-01-05,53,85.0,,0.85,45.05
2017-01-06,55,85.0,,0.85,46.75
2017-01-07,56,85.0,,0.85,47.6
2017-01-08,60,85.0,,0.85,51.0
2017-01-09,53,85.0,,0.85,45.05
2017-01-10,50,85.0,,0.85,42.5
2017-01-11,55,85.0,,0.85,46.75
2017-01-12,53,85.0,,0.85,45.05
2017-01-13,55,85.0,,0.85,46.75
2017-01-14,58,85.0,,0.85,49.3
2017-01-15,58,85.0,,0.85,49.3
2017-01-16,56,85.0,,0.85,47.6
2017-01-17,50,85.0,,0.85,42.5
2017-01-18,47,85.0,,0.85,39.949999999999996
2017-01-19,50,85.0,,0.85,42.5
2017-01-20,53,85.0,,0.85,45.05
2017-01-21,63,85.0,,0.85,53.55
2017-01-22,57,85.0,,0.85,48.449999999999996
2017-01-23,48,85.0,,0.85,40.8
2017-01-24,44,85.0,,0.85,37.4
2017-01-25,41,85.0,,0.85,34.85
2017-01-26,42,85.0,,0.85,35.699999999999996
2017-01-27,43,85.0,,0.85,36.55
2017-01-28,48,85.0,,0.85,40.8
2017-01-29,49,85.0,,0.85,41.65
2017-01-30,41,85.0,,0.85,34.85
2017-01-31,40,85.0,,0.85,34.0
2017-02-01,100,20.0,False,0.2,20.0
2017-02-02,59,20.0,,0.2,11.8
2017-02-03,51,20.0,,0.2,10.200000000000001
2017-02-04,47,20.0,,0.2,9.4
2017-02-05,41,20.0,,0.2,8.200000000000001
2017-02-06,40,20.0,,0.2,8.0
2017-02-07,43,20.0,,0.2,8.6
2017-02-08,44,20.0,,0.2,8.8
2017-02-09,43,20.0,,0.2,8.6
2017-02-10,39,20.0,,0.2,7.800000000000001
2017-02-11,37,20.0,,0.2,7.4
2017-02-12,42,20.0,,0.2,8.4
2017-02-13,37,20.0,,0.2,7.4
2017-02-14,36,20.0,,0.2,7.2
2017-02-15,40,20.0,,0.2,8.0
2017-02-16,35,20.0,,0.2,7.0
2017-02-17,38,20.0,,0.2,7.6000000000000005
2017-02-18,34,20.0,,0.2,6.800000000000001
2017-02-19,36,20.0,,0.2,7.2
2017-02-20,37,20.0,,0.2,7.4
2017-02-21,41,20.0,,0.2,8.200000000000001
2017-02-22,38,20.0,,0.2,7.6000000000000005
2017-02-23,35,20.0,,0.2,7.0
2017-02-24,34,20.0,,0.2,6.800000000000001
2017-02-25,30,20.0,,0.2,6.0
2017-02-26,30,20.0,,0.2,6.0
2017-02-27,40,20.0,,0.2,8.0
2017-02-28,37,20.0,,0.2,7.4
2017-03-01,77,15.0,False,0.15,11.549999999999999
2017-03-02,77,15.0,,0.15,11.549999999999999
2017-03-03,67,15.0,,0.15,10.049999999999999
2017-03-04,64,15.0,,0.15,9.6
2017-03-05,65,15.0,,0.15,9.75
2017-03-06,85,15.0,,0.15,12.75
2017-03-07,72,15.0,,0.15,10.799999999999999
2017-03-08,71,15.0,,0.15,10.65
2017-03-09,71,15.0,,0.15,10.65
2017-03-10,70,15.0,,0.15,10.5
2017-03-11,62,15.0,,0.15,9.299999999999999
2017-03-12,58,15.0,,0.15,8.7
2017-03-13,70,15.0,,0.15,10.5
2017-03-14,69,15.0,,0.15,10.35
2017-03-15,71,15.0,,0.15,10.65
2017-03-16,73,15.0,,0.15,10.95
2017-03-17,62,15.0,,0.15,9.299999999999999
2017-03-18,58,15.0,,0.15,8.7
2017-03-19,64,15.0,,0.15,9.6
2017-03-20,73,15.0,,0.15,10.95
2017-03-21,84,15.0,,0.15,12.6
2017-03-22,82,15.0,,0.15,12.299999999999999
2017-03-23,100,15.0,,0.15,15.0
2017-03-24,92,15.0,,0.15,13.799999999999999
2017-03-25,66,15.0,,0.15,9.9
2017-03-26,66,15.0,,0.15,9.9
2017-03-27,71,15.0,,0.15,10.65
2017-03-28,84,15.0,,0.15,12.6
2017-03-29,74,15.0,,0.15,11.1
2017-03-30,69,15.0,,0.15,10.35
2017-03-31,66,15.0,,0.15,9.9
2017-04-01,82,13.0,False,0.13,10.66
2017-04-02,89,13.0,,0.13,11.57
2017-04-03,100,13.0,,0.13,13.0
2017-04-04,98,13.0,,0.13,12.74
2017-04-05,87,13.0,,0.13,11.31
2017-04-06,90,13.0,,0.13,11.700000000000001
2017-04-07,89,13.0,,0.13,11.57
2017-04-08,86,13.0,,0.13,11.18
2017-04-09,84,13.0,,0.13,10.92
2017-04-10,94,13.0,,0.13,12.22
2017-04-11,86,13.0,,0.13,11.18
2017-04-12,90,13.0,,0.13,11.700000000000001
2017-04-13,88,13.0,,0.13,11.440000000000001
2017-04-14,81,13.0,,0.13,10.530000000000001
2017-04-15,76,13.0,,0.13,9.88
2017-04-16,78,13.0,,0.13,10.14
2017-04-17,79,13.0,,0.13,10.27
2017-04-18,89,13.0,,0.13,11.57
2017-04-19,90,13.0,,0.13,11.700000000000001
2017-04-20,86,13.0,,0.13,11.18
2017-04-21,83,13.0,,0.13,10.790000000000001
2017-04-22,82,13.0,,0.13,10.66
2017-04-23,87,13.0,,0.13,11.31
2017-04-24,89,13.0,,0.13,11.57
2017-04-25,94,13.0,,0.13,12.22
2017-04-26,80,13.0,,0.13,10.4
2017-04-27,85,13.0,,0.13,11.05
2017-04-28,85,13.0,,0.13,11.05
2017-04-29,82,13.0,,0.13,10.66
2017-04-30,85,13.0,,0.13,11.05
2017-05-01,85,14.0,False,0.14,11.9
2017-05-02,88,14.0,,0.14,12.32
2017-05-03,92,14.0,,0.14,12.88
2017-05-04,88,14.0,,0.14,12.32
2017-05-05,87,14.0,,0.14,12.180000000000001
2017-05-06,77,14.0,,0.14,10.780000000000001
2017-05-07,81,14.0,,0.14,11.340000000000002
2017-05-08,87,14.0,,0.14,12.180000000000001
2017-05-09,81,14.0,,0.14,11.340000000000002
2017-05-10,83,14.0,,0.14,11.620000000000001
2017-05-11,94,14.0,,0.14,13.160000000000002
2017-05-12,82,14.0,,0.14,11.48
2017-05-13,76,14.0,,0.14,10.64
2017-05-14,80,14.0,,0.14,11.200000000000001
2017-05-15,100,14.0,,0.14,14.000000000000002
2017-05-16,90,14.0,,0.14,12.600000000000001
2017-05-17,87,14.0,,0.14,12.180000000000001
2017-05-18,88,14.0,,0.14,12.32
2017-05-19,77,14.0,,0.14,10.780000000000001
2017-05-20,81,14.0,,0.14,11.340000000000002
2017-05-21,82,14.0,,0.14,11.48
2017-05-22,85,14.0,,0.14,11.9
2017-05-23,89,14.0,,0.14,12.46
2017-05-24,79,14.0,,0.14,11.06
2017-05-25,87,14.0,,0.14,12.180000000000001
2017-05-26,81,14.0,,0.14,11.340000000000002
2017-05-27,81,14.0,,0.14,11.340000000000002
2017-05-28,86,14.0,,0.14,12.040000000000001
2017-05-29,81,14.0,,0.14,11.340000000000002
2017-05-30,100,14.0,,0.14,14.000000000000002
2017-05-31,87,14.0,,0.14,12.180000000000001
2017-06-01,96,13.0,False,0.13,12.48
2017-06-02,83,13.0,,0.13,10.790000000000001
2017-06-03,80,13.0,,0.13,10.4
2017-06-04,75,13.0,,0.13,9.75
2017-06-05,98,13.0,,0.13,12.74
2017-06-06,97,13.0,,0.13,12.610000000000001
2017-06-07,100,13.0,,0.13,13.0
2017-06-08,83,13.0,,0.13,10.790000000000001
2017-06-09,95,13.0,,0.13,12.35
2017-06-10,69,13.0,,0.13,8.97
2017-06-11,77,13.0,,0.13,10.01
2017-06-12,95,13.0,,0.13,12.35
2017-06-13,97,13.0,,0.13,12.610000000000001
2017-06-14,88,13.0,,0.13,11.440000000000001
2017-06-15,89,13.0,,0.13,11.57
2017-06-16,78,13.0,,0.13,10.14
2017-06-17,72,13.0,,0.13,9.36
2017-06-18,71,13.0,,0.13,9.23
2017-06-19,98,13.0,,0.13,12.74
2017-06-20,82,13.0,,0.13,10.66
2017-06-21,88,13.0,,0.13,11.440000000000001
2017-06-22,89,13.0,,0.13,11.57
2017-06-23,79,13.0,,0.13,10.27
2017-06-24,78,13.0,,0.13,10.14
2017-06-25,88,13.0,,0.13,11.440000000000001
2017-06-26,89,13.0,,0.13,11.57
2017-06-27,83,13.0,,0.13,10.790000000000001
2017-06-28,87,13.0,,0.13,11.31
2017-06-29,82,13.0,,0.13,10.66
2017-06-30,81,13.0,,0.13,10.530000000000001
2017-07-01,64,13.0,False,0.13,8.32
2017-07-02,73,13.0,,0.13,9.49
2017-07-03,76,13.0,,0.13,9.88
2017-07-04,75,13.0,,0.13,9.75
2017-07-05,91,13.0,,0.13,11.83
2017-07-06,83,13.0,,0.13,10.790000000000001
2017-07-07,82,13.0,,0.13,10.66
2017-07-08,83,13.0,,0.13,10.790000000000001
2017-07-09,82,13.0,,0.13,10.66
2017-07-10,91,13.0,,0.13,11.83
2017-07-11,86,13.0,,0.13,11.18
2017-07-12,84,13.0,,0.13,10.92
2017-07-13,81,13.0,,0.13,10.530000000000001
2017-07-14,77,13.0,,0.13,10.01
2017-07-15,93,13.0,,0.13,12.09
2017-07-16,100,13.0,,0.13,13.0
2017-07-17,86,13.0,,0.13,11.18
2017-07-18,96,13.0,,0.13,12.48
2017-07-19,86,13.0,,0.13,11.18
2017-07-20,87,13.0,,0.13,11.31
2017-07-21,76,13.0,,0.13,9.88
2017-07-22,72,13.0,,0.13,9.36
2017-07-23,76,13.0,,0.13,9.88
2017-07-24,79,13.0,,0.13,10.27
2017-07-25,93,13.0,,0.13,12.09
2017-07-26,85,13.0,,0.13,11.05
2017-07-27,88,13.0,,0.13,11.440000000000001
2017-07-28,82,13.0,,0.13,10.66
2017-07-29,78,13.0,,0.13,10.14
2017-07-30,86,13.0,,0.13,11.18
2017-07-31,84,13.0,,0.13,10.92
2017-08-01,64,13.0,False,0.13,8.32
2017-08-02,72,13.0,,0.13,9.36
2017-08-03,69,13.0,,0.13,8.97
2017-08-04,64,13.0,,0.13,8.32
2017-08-05,66,13.0,,0.13,8.58
2017-08-06,71,13.0,,0.13,9.23
2017-08-07,73,13.0,,0.13,9.49
2017-08-08,76,13.0,,0.13,9.88
2017-08-09,68,13.0,,0.13,8.84
2017-08-10,75,13.0,,0.13,9.75
2017-08-11,64,13.0,,0.13,8.32
2017-08-12,67,13.0,,0.13,8.71
2017-08-13,69,13.0,,0.13,8.97
2017-08-14,74,13.0,,0.13,9.620000000000001
2017-08-15,70,13.0,,0.13,9.1
2017-08-16,100,13.0,,0.13,13.0
2017-08-17,72,13.0,,0.13,9.36
2017-08-18,66,13.0,,0.13,8.58
2017-08-19,58,13.0,,0.13,7.54
2017-08-20,62,13.0,,0.13,8.06
2017-08-21,65,13.0,,0.13,8.450000000000001
2017-08-22,75,13.0,,0.13,9.75
2017-08-23,78,13.0,,0.13,10.14
2017-08-24,65,13.0,,0.13,8.450000000000001
2017-08-25,68,13.0,,0.13,8.84
2017-08-26,59,13.0,,0.13,7.67
2017-08-27,60,13.0,,0.13,7.800000000000001
2017-08-28,70,13.0,,0.13,9.1
2017-08-29,65,13.0,,0.13,8.450000000000001
2017-08-30,72,13.0,,0.13,9.36
2017-08-31,72,13.0,,0.13,9.36
2017-09-01,73,13.0,False,0.13,9.49
2017-09-02,75,13.0,,0.13,9.75
2017-09-03,68,13.0,,0.13,8.84
2017-09-04,80,13.0,,0.13,10.4
2017-09-05,80,13.0,,0.13,10.4
2017-09-06,80,13.0,,0.13,10.4
2017-09-07,72,13.0,,0.13,9.36
2017-09-08,69,13.0,,0.13,8.97
2017-09-09,65,13.0,,0.13,8.450000000000001
2017-09-10,55,13.0,,0.13,7.15
2017-09-11,76,13.0,,0.13,9.88
2017-09-12,80,13.0,,0.13,10.4
2017-09-13,90,13.0,,0.13,11.700000000000001
2017-09-14,79,13.0,,0.13,10.27
2017-09-15,80,13.0,,0.13,10.4
2017-09-16,75,13.0,,0.13,9.75
2017-09-17,79,13.0,,0.13,10.27
2017-09-18,77,13.0,,0.13,10.01
2017-09-19,86,13.0,,0.13,11.18
2017-09-20,74,13.0,,0.13,9.620000000000001
2017-09-21,81,13.0,,0.13,10.530000000000001
2017-09-22,77,13.0,,0.13,10.01
2017-09-23,73,13.0,,0.13,9.49
2017-09-24,75,13.0,,0.13,9.75
2017-09-25,100,13.0,,0.13,13.0
2017-09-26,86,13.0,,0.13,11.18
2017-09-27,85,13.0,,0.13,11.05
2017-09-28,86,13.0,,0.13,11.18
2017-09-29,89,13.0,,0.13,11.57
2017-09-30,79,13.0,,0.13,10.27
2017-10-01,73,15.0,False,0.15,10.95
2017-10-02,58,15.0,,0.15,8.7
2017-10-03,64,15.0,,0.15,9.6
2017-10-04,79,15.0,,0.15,11.85
2017-10-05,100,15.0,,0.15,15.0
2017-10-06,79,15.0,,0.15,11.85
2017-10-07,66,15.0,,0.15,9.9
2017-10-08,70,15.0,,0.15,10.5
2017-10-09,73,15.0,,0.15,10.95
2017-10-10,75,15.0,,0.15,11.25
2017-10-11,75,15.0,,0.15,11.25
2017-10-12,79,15.0,,0.15,11.85
2017-10-13,80,15.0,,0.15,12.0
2017-10-14,78,15.0,,0.15,11.7
2017-10-15,65,15.0,,0.15,9.75
2017-10-16,78,15.0,,0.15,11.7
2017-10-17,73,15.0,,0.15,10.95
2017-10-18,73,15.0,,0.15,10.95
2017-10-19,89,15.0,,0.15,13.35
2017-10-20,74,15.0,,0.15,11.1
2017-10-21,73,15.0,,0.15,10.95
2017-10-22,68,15.0,,0.15,10.2
2017-10-23,76,15.0,,0.15,11.4
2017-10-24,79,15.0,,0.15,11.85
2017-10-25,74,15.0,,0.15,11.1
2017-10-26,74,15.0,,0.15,11.1
2017-10-27,68,15.0,,0.15,10.2
2017-10-28,62,15.0,,0.15,9.299999999999999
2017-10-29,70,15.0,,0.15,10.5
2017-10-30,77,15.0,,0.15,11.549999999999999
2017-10-31,72,15.0,,0.15,10.799999999999999
2017-11-01,72,16.0,False,0.16,11.52
2017-11-02,78,16.0,,0.16,12.48
2017-11-03,73,16.0,,0.16,11.68
2017-11-04,76,16.0,,0.16,12.16
2017-11-05,73,16.0,,0.16,11.68
2017-11-06,79,16.0,,0.16,12.64
2017-11-07,86,16.0,,0.16,13.76
2017-11-08,78,16.0,,0.16,12.48
2017-11-09,74,16.0,,0.16,11.84
2017-11-10,79,16.0,,0.16,12.64
2017-11-11,76,16.0,,0.16,12.16
2017-11-12,70,16.0,,0.16,11.200000000000001
2017-11-13,81,16.0,,0.16,12.96
2017-11-14,80,16.0,,0.16,12.8
2017-11-15,86,16.0,,0.16,13.76
2017-11-16,79,16.0,,0.16,12.64
2017-11-17,78,16.0,,0.16,12.48
2017-11-18,68,16.0,,0.16,10.88
2017-11-19,66,16.0,,0.16,10.56
2017-11-20,75,16.0,,0.16,12.0
2017-11-21,81,16.0,,0.16,12.96
2017-11-22,73,16.0,,0.16,11.68
2017-11-23,65,16.0,,0.16,10.4
2017-11-24,68,16.0,,0.16,10.88
2017-11-25,70,16.0,,0.16,11.200000000000001
2017-11-26,72,16.0,,0.16,11.52
2017-11-27,84,16.0,,0.16,13.44
2017-11-28,87,16.0,,0.16,13.92
2017-11-29,92,16.0,,0.16,14.72
2017-11-30,100,16.0,,0.16,16.0
2017-12-01,31,26.0,False,0.26,8.06
2017-12-02,28,26.0,,0.26,7.28
2017-12-03,36,26.0,,0.26,9.36
2017-12-04,36,26.0,,0.26,9.36
2017-12-05,37,26.0,,0.26,9.620000000000001
2017-12-06,37,26.0,,0.26,9.620000000000001
2017-12-07,38,26.0,,0.26,9.88
2017-12-08,97,26.0,,0.26,25.220000000000002
2017-12-09,71,26.0,,0.26,18.46
2017-12-10,38,26.0,,0.26,9.88
2017-12-11,38,26.0,,0.26,9.88
2017-12-12,44,26.0,,0.26,11.440000000000001
2017-12-13,38,26.0,,0.26,9.88
2017-12-14,40,26.0,,0.26,10.4
2017-12-15,40,26.0,,0.26,10.4
2017-12-16,36,26.0,,0.26,9.36
2017-12-17,41,26.0,,0.26,10.66
2017-12-18,48,26.0,,0.26,12.48
2017-12-19,45,26.0,,0.26,11.700000000000001
2017-12-20,48,26.0,,0.26,12.48
2017-12-21,48,26.0,,0.26,12.48
2017-12-22,44,26.0,,0.26,11.440000000000001
2017-12-23,42,26.0,,0.26,10.92
2017-12-24,40,26.0,,0.26,10.4
