date,JAN_unscaled,JAN_monthly,isPartial,scale,JAN
2016-05-01,25,17.0,False,0.17,4.25
2016-05-02,26,17.0,,0.17,4.42
2016-05-03,26,17.0,,0.17,4.42
2016-05-04,23,17.0,,0.17,3.91
2016-05-05,24,17.0,,0.17,4.08
2016-05-06,22,17.0,,0.17,3.74
2016-05-07,22,17.0,,0.17,3.74
2016-05-08,23,17.0,,0.17,3.91
2016-05-09,25,17.0,,0.17,4.25
2016-05-10,27,17.0,,0.17,4.590000000000001
2016-05-11,27,17.0,,0.17,4.590000000000001
2016-05-12,26,17.0,,0.17,4.42
2016-05-13,23,17.0,,0.17,3.91
2016-05-14,22,17.0,,0.17,3.74
2016-05-15,22,17.0,,0.17,3.74
2016-05-16,25,17.0,,0.17,4.25
2016-05-17,23,17.0,,0.17,3.91
2016-05-18,21,17.0,,0.17,3.5700000000000003
2016-05-19,24,17.0,,0.17,4.08
2016-05-20,23,17.0,,0.17,3.91
2016-05-21,22,17.0,,0.17,3.74
2016-05-22,20,17.0,,0.17,3.4000000000000004
2016-05-23,25,17.0,,0.17,4.25
2016-05-24,24,17.0,,0.17,4.08
2016-05-25,22,17.0,,0.17,3.74
2016-05-26,24,17.0,,0.17,4.08
2016-05-27,22,17.0,,0.17,3.74
2016-05-28,29,17.0,,0.17,4.930000000000001
2016-05-29,41,17.0,,0.17,6.970000000000001
2016-05-30,42,17.0,,0.17,7.140000000000001
2016-05-31,100,17.0,,0.17,17.0
2016-06-01,100,17.0,False,0.17,17.0
2016-06-02,52,17.0,,0.17,8.84
2016-06-03,38,17.0,,0.17,6.460000000000001
2016-06-04,42,17.0,,0.17,7.140000000000001
2016-06-05,38,17.0,,0.17,6.460000000000001
2016-06-06,32,17.0,,0.17,5.44
2016-06-07,32,17.0,,0.17,5.44
2016-06-08,31,17.0,,0.17,5.2700000000000005
2016-06-09,29,17.0,,0.17,4.930000000000001
2016-06-10,31,17.0,,0.17,5.2700000000000005
2016-06-11,23,17.0,,0.17,3.91
