date,SHOP_unscaled,SHOP_monthly,isPartial,scale,SHOP
2016-05-01,85,75.0,False,0.75,63.75
2016-05-02,75,75.0,,0.75,56.25
2016-05-03,73,75.0,,0.75,54.75
2016-05-04,76,75.0,,0.75,57.0
2016-05-05,78,75.0,,0.75,58.5
2016-05-06,83,75.0,,0.75,62.25
2016-05-07,100,75.0,,0.75,75.0
2016-05-08,84,75.0,,0.75,63.0
2016-05-09,75,75.0,,0.75,56.25
2016-05-10,74,75.0,,0.75,55.5
2016-05-11,72,75.0,,0.75,54.0
2016-05-12,78,75.0,,0.75,58.5
2016-05-13,85,75.0,,0.75,63.75
2016-05-14,94,75.0,,0.75,70.5
2016-05-15,86,75.0,,0.75,64.5
2016-05-16,78,75.0,,0.75,58.5
2016-05-17,73,75.0,,0.75,54.75
2016-05-18,72,75.0,,0.75,54.0
2016-05-19,74,75.0,,0.75,55.5
2016-05-20,82,75.0,,0.75,61.5
2016-05-21,98,75.0,,0.75,73.5
2016-05-22,85,75.0,,0.75,63.75
2016-05-23,79,75.0,,0.75,59.25
2016-05-24,76,75.0,,0.75,57.0
2016-05-25,75,75.0,,0.75,56.25
2016-05-26,75,75.0,,0.75,56.25
2016-05-27,84,75.0,,0.75,63.0
2016-05-28,99,75.0,,0.75,74.25
2016-05-29,87,75.0,,0.75,65.25
2016-05-30,92,75.0,,0.75,69.0
2016-05-31,82,75.0,,0.75,61.5
2016-06-01,76,74.0,False,0.74,56.24
2016-06-02,75,74.0,,0.74,55.5
2016-06-03,80,74.0,,0.74,59.2
2016-06-04,90,74.0,,0.74,66.6
2016-06-05,80,74.0,,0.74,59.2
2016-06-06,75,74.0,,0.74,55.5
2016-06-07,73,74.0,,0.74,54.019999999999996
2016-06-08,73,74.0,,0.74,54.019999999999996
2016-06-09,76,74.0,,0.74,56.24
2016-06-10,80,74.0,,0.74,59.2
2016-06-11,91,74.0,,0.74,67.34
2016-06-12,80,74.0,,0.74,59.2
2016-06-13,77,74.0,,0.74,56.98
2016-06-14,75,74.0,,0.74,55.5
2016-06-15,77,74.0,,0.74,56.98
2016-06-16,79,74.0,,0.74,58.46
2016-06-17,84,74.0,,0.74,62.16
2016-06-18,100,74.0,,0.74,74.0
2016-06-19,84,74.0,,0.74,62.16
2016-06-20,83,74.0,,0.74,61.42
2016-06-21,81,74.0,,0.74,59.94
2016-06-22,80,74.0,,0.74,59.2
2016-06-23,76,74.0,,0.74,56.24
2016-06-24,81,74.0,,0.74,59.94
2016-06-25,94,74.0,,0.74,69.56
2016-06-26,81,74.0,,0.74,59.94
2016-06-27,81,74.0,,0.74,59.94
2016-06-28,78,74.0,,0.74,57.72
2016-06-29,78,74.0,,0.74,57.72
2016-06-30,81,74.0,,0.74,59.94
2016-07-01,88,77.0,False,0.77,67.76
2016-07-02,97,77.0,,0.77,74.69
2016-07-03,92,77.0,,0.77,70.84
2016-07-04,92,77.0,,0.77,70.84
2016-07-05,83,77.0,,0.77,63.910000000000004
2016-07-06,82,77.0,,0.77,63.14
2016-07-07,80,77.0,,0.77,61.6
2016-07-08,83,77.0,,0.77,63.910000000000004
2016-07-09,100,77.0,,0.77,77.0
2016-07-10,83,77.0,,0.77,63.910000000000004
2016-07-11,81,77.0,,0.77,62.370000000000005
2016-07-12,82,77.0,,0.77,63.14
2016-07-13,81,77.0,,0.77,62.370000000000005
2016-07-14,78,77.0,,0.77,60.06
2016-07-15,87,77.0,,0.77,66.99
2016-07-16,99,77.0,,0.77,76.23
2016-07-17,90,77.0,,0.77,69.3
2016-07-18,85,77.0,,0.77,65.45
2016-07-19,81,77.0,,0.77,62.370000000000005
2016-07-20,81,77.0,,0.77,62.370000000000005
2016-07-21,81,77.0,,0.77,62.370000000000005
2016-07-22,87,77.0,,0.77,66.99
2016-07-23,98,77.0,,0.77,75.46000000000001
2016-07-24,86,77.0,,0.77,66.22
2016-07-25,83,77.0,,0.77,63.910000000000004
2016-07-26,79,77.0,,0.77,60.83
2016-07-27,79,77.0,,0.77,60.83
2016-07-28,79,77.0,,0.77,60.83
2016-07-29,84,77.0,,0.77,64.68
2016-07-30,95,77.0,,0.77,73.15
2016-07-31,87,77.0,,0.77,66.99
2016-08-01,84,75.0,False,0.75,63.0
2016-08-02,83,75.0,,0.75,62.25
2016-08-03,82,75.0,,0.75,61.5
2016-08-04,84,75.0,,0.75,63.0
2016-08-05,87,75.0,,0.75,65.25
2016-08-06,93,75.0,,0.75,69.75
2016-08-07,82,75.0,,0.75,61.5
2016-08-08,80,75.0,,0.75,60.0
2016-08-09,76,75.0,,0.75,57.0
2016-08-10,75,75.0,,0.75,56.25
2016-08-11,78,75.0,,0.75,58.5
2016-08-12,78,75.0,,0.75,58.5
2016-08-13,94,75.0,,0.75,70.5
2016-08-14,83,75.0,,0.75,62.25
2016-08-15,79,75.0,,0.75,59.25
2016-08-16,77,75.0,,0.75,57.75
2016-08-17,75,75.0,,0.75,56.25
2016-08-18,76,75.0,,0.75,57.0
2016-08-19,87,75.0,,0.75,65.25
2016-08-20,100,75.0,,0.75,75.0
2016-08-21,86,75.0,,0.75,64.5
2016-08-22,81,75.0,,0.75,60.75
2016-08-23,77,75.0,,0.75,57.75
2016-08-24,76,75.0,,0.75,57.0
2016-08-25,80,75.0,,0.75,60.0
2016-08-26,87,75.0,,0.75,65.25
2016-08-27,99,75.0,,0.75,74.25
2016-08-28,90,75.0,,0.75,67.5
2016-08-29,80,75.0,,0.75,60.0
2016-08-30,76,75.0,,0.75,57.0
2016-08-31,76,75.0,,0.75,57.0
2016-09-01,78,71.0,False,0.71,55.379999999999995
2016-09-02,85,71.0,,0.71,60.349999999999994
2016-09-03,98,71.0,,0.71,69.58
2016-09-04,93,71.0,,0.71,66.03
2016-09-05,100,71.0,,0.71,71.0
2016-09-06,82,71.0,,0.71,58.22
2016-09-07,76,71.0,,0.71,53.959999999999994
2016-09-08,76,71.0,,0.71,53.959999999999994
2016-09-09,82,71.0,,0.71,58.22
2016-09-10,94,71.0,,0.71,66.74
2016-09-11,82,71.0,,0.71,58.22
2016-09-12,77,71.0,,0.71,54.669999999999995
2016-09-13,74,71.0,,0.71,52.54
2016-09-14,74,71.0,,0.71,52.54
2016-09-15,77,71.0,,0.71,54.669999999999995
2016-09-16,82,71.0,,0.71,58.22
2016-09-17,95,71.0,,0.71,67.45
2016-09-18,82,71.0,,0.71,58.22
2016-09-19,77,71.0,,0.71,54.669999999999995
2016-09-20,73,71.0,,0.71,51.83
2016-09-21,73,71.0,,0.71,51.83
2016-09-22,74,71.0,,0.71,52.54
2016-09-23,79,71.0,,0.71,56.089999999999996
